delta_keV,v_lab_kms,N_SHM,N_stream_pure,N_f0.01,N_f0.05,N_f0.2,boost_f0.01,boost_f0.05,boost_f0.2
405,950,5.0547e-06,2.3888e+05,2388.8,11944,47775,4.7258e+08,2.3629e+09,9.4516e+09
405,975,5.0547e-06,2.5316e+05,2531.6,12658,50632,5.0083e+08,2.5042e+09,1.0017e+10
405,1000,5.0547e-06,2.5397e+05,2539.7,12698,50794,5.0244e+08,2.5122e+09,1.0049e+10
410,600,0,0,0,0,0,inf,inf,inf
410,625,0,0,0,0,0,inf,inf,inf
410,650,0,5.9089e-15,5.9089e-17,2.9544e-16,1.1818e-15,inf,inf,inf
410,675,0,2.2371e-10,2.2371e-12,1.1186e-11,4.4743e-11,inf,inf,inf
410,700,0,9.6247e-07,9.6247e-09,4.8124e-08,1.9249e-07,inf,inf,inf
410,725,0,0.00095113,9.5113e-06,4.7557e-05,0.00019023,inf,inf,inf
410,750,0,0.22481,0.0022481,0.011241,0.044963,inf,inf,inf
410,775,0,13.866,0.13866,0.69331,2.7732,inf,inf,inf
410,800,0,278.53,2.7853,13.927,55.707,inf,inf,inf
410,825,0,2750.8,27.508,137.54,550.17,inf,inf,inf
410,850,0,16532,165.32,826.58,3306.3,inf,inf,inf
410,875,0,56803,568.03,2840.1,11361,inf,inf,inf
410,900,0,1.2021e+05,1202.1,6010.4,24042,inf,inf,inf
410,925,0,1.8312e+05,1831.2,9156,36624,inf,inf,inf
410,950,0,2.2703e+05,2270.3,11351,45405,inf,inf,inf
410,975,0,2.4792e+05,2479.2,12396,49584,inf,inf,inf
410,1000,0,2.5211e+05,2521.1,12606,50422,inf,inf,inf
415,600,0,0,0,0,0,inf,inf,inf
415,625,0,0,0,0,0,inf,inf,inf
415,650,0,8.1891e-19,8.1891e-21,4.0945e-20,1.6378e-19,inf,inf,inf
415,675,0,2.609e-11,2.609e-13,1.3045e-12,5.2179e-12,inf,inf,inf
415,700,0,1.5724e-07,1.5724e-09,7.8622e-09,3.1449e-08,inf,inf,inf
415,725,0,0.00021673,2.1673e-06,1.0836e-05,4.3345e-05,inf,inf,inf
415,750,0,0.070686,0.00070686,0.0035343,0.014137,inf,inf,inf
415,775,0,5.8342,0.058342,0.29171,1.1668,inf,inf,inf
415,800,0,144.17,1.4417,7.2086,28.834,inf,inf,inf
415,825,0,1564.5,15.645,78.223,312.89,inf,inf,inf
415,850,0,10489,104.89,524.47,2097.9,inf,inf,inf
415,875,0,41610,416.1,2080.5,8322,inf,inf,inf
415,900,0,98918,989.18,4945.9,19784,inf,inf,inf
415,925,0,1.6309e+05,1630.9,8154.6,32618,inf,inf,inf
415,950,0,2.1309e+05,2130.9,10654,42618,inf,inf,inf
415,975,0,2.4083e+05,2408.3,12041,48166,inf,inf,inf
415,1000,0,2.4959e+05,2495.9,12480,49918,inf,inf,inf
420,600,0,0,0,0,0,inf,inf,inf
420,625,0,0,0,0,0,inf,inf,inf
420,650,0,0,0,0,0,inf,inf,inf
420,675,0,2.9267e-12,2.9267e-14,1.4633e-13,5.8533e-13,inf,inf,inf
420,700,0,2.4732e-08,2.4732e-10,1.2366e-09,4.9464e-09,inf,inf,inf
420,725,0,4.7331e-05,4.7331e-07,2.3666e-06,9.4663e-06,inf,inf,inf
420,750,0,0.021216,0.00021216,0.0010608,0.0042432,inf,inf,inf
420,775,0,2.3532,0.023532,0.11766,0.47065,inf,inf,inf
420,800,0,73.518,0.73518,3.6759,14.704,inf,inf,inf
420,825,0,895.56,8.9556,44.778,179.11,inf,inf,inf
420,850,0,6520.5,65.205,326.03,1304.1,inf,inf,inf
420,875,0,29525,295.25,1476.3,5905.1,inf,inf,inf
420,900,0,79247,792.47,3962.3,15849,inf,inf,inf
420,925,0,1.4238e+05,1423.8,7118.9,28475,inf,inf,inf
420,950,0,1.9714e+05,1971.4,9856.8,39427,inf,inf,inf
420,975,0,2.3165e+05,2316.5,11583,46330,inf,inf,inf
420,1000,0,2.4589e+05,2458.9,12295,49179,inf,inf,inf
425,600,0,0,0,0,0,inf,inf,inf
425,625,0,0,0,0,0,inf,inf,inf
425,650,0,0,0,0,0,inf,inf,inf
