variant,k,s,S1c,p10,p50,p90,halfwidth,upper,lower,drawn_p10,drawn_p50,drawn_p90,drawn_halfwidth,drawn_upper,drawn_lower,asym_model,asym_drawn
k=0.5 Gaussian,0.5,0.0,600,4.731903671047629,4.858367460941305,4.982860856765147,0.12547859285875917,0.12449339582384233,0.12646378989367602,4.746016227291908,4.871079037028247,4.995002333180317,0.12449305294420432,0.12392329615206954,0.1250628097363391,0.9844193023829961,0.9908884696683857
k=0.5 mirrored skew,0.5,-1.0,300,4.367406870099722,4.4658098426949495,4.5412676588757375,0.08693039438800776,0.07545781618078795,0.09840297259522757,4.375949924151315,4.464545504965075,4.5525245769789615,0.08828732641382331,0.08797907201388622,0.0885955808137604,0.7668245601804876,0.9930413143160022
k=0.5 mirrored skew,0.5,-1.0,350,4.4257790007670135,4.529951861407499,4.612612457940134,0.09341672858656036,0.08266059653263547,0.10417286064048525,4.438795261585473,4.5306420406722765,4.6223319500455515,0.09176834423003921,0.09168990937327504,0.09184677908680339,0.7934945438227761,0.9982920499217496
k=0.5 mirrored skew,0.5,-1.0,400,4.483407873450836,4.593238829930723,4.684419819320813,0.10050597293498864,0.09118098939009034,0.10983095647988694,4.4920427014968505,4.596142292994932,4.698517739487003,0.10323751899507627,0.1023754464920712,0.10409959149808135,0.8301938935293537,0.9834375430181979
k=0.5 mirrored skew,0.5,-1.0,450,4.5424524989927395,4.65793322761245,4.758195132430065,0.10787131671866268,0.10026190481761521,0.11548072861971015,4.551120166979303,4.661208471619821,4.772681429642206,0.11078063133145122,0.111472958022385,0.11008830464051744,0.8682133029121069,1.012577661054814
k=0.5 mirrored skew,0.5,-1.0,500,4.603786646353999,4.724733480476653,4.833692118342182,0.11495273599409161,0.10895863786552962,0.12094683412265361,4.617101540714544,4.73375165615276,4.849009331837001,0.11595389556122848,0.11525767568424072,0.11665011543821624,0.9008804459902884,0.9880631086497894
k=0.5 mirrored skew,0.5,-1.0,540,4.654334050818917,4.779121186332222,4.894160210180714,0.1199130796808987,0.1150390238484924,0.124787135513305,4.666872541827879,4.7889961275947,4.909901394571213,0.12151442637166676,0.1209052669765125,0.12212358576682103,0.921882078431288,0.9900238861915277
k=0.5 mirrored skew,0.5,-1.0,600,4.73126227087482,4.860179977176226,4.981944545487035,0.12534113730610708,0.12176456831080884,0.1289177063014053,4.746016227291908,4.871079037028247,4.995002333180317,0.12449305294420432,0.12392329615206954,0.1250628097363391,0.9445139213548163,0.9908884696683857
k=0.5 skew x1.5,0.5,1.5,300,4.377174351418706,4.451755041170992,4.552477338746428,0.08765149366386105,0.1007222975754356,0.07458068975228649,4.375949924151315,4.464545504965075,4.5525245769789615,0.08828732641382331,0.08797907201388622,0.0885955808137604,1.3505144281981873,0.9930413143160022
k=0.5 skew x1.5,0.5,1.5,350,4.435127561142047,4.516277419295799,4.623562890093754,0.09421766447585345,0.10728547079795536,0.08114985815375153,4.438795261585473,4.5306420406722765,4.6223319500455515,0.09176834423003921,0.09168990937327504,0.09184677908680339,1.3220660299206646,0.9982920499217496
k=0.5 skew x1.5,0.5,1.5,400,4.491766182355838,4.580632567575075,4.694554634003411,0.10139422582378632,0.11392206642833536,0.08886638521923729,4.4920427014968505,4.596142292994932,4.698517739487003,0.10323751899507627,0.1023754464920712,0.10409959149808135,1.281947793277341,0.9834375430181979
k=0.5 skew x1.5,0.5,1.5,450,4.5495569838590315,4.6467572198076645,4.767096181348604,0.10876959874478631,0.12033896154093959,0.09720023594863303,4.551120166979303,4.661208471619821,4.772681429642206,0.11078063133145122,0.111472958022385,0.11008830464051744,1.2380521545702274,1.012577661054814
k=0.5 skew x1.5,0.5,1.5,500,4.609626696855391,4.715056064331354,4.840786846544842,0.11558007484472554,0.12573078221348766,0.10542936747596343,4.617101540714544,4.73375165615276,4.849009331837001,0.11595389556122848,0.11525767568424072,0.11665011543821624,1.1925593904578125,0.9880631086497894
k=0.5 skew x1.5,0.5,1.5,540,4.659305899590019,4.770751443751266,4.899447642138202,0.12007087127409122,0.1286961983869359,0.11144554416124652,4.666872541827879,4.7889961275947,4.909901394571213,0.12151442637166676,0.1209052669765125,0.12212358576682103,1.1547899860467283,0.9900238861915277
k=0.5 skew x1.5,0.5,1.5,600,4.735074710198871,4.85407019936348,4.984416916708582,0.12467110325485553,0.13034671734510273,0.11899548916460834,4.746016227291908,4.871079037028247,4.995002333180317,0.12449305294420432,0.12392329615206954,0.1250628097363391,1.0953920880546326,0.9908884696683857
k=0.5 skew x0.5,0.5,0.5,300,4.372633030874355,4.457286489418755,4.548309501265084,0.0878382351953646,0.0910230118463291,0.0846534585444001,4.375949924151315,4.464545504965075,4.5525245769789615,0.08828732641382331,0.08797907201388622,0.0885955808137604,1.0752426824780965,0.9930413143160022
k=0.5 skew x0.5,0.5,0.5,350,4.430256757963879,4.522380464434808,4.6189126234666995,0.09432793275141016,0.0965321590318915,0.09212370647092882,4.438795261585473,4.5306420406722765,4.6223319500455515,0.09176834423003921,0.09168990937327504,0.09184677908680339,1.0478536169444488,0.9982920499217496
k=0.5 skew x0.5,0.5,0.5,400,4.486918161898687,4.586902576691477,4.68974111704782,0.1014114775745667,0.10283854035634299,0.09998441479279041,4.4920427014968505,4.596142292994932,4.698517739487003,0.10323751899507627,0.1023754464920712,0.10409959149808135,1.0285457045427282,0.9834375430181979
k=0.5 skew x0.5,0.5,0.5,450,4.545025378326774,4.652820570169495,4.762476881202343,0.10872575143778418,0.10965631103284768,0.10779519184272068,4.551120166979303,4.661208471619821,4.772681429642206,0.11078063133145122,0.111472958022385,0.11008830464051744,1.017265326572659,1.012577661054814
k=0.5 skew x0.5,0.5,0.5,500,4.605589143133274,4.720678258245106,4.83685807264874,0.11563446475773276,0.11617981440363412,0.1150891151118314,4.617101540714544,4.73375165615276,4.849009331837001,0.11595389556122848,0.11525767568424072,0.11665011543821624,1.0094769978094182,0.9880631086497894
k=0.5 skew x0.5,0.5,0.5,540,4.655703931028775,4.775842818052867,4.896381808822843,0.12033893889703418,0.1205389907699761,0.12013888702409226,4.666872541827879,4.7889961275947,4.909901394571213,0.12151442637166676,0.1209052669765125,0.12212358576682103,1.0033303433700331,0.9900238861915277
k=0.5 skew x0.5,0.5,0.5,600,4.732195617225343,4.858037073391914,4.982963071292304,0.12538372703348077,0.12492599790039005,0.1258414561665715,4.746016227291908,4.871079037028247,4.995002333180317,0.12449305294420432,0.12392329615206954,0.1250628097363391,0.99272530456919,0.9908884696683857
k=0.35 NEST skew,0.35,1.0,300,4.392958513883956,4.454648352030322,4.529165056252027,0.06810327118403547,0.07451670422170498,0.06168983814636597,4.375949924151315,4.464545504965075,4.5525245769789615,0.08828732641382331,0.08797907201388622,0.0885955808137604,1.2079251050214437,0.9930413143160022
k=0.35 NEST skew,0.35,1.0,350,4.452796388258742,4.519018393536321,4.5974223286358695,0.07231297018856386,0.07840393509954868,0.06622200527757904,4.438795261585473,4.5306420406722765,4.6223319500455515,0.09176834423003921,0.09168990937327504,0.09184677908680339,1.1839559187449449,0.9982920499217496
