variant,S1c_lo,S1c_hi,N_ER_in_bin,frac_below_NR_median,N_below_NR_median,frac_below_event_depth(-1.5sig_LZ),N_below_event_depth(-1.5sig_LZ),frac_in_ROI(<4.15),N_in_ROI(<4.15),frac_NR_pm1hw,N_NR_pm1hw,frac_event_region_V(3.90-4.00),N_event_region_V(3.90-4.00),frac_gap_G(-1hw..ROI_top),N_gap_G(-1hw..ROI_top),frac_tail_+1..+5hw,N_tail_+1..+5hw
alpha1 x0.5,500,550,856.1796761618905,8.31307853981059e-16,7.117488892123393e-13,6.716668006185744e-17,5.750674638423041e-14,2.353669805227668e-12,2.0151642516318446e-09,3.4557964024229836e-15,2.9587826447079367e-12,3.97585085680755e-16,3.4040426990494627e-13,2.3534690916032803e-12,2.014992404705915e-09,2.1385520145177253e-12,1.8309847712451448e-09
alpha1 x0.5,550,600,907.3621354513659,3.173637169604674e-15,2.8796381993603254e-12,3.5889189554311747e-16,3.256449167361916e-13,1.6905152266906152e-12,1.5339095061030465e-09,9.583560834023296e-15,8.69576022358745e-12,1.004696311034673e-15,9.116233902605306e-13,1.6895651102353057e-12,1.5330474064072296e-09,1.6799815494012824e-12,1.524351646183642e-09
alpha1 x0.5,500,600,1763.5418116132566,2.036462682609905e-15,3.5913870885726647e-12,2.1726259088233454e-16,3.8315166312042205e-13,2.0124693014725077e-12,3.549073757734891e-09,6.608600256340971e-15,1.1654542868295389e-11,7.099506526698929e-16,1.252027660165477e-12,2.01188301164658e-12,3.5480398111131443e-09,1.9026123425785887e-12,3.3553364174287863e-09
alpha1 x0.5,480,600,2091.7573297498457,1.7419164206051438e-15,3.643666440612425e-12,1.8475953885929971e-16,3.864721196501416e-13,2.0921385525851838e-12,4.376246152222291e-09,5.702176669528672e-15,1.1927569844015163e-11,6.181125837921285e-16,1.2929415277578004e-12,2.091639317721237e-12,4.375201874036364e-09,1.8175979815872466e-12,3.801973900523648e-09
alpha1 x1.5,300,350,704.6625066035269,1.82643182698045e-23,1.287018029340503e-20,1.3371756975358296e-25,9.422575787949171e-23,1.1159019751343459e-11,7.863342829219947e-09,5.481714742871383e-22,3.862758851197257e-19,2.1597495199723835e-21,1.5218945103795038e-18,1.1159019751342498e-11,7.863342829219269e-09,4.856086135049962e-15,3.4219018282069397e-12
alpha1 x1.5,350,400,728.2765335039496,2.000072589863239e-20,1.4566059325018663e-17,3.0807852997959453e-22,2.2436636386053173e-19,1.828120879213378e-12,1.3313775367397115e-09,2.796265342106348e-19,2.036454430106447e-16,1.7514900822476404e-19,1.2755691255658591e-16,1.828120877403334e-12,1.3313775354214989e-09,3.407991496534622e-14,2.4819602333071722e-11
alpha1 x1.5,400,450,762.4640572219474,2.77309689770411e-18,2.1143867116930716e-15,8.259336685481244e-20,6.297447359174102e-17,1.866673159361893e-12,1.4232711905943796e-09,2.4061619710686888e-17,1.8346120187941908e-14,5.682538204885586e-18,4.332731135015787e-15,1.866672782775685e-12,1.4232709034609316e-09,3.1548763807614483e-13,2.405479845309068e-10
alpha1 x1.5,450,500,806.1960457070244,7.639977767286554e-17,6.159319865276e-14,4.541209625604078e-18,3.661105242888684e-15,2.1991754656310658e-12,1.7729665642076692e-09,4.186930352067768e-16,3.3754866934877537e-13,6.650729170880237e-17,5.3617915586320034e-14,2.1991609320840893e-12,1.7729548473195666e-09,9.839837829548075e-13,7.932838348580046e-10
alpha1 x1.5,500,550,856.1787747854568,7.436313265411493e-16,6.366813580500851e-13,5.975779299393295e-17,5.1163353989428464e-14,2.1443600250223407e-12,1.8359555389225393e-09,3.1024628670040366e-15,2.6562628562888917e-12,3.545287491359594e-16,3.0353999006144633e-13,2.1441810025800034e-12,1.8358022637071997e-09,1.9497187202139774e-12,1.6693077850490721e-09
alpha1 x1.5,550,600,907.3611236569293,2.9252691780640983e-15,2.654275528407222e-12,3.295772395380479e-16,2.990455743989921e-13,1.5784348873784034e-12,1.4322104530309667e-09,8.860801994213065e-15,8.039947253970726e-12,9.23391642874498e-16,8.378496786540224e-13,1.5775608656981526e-12,1.4314173997370738e-09,1.5687000637039394e-12,1.423377452483103e-09
alpha1 x1.5,500,600,1763.5398984423862,1.866108552102498e-15,3.290956886457307e-12,1.9858293464056926e-16,3.502089283884205e-13,1.853185173094214e-12,3.268165991953506e-09,6.065193149135354e-15,1.0696210110259619e-11,6.472151096346502e-16,1.1413896687154687e-12,1.8526485657228307e-12,3.2672196634442733e-09,1.7536803336651085e-12,3.092685237532175e-09
alpha1 x1.5,480,600,2091.7550518093003,1.594858316193948e-15,3.336052939818765e-12,1.6878435320416427e-16,3.530555234811759e-13,1.914033504064958e-12,4.003689251460133e-09,5.22661992485697e-15,1.0932808631706712e-11,5.625175946856323e-16,1.1766490204152877e-12,1.9135768506216947e-12,4.002734044313261e-09,1.6679928354033573e-12,3.4890324398366914e-09
alpha2 x0.5,300,350,704.1367547509208,5.1056381029174316e-26,3.595067444720928e-23,2.064582176277914e-28,1.453748193520924e-25,1.7230295038916726e-12,1.2132484032103713e-09,2.360345046777513e-24,1.6620057013303285e-21,1.1290914604767368e-23,7.95034796797067e-21,1.7230295038916704e-12,1.2132484032103699e-09,2.3187730636845143e-16,1.632733340066664e-13
alpha2 x0.5,350,400,727.4889476841415,6.515635728326757e-23,4.740052979493627e-20,5.80345650023463e-25,4.2219504622863813e-22,8.439964731950314e-14,6.139981061337801e-11,1.302404133590781e-21,9.474846126054334e-19,7.624704424788577e-22,5.546888198392059e-19,8.439964731519622e-14,6.139981061024478e-11,8.193608140748079e-16,5.960759364049035e-13
alpha2 x0.5,400,450,761.3003959503419,9.978130029116109e-21,7.596354342010091e-18,1.78331890481907e-22,1.357641388344488e-19,5.172552194922668e-14,3.937866034068437e-11,1.2021236470680137e-19,9.15177208494148e-17,2.2744020138025162e-20,1.7315031536581104e-17,5.1725520935265483e-14,3.937865956875531e-11,6.481975588491294e-15,4.9347305820588724e-12
alpha2 x0.5,450,500,804.5805174525988,2.8295575218556773e-19,2.276606855096534e-16,1.0774490394664008e-20,8.668945057026822e-18,4.420185068703989e-14,3.556394789814106e-11,2.075529267265528e-18,1.6699304118445116e-15,2.4198239440742255e-19,1.9469432010674286e-16,4.4201809297858946e-14,3.556391459721244e-11,1.7056367197869914e-14,1.3723220745923709e-11
alpha2 x0.5,500,550,854.0319046195806,2.715027893406267e-18,2.3187204429010418e-15,1.4149403066593876e-19,1.2084041650193302e-16,3.2093561424281544e-14,2.7408925389204668e-11,1.4981059120887632e-17,1.2794302454230204e-14,1.1509375799598923e-18,9.829374135113976e-16,3.20930499476188e-14,2.7408488571816214e-11,2.848568823793426e-14,2.4327686580242575e-11
alpha2 x0.5,550,600,904.7556676798876,9.777690431298054e-18,8.846420834536318e-15,7.341707666909538e-19,6.642451622085289e-16,1.7438661703234942e-14,1.5777728012754016e-11,3.831109944746792e-17,3.4662184360144404e-14,2.536071344769159e-18,2.2945249228204506e-15,1.7436330469739277e-14,1.5775618816036128e-11,1.7398019370291808e-14,1.5740956631675982e-11
alpha2 x0.5,500,600,1758.787572299468,6.348203417675888e-18,1.116514127743736e-14,4.463788527252486e-19,7.850855787104619e-16,2.455478653712326e-14,4.318665340195868e-11,2.6982500650905338e-17,4.745648681437461e-14,1.863478220992226e-18,3.2774623363318482e-15,2.4553338940980073e-14,4.3184107387852335e-11,2.2781968580510353e-14,4.006864321191856e-11
alpha2 x0.5,480,600,2086.2991132941893,5.4317231177862e-18,1.1332199124296898e-14,3.7955661790138717e-19,7.918686353726055e-16,2.713528683299048e-14,5.661232485865153e-11,2.3307630215278408e-17,4.8626688251124195e-14,1.6313198982158281e-18,3.4034212571468496e-15,2.7134054331357877e-14,5.660975349158829e-11,2.2328301288863857e-14,4.658351518032217e-11
alpha2 x1.5,300,350,704.688791353552,2.439619482282173e-23,1.7191725043320026e-20,1.7948276543207535e-25,1.2647949304112226e-22,1.4093521523706362e-11,9.931546648455906e-09,7.28981019133502e-22,5.137047532928681e-19,2.88385436741899e-21,2.0322198486161503e-18,1.4093521523705076e-11,9.931546648455e-09,6.3633982619890035e-15,4.484215430142324e-12
alpha2 x1.5,350,400,728.3253706025669,2.5163565638674014e-20,1.8327263269469268e-17,3.930786098321065e-22,2.862891241819108e-19,2.160238625925831e-12,1.5733565978174107e-09,3.4852096850333155e-19,2.538366635479545e-16,2.192462887002438e-19,1.5968263447084242e-16,2.160238623631142e-12,1.5733565961461304e-09,4.0795713909530474e-14,2.9712553452155076e-11
alpha2 x1.5,400,450,762.5517223114971,3.399558834265767e-18,2.592339444168626e-15,1.0286020328664885e-19,7.84362251735448e-17,2.1510345931019315e-12,1.6402751337214883e-09,2.919071391679141e-17,2.2259429172751473e-14,6.949371922234757e-18,5.299255528283274e-15,2.151034127357575e-12,1.6402747785673269e-09,3.662713358905214e-13,2.7930083801664994e-10
alpha2 x1.5,450,500,806.3460216994835,9.270370966267524e-17,7.475126748328214e-14,5.592327218280094e-18,4.509350804501892e-15,2.524953761905136e-12,2.0359864208873513e-09,5.030941373991434e-16,4.056679562321326e-13,8.076768025866857e-17,6.51266976584733e-14,2.524935972506735e-12,2.035972076476722e-09,1.1347859362190716e-12,9.15030125150772e-10
alpha2 x1.5,500,550,856.4239515966359,9.029780590501861e-16,7.733320375368208e-13,7.367457180535843e-17,6.309666791773517e-14,2.479635355086272e-12,2.1236191093217124e-09,3.729749230607047e-15,3.1942465745409997e-12,4.32186579691662e-16,3.701349384065675e-13,2.4794160913320633e-12,2.123431326590891e-09,2.2563218262499475e-12,1.9323680545107183e-09
alpha2 x1.5,550,600,907.723693950598,3.587945060051025e-15,3.256862743601316e-12,4.1038977742188753e-16,3.7252052472095944e-13,1.8534656327151157e-12,1.6824346707386471e-09,1.0763108350286502e-14,9.76992847011259e-12,1.1403192762050506e-15,1.0350948256799206e-12,1.8523845493128165e-12,1.6814533457192434e-09,1.84162144096253e-12,1.6716834172491307e-09
alpha2 x1.5,500,600,1764.1476455472339,2.2844997080094054e-15,4.030194781138136e-12,2.4692785421798827e-16,4.356171926386946e-13,2.15744628272297e-12,3.80605378006036e-09,7.348690500693401e-15,1.296417504465359e-11,7.965488419483106e-16,1.4052297640864881e-12,2.1567835786952336e-12,3.804884672310134e-09,2.042942086427172e-12,3.604051471759849e-09
alpha2 x1.5,480,600,2092.432105195737,1.95221834809915e-15,4.084884347914849e-12,2.0986155471166706e-16,4.391210547249839e-13,2.222989301528908e-12,4.651454184025735e-09,6.331525009779798e-15,1.3248286205313003e-11,6.920375585023549e-16,1.4480416054116006e-12,2.222425378837451e-12,4.650274214081281e-09,1.9408983586465506e-12,4.061198038553753e-09
"alpha1,alpha2 both x0.5",300,350,704.1364722207915,7.394506608901281e-26,5.2067417974050757e-23,2.9333956594378e-28,2.0655108712643148e-25,2.4580884307393656e-12,1.7308297160275583e-09,3.4534224435662086e-24,2.4316806965008153e-21,1.6866210176164325e-23,1.1876113733178763e-20,2.4580884307393628e-12,1.7308297160275564e-09,3.6037763213186424e-16,2.5375503455661303e-13
"alpha1,alpha2 both x0.5",350,400,727.4896283488149,8.298551480272673e-23,6.037110132217074e-20,7.399452111381355e-25,5.383024666493676e-22,1.0628268728844144e-13,7.731955267538157e-11,1.655793919762437e-21,1.2045729033102027e-18,9.764066066911506e-22,7.103256794190727e-19,1.062826872829585e-13,7.73195526713928e-11,1.0334485696930508e-15,7.518231158836118e-13
"alpha1,alpha2 both x0.5",400,450,761.3011069067713,1.1867431908040721e-20,9.03468904773214e-18,2.1303807370197073e-22,1.6218612132259665e-19,6.001712493999463e-14,4.56911036501799e-11,1.4233921513348925e-19,1.0836300203736642e-16,2.710957812960072e-20,2.063855183784063e-17,6.001712373149696e-14,4.569110273014929e-11,7.518254498134476e-15,5.723655471436589e-12
"alpha1,alpha2 both x0.5",450,500,804.5808829711729,3.2036027383559253e-19,2.5775575199152777e-16,1.2242255251501008e-20,9.849884539811159e-18,4.9126811764917577e-14,3.9526493587375986e-11,2.3434676843017304e-18,1.885509298649896e-15,2.746876279099267e-19,2.2100841420502582e-16,4.9126764798585664e-14,3.952645579916319e-11,1.896092401041195e-14,1.525559698224656e-11
"alpha1,alpha2 both x0.5",500,550,854.032182805397,2.976438069793909e-18,2.5419739017311744e-15,1.5579859808129866e-19,1.3305701679739224e-16,3.466783022028584e-14,2.9607442716157625e-11,1.6377841783471243e-17,1.3987203967979382e-14,1.2651574438637978e-18,1.0804851733754958e-15,3.4667268182113e-14,2.960696271747005e-11,3.075172634759967e-14,2.6262963977674783e-11
"alpha1,alpha2 both x0.5",550,600,904.7561007193822,1.0480233058915023e-17,9.48205479701432e-15,7.893101841073637e-19,7.14133204431076e-16,1.849171768921843e-14,1.6730494392100888e-11,4.096451885008492e-17,3.7062898342648466e-14,2.7251552638758113e-18,2.465600850399178e-15,1.8489214916110352e-14,1.6728229992862642e-11,1.8448250397260266e-14,1.669116709451999e-11
"alpha1,alpha2 both x0.5",500,600,1758.788283524779,6.836541277525567e-18,1.2024028698745493e-14,4.81689711697771e-19,8.471902212284684e-16,2.6346512279120303e-14,4.633793710825851e-11,2.902572344200439e-17,5.105010231062784e-14,2.016209714945326e-18,3.546086023774674e-15,2.6344951887826178e-14,4.6335192710332693e-11,2.4422570626926517e-14,4.295413107219477e-11
"alpha1,alpha2 both x0.5",480,600,2086.2999297034007,5.8534893562492925e-18,1.2212134432462503e-14,4.097512840810355e-19,8.548640751741425e-16,2.928546852047689e-14,6.10982709156021e-11,2.50985971751856e-17,5.236320152224369e-14,1.7677342944079702e-18,3.68802393415764e-15,2.928413936003656e-14,6.109549788826886e-11,2.4027334202991793e-14,5.0128225658661894e-11
alpha2 sign flipped,300,350,702.0143498060557,9.070065925556292e-85,6.367316433427462e-82,8.18060710567638e-104,5.742903578310203e-101,5.141761527773671e-28,3.609590375777826e-25,6.294432497430606e-74,4.418781937081855e-71,2.3717797194513437e-67,1.6650233976338247e-64,5.141761527773671e-28,3.609590375777826e-25,1.3945877024282076e-38,9.790205791676594e-36
alpha2 sign flipped,350,400,724.5319714672445,9.06275422432175e-113,6.566255185070935e-110,5.346448062306951e-138,3.873672554930484e-135,4.959413689907269e-44,3.593253778070155e-41,2.713452774895828e-98,1.9659832884785393e-95,5.520477158403106e-96,3.999762199017694e-93,4.959413689907269e-44,3.593253778070155e-41,3.571226192884656e-55,2.587467554086182e-52
alpha2 sign flipped,400,450,757.2465640009773,1.6228394983052224e-143,1.2288896340166995e-140,5.393784400313678e-171,4.084424704099604e-168,9.438913464215594e-63,7.147584788679819e-60,1.6320277295887283e-126,1.2358473905853805e-123,4.482103900392931e-132,3.3940577780679255e-129,9.438913464215594e-63,7.147584788679819e-60,2.826447199982193e-72,2.1403174305166987e-69
alpha2 sign flipped,450,500,799.4026389840868,5.508419634494092e-165,4.403445192446336e-162,3.570903105761069e-196,2.85458936630187e-193,2.5180341049790716e-86,2.0129231085722028e-83,6.774849833774624e-150,5.415832835840336e-147,3.9739354787021474e-162,3.176774508826987e-159,2.5180341049790716e-86,2.0129231085722028e-83,2.948755519992011e-93,2.3572429444005066e-90
alpha2 sign flipped,500,550,847.8294276006197,3.3387402018479795e-191,2.8306821942399504e-188,4.379535375349311e-223,3.713098970439072e-220,7.9532109882777935e-112,6.742966319778522e-109,1.7693302660580447e-173,1.5000902667084444e-170,3.7613224376787704e-196,3.1889598493585596e-193,7.9532109882777935e-112,6.742966319778522e-109,6.081156493573264e-114,5.155783429096012e-111
alpha2 sign flipped,550,600,897.6443808275525,2.6424677486738497e-213,2.3719963261151145e-210,4.0503802966596945e-244,3.6358011135112104e-241,1.1827370666846584e-135,1.0616772819059459e-132,8.943894065762312e-200,8.028436250848431e-197,5.543352214727939e-225,4.975958966498502e-222,1.1827370666846584e-135,1.0616772819059459e-132,1.1827370666846584e-135,1.0616772819059459e-132
alpha2 sign flipped,500,600,1745.4738084281723,1.6217271096087233e-191,2.8306821942399504e-188,2.1272728083973823e-223,3.713098970439072e-220,3.863115153730478e-112,6.742966319778522e-109,8.5941723070557e-174,1.5000902667084444e-170,1.8269880842441687e-196,3.1889598493585596e-193,3.863115153730478e-112,6.742966319778522e-109,2.9538016578655394e-114,5.155783429096012e-111
alpha2 sign flipped,480,600,2070.7929403596854,1.4587785557225069e-182,3.0208283347382652e-179,4.630836334600369e-214,9.589503189651565e-211,1.2336750781140069e-101,2.5546856424561687e-98,4.010925197046556e-165,8.305795582354787e-162,3.4782435752206255e-184,7.202722240418302e-181,1.2336750781140069e-101,2.5546856424561687e-98,8.143972214358736e-106,1.6864480167979504e-102
"Gaussian, k=0.75",300,350,708.179057320294,1.4063191886350817e-05,0.009959257972990328,4.9514920707014815e-06,0.003506542986958285,0.0013435265656008436,0.9514573767119775,2.0285833962413737e-05,0.014366002772458164,3.6051837882390055e-05,0.02553115656621505,0.0013361042742119707,0.9462010653930489,0.0004082663631371662,0.28912568818206313
"Gaussian, k=0.75",350,400,733.307563627782,1.804330958460508e-05,0.013231295391268556,7.223644374442336e-06,0.005297153056735842,0.0006629839966785676,0.4861711793285699,2.0954665253034446e-05,0.01536621452333843,2.642342353823375e-05,0.019376496337527176,0.0006524812603867225,0.47846944336697184,0.00028518180721599735,0.2091259762405308
"Gaussian, k=0.75",400,450,769.5819827705573,1.9583110784641886e-05,0.015070809226460187,8.777006770193524e-06,0.006754626272996138,0.0003589627916229334,0.27625129691803146,1.9365321499322036e-05,0.014903202516437553,1.9534994073879388e-05,0.015033779472787187,0.0003466848855192604,0.26680244159449606,0.00021111096715757002,0.16246719668973272
"Gaussian, k=0.75",450,500,815.7510466898424,1.795739780638228e-05,0.014648766056382224,8.958246442171613e-06,0.00730769891170705,0.00019754175650971804,0.16114489463775247,1.5155521908585586e-05,0.01236313286005953,1.3655161097788117e-05,0.011139211958239073,0.00018553399050490706,0.1513495469509212,0.00013588937569333117,0.11085190045586413
"Gaussian, k=0.75",500,550,867.2612587169045,1.4434717687210133e-05,0.012518671430633024,7.587469933217341e-06,0.006580318724758739,0.00010636640641598961,0.09224746351352497,1.101293913196762e-05,0.009551095453762893,8.824802481689815e-06,0.007653409308198372,9.635146492280503e-05,0.08356189274816957,8.242015729943814e-05,0.07147980936315598
"Gaussian, k=0.75",550,600,915.9535114853563,1.0355020312255989e-05,0.009484717216513063,5.677547971767102e-06,0.00520037000136664,5.539387033694481e-05,0.05073821004988912,6.83724003983425e-06,0.006262594023354459,5.283829421058244e-06,0.004839742112307936,4.796467619681654e-05,0.0439334135897322,4.112743615698229e-05,0.03767081956637774
"Gaussian, k=0.75",500,600,1783.2147702022608,1.23391691314055e-05,0.02200338864714609,6.606432900277714e-06,0.011780688726125378,8.018421333914589e-05,0.14298567356341407,8.868079011774722e-06,0.01581368947711735,7.005971254426788e-06,0.01249315142050631,7.149744857902935e-05,0.12749530633790176,6.121002963493474e-05,0.10915062892953374
"Gaussian, k=0.75",480,600,2115.5406553955927,1.3086465155699282e-05,0.02768494907229965,6.948077354376347e-06,0.014698940120016614,9.320225135502433e-05,0.19717315191595294,9.665236084848807e-06,0.020447199881494175,7.800406541101828e-06,0.016502077166314633,8.406106087696876e-05,0.17783459182091133,6.976663799295072e-05,0.14759415906435402
"mirrored skew, k=0.35",300,350,703.3090016692637,8.185043640359038e-10,5.75661487132027e-07,1.1761014162741773e-10,8.271627129415988e-08,4.797797469729761e-06,0.0033743341486469577,2.678406886897357e-09,1.8837476736878605e-06,6.169343479327558e-09,4.3389548034006465e-06,4.797549531466905e-06,0.0033741597714348334,5.340382404376206e-07,0.0003755939017353932
"mirrored skew, k=0.35",350,400,726.3470129508133,5.229045495273736e-10,3.7981015760759844e-07,8.819848697944327e-11,6.406270756429983e-08,6.923581931408334e-07,0.0005028923054798667,1.3788976758864782e-09,1.001558208044962e-06,1.5644062315073796e-09,1.1363017932970236e-06,6.921766796555502e-07,0.0005027604637020209,1.5031508008391175e-07,0.00010918090942041158
"mirrored skew, k=0.35",400,450,759.7792417659417,2.545395958354451e-10,1.9339390112326376e-07,5.002710639079424e-11,3.800955696134175e-08,1.1050875152629877e-07,8.396225544315214e-05,5.837723606878124e-10,4.4353812156729997e-07,4.009028254613103e-10,3.0459764475081804e-07,1.1041073587776026e-07,8.388778518802435e-05,4.62548660644097e-08,3.514348706640239e-05
"mirrored skew, k=0.35",450,500,802.7964817196628,8.834344963549532e-11,7.092181055035386e-08,2.0098311804695114e-11,1.6134854005314005e-08,1.6521519560090864e-08,1.3263417775503535e-05,1.7681989913557244e-10,1.419503929240632e-07,8.761571034744703e-11,7.033758401029953e-08,1.648398546559741e-08,1.3233285536499657e-05,1.0324370108359579e-08,8.288367998962723e-06
"mirrored skew, k=0.35",500,550,852.0752401221617,2.2893487590655223e-11,1.950697393604128e-08,5.610205034674252e-12,4.7803168020546245e-09,2.1582454242771743e-09,1.8389874881335303e-06,4.2768498929783304e-11,3.644197899525953e-08,1.550266909493961e-11,1.3209440491605085e-08,2.1480445754477456e-09,1.8302955974177449e-06,1.9220380584490684e-09,1.6377210401769235e-06
"mirrored skew, k=0.35",550,600,902.3596888211661,4.3786656067503825e-12,3.951131334359218e-09,1.1051056097482333e-12,9.972027541269406e-10,2.3125900835578613e-10,2.086788068170186e-07,7.1010375234492056e-12,6.407690009967049e-09,2.11728110601333e-12,1.9105491199691226e-09,2.2922585544829876e-10,2.0684417159209245e-07,2.2212481792484961e-10,2.0043648158212544e-07
"mirrored skew, k=0.35",500,600,1754.4349289433276,1.3370746833300336e-11,2.34581052704005e-08,3.29309423841743e-12,5.777519556181565e-09,1.1671372139084294e-09,2.0476662949505487e-06,2.4423629681742795e-11,4.284966900522657e-08,8.618153550260637e-12,1.5119989611574205e-08,1.1611372615778795e-09,2.037139769009837e-06,1.047720546048491e-09,1.8381575217590489e-06
"mirrored skew, k=0.35",480,600,2081.22121790726,2.0368292368093433e-11,4.2390922249014565e-08,4.965185153371709e-12,1.0333648692035313e-08,2.2508488332683592e-09,4.6845143500999105e-06,3.827608967455402e-11,7.966100996920282e-08,1.49557653311631e-11,3.112625613725844e-08,2.2418473987042415e-09,4.665780373493465e-06,1.7784786641858402e-09,3.701407531498931e-06
