S1c,log10S2c,resid_dex,z_halfwidths,blob_px,n_est
751.5520550665167,4.785478097030142,-0.08549111178392366,-0.6873943233447092,29.0,1.0
395.2298543154715,4.769951087325027,0.18026336592070624,1.7674929030442315,122.0,5.0
348.0166346769034,4.781619330962918,0.2541730110011171,2.762355971505549,24.0,1.0
630.3262955854127,4.78422175458965,-0.08674745422441532,-0.6974959893980615,1.0,1.0
731.3408280778723,4.77715803331709,-0.09381117549697482,-0.7542920913919033,28.0,1.0
380.80614203454894,4.781619330962918,0.20986560615463823,2.1143596250721015,1.0,1.0
454.12667946257204,4.781619330962918,0.1155284840398707,1.0463004881700162,2.0,1.0
604.5128973362671,4.769527582160661,-0.10144162665340417,-0.815645005163168,82.0,3.0
773.2621213385629,4.776414483709453,-0.09455472510461238,-0.7602706284438845,23.0,1.0
381.573896353167,4.779016907336185,0.206334785874839,2.076881020285426,1.0,1.0
383.8771593090211,4.779016907336185,0.20354959591563748,2.0432256656972503,1.0,1.0
642.0752631885069,4.771603943066099,-0.09936526574796645,-0.7989499514923234,33.0,1.0
711.6775431861805,4.772250605906681,-0.09871860290738432,-0.7937504359349915,25.0,1.0
725.5278310940499,4.772510848269354,-0.09845836054471135,-0.7916579479667994,26.0,1.0
382.34165067178503,4.776414483709453,0.20280396559503888,2.0394710866407304,1.0,1.0
616.5067178502878,4.774787968942745,-0.09618123987132066,-0.773348678245102,8.0,1.0
765.88500375532,4.771662231869333,-0.09930697694473256,-0.7984812782978655,23.0,1.0
357.00575815738966,4.766763829426987,0.22800703326810723,2.408866331511888,24.0,1.0
385.83919812326724,4.768607212829256,0.19076733218420383,1.9104529764989258,9.0,1.0
623.7649169657014,4.738170171281819,-0.1327990375322461,-1.0677753820306835,368.0,15.0
632.5420928593988,4.759976390168447,-0.11099281864561839,-0.8924417039032363,79.0,3.0
372.0537428023033,4.764547431971553,0.20562420190076747,2.1310947932526663,25.0,1.0
758.7422496005466,4.7556768462231345,-0.11529236259093079,-0.9270123398361126,191.0,8.0
420.531236455947,4.755679043844842,0.13402573618733804,1.2868865934514788,62.0,2.0
344.0145469239317,4.757992063825478,0.2365349683218687,2.5561795321566927,38.0,2.0
380.7672683981632,4.751971466860902,0.180264749478094,1.8162205252638646,79.0,3.0
389.84370715656706,4.754331060362609,0.17164878066679723,1.710847648693828,35.0,1.0
601.5855058831504,4.722286370219225,-0.14868283859484066,-1.195489649113327,453.0,18.0
362.4847321584366,4.752992671068861,0.20730685773458735,2.1624124204204334,22.0,1.0
441.6419473041354,4.744091199345605,0.09361283590428471,0.8584637579764314,88.0,4.0
738.3339731285989,4.751014829112544,-0.11995437970152167,-0.9644974541396407,25.0,1.0
787.0149378285906,4.75242692680218,-0.11854228201188555,-0.9531434324687402,23.0,1.0
798.3109404990403,4.7545541252449,-0.11641508356916486,-0.9360396177721945,5.0,1.0
526.295585412668,4.755595094695593,-0.011973703183217665,-0.10089968428048303,2.0,1.0
611.3883557261677,4.752703512888113,-0.11826569592595249,-0.9509195322126872,9.0,1.0
743.9539347408829,4.749089035628762,-0.12188017318530342,-0.9799818651042755,26.0,1.0
435.31669865642993,4.752992671068861,0.11043404730468964,1.0289951873828398,1.0,1.0
519.8656429942419,4.7489263841520915,-0.010267513731835543,-0.08736227008319418,16.0,1.0
606.5259117082533,4.752992671068861,-0.11797653774520445,-0.9485945455813605,1.0,1.0
700.519178125295,4.743009603385985,-0.12795960542807983,-1.0288637561645475,61.0,2.0
330.76858883418174,4.745185400188663,0.24116515623877444,2.6309399778104807,23.0,1.0
399.3857965451056,4.749349277991435,0.15424481705935644,1.4932981882936764,5.0,1.0
525.5643908235079,4.7404762526736235,-0.026143629878876418,-0.22055323117297207,42.0,2.0
666.5569874782926,4.741529614617777,-0.12943959419628825,-1.040763658466107,42.0,2.0
771.2859884836852,4.745081303243594,-0.12588790557047158,-1.0122061798144673,25.0,1.0
352.81509916826616,4.740739593159662,0.20697295210523858,2.2274455591015303,24.0,1.0
361.6000974926119,4.684747898053026,0.14025959700118307,1.4629151301161762,756.0,30.0
729.1008415768493,4.741682137614216,-0.12928707119984928,-1.0395372918913377,26.0,1.0
746.11172845742,4.734036069493083,-0.13693313932098228,-1.1010157744224554,95.0,4.0
400.7677543186181,4.745185400188663,0.14831663618872426,1.4345519345836542,1.0,1.0
515.7115437345764,4.743698300973388,-0.0091654002052719,-0.07794602989078356,7.0,1.0
397.0175697622915,4.735176078547385,0.1431582985450106,1.3960023313070296,26.0,1.0
711.438117580152,4.730775684181386,-0.14019352463267953,-1.1272310184216403,54.0,2.0
493.8631828412925,4.660697762920155,-0.06273215141369626,-0.5487620837745244,3127.0,125.0
413.6154911440998,4.728088465223168,0.11514924996522691,1.1190391394188084,79.0,3.0
434.54894433781186,4.737378129308466,0.09577681375273084,0.8943181913635957,1.0,1.0
580.0445297504798,4.698383413685507,-0.1440341647442942,-1.166707027899206,250.0,10.0
682.2696737044146,4.7307907445033,-0.14017846431076553,-1.127109925367925,32.0,1.0
339.21416221189384,4.709375190779493,0.19489887448135246,2.0970604319836204,121.0,5.0
789.8304018124036,4.727011097483942,-0.14395811133012337,-1.1575003115863192,61.0,2.0
798.0806142034548,4.729570858428269,-0.1413983503857965,-1.1369184627188365,10.0,1.0
330.2303262955854,4.725558788670389,0.22220494258293222,2.4262468181439254,24.0,1.0
762.5135608779103,4.724366011174803,-0.1466031976392621,-1.1787682220827256,23.0,1.0
356.4788679387303,4.715793321580861,0.17766393603233066,1.881330541754907,51.0,2.0
394.0803494605864,4.709738595617652,0.12154910687412368,1.1960232416934848,145.0,6.0
