m_chi_GeV,model,mZp_GeV,feasible,gchi,gN,G_max,Omega_h2,sigv_ff_cm3s,sigv_ZZ_cm3s,Gamma_over_M,Nmax_250,Nmax_280,Nmax_300,Nmax_320,Nmax_340,Nmax_350,Nmax_360,Nmax_366,Nmax_370,Nmax_380,delta_Nmax1_keV
300.0,B-L,10000.0,False,3.5449077018110318,0.5,1.7724538509055158e-08,6.414642254927142,,,,0.0,0.0,0.0,0.0,,,,,,,
300.0,U(1)_B,100.0,True,0.33557332715057514,0.15000000000000002,5.033599907258627e-06,0.12,1.1538011416678893e-26,3.0744851849367334e-26,0.0009947147106729303,5085.664195475169,643.4974005568596,43.69307541805475,0.03419859116834475,,,,,,,313.3241170735222
300.0,U(1)_B,117.87686347935879,True,0.33689916482932997,0.15000000000000002,3.6369225326058325e-06,0.12,1.187365480994198e-26,3.03556679284192e-26,0.0009947164876283388,2654.962527290137,335.93674674925063,22.80989728740016,0.017853317590031597,,,,,,,311.63040880056667
300.0,U(1)_B,138.94954943731375,True,0.33939336001380377,0.15000000000000002,2.63681897173605e-06,0.12,1.2407826416259173e-26,2.990678195587302e-26,0.000994717407218033,1395.567747622104,176.58346744459172,11.989908201589419,0.0093845069226394,,,,,,,309.9385576375844
300.0,U(1)_B,163.78937069540646,True,0.3429305531196423,0.15000000000000002,1.9174586644693607e-06,0.12,1.3202975208621747e-26,2.898299498611859e-26,0.000994717883227131,737.9761313170976,93.37732573811627,6.340262652624771,0.004962526631106455,,,,,,,307.69212206508547
300.0,U(1)_B,193.06977288832496,True,0.3494136334844255,0.15000000000000002,1.40605572804312e-06,0.12,1.4539509021223648e-26,2.7432400963702976e-26,0.0009947181296668893,396.8216536361181,50.21049223554918,3.4092613616263607,0.0026684305093368733,,,,,,,305.50463963392923
300.0,U(1)_B,227.58459260747887,True,0.36317226279727927,0.15000000000000002,1.051763794464147e-06,0.12,1.7100101620746047e-26,2.4474239252543898e-26,0.0009947182572695454,222.03770412959136,28.094793509986225,1.9076190993533577,0.0014930943876006965,,,,,,,302.98078006917245
300.0,U(1)_B,268.26957952797244,True,0.4023929862629017,0.15000000000000002,8.386848620694816e-07,0.12,2.3775932081890142e-26,1.6843495396999884e-26,0.0009947183233460482,141.1847870406515,17.86434179819937,1.2129777568754352,0.0009493982743667828,,,,,,,300.8911026571241
300.0,U(1)_B,316.22776601683796,True,0.46468652206198263,0.15000000000000002,6.970297830929739e-07,0.12,3.823257402008463e-26,0.0,0.0009947183575646289,97.5198366528851,12.339344277723754,0.8378338431039045,0.0006557729524224269,,,,,,,298.9716901308472
300.0,U(1)_B,372.7593720314938,True,0.39764779941897566,0.15000000000000002,4.292721362134094e-07,0.12,3.755298242124441e-26,0.0,0.0011016453885994931,36.98756094983908,4.6800965241347425,0.31777565879184405,0.0002487231611483924,,,,,,,292.99380776403814
300.0,U(1)_B,439.397056076079,True,0.3043699725810994,0.15000000000000002,2.3647148491531549e-07,0.12,3.622345421873362e-26,0.0,0.0011556846039010855,11.224005003806582,1.4201916929971203,0.0964301373968566,7.54759149725522e-05,,,,,,,283.4179086443321
300.0,U(1)_B,517.9474679231213,True,0.0870821739920219,0.30000000000000004,9.73820894772101e-08,0.12,3.274682101891569e-26,0.0,0.004703723676283181,1.9034806752890052,0.24085052010482685,0.01635360132039578,1.2799971627889071e-05,,,,,,,261.1427541242433
300.0,U(1)_B,610.5402296585327,True,0.004089415225686479,0.30000000000000004,3.291197109330605e-09,0.12,3.7162788621508274e-26,0.0,0.004740190648034684,0.002174192936197826,0.00027510418481762656,1.8679403964425067e-05,1.462037847726699e-08,,,,,,,
300.0,U(1)_B,719.6856730011522,True,0.12064784393077786,0.30000000000000004,6.988035548154407e-08,0.12,1.6860384722906616e-25,0.0,0.005044729111865655,0.9801679682953882,0.12402225460901652,0.008421034365421855,6.591147652624195e-06,,,,,,,249.63506461639895
300.0,U(1)_B,848.3428982440716,True,0.2978699386703374,0.30000000000000004,1.2416668130749113e-07,0.12,4.9920528229914154e-26,0.0,0.006845932968928509,3.0945709316548284,0.39156111646743186,0.02658675758096945,2.0809467960402596e-05,,,,,,,268.51382160558734
300.0,U(1)_B,1000.0,True,0.5392507026071461,0.30000000000000004,1.6177521078214384e-07,0.12,4.632962117556024e-26,0.0,0.012051744283775019,5.253082763947208,0.6646811455852002,0.045131438600810675,3.532439872407343e-05,,,,,,,275.4157668634758
300.0,U(1)_B,1178.7686347935867,True,0.8737238834096331,0.30000000000000004,1.8864196831465277e-07,0.12,4.50694227007381e-26,0.0,0.024460485575571154,7.1427743949462394,0.9037869153849133,0.06136657245482502,4.803164580898253e-05,,,,,,,278.86460744021616
300.0,U(1)_B,1389.4954943731375,True,1.338358966779703,0.30000000000000004,2.0795989140472557e-07,0.12,4.4420598900072135e-26,0.0,0.051624070773874896,8.680594284610946,1.098369778800144,0.07457862850805146,5.8372728443574086e-05,,,,,,,280.9141954603978
