k,E_tyr,Pge1_200-270 keV,Pge1_55-270 keV,Pge1_55-420 keV (1000 phd),Pge1_P038,Pge1_flat,Pge1_plugin
15.06077121706402,42.77259025646181,0.7800821381057734,0.9365443310360594,0.9522050530304147,0.7142787206376647,0.9293272981195299,0.9278039164177855
15.552770747085301,44.169868921722255,0.7848258040061568,0.938457505684546,0.9536824775526468,0.7201299117830764,0.9318319525506968,0.9310412015672604
16.06084273010734,45.61279335350484,0.7894976129395016,0.9403200236509373,0.9551202103641886,0.7259070989905828,0.9342605192474588,0.9341488716896582
16.58551221489478,47.10285469030117,0.7940975174975032,0.9421330087118597,0.9565191711359402,0.7316094892462277,0.9366145824828237,0.9371300699021823
17.12732140230512,48.64159278254654,0.7986255225389404,0.9438975699346746,0.9578802644553279,0.7372363698815793,0.9388957357992116,0.9399880600876935
17.686830205606665,50.230597783922924,0.8030816836641509,0.9456148013161102,0.9592043797380235,0.7427871072644285,0.9411055790580339,0.9427262089135501
18.264616829100774,51.871511794646196,0.8074661056499286,0.9472857814664932,0.9604923911627268,0.748261145368935,0.9432457156094755,0.9453479678590772
18.861278365646452,53.56603055843592,0.811778940849968,0.9489115733354233,0.9617451576268705,0.7536580042337265,0.9453177495865498,0.9478568554561457
19.47743141370448,55.31590521492072,0.816020387565763,0.9504932239749905,0.9629635227212642,0.7589772783164003,0.9473232833267717,0.9502564399342278
20.113712714539005,57.12294410929077,0.8201906883926511,0.9520317643369168,0.9641483147218436,0.7642186347527891,0.9492639149240619,0.9525503224448054
20.77077981023488,58.98901466106706,0.8242901285454928,0.9535282091002969,0.9653003465968479,0.7693818115292652,0.9511412359128062,0.9547421210206465
21.449311723211064,60.91604529391942,0.8283190341682796,0.9549835565269256,0.9664204160278914,0.7744666155762417,0.9529568290853206,0.9568354554037966
22.1500096579319,62.90602742852659,0.8322777706318016,0.9563987883415029,0.9675093054435491,0.7794729207909279,0.9547122664433365,0.9588339328527885
22.87359772554177,64.96101754053862,0.8361667408233617,0.9577748696343236,0.9685677820642238,0.784400665997286,0.9564091072835122,0.9607411350152024
23.62082369217167,67.08313928576753,0.839986383432408,0.9591127487843477,0.9695965979572136,0.7892498528510388,0.9580488964164122,0.9625606059269851
24.392459751691437,69.27458569480368,0.8437371712358712,0.9604133574008427,0.9705964901010499,0.7940205436974831,0.9596331625178512,0.9642958411755491
25.18930332370572,71.53762143932424,0.8474196093869286,0.9616776102820465,0.9715681804583336,0.7987128593897709,0.961163416610993,0.9659502782402679
26.012177877618708,73.87458517243712,0.8510342337108725,0.9629064053895557,0.9725123760564541,0.8033269770752383,0.9626411506771078,0.9675272880022039
26.861933783618934,76.28789194547777,0.8545816090117361,0.9641006238373625,0.973429769075731,0.8078631279572709,0.9640678363924342,0.9690301673952909
27.73944919146401,78.78003570375779,0.8580623273933037,0.9652611298946666,0.974321036944674,0.8123215950401005,0.965444923988148,0.9704621331542204
28.645630937972875,81.35359186384296,0.8614770065981067,0.9663887710017685,0.9751868424422078,0.8167027108638121,0.9667738412300111,0.9718263166003152
29.58141548416384,84.0112199750253,0.8648262883679712,0.9674843777984989,0.9760278338068438,0.8210068552367099,0.9680559925138741,0.9731257593959384
30.54776988300651,86.75566646773848,0.8681108368296234,0.9685487641647741,0.976844644852909,0.8252344529720235,0.969292758072807,0.9743634101905835
31.54569277878816,89.58976749175837,0.8713313369087756,0.9695827272729728,0.9776378950940464,0.8293859716357324,0.9704854932912675,0.9755421220776695
32.57621543912674,92.51645184711994,0.8744884927759852,0.9705870476519182,0.9784081898742842,0.8334619193120398,0.9716355281213686,0.9766646507800454
33.640402820697446,95.53874401078075,0.8775830263274274,0.9715624892623166,0.9791561205070244,0.8374628423927326,0.9727441665959966,0.9777336534839582
34.73935466977389,98.65976726215784,0.880615675703508,0.9725097995835543,0.979882264422327,0.8413893233963126,0.9738126864332591,0.9787516882453685
35.87420665872159,101.88274691076931,0.8835871938479976,0.9734297097117866,0.9805871853228568,0.8452419788223953,0.974842338726513,0.9797212138984668
37.04613155961774,105.21101362931438,0.8864983471100779,0.9743229344692693,0.9812714333488187,0.8490214570464173,0.9758343477140635,0.9806445904035418
38.2563404562105,108.64800689563782,0.8893499138913652,0.9751901725248908,0.9819355452521322,0.8527284362592091,0.9767899106225144,0.9815240795793736
39.5060839954699,112.19727854713452,0.89214268333962,0.976032106525847,0.9825800445799991,0.8563636224554629,0.9777101975777237,0.9823618461735497
