model,operator,isospin,m_chi_GeV,N_lo,N_L2,N_M,Z_joint,s_hat,lo_events_hat,theta_hat,P_ge1_event_at_shat,s_total_hat,Z_analytic,Z_LZ_table,Z_Nmax3,Z_only2024_Nmax3,Z_Nmax5,Z_only2024_Nmax5,Z_Nmax10,Z_only2024_Nmax10,Z_Nmax20,Z_only2024_Nmax20,B10_flat,B10_exp_penalty,B10_loguniform,w_B10_flat,w_B10_exp_penalty
O6v_200,O6,v,200,1.3086528801088266,3.2590917250434877,2.4012367311025473,3.114855034173017,0.1957270701914967,0.25613879412136464,0.9951728214675235,0.1777633830611045,1.5597453693558825,2.637130401182072,3.1,3.1129549372356924,3.5632250250553583,3.1141659953184466,3.58342474834699,3.114682237345945,3.593780968754026,3.1148118011746053,3.5966133851268602,7.705829781693843,33.94431291636988,41.94031323248535,,
O6v_1000,O6,v,1000,0.4477138241384725,1.4474838318358567,1.566384716330723,3.253649225381735,0.3061288419498431,0.1370581145084463,0.9965945595825758,0.2637082519199512,1.3658190448975793,1.712649325380396,3.1,3.253124147048454,3.592676469252243,3.2534597944276284,3.5957778552849784,3.2536018249466845,3.5971273844534357,3.253637372599336,3.5974688015783087,17.451134439775274,84.77777499741083,66.12474946219362,0.07777375904143971,0.15632569096993876
O6v_4000,O6,v,4000,0.38671742575484996,1.2969324004647291,1.4790362335098768,3.26952264024699,0.32255098680788863,0.12473608729303326,0.996764001440342,0.27570099882859056,1.3426784963371776,1.431177142050946,3.1,3.2690895946247354,3.5938911294900193,3.2693664683219024,3.5962318992442106,3.2694835680849925,3.5972427899090316,3.2695128703797907,3.5974977745262824,19.268873016523166,92.30943504985653,69.72364617255162,,
O7s_200,O7,s,200,112.50593716509596,6.890681489856188,3.6261154332828216,2.2808768074044203,0.019019967238931495,2.1398592390654105,0.9891590693072868,0.01884022900436233,2.3589083392409416,2.668704678045658,,2.1657646724402193,2.4919874483681936,2.2279669178520463,2.6800442827043938,2.2654394625422416,2.9129093178058385,2.2768261552786093,3.119530648029991,1.0646113056024722,1.013628892808363,3.579035069660571,,
O7s_1000,O7,s,1000,32.36293669727158,2.9121170842401516,2.3455892911547416,2.7120232672113924,0.05837130216629555,1.889066756945134,0.99006195742999,0.056700366792668655,2.254337226651263,3.0047494248962185,,2.630645833297459,2.926202536293871,2.6758412501910236,3.0799571621180832,2.7017589674345603,3.2630369104049515,2.7093577840661554,3.4100251855233825,1.5895242735554238,1.157749935568962,11.966011722652468,0.007083967994668145,0.002134829071106755
O7s_4000,O7,s,4000,27.24514219754599,2.591403169618124,2.213974736488509,2.7630673139643696,0.06738293288639194,1.8358575881774466,0.9902700779397277,0.06516284710237485,2.2270409780047724,3.039948187618116,,2.6864906093655074,2.9796542793098446,2.729252407981834,3.1283420980992673,2.753526854110067,3.303260180159155,2.7605945799944642,3.4398549408494143,1.7845460903301928,1.2200950130916106,13.927634751585202,,
O7v_200,O7,v,200,124.65245629245734,6.121238339056718,3.5283328702720875,2.246029224502123,0.017481539058217675,2.1791167833793645,0.9890945693270604,0.01732962348176381,2.365287678428517,2.641781458148063,,2.1262567337278964,2.452507767009651,2.190695211016815,2.6434357909948774,2.2298112008771045,2.8800756359433204,2.2417662926234336,3.090730455366528,1.0548181922685187,1.0111213054246269,3.27208490107042,,
O7v_1000,O7,v,1000,35.65872393497966,2.604168071011445,2.2787318183714302,2.6892582750935503,0.05476853387094986,1.952976029627784,0.9899056313380576,0.05329574743644616,2.2751738314788574,2.992109385651683,,2.603113423080597,2.895378122583238,2.6506434133934924,3.051913176313758,2.6782309964440376,3.2393926385042984,2.6863878477836196,3.3919776746611086,1.519197908746178,1.1306601181667684,11.184525458097424,0.006770547353172869,0.0020848768940912965
O7v_4000,O7,v,4000,29.996510090186245,2.3195197122256013,2.1503381702079594,2.741863024695806,0.06343214814880263,1.902743071987747,0.9901012371722444,0.06146220133268365,2.2497079075391686,3.0296343804913755,,2.6605174065421475,2.9499812353897,2.705631145101759,3.1015234432775696,2.7315700137476044,3.2810609945625724,2.7391887404631645,3.4235363407483277,1.6953230410625288,1.1827562066151422,13.068632307117362,,
O8s_200,O8,s,200,482.5062216601195,25.050289259972505,3.679392129401364,1.6196103438545275,0.0043874250199939365,2.1169598692143485,0.9893461628797441,0.004377814331370189,2.2473966171785356,2.123132770719354,,1.4672068318114024,1.8717297658221295,1.5483080308064296,2.1045128012591015,1.5984968087282223,2.3938674126485506,1.6140393154087183,2.6552197778207187,1.0040711605985873,1.0007510928014518,1.125786518506836,,
O8s_1000,O8,s,1000,155.66737676482714,10.429737581889153,2.4014033207337997,2.156084972674855,0.014108105674032307,2.1961718013975826,0.9888523337752999,0.014009052714849313,2.391302998844218,2.575846601429255,,2.0302820891607274,2.364881622059466,2.0977821237723235,2.5621528147077655,2.1389498876272985,2.806991986746957,2.1515762574060004,3.026159113419114,1.0361469845313978,1.0071538625245635,2.6181668549960166,0.004617754002443925,0.0018571379524527924
O8s_4000,O8,s,4000,133.3964734007535,9.263190460677292,2.2685750474664212,2.220481907093588,0.016419186707422307,2.1902616028786652,0.9888563952708418,0.01628512658357939,2.3960230005305116,2.629853686517314,,2.0984876166742703,2.4260728791515254,2.164041274842645,2.618917781361026,2.203919508238407,2.858054342341635,2.216126469433482,3.071336307553221,1.0484759796402594,1.0097212472181885,3.063231333798114,,
O8v_200,O8,v,200,28.041892805474117,10.28245444710066,2.9930747186175846,2.674473389248,0.05270172318248349,1.4778560721469722,0.9902302646188665,0.05133706555334838,2.2302010585221246,2.9621004863162175,,2.6177151528804843,2.97081754885281,2.650610516507558,3.1203670093336098,2.667979956705856,3.296685093237918,2.6728106109921055,3.4350605742313998,1.4819036908895646,1.208184262934512,10.729859438237135,,
O8v_1000,O8,v,1000,9.175017547203657,4.405654887126684,1.929160981474205,2.9671179555057856,0.12282133030396887,1.1268878607098107,0.9917493472729194,0.1155783322044247,2.027759703226033,3.129140731739033,,2.9344343133914723,3.276503280291247,2.954041295639265,3.3864533695653045,2.9636703188484588,3.4971809848995017,2.966243571347436,3.560303892155507,3.6074291819471145,2.6960060600143576,26.032633799487822,0.016077082491344662,0.004971291239994894
O8v_4000,O8,v,4000,7.876482492895356,3.927627075144926,1.818445063479131,3.0012238380713274,0.13627572655859424,1.0733733744453622,0.9920080066458375,0.12739800023059078,1.9926992565530455,3.138951234488813,,2.9715050842796655,3.3116080073916296,2.9894223915387417,3.4148635109256302,2.9981260365004676,3.51505952672698,3.0004391762615725,3.5685730946189556,4.21145249542643,3.2285168989744686,28.976884496675922,,
O9s_200,O9,s,200,6.348639455833546,2.3295331977411546,2.3867824942219773,3.0303139481718757,0.14977397798991515,0.9508609861239204,0.993363880032534,0.13909746264131617,1.8070163267554133,3.005249413529097,,3.0065242390374287,3.3579892041094808,3.0210225784997067,3.451209996215235,3.0278976963273125,3.5363583132282095,3.029703540148188,3.577568217494301,4.902208353125001,4.251500708220733,31.901232875250656,,
O9s_1000,O9,s,1000,2.065076572287078,1.069019689699718,1.6131448180247252,3.209408249913131,0.2645410870546624,0.5462976012839398,0.9954653335200685,0.23244188848239566,1.52038140287146,2.6195893377047756,,3.201335379352547,3.52890074414911,3.2064098814945026,3.566178218092851,3.2086481799110613,3.588459121342058,3.2092175580158533,3.595192569072394,13.245647383979964,19.690248522518647,57.02286075735631,0.059031336417966415,0.03630776705034486
O9s_4000,O9,s,4000,1.770737036695293,0.9618008079525386,1.5301328020571432,3.229033931515742,0.2820529660047071,0.49944163321429325,0.9957290288670344,0.2457662652724364,1.4843518650090481,2.5025085559897096,,3.2222754019398203,3.542545200974224,3.226535652279978,3.573363840370525,3.2284020308630224,3.590766638298558,3.2288754867129286,3.5958176901398993,14.930341606268092,23.87215647022964,60.85824092385446,,
O9v_200,O9,v,200,6.786717381749463,2.10828523162208,2.3233448884254475,3.0294170373826206,0.14928970690767118,1.0131870487865748,0.9932394758864408,0.13868045147276764,1.824073517439349,3.0232476546812785,,3.0028118027774764,3.34405553864044,3.0189350587844435,3.440450209642338,3.0266778940901258,3.5302527867304923,3.0287241091057626,3.5750889281642944,4.874802363796714,3.895935660346375,31.797908716156158,,
O9v_1000,O9,v,1000,2.1915611395598034,0.9719160311599823,1.567687236433513,3.2122710799547898,0.2669461788120984,0.5850288718385774,0.9953959700264412,0.2342857179913853,1.5299124386334784,2.655805825998284,,3.2030841836255743,3.5230157376829534,3.2088446597496025,3.5629555786251164,3.211400788503344,3.587383176749782,3.212052622506666,3.594896369583826,13.465612217748523,18.238179412970435,57.551671943287964,0.06001164472045214,0.03363022913556518
