mu_GeV,tanb,hierarchy,delta_target_keV,M1_TeV,M2_TeV,leading_order_delta_keV,tree_charged_neutral_MeV
1000.0,2.0,wino_only(M1=1e9),300.0,inf,21453.677456266683,298.07051932870775,0.029121646321073058
1000.0,2.0,wino_only(M1=1e9),350.0,inf,18372.161126910287,348.06513706944725,0.03371324226009165
1000.0,2.0,wino_only(M1=1e9),370.0,inf,17373.878694952033,368.0645463904371,0.035552180861486704
1000.0,2.0,wino_only(M1=1e9),385.0,inf,16693.700703327588,383.0611854461563,0.036934030504198745
1000.0,2.0,M2=-2M1,300.0,4252.612971587501,-8505.225943175003,-300.1559464447341,0.6375108448537503
1000.0,2.0,M2=-2M1,350.0,3644.7807015368116,-7289.561403073623,-350.21231066433967,0.7438118013851636
1000.0,2.0,M2=-2M1,370.0,3447.6489441117865,-6895.297888223573,-370.2369620694804,0.7863363637170551
1000.0,2.0,M2=-2M1,385.0,3313.238075665515,-6626.47615133103,-385.25667102675857,0.8182321290632899
1000.0,10.0,bino_only(M2=1e9),300.0,6540.091262558556,inf,293.71261684023045,0.1784446587862476
1000.0,10.0,bino_only(M2=1e9),350.0,5588.750234187929,inf,343.7096378630913,0.20840338117977808
1000.0,10.0,bino_only(M2=1e9),370.0,5281.445063406718,inf,363.70866231465584,0.22038701263227267
1000.0,10.0,bino_only(M2=1e9),385.0,5072.277482552566,inf,378.70706516105764,0.2293749727186878
1000.0,10.0,M2=2M1,300.0,17060.82661340563,34121.65322681126,300.0008045054687,0.14221731396446557
1000.0,10.0,M2=2M1,350.0,14623.712077714003,29247.424155428005,349.9974344646762,0.16592028157447203
1000.0,10.0,M2=2M1,370.0,13833.23698451608,27666.47396903216,369.99739939964957,0.17540202156851592
1000.0,10.0,M2=2M1,385.0,13294.242613983412,26588.485227966823,384.9983679526361,0.18251319124829024
1000.0,10.0,wino_only(M1=1e9),300.0,inf,21453.044608428332,298.0793121731396,0.12007401358005154
1000.0,10.0,wino_only(M1=1e9),350.0,inf,18371.451430102396,348.0785829704233,0.14001935710439284
1000.0,10.0,wino_only(M1=1e9),370.0,inf,17373.162143046888,368.07972712436225,0.14799886491800862
1000.0,10.0,wino_only(M1=1e9),385.0,inf,16693.147386850465,383.0738825164416,0.1539843367481808
1000.0,10.0,M2=-2M1,300.0,4254.247109957664,-8508.494219915328,-300.0406507563456,0.27063071036081965
1000.0,10.0,M2=-2M1,350.0,3646.452397613127,-7292.904795226254,-350.0517577537908,0.3157386234988735
1000.0,10.0,M2=-2M1,370.0,3449.314233347613,-6898.628466695226,-370.05821592287583,0.3337829423344374
1000.0,10.0,M2=-2M1,385.0,3314.9064885574135,-6629.812977114827,-385.0627689668211,0.34731625123640697
4000.0,2.0,bino_only(M2=1e9),300.0,6546.443962642219,inf,293.4275967321807,0.2648387589943013
4000.0,2.0,bino_only(M2=1e9),350.0,5594.192828994443,inf,343.37524247359266,0.3098510633208207
4000.0,2.0,bino_only(M2=1e9),370.0,5286.630880555863,inf,363.3518894169563,0.3278566100561875
4000.0,2.0,bino_only(M2=1e9),385.0,5077.289400447388,inf,378.333234054127,0.34136025487896404
4000.0,2.0,M2=2M1,300.0,17063.107590258696,34126.21518051739,299.9607007384756,0.1185643814096693
4000.0,2.0,M2=2M1,350.0,14625.79478645082,29251.58957290164,349.94759493627674,0.13832559397997102
4000.0,2.0,M2=2M1,370.0,13835.303929700072,27670.607859400145,369.94212310455225,0.14622969956690213
4000.0,2.0,M2=2M1,385.0,13296.392861250424,26592.78572250085,384.93610733074155,0.15215911616905942
4000.0,2.0,wino_only(M1=1e9),300.0,inf,21456.170365100512,298.03588767645596,0.02911521232817904
4000.0,2.0,wino_only(M1=1e9),350.0,inf,18374.491288013716,348.02099718926524,0.03370463537066826
4000.0,2.0,wino_only(M1=1e9),370.0,inf,17376.19858308798,368.0154062652049,0.03554381100911996
4000.0,2.0,wino_only(M1=1e9),385.0,inf,16696.111068440787,383.0058841059918,0.03692287600642885
4000.0,2.0,M2=-2M1,300.0,4245.979936101208,-8491.959872202417,-300.6248476346012,0.6382961732924741
4000.0,2.0,M2=-2M1,350.0,3638.1454948690102,-7276.2909897380205,-350.85102372904345,0.7448827523148793
4000.0,2.0,M2=-2M1,370.0,3441.008647862173,-6882.017295724346,-370.95142790269654,0.7875344294916431
4000.0,2.0,M2=-2M1,385.0,3306.5944017117336,-6613.188803423467,-386.0307362430718,0.8195293094104272
4000.0,10.0,bino_only(M2=1e9),300.0,6543.788021886617,inf,293.54669079671527,0.17850256290330435
4000.0,10.0,bino_only(M2=1e9),350.0,5591.619127366064,inf,343.53329068835285,0.2084847042169713
4000.0,10.0,bino_only(M2=1e9),370.0,5284.075810267695,inf,363.5275851582996,0.22047905031286064
4000.0,10.0,bino_only(M2=1e9),385.0,5074.745719732624,inf,378.52287093533585,0.22947537809159257
4000.0,10.0,M2=2M1,300.0,17061.595657496986,34123.19131499397,299.98728209814294,0.14221949413695256
4000.0,10.0,M2=2M1,350.0,14624.03820680001,29248.07641360002,349.98962920994467,0.16592281053817715
4000.0,10.0,M2=2M1,370.0,13833.604137698814,27667.20827539763,369.98757941915557,0.17540419594297418
4000.0,10.0,M2=2M1,385.0,13294.637740168533,26589.275480337066,384.98692552453986,0.18251554274684167
4000.0,10.0,wino_only(M1=1e9),300.0,inf,21453.454908943615,298.07361136196965,0.12005402550130384
4000.0,10.0,wino_only(M1=1e9),350.0,inf,18371.87570792887,348.0705444866576,0.13999179009260843
4000.0,10.0,wino_only(M1=1e9),370.0,inf,17373.700003506296,368.06833199660656,0.14796791674598353
4000.0,10.0,wino_only(M1=1e9),385.0,inf,16693.73638871365,383.06036659494356,0.15395020182040753
4000.0,10.0,M2=-2M1,300.0,4252.611868174082,-8505.223736348164,-300.15602432536605,0.27070099667980685
4000.0,10.0,M2=-2M1,350.0,3644.8081119331246,-7289.616223866249,-350.2096769294668,0.31583498093823437
4000.0,10.0,M2=-2M1,370.0,3447.672658448949,-6895.345316897898,-370.23441544599893,0.33389054760846193
4000.0,10.0,M2=-2M1,385.0,3313.260608090891,-6626.521216181782,-385.2540510193949,0.347432988746732
