m_GeV,delta_keV,halo,eff_sigma_keV,N_events,N_noeff_all_E
300.0,150.0,annual_vesc560,11.5,1468587.0017179328,1531708.660639261
300.0,150.0,annual_vesc560,15.0,1468617.1522730272,1531708.660639261
300.0,200.0,sun,8.0,63708.906225724786,66915.39922774404
300.0,200.0,sun,11.5,63716.02074864788,66915.39922774404
300.0,200.0,sun,15.0,63724.47364613769,66915.39922774404
300.0,200.0,annual,8.0,67727.15491042192,71128.24034165767
300.0,200.0,annual,11.5,67734.60834040186,71128.24034165767
300.0,200.0,annual,15.0,67743.47066163582,71128.24034165767
300.0,200.0,june16,8.0,91236.70845285355,95792.18690854662
300.0,200.0,june16,11.5,91246.3565418774,95792.18690854662
300.0,200.0,june16,15.0,91257.86324911307,95792.18690854662
300.0,200.0,dec16,8.0,46489.939440538634,48842.676076672935
300.0,200.0,dec16,11.5,46495.33665399962,48842.676076672935
300.0,200.0,dec16,15.0,46501.72353788445,48842.676076672935
300.0,200.0,annual_vesc528,8.0,54888.4273084436,57664.95063866366
300.0,200.0,annual_vesc528,11.5,54894.7815422075,57664.95063866366
300.0,200.0,annual_vesc528,15.0,54902.30377752684,57664.95063866366
300.0,200.0,annual_vesc560,8.0,80736.4115059583,84758.12866752724
300.0,200.0,annual_vesc560,11.5,80744.82237151293,84758.12866752724
300.0,200.0,annual_vesc560,15.0,80754.85454192512,84758.12866752724
300.0,250.0,sun,8.0,3304.6820445681487,3531.4301527309544
300.0,250.0,sun,11.5,3305.8839764557033,3531.4301527309544
300.0,250.0,sun,15.0,3307.2984858094287,3531.4301527309544
300.0,250.0,annual,8.0,3591.4623024804787,3840.523539541451
300.0,250.0,annual,11.5,3592.796402841271,3840.523539541451
300.0,250.0,annual,15.0,3594.3707919028934,3840.523539541451
300.0,250.0,june16,8.0,5207.448463612958,5580.519499757626
300.0,250.0,june16,11.5,5209.517647202664,5580.519499757626
300.0,250.0,june16,15.0,5211.975862544138,5580.519499757626
300.0,250.0,dec16,8.0,2154.7594698331286,2294.06703261595
300.0,250.0,dec16,11.5,2155.4420317190284,2294.06703261595
300.0,250.0,dec16,15.0,2156.2349672242467,2294.06703261595
300.0,250.0,annual_vesc528,8.0,2569.4606044692314,2736.519458367742
300.0,250.0,annual_vesc528,11.5,2570.283374489257,2736.519458367742
300.0,250.0,annual_vesc528,15.0,2571.2409420757676,2736.519458367742
300.0,250.0,annual_vesc560,8.0,4648.963012180705,4982.783406842956
300.0,250.0,annual_vesc560,11.5,4650.813768845447,4982.783406842956
300.0,250.0,annual_vesc560,15.0,4653.015671562218,4982.783406842956
300.0,260.0,sun,8.0,1808.1877803527873,1935.6011813637315
300.0,260.0,sun,11.5,1808.8915710634844,1935.6011813637315
300.0,260.0,sun,15.0,1809.7152310716374,1935.6011813637315
300.0,260.0,annual,8.0,2001.9261285667337,2145.7958678501923
300.0,260.0,annual,11.5,2002.7351825814112,2145.7958678501923
300.0,260.0,annual,15.0,2003.6861916751764,2145.7958678501923
300.0,260.0,june16,8.0,3072.5330650829746,3303.537442461156
300.0,260.0,june16,11.5,3073.8895496212076,3303.537442461156
300.0,260.0,june16,15.0,3075.497510844852,3303.537442461156
300.0,260.0,dec16,8.0,1056.6554338956641,1124.911975647456
300.0,260.0,dec16,11.5,1056.9928601916056,1124.911975647456
300.0,260.0,dec16,15.0,1057.3799243152196,1124.911975647456
