tag,m_GeV,cfg,delta_peak_keV,Z_peak,kappa_hat_peak,sigma_n_peak_cm2,S_tot_unit_peak,mu_hat_peak,Z_300,Z_350,delta_last_keV,Z_last,delta_248_median_keV,ceiling_june,dmax248_june,peak_minus_dmax248,peak_minus_ceiling
s,4000,bH_x2,400.0,3.403135916227287,4.661899431325249,1.383918687648684e-37,0.21450484179915644,1.0,2.4091991257676146,2.7669921009197807,430.0,0.0,400.31073016766396,432.5136491453222,409.37905690321764,-9.379056903217645,-32.51364914532218
s,4000,baseline,400.0,3.600903204852457,4.661899431325249,1.383918687648684e-37,0.21450484179915644,1.0,2.6776556562280556,3.00574787794582,430.0,0.0,400.31073016766396,432.5136491453222,409.37905690321764,-9.379056903217645,-32.51364914532218
s,4000,gauss3,400.0,3.6009032048524525,4.661899431325249,1.383918687648684e-37,0.21450484179915644,1.0,2.6826781750532445,3.00578858413396,430.0,0.0,400.31073016766396,432.5136491453222,409.37905690321764,-9.379056903217645,-32.51364914532218
s,4000,june,400.0,3.6249616564232965,1.3484175904693743,4.002875501057938e-38,0.7416100227911646,1.0,2.6621127468542567,2.9509304533210567,430.0,0.0,401.23754953575514,432.5136491453222,409.37905690321764,-9.379056903217645,-32.51364914532218
s,4000,obscut,400.0,3.5771921482216995,3.7705211252831012,1.119306566845023e-37,0.2652153288028368,1.0,2.6861076638826207,3.0138937520971307,430.0,0.0,398.4457129003862,432.5136491453222,409.37905690321764,-9.379056903217645,-32.51364914532218
s,4000,sig15,400.0,3.6074929672172797,4.7591725504887465,1.4127949191932099e-37,0.21012055969630777,1.0,2.7488036282940813,3.056694218275086,430.0,0.0,400.29939372744536,432.5136491453222,409.37905690321764,-9.379056903217645,-32.51364914532218
s,4000,sig8,400.0,3.588146607509948,4.5873241191135845,1.3617804648647537e-37,0.2179920088561851,1.0,2.6261400551988476,2.9677831017366443,430.0,0.0,400.37468754084665,432.5136491453222,409.37905690321764,-9.379056903217645,-32.51364914532218
s,4000,sun,390.0,3.5523744123439704,1.8749090079128155,5.565803492577257e-38,0.5333592167831223,1.0,2.681770355296348,3.0397680625202472,430.0,0.0,392.40407116607696,432.5136491453222,409.37905690321764,-19.379056903217645,-42.51364914532218
v,400,E246,340.0,3.6839643549153265,2.0334705345944895,6.011103842159051e-38,0.49177009599473637,1.0,3.581828359264409,,340.0,3.6839643549153265,338.22483246106896,341.31577795320413,341.0872248036917,-1.0872248036916972,-1.3157779532041332
v,400,E262,340.0,3.6228917448153344,2.0334705345944895,6.011103842159051e-38,0.49177009599473637,1.0,3.497656698566131,,340.0,3.6228917448153344,,341.31577795320413,341.0872248036917,-1.0872248036916972,-1.3157779532041332
v,400,bH_half,340.0,3.8683722905581828,2.0334705345944895,6.011103842159051e-38,0.49177009599473637,1.0,3.7671898348293125,,340.0,3.8683722905581828,,341.31577795320413,341.0872248036917,-1.0872248036916972,-1.3157779532041332
v,400,bH_x2,340.0,3.491841615090076,2.0334705345944895,6.011103842159051e-38,0.49177009599473637,1.0,3.379488547178279,,340.0,3.491841615090076,,341.31577795320413,341.0872248036917,-1.0872248036916972,-1.3157779532041332
v,400,baseline,340.0,3.6848913198696596,2.0334705345944895,6.011103842159051e-38,0.49177009599473637,1.0,3.578551267861459,,340.0,3.6848913198696596,,341.31577795320413,341.0872248036917,-1.0872248036916972,-1.3157779532041332
v,400,gauss3,340.0,3.6848913198696764,2.0334705345944895,6.011103842159051e-38,0.49177009599473637,1.0,3.5808272392079306,,340.0,3.6848913198696764,,341.31577795320413,341.0872248036917,-1.0872248036916972,-1.3157779532041332
v,400,june,340.0,3.68264081227542,0.48093268057102573,1.4216760138975155e-38,2.07929309110928,1.0,3.5615503116349685,,340.0,3.68264081227542,,341.31577795320413,341.0872248036917,-1.0872248036916972,-1.3157779532041332
v,400,obscut,340.0,3.6957632313676623,1.9162173825984616,5.664494014046081e-38,0.5218614594989025,1.0,3.5933651645276408,,340.0,3.6957632313676623,,341.31577795320413,341.0872248036917,-1.0872248036916972,-1.3157779532041332
v,400,sig15,340.0,3.6611552218360246,2.062125037347246,6.095808876563004e-38,0.48493664636670997,1.0,3.559752916431508,,340.0,3.6611552218360246,,341.31577795320413,341.0872248036917,-1.0872248036916972,-1.3157779532041332
v,400,sig8,340.0,3.700214374887065,2.0198099140543313,5.970721939781695e-38,0.49509609446005565,1.0,3.590493109545135,,340.0,3.700214374887065,,341.31577795320413,341.0872248036917,-1.0872248036916972,-1.3157779532041332
v,400,sun,335.0,3.723951948981338,13.570281231460472,4.011485205310726e-37,0.07369044037802724,1.0,3.5936767498173423,,340.0,0.0,333.9180014455692,341.31577795320413,341.0872248036917,-6.087224803691697,-6.315777953204133
v,1000,E246,380.0,3.6651763989187343,0.954086683037236,2.8282945464563636e-38,1.048122794059554,1.0,3.5542351434207093,3.6522824178369238,395.0,0.0,347.7186966148544,397.14218013402126,386.6151128700423,-6.61511287004231,-17.14218013402126
v,1000,E262,385.0,3.7485347479062754,3.0903858861540905,9.161139866695116e-38,0.32358418554793345,1.0,3.487967230055353,3.6135029493109148,395.0,2.405708516014249,385.5334117880554,397.14218013402126,386.6151128700423,-1.61511287004231,-12.14218013402126
