tag,m_GeV,cfg,delta_keV,S_tot_unit,S_H_unit,S_L_unit,f_ev_unit,f_ev_norm,pct_ev,q0,Z,mu_hat,kappa_hat,kappa_68lo,kappa_68hi,kappa_90lo,kappa_90hi,mu_68lo,mu_68hi,mu_90lo,mu_90hi,lowE_events_at_fit,sigma_n_hat_cm2,sigma_n_68lo_cm2,sigma_n_68hi_cm2,sigma_n_90lo_cm2,sigma_n_90hi_cm2,companion_free,p_exact_bH,Z_exact_bH,p_exact_bHpois,Z_exact_bHpois
s,1000,baseline,170.0,4654878.927063971,67784.26826844747,4072511.5670348844,222.5744750931167,4.781530918001853e-05,0.9995095289862032,3.2939127328851328,1.8149139739627145,1.9952623149688788,4.286389283657213e-07,1.0686000959888797e-07,1.035021213915937e-06,1.391624517772436e-08,1.5839971176643432e-06,0.49742040682771727,4.817898437721465,0.06477843642164473,7.37331480354582,1.7456369938508371,1.2706572317269784e-44,3.167758105801106e-45,3.0682168683732073e-44,4.1253316960688944e-46,4.695601027813334e-44,False,,,,
s,1000,baseline,180.0,2847921.868263632,56603.15977232052,2371969.3683614815,187.03569173733678,6.567444627663602e-05,0.999325053962901,3.7823770499887814,1.9448334247407364,1.9498445997580456,6.846552293047488e-07,1.7841768369863192e-07,1.6269892481690665e-06,3.4530902478675585e-08,2.4913247008731842e-06,0.5081196230902776,4.63353825929049,0.09834131229989906,7.095098096562093,1.6239812317993703,2.0295919497388875e-44,5.289013784259295e-45,4.82304689872725e-44,1.0236340670194961e-45,7.38528289955878e-44,False,,,,
s,1000,baseline,190.0,1727202.7322520528,46904.323249999776,1341838.6015412116,156.1233821292034,9.039088418163765e-05,0.9990690253578485,4.2556923350786064,2.0629329448817786,1.8620871366628695,1.0780941356171574e-06,2.8949014652473403e-07,2.5405722278075926e-06,6.789496675121435e-08,3.8966765870786845e-06,0.5000081720375678,4.388083293352959,0.1172683720788597,6.730350447904907,1.4466283272663079,3.1959022367086016e-44,8.581645852788874e-45,7.531272267539104e-44,2.0126783824609914e-45,1.1551308006369807e-43,False,,,,
s,1000,baseline,200.0,1044585.0259433689,38520.26741294239,735808.4224940542,129.1595256556272,0.00012364673286311252,0.9987227101784913,4.695179216268343,2.166836222760812,1.7378008287493762,1.6636279341453908e-06,4.5685588966613407e-07,3.914982684345591e-06,1.1947028353510572e-07,6.0197783761418355e-06,0.4772248213592795,4.089532288894979,0.12479686922598006,6.2881703512154505,1.2241114458405622,4.931658618792648e-44,1.354303591310862e-44,1.1605574600786652e-43,3.541577064153903e-45,1.7845030912619309e-43,False,,,,
s,1000,baseline,210.0,633786.6727833592,31393.028278309663,388978.8753588862,106.25189641444815,0.00016764615126384515,0.9982642176591409,5.096599069360764,2.2575648538548707,1.584893192461114,2.500672955934594e-06,7.019648081738148e-07,5.9242929475154595e-06,1.9646997338444712e-07,9.134697192257362e-06,0.44489594018349105,3.754737915799743,0.12452005073316387,5.789449340364287,0.9727089540398199,7.412994866698811e-44,2.0809044650346544e-44,1.7561973909674547e-43,5.824155856538371e-45,2.7078896196461684e-43,False,,,,
s,1000,baseline,220.0,388953.55797784316,25337.125055000924,197221.86797594168,86.5961059503596,0.00022263867799685372,0.9976898167205113,5.4462024151940795,2.333710010946964,1.4454397707459279,3.716227146142388e-06,1.0502880524990991e-06,8.777767151790814e-06,3.071126359193629e-07,1.3566859401840472e-05,0.4085132749211443,3.4141437647900754,0.11945255244079017,5.276878234931004,0.7329212595851046,1.1016383686824193e-43,3.113473884401281e-44,2.6020812790764897e-43,9.104046925311429e-45,4.021759777278864e-43,False,,,,
s,1000,baseline,230.0,243694.236491004,20238.11913397082,95436.5517769425,69.86568006054921,0.00028669401897458627,0.9970152191608438,5.740438654296099,2.3959212537761125,1.288249551693135,5.286335738763731e-06,1.5332082680301465e-06,1.2725445754085247e-05,4.6154895983683614e-07,1.9701078948596738e-05,0.37363401825930115,3.101117787049493,0.11247682137065486,4.801039392427274,0.5045096544428265,1.567081357124373e-43,4.545042562848799e-44,3.7723311170145456e-43,1.3682157284425528e-44,5.8401878089569536e-43,False,,,,
s,1000,baseline,240.0,157039.66927532858,15986.844857925074,44120.190222806676,55.797495960913636,0.0003553082875071974,0.9962878277196453,5.985458408098793,2.446519652097402,1.2022644346174132,7.655800856976796e-06,2.195623911647801e-06,1.811877911611112e-05,6.743875767188759e-07,2.807692003788898e-05,0.3448000529381739,2.8453670800668207,0.10590560201132256,4.409190237019931,0.3377753901177426,2.269485592610285e-43,6.508707485167053e-44,5.371130849391023e-43,1.9991545205934695e-44,8.323122126771534e-43,False,,,,
s,1000,baseline,250.0,104109.82648620348,12459.352998751869,19616.251816570766,44.015359583236716,0.0004227781475466159,0.9955664001801494,6.190522529256896,2.4880760698292357,1.122018454301963,1.0777257941647339e-05,3.1104440090158346e-06,2.5546694312541833e-05,9.693945031897647e-07,3.960102373896205e-05,0.32382778607368967,2.6596619121748115,0.10092349352376584,4.122855710139365,0.21140940567549132,3.1948103253135e-43,9.220600165754556e-44,7.573062017188847e-43,2.873673048247947e-44,1.1739327407698876e-42,False,,,,
s,1000,baseline,260.0,70562.68395554215,9556.198551323574,8603.745551089833,34.23925158288719,0.0004852317069523539,0.9948882303614861,6.36870577776881,2.5236294850411003,1.071519305237607,1.5185353577433582e-05,4.400427145131331e-06,3.59935199075289e-05,1.3868746923040265e-06,5.57971028013442e-05,0.31050594991129066,2.5397993696824765,0.09786160059898878,3.937193330606146,0.13065091828357026,4.501546187852077e-43,1.304462615182289e-43,1.066991897823811e-42,4.1112513135336767e-44,1.6540493056535814e-42,False,,,,
s,1000,baseline,270.0,48207.46172044425,7205.753753536255,3880.519746899459,26.240392995172105,0.0005443222285243001,0.9942383293494432,6.539163062094076,2.557178730963887,1.0471285480509007,2.1721296054192067e-05,6.2887698867729845e-06,5.1249456019271996e-05,2.0012088187325946e-06,7.943761256922093e-05,0.30316563358529114,2.4706061892426456,0.09647319752366701,3.8294856670941986,0.08428991826654161,6.4390609641952105e-43,1.8642429342014895e-43,1.5192388652437065e-42,5.932383387140181e-44,2.354848573064849e-42,False,,,,
s,1000,baseline,280.0,32645.59356882755,5318.676331364643,1864.7226758164365,19.692328422906236,0.0006032155115019855,0.993579136457484,6.710959372083153,2.5905519435215254,1.0232929922807537,3.134551651276668e-05,9.180227387265596e-06,7.454220913053875e-05,2.946916937672343e-06,0.00011552744573573063,0.29969397215409227,2.433474662998114,0.09620385262834522,3.7714620395334415,0.058450695426534575,9.292064860049608e-43,2.7213865905745273e-43,2.209729234387441e-42,8.735840518332951e-44,3.424695581120989e-42,False,,,,
s,1000,baseline,290.0,21484.720451088557,3825.154182840923,918.8074663461994,14.45873397190482,0.000672977523948758,0.9927864750146017,6.908290679241759,2.6283627373788723,1.0232929922807537,4.762887162578403e-05,1.3875905096214778e-05,0.0001122601290135961,4.494450375000756e-06,0.00017395020299499898,0.29811994199800956,2.411877489660248,0.09656200988818138,3.7372714837576604,0.043761762863415016,1.4119102621183721e-42,4.11337328237697e-43,3.3278392447832755e-42,1.3323348612798203e-43,5.15657978706461e-42,False,,,,
