year,cum_LUX,cum_PandaX-II,cum_XENON1T,cum_LZ,cum_XENONnT,cum_PandaX-4T,cum_all_xenon,cum_LZ_HE_track
2015.4499999999978,0.06380645161283563,0.0,0.0,0.0,0.0,0.0,0.06380645161283563,0.0
2015.4999999999977,0.06529032258057615,0.0,0.0,0.0,0.0,0.0,0.06529032258057615,0.0
2015.5499999999977,0.06677419354831668,0.0,0.0,0.0,0.0,0.0,0.06677419354831668,0.0
2015.5999999999976,0.06825806451605719,0.0,0.0,0.0,0.0,0.0,0.06825806451605719,0.0
2015.6499999999976,0.06974193548379772,0.0,0.0,0.0,0.0,0.0,0.06974193548379772,0.0
2015.6999999999975,0.07122580645153824,0.0,0.0,0.0,0.0,0.0,0.07122580645153824,0.0
2015.7499999999975,0.07270967741927876,0.0,0.0,0.0,0.0,0.0,0.07270967741927876,0.0
2015.7999999999975,0.07419354838701929,0.0,0.0,0.0,0.0,0.0,0.07419354838701929,0.0
2015.8499999999974,0.0756774193547598,0.0,0.0,0.0,0.0,0.0,0.0756774193547598,0.0
2015.8999999999974,0.07716129032250033,0.0,0.0,0.0,0.0,0.0,0.07716129032250033,0.0
2015.9499999999973,0.07864516129024085,0.0,0.0,0.0,0.0,0.0,0.07864516129024085,0.0
2015.9999999999973,0.08012903225798136,0.0,0.0,0.0,0.0,0.0,0.08012903225798136,0.0
2016.0499999999972,0.08161290322572189,0.0,0.0,0.0,0.0,0.0,0.08161290322572189,0.0
2016.0999999999972,0.0830967741934624,0.0,0.0,0.0,0.0,0.0,0.0830967741934624,0.0
2016.1499999999971,0.08458064516120292,0.0,0.0,0.0,0.0,0.0,0.08458064516120292,0.0
2016.199999999997,0.08606451612894345,0.0,0.0,0.0,0.0,0.0,0.08606451612894345,0.0
2016.249999999997,0.08754838709668397,0.007499999999550227,0.0,0.0,0.0,0.0,0.0950483870962342,0.0
2016.299999999997,0.0890322580644245,0.014999999999543831,0.0,0.0,0.0,0.0,0.10403225806396833,0.0
2016.349999999997,0.09051612903216501,0.022499999999537435,0.0,0.0,0.0,0.0,0.11301612903170244,0.0
2016.399999999997,0.09199999999990553,0.02999999999953104,0.0,0.0,0.0,0.0,0.12199999999943657,0.0
2016.4499999999969,0.092,0.03749999999952464,0.0,0.0,0.0,0.0,0.12949999999952463,0.0
2016.4999999999968,0.092,0.04499999999951825,0.0,0.0,0.0,0.0,0.13699999999951826,0.0
2016.5499999999968,0.092,0.052499999999511854,0.0,0.0,0.0,0.0,0.14449999999951185,0.0
