E_keV,"central (g1=1, Eb=100, g2=2.5)|helm","central (g1=1, Eb=100, g2=2.5)|wimpydd","soft high-E (g1=1, Eb=100, g2=3)|helm","soft high-E (g1=1, Eb=100, g2=3)|wimpydd","hard high-E (g1=1, Eb=100, g2=2)|helm","hard high-E (g1=1, Eb=100, g2=2)|wimpydd","Honda-like (g1=1.5, Eb=1000, g2=2.7)|helm","Honda-like (g1=1.5, Eb=1000, g2=2.7)|wimpydd","steep low-E (g1=2, Eb=100, g2=2.5)|helm","steep low-E (g1=2, Eb=100, g2=2.5)|wimpydd","low break (g1=1, Eb=50, g2=2.5)|helm","low break (g1=1, Eb=50, g2=2.5)|wimpydd","high break (g1=1, Eb=150, g2=2.5)|helm","high break (g1=1, Eb=150, g2=2.5)|wimpydd",single power law E^-2 above 10 MeV|helm,single power law E^-2 above 10 MeV|wimpydd
10.5,0.0020651866197330484,0.00217683182096682,0.002107260102427732,0.0022134249010453523,0.002004744189565744,0.0021240632731038293,0.001992426299333072,0.0021138875441536874,0.0022005078574534958,0.002293351118858828,0.002231383329856991,0.0023256963772608514,0.0019994046431566588,0.002118752241070711,0.0021343464000131694,0.0022368211407268693
11.0,0.0019836438206991044,0.0020836273429532077,0.002020689864628894,0.0021151301187644616,0.0019303114962937575,0.0020381055092249492,0.001915881021711313,0.0020256244431832884,0.0020885897562597923,0.002169159818836803,0.0021251243863779296,0.0022072624065620364,0.0019258781517510473,0.0020337570170066233,0.002032363891118965,0.002122553289065947
11.5,0.0019060555373263035,0.001994791830266578,0.0019384828678426051,0.002021645807415487,0.001859260430940197,0.001955893342434361,0.0018431908604154264,0.0019416295718028209,0.0019843879985102656,0.0020533863713008207,0.0020250809378564508,0.00209564479612437,0.0018556473015335364,0.0019524115514110317,0.0019371014578789848,0.0020156502477767222
12.0,0.001832140925905014,0.0019100030460124085,0.001860321771122702,0.0019326104548095366,0.0017913610228248895,0.001877159673471178,0.0017740510180582275,0.001861552669300486,0.001887134020112684,0.0019451808303249513,0.0019307559981361238,0.001990287584934417,0.0017884904761395917,0.0018744580245919121,0.0018479018878107454,0.0019153796593838774
12.5,0.0017616493455058966,0.0018306428959891682,0.0017859236307207157,0.0018493883763618737,0.0017264076705441026,0.0018033101879470826,0.0017081932553159674,0.0017867146975016845,0.0017961638397692042,0.0018454920129775641,0.0018417082873757689,0.0018924232172516727,0.001724209437227396,0.0018013084631501482,0.0017641970348166761,0.0018227706779428562
13.0,0.0016943559154905569,0.0017547720884764685,0.0017150348333335261,0.0017699870627557075,0.001664215567229584,0.0017324813424411745,0.0016453800746356096,0.0017152062389502248,0.001710900158184233,0.0017519543844981389,0.0017575439701457707,0.0017998467617242584,0.0016626258983724435,0.0017311094199133409,0.0016854925829938733,0.0017355762496861393
13.5,0.0016300578837908403,0.0016821601207701693,0.0016474269542094532,0.001694148773884045,0.0016046177780001402,0.0016644809053516791,0.0015854000265080673,0.0016467861537087832,0.0016308380936522605,0.0016640148847702197,0.0016779099029870326,0.001712167310073036,0.0016035787239593931,0.0016636750194379151,0.001611355905355687,0.0016533186295021403
14.0,0.0015685716325441114,0.0016125969906276862,0.0015828933422948183,0.001621639121483585,0.0015474628301143276,0.0015991331491594348,0.00152806388765455,0.0015812372622818,0.0015555337088639346,0.001581186029357771,0.0016024880685447868,0.0016290317560468395,0.0015469216193978877,0.0015988352008883145,0.001541406298153847,0.0015755761410264485
14.5,0.0015097301897057309,0.0015470343430879984,0.0015212462825525753,0.0015533925477450152,0.0014926127101443742,0.0015374134006769227,0.0014732015233930118,0.0015194863878673593,0.0014845947030609722,0.0015041480157005156,0.0015309909516555186,0.001551266795404737,0.0014925212113903062,0.0015375704753765862,0.0014753070581279193,0.0015030859436603653
15.0,0.0014533811460006375,0.0014841555670201078,0.0014623146206516736,0.001488064643023035,0.0014399411872189464,0.0014780447022801288,0.0014206592919611917,0.0014602387836075133,0.0014176728005516558,0.0014313899502252539,0.001463157670003791,0.0014774210725312547,0.0014402554406755018,0.0014786089538401962,0.001412759003529373,0.0014343950084070775
