m_GeV,epoch,delta_keV,N_std,spread_gaia_dex,spread_shape_dex,spread_single_dex,spread_envelope_dex,spread_envelope_plus_rho_dex,lr_std,lr_vesc500,lr_vesc528,lr_vesc560,lr_vesc600,lr_v0_220,lr_v0_250,lr_king1,lr_king2,lr_king3,lr_shmpp,lr_shmpp_iso,lr_shmpp_evans,lr_env_low,lr_env_high
400,june16,310,157.5,1.571,5.29,6.075,inf,inf,0,-3.845,-0.5988,0.349,0.7849,-1.084,0.4874,-0.7308,-2.988,-5.29,-0.09691,0.3309,-1.073,-inf,1.097
400,june16,320,37.59,2.422,5.8,inf,inf,inf,0,-inf,-1.055,0.5443,1.165,-1.632,0.6497,-0.8883,-3.325,-5.8,-0.09691,0.3416,-1.772,-inf,1.509
400,june16,330,4.265,3.886,6.327,inf,inf,inf,0,-inf,-1.76,0.9122,1.826,-2.466,0.9551,-1.069,-3.685,-6.327,-0.09691,0.3495,-2.931,-inf,2.211
400,june16,340,0.1772,inf,6.855,inf,inf,inf,0,-inf,-inf,1.455,2.863,-inf,1.38,-1.208,-4.002,-6.855,-0.09691,0.3537,-inf,-inf,3.305
400,june16,342.5,0.07178,inf,7.117,inf,inf,inf,0,-inf,-inf,1.578,3.157,-inf,1.468,-1.271,-4.158,-7.117,-0.09691,0.3551,-inf,-inf,3.617
400,june16,345,0.02668,inf,7.554,inf,inf,inf,0,-inf,-inf,1.713,3.481,-inf,1.574,-1.398,-4.434,-7.554,-0.09691,0.3574,-inf,-inf,3.961
400,june16,347.5,0.007393,inf,8.277,inf,inf,inf,0,-inf,-inf,1.958,3.927,-inf,1.8,-1.622,-4.905,-8.277,-0.09691,0.3601,-inf,-inf,4.429
400,june16,350,0.0003537,inf,10.04,inf,inf,inf,0,-inf,-inf,2.963,5.129,-inf,2.79,-2.214,-6.087,-10.04,-0.09691,0.363,-inf,-inf,5.654
400,annual,100,1.43e+07,0.2524,0.9851,1.073,1.523,1.745,0,-0.02606,-0.007793,0.00626,0.0168,-0.1644,0.08801,-0.04318,-0.5438,-0.9851,-0.03375,0.07987,-0.08545,-1.416,0.1072
400,annual,125,4.547e+06,0.3422,1.451,1.571,2.212,2.434,0,-0.05119,-0.01545,0.01253,0.03391,-0.2222,0.12,-0.07501,-0.7966,-1.451,-0.05007,0.1193,-0.1255,-2.054,0.1573
400,annual,150,1.306e+06,0.4328,1.931,2.083,2.935,3.157,0,-0.09369,-0.02843,0.02321,0.06353,-0.2802,0.1526,-0.1193,-1.061,-1.931,-0.06814,0.1604,-0.1722,-2.716,0.2198
400,annual,175,3.36e+05,0.5221,2.356,2.541,3.607,3.829,0,-0.1596,-0.04879,0.0402,0.1113,-0.3368,0.1853,-0.174,-1.307,-2.356,-0.08215,0.1979,-0.2204,-3.308,0.2992
400,annual,200,7.896e+04,0.5992,2.67,2.885,4.186,4.408,0,-0.2357,-0.07378,0.06203,0.1751,-0.3846,0.2146,-0.2244,-1.485,-2.67,-0.08847,0.2238,-0.2636,-3.795,0.391
400,annual,225,1.917e+04,0.6411,2.97,3.201,4.86,5.082,0,-0.2675,-0.08681,0.07628,0.2248,-0.4099,0.2311,-0.2487,-1.618,-2.97,-0.09267,0.235,-0.2866,-4.4,0.4606
400,annual,250,5614,0.688,3.447,3.691,5.981,6.203,0,-0.3453,-0.09829,0.08127,0.2388,-0.4447,0.2433,-0.2965,-1.86,-3.447,-0.09605,0.2546,-0.3114,-5.497,0.4846
400,annual,260,3485,0.7379,3.703,3.96,6.685,6.907,0,-0.4544,-0.1198,0.09222,0.2572,-0.4803,0.2576,-0.3408,-2.007,-3.703,-0.09658,0.2686,-0.3455,-6.178,0.5072
400,annual,270,2075,0.8175,3.989,4.29,7.65,7.872,0,-0.6404,-0.1591,0.115,0.3007,-0.5359,0.2817,-0.4007,-2.178,-3.989,-0.0968,0.2839,-0.4045,-7.092,0.5576
400,annual,280,1135,0.9366,4.302,4.683,9.064,9.285,0,-0.9375,-0.2229,0.1538,0.3811,-0.6184,0.3182,-0.4749,-2.372,-4.302,-0.09688,0.299,-0.4978,-8.415,0.6488
400,annual,290,543.9,1.111,4.642,5.153,11.42,11.65,0,-1.419,-0.3216,0.2142,0.5109,-0.7399,0.3712,-0.5628,-2.586,-4.642,-0.0969,0.3127,-0.6408,-10.63,0.7946
400,annual,300,213.9,1.37,5.014,5.723,inf,inf,0,-2.32,-0.4729,0.3056,0.709,-0.9214,0.4482,-0.6648,-2.822,-5.014,-0.09691,0.3247,-0.8601,-inf,1.014
400,annual,310,63.23,1.79,5.427,6.431,inf,inf,0,-4.226,-0.7163,0.4428,1.003,-1.214,0.5607,-0.783,-3.087,-5.427,-0.09691,0.3349,-1.229,-inf,1.338
400,annual,320,12.13,2.659,5.901,inf,inf,inf,0,-inf,-1.176,0.6551,1.446,-1.762,0.7336,-0.9279,-3.399,-5.901,-0.09691,0.3437,-1.925,-inf,1.819
400,annual,330,1.114,4.165,6.39,inf,inf,inf,0,-inf,-1.87,1.026,2.155,-2.6,1.039,-1.092,-3.729,-6.39,-0.09691,0.3503,-3.126,-inf,2.579
400,annual,340,0.04033,inf,6.929,inf,inf,inf,0,-inf,-inf,1.543,3.196,-inf,1.442,-1.235,-4.055,-6.929,-0.09691,0.3543,-inf,-inf,3.688
400,annual,342.5,0.01548,inf,7.197,inf,inf,inf,0,-inf,-inf,1.672,3.496,-inf,1.538,-1.304,-4.218,-7.197,-0.09691,0.3558,-inf,-inf,4.01
400,annual,345,0.005205,inf,7.618,inf,inf,inf,0,-inf,-inf,1.837,3.847,-inf,1.678,-1.433,-4.489,-7.618,-0.09691,0.358,-inf,-inf,4.384
400,annual,347.5,0.001231,inf,8.281,inf,inf,inf,0,-inf,-inf,2.142,4.344,-inf,1.963,-1.624,-4.908,-8.281,-0.09691,0.3601,-inf,-inf,4.905
400,annual,350,5.802e-05,inf,10.05,inf,inf,inf,0,-inf,-inf,3.144,5.535,-inf,2.945,-2.218,-6.094,-10.05,-0.09691,0.3631,-inf,-inf,6.122
1000,june16,100,7.917e+06,0.2127,0.7585,0.8327,1.191,1.412,0,-0.01867,-0.005599,0.004497,0.01203,-0.1385,0.07424,-0.03216,-0.4251,-0.7585,-0.02846,0.06302,-0.07121,-1.102,0.08822
1000,june16,125,2.797e+06,0.2928,1.148,1.251,1.76,1.982,0,-0.03599,-0.01086,0.008811,0.02381,-0.1901,0.1028,-0.05585,-0.6387,-1.148,-0.04397,0.0965,-0.106,-1.631,0.1297
