vmin_kms,eta_std_june16,eta_std_annual,eta_vesc500_june16,eta_vesc500_annual,eta_vesc528_june16,eta_vesc528_annual,eta_vesc560_june16,eta_vesc560_annual,eta_vesc600_june16,eta_vesc600_annual,eta_v0_220_june16,eta_v0_220_annual,eta_v0_250_june16,eta_v0_250_annual,eta_king1_june16,eta_king1_annual,eta_king2_june16,eta_king2_annual,eta_king3_june16,eta_king3_annual,eta_shmpp_june16,eta_shmpp_annual,eta_shmpp_iso_june16,eta_shmpp_iso_annual,eta_shmpp_evans_june16,eta_shmpp_evans_annual,eta_env_low_june16,eta_env_low_annual,eta_env_high_june16,eta_env_high_annual,eta_std_dec16,eta_std_wimpydd_june16,eta_std_wimpydd_annual
1.700000e+01,3.349256e-03,3.453659e-03,3.373621e-03,3.479810e-03,3.356568e-03,3.461486e-03,3.343395e-03,3.447399e-03,3.333617e-03,3.436990e-03,3.588661e-03,3.708735e-03,3.211201e-03,3.307137e-03,3.391303e-03,3.499960e-03,3.667455e-03,3.837250e-03,3.735555e-03,3.932006e-03,3.296751e-03,3.406128e-03,3.258121e-03,3.351681e-03,3.364637e-03,3.478644e-03,4.007154e-03,4.233447e-03,3.190083e-03,3.284622e-03,3.560838e-03,3.349461e-03,3.453892e-03
1.750000e+01,3.348836e-03,3.453181e-03,3.373193e-03,3.479324e-03,3.356146e-03,3.461006e-03,3.342977e-03,3.446923e-03,3.333201e-03,3.436517e-03,3.588145e-03,3.708142e-03,3.210830e-03,3.306719e-03,3.390869e-03,3.499466e-03,3.667120e-03,3.836810e-03,3.735379e-03,3.931738e-03,3.296409e-03,3.405736e-03,3.257726e-03,3.351237e-03,3.364275e-03,3.478227e-03,4.006944e-03,4.233118e-03,3.189718e-03,3.284210e-03,3.560299e-03,3.349047e-03,3.453421e-03
1.800000e+01,3.348404e-03,3.452689e-03,3.372754e-03,3.478824e-03,3.355712e-03,3.460512e-03,3.342546e-03,3.446433e-03,3.332773e-03,3.436030e-03,3.587614e-03,3.707531e-03,3.210449e-03,3.306288e-03,3.390423e-03,3.498957e-03,3.666774e-03,3.836358e-03,3.735197e-03,3.931463e-03,3.296058e-03,3.405332e-03,3.257321e-03,3.350781e-03,3.363902e-03,3.477798e-03,4.006728e-03,4.232779e-03,3.189342e-03,3.283785e-03,3.559745e-03,3.348621e-03,3.452936e-03
1.850000e+01,3.347960e-03,3.452184e-03,3.372302e-03,3.478309e-03,3.355265e-03,3.460004e-03,3.342103e-03,3.445930e-03,3.332333e-03,3.435530e-03,3.587069e-03,3.706904e-03,3.210058e-03,3.305845e-03,3.389965e-03,3.498435e-03,3.666419e-03,3.835893e-03,3.735010e-03,3.931180e-03,3.295696e-03,3.404917e-03,3.256903e-03,3.350311e-03,3.363519e-03,3.477356e-03,4.006506e-03,4.232429e-03,3.188956e-03,3.283349e-03,3.559175e-03,3.348183e-03,3.452438e-03
1.900000e+01,3.347503e-03,3.451664e-03,3.371837e-03,3.477781e-03,3.354807e-03,3.459482e-03,3.341648e-03,3.445412e-03,3.331881e-03,3.435015e-03,3.586508e-03,3.706260e-03,3.209655e-03,3.305390e-03,3.389494e-03,3.497897e-03,3.666053e-03,3.835415e-03,3.734817e-03,3.930888e-03,3.295325e-03,3.404491e-03,3.256474e-03,3.349829e-03,3.363125e-03,3.476903e-03,4.006277e-03,4.232070e-03,3.188560e-03,3.282900e-03,3.558590e-03,3.347732e-03,3.451925e-03
1.950000e+01,3.347034e-03,3.451131e-03,3.371361e-03,3.477239e-03,3.354336e-03,3.458946e-03,3.341182e-03,3.444881e-03,3.331417e-03,3.434488e-03,3.585933e-03,3.705598e-03,3.209242e-03,3.304923e-03,3.389010e-03,3.497346e-03,3.665678e-03,3.834923e-03,3.734619e-03,3.930588e-03,3.294944e-03,3.404053e-03,3.256034e-03,3.349334e-03,3.362721e-03,3.476437e-03,4.006042e-03,4.231700e-03,3.188152e-03,3.282440e-03,3.557989e-03,3.347270e-03,3.451399e-03
2.000000e+01,3.346554e-03,3.450585e-03,3.370872e-03,3.476683e-03,3.353852e-03,3.458397e-03,3.340702e-03,3.444337e-03,3.330941e-03,3.433946e-03,3.585343e-03,3.704920e-03,3.208818e-03,3.304444e-03,3.388514e-03,3.496781e-03,3.665293e-03,3.834419e-03,3.734415e-03,3.930280e-03,3.294553e-03,3.403605e-03,3.255583e-03,3.348826e-03,3.362306e-03,3.475960e-03,4.005800e-03,4.231321e-03,3.187735e-03,3.281968e-03,3.557372e-03,3.346795e-03,3.450859e-03
2.050000e+01,3.346061e-03,3.450024e-03,3.370370e-03,3.476113e-03,3.353357e-03,3.457833e-03,3.340211e-03,3.443778e-03,3.330453e-03,3.433391e-03,3.584738e-03,3.704224e-03,3.208383e-03,3.303953e-03,3.388005e-03,3.496201e-03,3.664898e-03,3.833902e-03,3.734206e-03,3.929964e-03,3.294152e-03,3.403144e-03,3.255120e-03,3.348306e-03,3.361880e-03,3.475470e-03,4.005551e-03,4.230931e-03,3.187306e-03,3.281484e-03,3.556740e-03,3.346308e-03,3.450305e-03
2.100000e+01,3.345555e-03,3.449450e-03,3.369857e-03,3.475528e-03,3.352849e-03,3.457256e-03,3.339708e-03,3.443206e-03,3.329952e-03,3.432822e-03,3.584118e-03,3.703511e-03,3.207938e-03,3.303449e-03,3.387484e-03,3.495607e-03,3.664493e-03,3.833372e-03,3.733992e-03,3.929640e-03,3.293741e-03,3.402673e-03,3.254645e-03,3.347772e-03,3.361445e-03,3.474968e-03,4.005296e-03,4.230531e-03,3.186867e-03,3.280988e-03,3.556093e-03,3.345809e-03,3.449738e-03
2.150000e+01,3.345038e-03,3.448861e-03,3.369330e-03,3.474930e-03,3.352329e-03,3.456665e-03,3.339193e-03,3.442620e-03,3.329440e-03,3.432240e-03,3.583483e-03,3.702782e-03,3.207482e-03,3.302934e-03,3.386950e-03,3.494998e-03,3.664078e-03,3.832830e-03,3.733772e-03,3.929307e-03,3.293320e-03,3.402190e-03,3.254160e-03,3.347226e-03,3.360998e-03,3.474454e-03,4.005034e-03,4.230121e-03,3.186418e-03,3.280480e-03,3.555429e-03,3.345298e-03,3.449157e-03
2.200000e+01,3.344509e-03,3.448259e-03,3.368792e-03,3.474318e-03,3.351797e-03,3.456060e-03,3.338666e-03,3.442020e-03,3.328916e-03,3.431644e-03,3.582833e-03,3.702035e-03,3.207015e-03,3.302407e-03,3.386404e-03,3.494376e-03,3.663653e-03,3.832274e-03,3.733546e-03,3.928966e-03,3.292889e-03,3.401695e-03,3.253662e-03,3.346667e-03,3.360541e-03,3.473928e-03,4.004766e-03,4.229700e-03,3.185958e-03,3.279960e-03,3.554751e-03,3.344774e-03,3.448561e-03
2.250000e+01,3.343967e-03,3.447644e-03,3.368241e-03,3.473692e-03,3.351253e-03,3.455441e-03,3.338126e-03,3.441407e-03,3.328380e-03,3.431034e-03,3.582168e-03,3.701271e-03,3.206537e-03,3.301867e-03,3.385845e-03,3.493739e-03,3.663218e-03,3.831705e-03,3.733315e-03,3.928617e-03,3.292449e-03,3.401189e-03,3.253154e-03,3.346095e-03,3.360074e-03,3.473390e-03,4.004491e-03,4.229269e-03,3.185487e-03,3.279429e-03,3.554057e-03,3.344239e-03,3.447953e-03
