width,tail,line,f,rho_G_over_V,muV_best,L_best,L_bkg_floor,L_ratio_best_over_floor,N_line_assumed,muV_pred,muG_pred,P_0_in_G_pred,L_pred
raw,nest_skew,I125_K,0.4,4.137044198064605,0.1946644726897138,0.0716130574290254,0.00015997440204789079,447.65322771818796,500.0,9.560042386673178,39.55031788903797,6.660628069628125e-18,4.488501201818958e-21
raw,gauss,Xe124_KK,0.2,6.072267053986981,0.14139737546198164,0.05201718746806242,0.00015997440204789079,325.15944302445513,563.972127850864,1.4690808589302617,8.920651299325124,0.00013360120207629822,4.516919549508355e-05
raw,gauss,Xe124_KK,0.3,5.261814762901537,0.15969811274593343,0.05874965247310798,0.00015997440204789079,367.24408230962086,563.972127850864,3.557327832684487,18.718000106499762,7.428067498217255e-09,7.534802682765257e-10
raw,gauss,Xe124_KK,0.4,4.567785169080494,0.1796046308599129,0.06607285123254796,0.00015997440204789079,413.0213983407673,563.972127850864,7.27020589739374,33.20873867427667,3.7811860136125666e-15,1.913217963235736e-17
raw,gauss,I125_K,0.2,4.684487066766046,0.17591736743433364,0.06471638282409395,0.00015997440204789079,404.542114210998,500.0,1.941497687681893,9.094920808102012,0.00011223442338953935,3.126664084133301e-05
raw,gauss,I125_K,0.3,4.092987322195532,0.196348417291742,0.07223254602818321,0.00015997440204789079,451.5256510010851,500.0,4.721744764571009,19.326041460032272,4.043959866556065e-09,1.6993453525134363e-10
raw,gauss,I125_K,0.4,3.5817731709995844,0.21825611235613276,0.08029193664582565,0.00015997440204789079,501.90490239675364,500.0,9.718601910692845,34.809827583344926,7.62577460259796e-16,4.458128435331536e-19
raw,exp_tail,Xe124_KK,0.2,5.732139065794465,0.1485411977124672,0.054645252805399176,0.00015997440204789079,341.5874796584036,563.972127850864,1.5559092938490742,8.918688446104957,0.0001338636991633593,4.3946498357088875e-05
raw,exp_tail,Xe124_KK,0.3,5.261417038281409,0.15970825675500336,0.058753384245495865,0.00015997440204789079,367.26740961911605,563.972127850864,3.542557340193465,18.638871548782763,8.039720252848028e-09,8.242229846729819e-10
raw,exp_tail,Xe124_KK,0.4,4.567785169080494,0.1796046308599129,0.06607285123254796,0.00015997440204789079,413.0213983407673,563.972127850864,7.239471796330954,33.06835190325705,4.351081746986478e-15,2.2606923789657897e-17
