width,k,line,E_keV,tail,f,Ne_mean,sigma_Ne,z_event,z_ROI_edge,P_Ne_le_event,P_Ne_le_ROI,P_V,P_G,P_B,S1c_if_Ne_event,P_G_over_P_V
cal,0.5,I125_K,67.3,gauss,0.1,1060.6058341147543,143.551480112101,5.5169626418123805,4.536175184343782,1.724543582031472e-08,2.864180157379045e-06,2.7967922052829188e-08,2.5146639145224927e-06,3.4772398519015627e-09,521.2531628687107,89.9124328855212
cal,0.5,I125_K,67.3,gauss,0.2,942.7607414353372,143.49740124552025,4.697806750677737,3.7166496706682692,1.3148503118930224e-06,0.00010094103346207561,1.8251533253298671e-06,8.771044107893887e-05,3.2826156109673243e-07,521.2531628687107,48.05647824852557
cal,0.5,I125_K,67.3,gauss,0.3,824.91564875592,143.43758615489034,3.8781882943554677,2.89662206078147,5.26186265991998e-05,0.0018860193627104702,6.149727439297046e-05,0.001603128997151234,1.62331052327776e-05,521.2531628687107,26.06829348089746
cal,0.5,I125_K,67.3,gauss,0.4,707.0705560765028,143.37202766071977,3.0580084697874566,2.0759934038627432,0.0011140663916894818,0.018947280529854216,0.0010694887077869085,0.015401048154463989,0.00042326356659105424,521.2531628687107,14.400384073557314
cal,0.5,I125_K,67.3,exp_tail,0.0,1178.4509267941714,143.59982923531936,6.335754370179824,5.355297137432834,4.607473866563952e-06,3.2739889737193e-05,2.7421383020264814e-06,2.3901393462319882e-05,2.498100884169726e-06,521.2531628687107,8.716334053850016
cal,0.5,I125_K,67.3,exp_tail,0.1,1060.6058341147543,143.551480112101,5.5169626418123805,4.536175184343782,2.3694979620580466e-05,0.00016848354854596866,1.4106492985753372e-05,0.00012301523906367183,1.2845304684686828e-05,521.2531628687107,8.720469303597223
cal,0.5,I125_K,67.3,exp_tail,0.2,942.7607414353372,143.49740124552025,4.697806750677737,3.7166496706682692,0.00012194559194740621,0.0008677374028717849,7.262418418396809e-05,0.0006336532994757368,6.609796464024381e-05,521.2531628687107,8.725100413804261
cal,0.5,I125_K,67.3,exp_tail,0.3,824.91564875592,143.43758615489034,3.8781882943554677,2.89662206078147,0.0006281706657274453,0.004473580427188347,0.00037424972624141694,0.0032672861505546437,0.00034042891521560007,521.2531628687107,8.730229901215795
cal,0.5,I125_K,67.3,exp_tail,0.4,707.0705560765028,143.37202766071977,3.0580084697874566,2.0759934038627432,0.003239491135141268,0.023091079919092827,0.0019308369015443997,0.01686752193808482,0.0017552753598499527,521.2531628687107,8.73586056108269
cal,0.5,I125_K,67.3,neg_skew,0.0,1178.4509267941714,143.59982923531936,6.335754370179824,5.355297137432834,6.57920704496179e-07,1.5674102387599497e-05,6.504848711092121e-07,1.307000493468955e-05,2.4744696872951906e-07,521.2531628687107,20.092711629714724
cal,0.5,I125_K,67.3,neg_skew,0.1,1060.6058341147543,143.551480112101,5.5169626418123805,4.536175184343782,9.559827193561005e-06,0.0001617612252854996,8.546450258649517e-06,0.0001316966977883166,3.946731026538095e-06,521.2531628687107,15.409520187054467
cal,0.5,I125_K,67.3,neg_skew,0.2,942.7607414353372,143.49740124552025,4.697806750677737,3.7166496706682692,0.00010438726606730075,0.0012584099598878583,8.352959725179512e-05,0.0009911555436183128,4.7222467454752217e-05,521.2531628687107,11.86592029925072
cal,0.5,I125_K,67.3,neg_skew,0.3,824.91564875592,143.43758615489034,3.8781882943554677,2.89662206078147,0.000858789903264074,0.007406729397565215,0.0006072096269430381,0.005572175941885829,0.0004245070939754958,521.2531628687107,9.176692355716803
cal,0.5,I125_K,67.3,neg_skew,0.4,707.0705560765028,143.37202766071977,3.0580084697874566,2.0759934038627432,0.005341276725135919,0.033149940278687784,0.003282126428932469,0.023399255714465203,0.0028719174452384155,521.2531628687107,7.129297490857458
cal,0.5,beta_at_Eee,69.6,nest_skew,0.0,1226.455611560738,150.1760157853247,6.3779687148613,5.440445566049943,1.4400533831110174e-19,3.0666300783666257e-14,9.583495954910531e-19,2.949232167007034e-14,3.2451890825605287e-21,540.0770500593699,30774.074313621044
cal,0.5,beta_at_Eee,69.6,nest_skew,0.1,1103.8100504046643,150.12824348533618,5.563059620602433,4.625238142602169,6.9934366243293634e-15,2.178127091654952e-10,3.460154568435286e-14,2.0954702894244203e-10,2.6790844970633024e-16,540.0770500593699,6056.001973264482
cal,0.5,beta_at_Eee,69.6,nest_skew,0.2,981.1644892485904,150.07473431936438,4.747813223329702,3.8096573649599117,6.38344117123628e-11,2.981167637941167e-07,2.343306431338142e-10,2.8679000108606325e-07,4.136968709918677e-12,540.0770500593699,1223.8689624655374
cal,0.5,beta_at_Eee,69.6,nest_skew,0.3,858.5189280925165,150.01548214854475,3.932135793484289,2.9936093882190753,1.1183481576137213e-07,8.171643986705501e-05,3.026446410831901e-07,7.841698559661539e-05,1.2164783151015425e-08,540.0770500593699,259.1058124008228
cal,0.5,beta_at_Eee,69.6,nest_skew,0.4,735.8733669364427,149.95048016491984,3.11593324184853,2.17699999508498,3.8948173043173995e-05,0.004809774510966952,7.643491060794504e-05,0.004552177982596902,7.013714913761983e-06,540.0770500593699,59.556267501197624
cal,0.5,beta_at_Eee,69.6,gauss,0.0,1226.455611560738,150.1760157853247,6.3779687148613,5.440445566049943,8.972607954254588e-11,2.657373878777561e-08,1.8818711514603297e-10,2.5399488335035754e-08,1.5582012860660568e-11,540.0770500593699,134.9693272853765
cal,0.5,beta_at_Eee,69.6,gauss,0.1,1103.8100504046643,150.12824348533618,5.563059620602433,4.625238142602169,1.3254263608604844e-08,1.8708412413044871e-06,2.412603906239776e-08,1.7757196716141322e-06,2.8209779544347676e-09,540.0770500593699,73.60179045642533
cal,0.5,beta_at_Eee,69.6,gauss,0.2,981.1644892485904,150.07473431936438,4.747813223329702,3.8096573649599117,1.0281389625059188e-06,6.957975532067434e-05,1.6058675211142313e-06,6.515890021524272e-05,2.6777093722877146e-07,540.0770500593699,40.575514081032175
cal,0.5,beta_at_Eee,69.6,gauss,0.3,858.5189280925165,150.01548214854475,3.932135793484289,2.9936093882190753,4.209724031341854e-05,0.001378493296589603,5.5495009088508446e-05,0.00125828518449858,1.3384172072755647e-05,540.0770500593699,22.673844101759734
cal,0.5,beta_at_Eee,69.6,gauss,0.4,735.8733669364427,149.95048016491984,3.11593324184853,2.17699999508498,0.0009168188908616658,0.014740283903556119,0.0009953332853440125,0.012820801916914988,0.0003544024697664061,540.0770500593699,12.88091346456257
cal,0.5,beta_at_Eee,69.6,exp_tail,0.0,1226.455611560738,150.1760157853247,6.3779687148613,5.440445566049943,4.234439836097776e-06,2.7613294647417672e-05,2.801082147261212e-06,2.1254047621453252e-05,2.2831017792089067e-06,540.0770500593699,7.587798752076808
cal,0.5,beta_at_Eee,69.6,exp_tail,0.1,1103.8100504046643,150.12824348533618,5.563059620602433,4.625238142602169,2.1608121464877348e-05,0.0001409932749382129,1.4298031459137366e-05,0.00010853699931814141,1.1649261980391153e-05,540.0770500593699,7.591044937083227
cal,0.5,beta_at_Eee,69.6,exp_tail,0.2,981.1644892485904,150.07473431936438,4.747813223329702,3.8096573649599117,0.00011033950617086935,0.000720448366217652,7.30357025334269e-05,0.0005546831674307665,5.947832292098809e-05,540.0770500593699,7.594685177114572
cal,0.5,beta_at_Eee,69.6,exp_tail,0.3,858.5189280925165,150.01548214854475,3.932135793484289,2.9936093882190753,0.0005639225345650994,0.003684793269596618,0.0003734084827212398,0.0028374270049493864,0.00030393979358818457,540.0770500593699,7.59872133667517
cal,0.5,beta_at_Eee,69.6,exp_tail,0.4,735.8733669364427,149.95048016491984,3.11593324184853,2.17699999508498,0.002885120642640544,0.018867355563093144,0.0019111946246987029,0.014531109900157655,0.0015547718034015735,540.0770500593699,7.603155488389082
cal,0.5,beta_at_Eee,69.6,neg_skew,0.0,1226.455611560738,150.1760157853247,6.3779687148613,5.440445566049943,5.686661190083839e-07,1.2097307067290384e-05,6.294517896929189e-07,1.0788849228820074e-05,2.193120074900896e-07,540.0770500593699,17.14007237009123
cal,0.5,beta_at_Eee,69.6,neg_skew,0.1,1103.8100504046643,150.12824348533618,5.563059620602433,4.625238142602169,8.285761455876481e-06,0.00012724735076316508,8.298158302344151e-06,0.0001105241141061014,3.484594031295636e-06,540.0770500593699,13.319113721279502
cal,0.5,beta_at_Eee,69.6,neg_skew,0.2,981.1644892485904,150.07473431936438,4.747813223329702,3.8096573649599117,9.095379958337712e-05,0.001011256120001963,8.158904073229709e-05,0.0008475694924129848,4.162024616825766e-05,540.0770500593699,10.388276229327865
cal,0.5,beta_at_Eee,69.6,neg_skew,0.3,858.5189280925165,150.01548214854475,3.932135793484289,2.9936093882190753,0.0007540774970783776,0.006093361542190491,0.0005982164930666596,0.004865974901422735,0.0003742101539724278,540.0770500593699,8.13413698522103
cal,0.5,beta_at_Eee,69.6,neg_skew,0.4,735.8733669364427,149.95048016491984,3.11593324184853,2.17699999508498,0.0047375399247302115,0.027972042236733802,0.003269998209156247,0.020912949518476096,0.0025364106587159427,540.0770500593699,6.395400908758367
raw,1.0,Xe124_KK,64.3,nest_skew,0.0,1118.3103491653558,270.23241543842374,3.14422926142088,2.623220369994665,3.264984275043459e-05,0.0006243104880268857,1.827246758443201e-05,0.0003727828118163579,1.1226219774548668e-05,496.7002665330681,20.40133934258369
raw,1.0,Xe124_KK,64.3,nest_skew,0.1,1006.4793142488202,270.13414958583024,2.731389697380575,2.2101912801835413,0.0003560831511897622,0.004194067579269017,0.00017138959473205612,0.0024051466191196027,0.00014075197517175093,496.7002665330681,14.033212593096541
raw,1.0,Xe124_KK,64.3,nest_skew,0.2,894.6482793322847,270.02440062511255,2.3183482556525843,1.7969380021011965,0.0026403910725158464,0.019598567645247478,0.001070311648327771,0.010535783445317236,0.0011922027681766955,496.7002665330681,9.843659518961687
raw,1.0,Xe124_KK,64.3,nest_skew,0.3,782.817244415749,269.9031545483668,1.9050520699423226,1.3834075881258963,0.01354385553454801,0.06538758522504529,0.004499414481219889,0.03182194572109921,0.006909402649012892,496.7002665330681,7.072463729207627
raw,1.0,Xe124_KK,64.3,nest_skew,0.4,670.9862094992135,269.7703958537417,1.4914480407180402,0.9695468485971155,0.049222175317973405,0.16132928241726452,0.012943617852833378,0.06777050458853526,0.027839173509030427,496.7002665330681,5.235823968157418
raw,1.0,Xe124_KK,64.3,gauss,0.0,1118.3103491653558,270.23241543842374,3.14422926142088,2.623220369994665,0.0008326246071580513,0.0043551456606710885,0.00026731655231852986,0.002173540205214392,0.0004303755810167819,496.7002665330681,8.130960041054392
raw,1.0,Xe124_KK,64.3,gauss,0.1,1006.4793142488202,270.13414958583024,2.731389697380575,2.2101912801835413,0.0031533924215453135,0.013545944947244726,0.0009081425377927726,0.006375396910325056,0.0017030815753810613,496.7002665330681,7.0202601959603905
raw,1.0,Xe124_KK,64.3,gauss,0.2,894.6482793322847,270.02440062511255,2.3183482556525843,1.7969380021011965,0.010215200904637414,0.03617273137907739,0.002604882025869802,0.015817539305212062,0.00572881920351511,496.7002665330681,6.072267053986981
raw,1.0,Xe124_KK,64.3,gauss,0.3,782.817244415749,269.9031545483668,1.9050520699423226,1.3834075881258963,0.028386651454439835,0.08326996258188679,0.006307630567206296,0.03318958363745508,0.016388123002118126,496.7002665330681,5.261814762901537
