window,signal,case,exposure_tyr,kappa_DL,sigma_n_DL_cm2,n_crit
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",11547.819846894581,6.120300773618394e-07,1.8142058398245128e-44,4
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",13335.21432163324,5.252811147820423e-07,1.557060839386992e-44,4
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",15399.26526059492,5.455308049827072e-07,1.617085840731761e-44,5
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",17782.794100389227,4.6769511737231043e-07,1.3863619527519007e-44,5
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",20535.25026457146,4.0029218881750775e-07,1.1865632972144173e-44,5
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",23713.737056616552,4.0235944970589526e-07,1.1926911607212562e-44,6
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",27384.196342643612,3.437138315754823e-07,1.018851300838992e-44,6
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",31622.776601683792,2.929288185531466e-07,8.683121842030389e-45,6
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",36517.41272548377,2.874710813328191e-07,8.521341251441997e-45,7
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",42169.65034285822,2.442246033953496e-07,7.239410579599968e-45,7
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",48696.75251658631,2.3523454292258676e-07,6.972923346156059e-45,8
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",56234.13251903491,1.9898962475626066e-07,5.898535915970421e-45,8
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",64938.16315762113,1.8868550378570122e-07,5.593096736908717e-45,9
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",74989.42093324558,1.7674991971293952e-07,5.2392970279163296e-45,10
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",86596.43233600653,1.6385479381200617e-07,4.857054167964292e-45,11
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",100000.0,1.5050649435788254e-07,4.4613781429267135e-45,12
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",1.0,0.002575877145672994,7.635525659938455e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",1.1547819846894583,0.0022306121035551517,6.612076194190841e-41,1
