window,signal,case,exposure_tyr,kappa_DL,sigma_n_DL_cm2,n_crit
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",1539.926526059492,2.7905794357164057e-06,8.271955408782593e-44,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",1778.2794100389228,3.3130693096862445e-06,9.820742332280217e-44,3
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",2053.525026457146,2.8642847259708364e-06,8.490435795534066e-44,3
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",2371.373705661655,2.475653287599294e-06,7.338437795579214e-44,3
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",2738.4196342643613,2.1391123270334323e-06,6.340848627036163e-44,3
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",3162.2776601683795,1.8476798618340695e-06,5.476971997707449e-44,3
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",3651.741272548377,1.5953097443025479e-06,4.728885656924235e-44,3
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",4216.965034285822,1.3767662262380632e-06,4.0810695750129923e-44,3
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",4869.675251658631,1.1875153364926236e-06,3.5200839599789537e-44,3
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",5623.413251903491,1.0236308178089236e-06,3.034290431441272e-44,3
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",6493.816315762113,1.1157387399402449e-06,3.307320689929617e-44,4
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",7498.942093324558,9.614748459423546e-07,2.8500450302571235e-44,4
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",8659.643233600653,8.278878173575829e-07,2.4540606230398064e-44,4
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",10000.0,7.122062165394891e-07,2.1111522537827245e-44,4
