UTC_h,Rrot_300,Rrot_350,Rrot_366,Rrot_380,Rrot_385,Rfull_300,Rfull_350,Rfull_366,Rfull_380,Rfull_385
3.750000000000000000e+00,1.006145370552258944e+00,1.017750789618300900e+00,1.030740279697009321e+00,1.051608433682189814e+00,1.051852246091697030e+00,1.007168151629815434e+00,1.020726110501433137e+00,1.035938782354372423e+00,1.060513255150949075e+00,1.060839297142866622e+00
3.833333333333333481e+00,1.006174457592881044e+00,1.017835348368580251e+00,1.030887895686256828e+00,1.051860797683026094e+00,1.052106825846838456e+00,1.007192386737342238e+00,1.020796661550239959e+00,1.036062162693699218e+00,1.060725031195279611e+00,1.061053144970269146e+00
3.916666666666666519e+00,1.006200584073315918e+00,1.017911303334186890e+00,1.031020498035154054e+00,1.052087519398499538e+00,1.052335543769969739e+00,1.007213656169392069e+00,1.020858581096252715e+00,1.036170452573243583e+00,1.060910921471746926e+00,1.061240859501830780e+00
4.000000000000000000e+00,1.006223737368165949e+00,1.017978616894649413e+00,1.031138019077573187e+00,1.052288475074060203e+00,1.052538273212647812e+00,1.007231947449369169e+00,1.020911832072074699e+00,1.036263585444733959e+00,1.061070805384994431e+00,1.061402316999719098e+00
4.083333333333333037e+00,1.006243906300833491e+00,1.018037255741429670e+00,1.031240398891950516e+00,1.052463555075801249e+00,1.052714901973506034e+00,1.007247249550487167e+00,1.020956381731991325e+00,1.036341502551830107e+00,1.061204576574546365e+00,1.061537407999318061e+00
4.166666666666666963e+00,1.006261081124189660e+00,1.018087190823511401e+00,1.031327585210727760e+00,1.052612663753528688e+00,1.052865332149454991e+00,1.007259552876488051e+00,1.020992201597622051e+00,1.036404152838736215e+00,1.061312142775605372e+00,1.061646037600884496e+00
4.250000000000000000e+00,1.006275253547074922e+00,1.018128397426313780e+00,1.031399533562434856e+00,1.052735719694795291e+00,1.052989480416334001e+00,1.007268849287912049e+00,1.021019267536143582e+00,1.036451493090456699e+00,1.061393426075255775e+00,1.061728125728225613e+00
4.333333333333333037e+00,1.006286416719976318e+00,1.018160855131621245e+00,1.031456207203014230e+00,1.052832655631376291e+00,1.053087277913626663e+00,1.007275132087837255e+00,1.021037559719831345e+00,1.036483487865238029e+00,1.061448362802781986e+00,1.061783607027962262e+00
4.416666666666666963e+00,1.006294565253637918e+00,1.018184547872499568e+00,1.031497577216698325e+00,1.052903418607894492e+00,1.053158670437119415e+00,1.007278396040191204e+00,1.021047062680580986e+00,1.036500109591733221e+00,1.061476903713314490e+00,1.061812431052312267e+00
4.500000000000000000e+00,1.006299695209761813e+00,1.018199463907563329e+00,1.031523622471555157e+00,1.052947969924870275e+00,1.053203618370571082e+00,1.007278637360571327e+00,1.021047765283789932e+00,1.036501338526089055e+00,1.061479013911564628e+00,1.061814562187095135e+00
