multiplet,mass_TeV,v_rel,S_tot,S_WW,S_ZZ,sigv_line
"(4,3/2)",2.4,0.00012204567192504444,575.0900803641091,4950.570513536345,0.3916888798556696,4.1102925293370474e-23
"(4,3/2)",2.4,0.00022250392714919803,574.8913072953839,4948.855866891453,0.39201854264115915,4.108984188616688e-23
"(4,3/2)",2.4,0.000405651399315671,574.2314960413264,4943.16422135235,0.3931146138472522,4.104641209821836e-23
"(4,3/2)",2.4,0.0007395512514097,572.0479398018302,4924.328339735363,0.39676152954347155,4.0902681933999433e-23
"(4,3/2)",2.4,0.001348290809262159,564.8937022235081,4862.612534275395,0.4089244819413243,4.043170598134906e-23
"(4,3/2)",2.4,0.0024580961804548745,542.2015720269093,4666.842260226717,0.4497792436950868,3.893724491585302e-23
"(4,3/2)",2.4,0.004481404746557171,477.0520369509389,4104.612432493841,0.589359041295956,3.464072106001938e-23
"(4,3/2)",2.4,0.008170139420154312,333.5120639142801,2864.5433137862524,1.0732356955403115,2.5126809761443067e-23
"(4,3/2)",2.4,0.01489514603563558,146.49424687189,1241.8276960065396,2.6274461923122825,1.246471291363423e-23
"(4,3/2)",2.4,0.027155641294884982,30.55694497217631,216.63052486336863,6.117071752664298,3.7219647669115066e-24
"(4,3/2)",2.4,0.04950799759681563,15.984603050624333,19.26387625249567,15.553886226920804,2.362269723092225e-25
"(4,3/2)",2.4,0.0902590294013043,10.978910914879233,52.03179101037148,5.586811803246294,2.622555022154454e-26
"(4,3/2)",2.4,0.16455305776676196,4.575022699411612,13.28388041666362,3.431155963355534,3.28198568126455e-27
"(4,3/2)",2.4,0.29999999999999993,2.678526466844861,5.938480917152947,2.2503470686008824,8.050688986361503e-28
"(5,2)",1.0,1e-06,136.8875440990598,1075.1152689115659,67.56970356733414,6.267148748115401e-24
"(5,2)",1.0,1.8231201782055066e-06,136.8875440392273,1075.1152685646534,67.56970352871157,6.2671487475034356e-24
"(5,2)",1.0,3.3237671841800854e-06,136.8875438403602,1075.1152674116347,67.56970340033882,6.267148745469927e-24
"(5,2)",1.0,6.059627021136012e-06,136.88754317937173,1075.1152635792587,67.56970297365778,6.267148738710795e-24
"(5,2)",1.0,1.104742829463239e-05,136.88754098240136,1075.1152508413406,67.56970155547032,6.2671487162450285e-24
"(5,2)",1.0,2.01407894412228e-05,136.88753368018226,1075.1152085034614,67.56969684174467,6.26714864157416e-24
"(5,2)",1.0,3.67190796352817e-05,136.88750940931695,1075.1150677822798,67.56968117442435,6.267148393385815e-24
"(5,2)",1.0,6.694329500821696e-05,136.88742873872678,1075.1146000586612,67.5696290999622,6.267147568470006e-24
"(5,2)",1.0,0.00012204567192504444,136.88716060975278,1075.1130454635017,67.56945601727124,6.2671448266922184e-24
"(5,2)",1.0,0.00022250392714919803,136.88626942565116,1075.1078784531476,67.56888073839656,6.267135714215488e-24
"(5,2)",1.0,0.000405651399315671,136.88330749389524,1075.0907056409305,67.56696873036336,6.267105432588498e-24
"(5,2)",1.0,0.0007395512514097,136.87346445333523,1075.033639662248,67.5606145998064,6.2670048511568204e-24
"(5,2)",1.0,0.001348290809262159,136.84076759206812,1074.84410312509,67.53950531728474,6.2666712889799934e-24
"(5,2)",1.0,0.0024580961804548745,136.73230165626163,1074.2156444532986,67.46945731840061,6.2655708507882526e-24
"(5,2)",1.0,0.004481404746557171,136.37410269053183,1072.1434667004187,67.23788998494983,6.26200402318701e-24
"(5,2)",1.0,0.008170139420154312,135.20867650014273,1065.4372510916721,66.48182662531521,6.251140383036997e-24
"(5,2)",1.0,0.01489514603563558,131.59742767499276,1045.047552399322,64.11019786414975,6.2256121390992226e-24
"(5,2)",1.0,0.027155641294884982,122.03108264726532,995.2527505506042,57.51599881016456,6.2473357561732084e-24
"(5,2)",1.0,0.04950799759681563,107.69205007107269,970.5495284137918,43.94268997054895,7.404119421152346e-24
"(5,2)",1.0,0.0902590294013043,52.33328329869191,694.6259753686742,4.8796201568389295,1.459012967809156e-23
"(5,2)",1.0,0.16455305776676196,9.68426034465569,37.7299382377352,7.612198545176116,5.225304320341317e-25
"(5,2)",1.0,0.29999999999999993,4.1913313786106725,9.636855194268533,3.789006930629859,1.4618862257462562e-26
"(5,2)",4.5,1e-06,532.3581120633818,5554.276815769676,161.33032141013842,2.5784994274924996e-24
"(5,2)",4.5,1.8231201782055066e-06,532.3581080272646,5554.276777174686,161.33031992728894,2.5784994122477547e-24
"(5,2)",4.5,3.3237671841800854e-06,532.3580946103666,5554.276648872172,161.33031499833322,2.5784993615654246e-24
"(5,2)",4.5,6.059627021136012e-06,532.3580500170733,5554.276222440699,161.33029861588602,2.5784991931197616e-24
