multiplet,mass_GeV,S_tot_MW,S_tot_sat,S_WW_MW,sigv_tree_tot,sigv_MW_tot,sigv_sat_tot,sigv_line_MW,sigv_line_sat
"(3,1)",918.8947580062622,4.343349387944741,4.3434951145995395,7.893299283775821,1.0814284746191105e-25,4.697021703342928e-25,4.697179296296938e-25,2.0242079983029064e-27,2.0241287780153183e-27
"(3,1)",983.1775893930661,4.9330661061474785,4.933286699083536,9.191909668800196,9.452015260645638e-26,4.662741611707973e-25,4.662950116487773e-25,2.344482744023662e-27,2.3443986786366094e-27
"(3,1)",1051.9574345837902,5.679319836375864,5.67966040935555,10.85463496146957,8.260722095412393e-26,4.691528285926399e-25,4.691809623800239e-25,2.755944684516846e-27,2.755863791613539e-27
"(3,1)",1125.5488897577948,6.641479818977197,6.642018061781228,13.024850610661908,7.21909622924617e-26,4.794548191779282e-25,4.794936754438983e-25,3.2948181836150624e-27,3.294758958012641e-27
"(3,1)",1204.2885592003443,7.909426792745075,7.910301539597746,15.92151826296813,6.308448430503433e-26,4.989621103687447e-25,4.9901729332284285e-25,4.016560956983488e-27,4.016564254539582e-27
"(3,1)",1288.536594916753,9.624169245804639,9.625639778631673,19.891188303891486,5.512395885361019e-26,5.305223095059156e-25,5.306033710969658e-25,5.0091750134435456e-27,5.009330742373201e-27
"(3,1)",1378.6783439528238,12.016512227366873,12.019089282885647,25.506145378657987,4.8165841667768903e-26,5.787854253421618e-25,5.789095513902482e-25,6.418385206853294e-27,6.418895527922717e-27
"(3,1)",1475.1261109563582,15.484180228086112,15.488938184076956,33.76136879347682,4.208441102692979e-26,6.516426051338353e-25,6.51842840909402e-25,8.498284177179607e-27,8.499623674118787e-27
"(3,1)",1578.3210440416474,20.757684323761065,20.767078734434058,46.500749097995715,3.6769592900409604e-26,7.632516021399086e-25,7.635970307958939e-25,1.172118286909509e-26,1.172454170934474e-26
"(3,1)",1688.7351525827733,29.292651045901334,29.31293481900365,67.43142357223745,3.212504225147318e-26,9.410276525072403e-25,9.416792695751716e-25,1.7039659575887877e-26,1.7048319515153817e-26
"(3,1)",1806.873466165042,44.32061813136077,44.370231857954266,104.85716103256586,2.8066452620349526e-26,1.2439225288884411e-24,1.2453150101951965e-24,2.659441291348831e-26,2.6618742875215724e-26
"(3,1)",1933.2763445695211,74.18698611278398,74.33312921645737,180.41440019016443,2.4520068547793958e-26,1.8190699848397018e-24,1.8226534237595605e-24,4.598209165369039e-26,4.606221653360696e-26
"(3,1)",2068.52194935641,145.999166656696,146.58389443490896,365.01348756768937,2.1421377797376664e-26,3.127503307055243e-24,3.1400289817009634e-24,9.360854907678835e-26,9.39597412538101e-26
"(3,1)",2213.228888352219,391.0675023645334,395.33131003917254,1005.3017717092418,1.871396262496178e-26,7.318422623087031e-24,7.398215360550252e-24,2.5977605178103733e-25,2.6253465955761634e-25
"(3,1)",2368.0590451364865,2464.1539065864263,2641.0285442805853,6514.547989898565,1.6348491493865625e-26,4.0285199181403936e-23,4.317683269122746e-23,1.6988224833751363e-24,1.820192626216645e-24
"(3,1)",2533.7206064700063,8591.488195802598,11070.3013599115,23364.97439138297,1.4281834625764242e-26,1.227022136016583e-22,1.5810421327962904e-22,6.1593283383415235e-24,7.933642595990469e-24
"(3,1)",2710.9713015119237,750.9830970766583,764.904359899626,2101.59977915904,1.2476288603374152e-26,9.369481855384136e-24,9.543167548086905e-24,5.611403130980092e-25,5.713188543875059e-25
"(3,1)",2900.621867641682,275.78494843012425,277.4519198850625,794.5158430003912,1.089889690153569e-26,3.0057517199352614e-24,3.0239198699604364e-24,2.1536221278765207e-25,2.16568816118598e-25
"(3,1)",3103.5397587384286,153.3066217672917,153.75254624406833,454.9429338553927,9.52085472380144e-27,1.4596100740431597e-24,1.4638556562043372e-24,1.2553217595008895e-25,1.2583499486901399e-25
"(3,1)",3320.6531128793254,105.06405850210284,105.24067915809545,321.40190896204075,8.316987870305973e-27,8.738165001671065e-25,8.752854520206425e-25,9.057881561271309e-26,9.068021531705042e-26
"(3,1)",3552.9549976048797,82.56702976575154,82.65880701333276,260.6396831573861,7.265296569695049e-27,5.998739581270237e-25,6.005407470490516e-25,7.533688761168635e-26,7.537243810690195e-26
"(3,1)",3801.5079521690013,72.22349125886677,72.28610041752337,235.57607921057104,6.346556284248354e-27,4.58370452319317e-25,4.587678048686406e-25,7.020914607879203e-26,7.021844944640751e-26
"(3,1)",4067.448847549763,69.67063615292884,69.73091194467212,235.22117083404444,5.5439684543161574e-27,3.8625180902397625e-25,3.8658597611195996e-25,7.278434031513524e-26,7.278534299260955e-26
"(3,1)",4351.994086450461,74.58881619069264,74.67580481272498,261.2457183698751,4.8428549969088536e-27,3.6122282120261186e-25,3.6164409448549537e-25,8.470506209517159e-26,8.471921842212161e-26
"(3,1)",4656.445167075474,91.02317011333805,91.21158776598199,331.674553367808,4.2303911243851395e-27,3.85063610960864e-25,3.858606913262864e-25,1.1411145901789945e-25,1.1421180668803656e-25
