label,R_lo,R_mid,R_hi,R_hi_over_lo,N_lo,N_mid,dRdE_248,pct_248_in_1_300,node1,node2,peak_accepted,f248_over_fpeak,onset,halo,m,delta,r,rho_lo,rho_hi,rho_248,ratio_enh,r_Nlo_min,Nlo_min,r_max_rho_hi,max_rho_hi,r_max_ratio_enh,max_ratio_enh
xeno,0.0,2930230222.0017095,42133351216.42452,inf,0.0,0.06954657385191426,817963148.6943674,0.6577727934799223,nan,363.7151415920899,248.0,1.0,154.0,sunframe,1000.0,350.0,-0.7,nan,0.32799397136839087,1.3213644648583684,nan,-1.116443389948765,0.006357947609026381,2.0,1.812466838392461,nan,nan
N_mid-min,0.0,244654072.81945395,38480039135.9184,inf,0.0,0.006357947609026381,927988685.1743708,0.44237917903805235,nan,184.61235067739324,256.5,0.8827851214745164,154.0,sunframe,1000.0,350.0,-1.116443389948765,nan,0.29955416529224355,1.4991033206536646,nan,-1.116443389948765,0.006357947609026381,2.0,1.812466838392461,nan,nan
vec,0.0,454895852.27359885,38808218745.213234,inf,0.0,0.011721636987776141,894794676.8152342,0.4967478591506869,nan,nan,255.0,0.9245143870984188,154.0,sunframe,1000.0,350.0,-1.0,nan,0.3021089331962212,1.4454806321963836,nan,-1.116443389948765,0.006357947609026381,2.0,1.812466838392461,nan,nan
r=-2,0.0,12324794076.987133,53526358853.39447,inf,0.0,0.23025653791889739,1241305089.8420198,0.38481871554175107,nan,218.99833928948857,261.5,0.6183277247244598,154.0,sunframe,1000.0,350.0,-2.0,nan,0.41668470478490294,2.0052449042272658,nan,-1.116443389948765,0.006357947609026381,2.0,1.812466838392461,nan,nan
r=+2,0.0,150577626936.35358,232825321610.3822,inf,0.0,0.6467407664031289,689774077.3400779,0.9595058719834492,nan,256.3735739615243,202.5,0.08349802148678766,154.0,sunframe,1000.0,350.0,2.0,nan,1.812466838392461,1.1142836398344986,nan,-1.116443389948765,0.006357947609026381,2.0,1.812466838392461,nan,nan
iso,0.0,0.0,23125467.381614562,inf,0.0,0.0,-4434.753994693205,0.07630363980662719,nan,250.4069282191016,271.0,-0.0014532898699498949,227.5,sunframe,1000.0,380.0,1.0,nan,1.0,nan,nan,-1.9700064177986216,0.0,-2.0,19.230559876801127,nan,nan
p-only,0.0,0.0,31027890.388545524,inf,0.0,0.0,1207624.081040451,0.40549782419986136,nan,277.108242749312,249.5,0.9017651617847552,227.5,sunframe,1000.0,380.0,0.0,nan,1.3417194937739345,nan,nan,-1.9700064177986216,0.0,-2.0,19.230559876801127,nan,nan
xeno,0.0,0.0,115473037.99721451,inf,0.0,0.0,2864670.2288317266,0.1564966383494331,nan,356.1257437806487,262.5,0.5195546476946588,227.5,sunframe,1000.0,380.0,-0.7,nan,4.9933277495190875,nan,nan,-1.9700064177986216,0.0,-2.0,19.230559876801127,nan,nan
N_mid-min,0.0,0.0,434593374.3217188,inf,0.0,0.0,7571095.677045808,0.07493952807882069,nan,nan,266.5,0.2966347098784106,227.5,sunframe,1000.0,380.0,-1.9700064177986216,nan,18.79284717364171,-1707.2188640239501,nan,-1.9700064177986216,0.0,-2.0,19.230559876801127,nan,nan
vec,0.0,0.0,171557962.98172405,inf,0.0,0.0,3778682.8543389146,0.12195136389534977,nan,387.21793041624414,262.5,0.4262994553753444,227.5,sunframe,1000.0,380.0,-1.0,nan,7.418572786040976,nan,nan,-1.9700064177986216,0.0,-2.0,19.230559876801127,nan,nan
r=-2,0.0,0.0,444715685.1611502,inf,0.0,0.0,7708741.565900697,0.07416786375431855,nan,nan,266.5,0.29418649174380485,227.5,sunframe,1000.0,380.0,-2.0,nan,19.230559876801127,nan,nan,-1.9700064177986216,0.0,-2.0,19.230559876801127,nan,nan
r=+2,0.0,0.0,147850693.96093124,inf,0.0,0.0,142506.34923348165,0.0036064735260831747,nan,244.14403450831045,271.0,0.009408002970073515,227.5,sunframe,1000.0,380.0,2.0,nan,6.393414304719176,nan,nan,-1.9700064177986216,0.0,-2.0,19.230559876801127,nan,nan
