R_lo,R_mid,R_hi,R_hi_over_lo,N_lo,N_mid,dRdE_248,pct_248_in_1_300,node1,node2,peak_accepted,f248_over_fpeak,onset,halo,m,delta,r,rho_lo,rho_hi,rho_248,ratio_enh
1.4984193670745928e+18,2.7135506815515428e+16,143613064252696.3,9.58430379427598e-05,10433.726032319933,188.94873496862917,3151899528320.0737,0.9999457258937474,88.66616136379334,219.33343827714003,9.5,3.832596580373452e-05,0.5,sunframe,400.0,0.0,-1.74,0.32654186106202215,0.12009231091770063,1.1150156524754602,0.36777003269081865
1.4685241812751928e+18,2.6510966586969536e+16,142225005658796.44,9.684893682533396e-05,10325.358571601972,186.40158574203485,3145702467873.0127,0.999944968486267,88.58098391853595,219.08228759727257,9.5,3.900897975017267e-05,0.5,sunframe,400.0,0.0,-1.73,0.32002697622922016,0.1189315866820747,1.1128233810100392,0.37162987971642
1.4389306348109294e+18,2.589407277457496e+16,140875250067619.5,9.790273878360372e-05,10214.218850509575,183.8085310382478,3139542114227.163,0.9999441899103437,88.49294730506818,218.7870870165634,9.5,3.9712201901576345e-05,0.5,sunframe,400.0,0.0,-1.72,0.313577825911087,0.11780289223521498,1.1106440949388339,0.37567354098761196
1.4096387276818022e+18,2.528482537833171e+16,139563797479165.47,9.90067843189033e-05,10100.31794163696,181.17037394390414,3133418467382.525,0.9999433893338621,88.40189126575683,218.59341535093756,9.5,4.043644341198374e-05,0.5,sunframe,400.0,0.0,-1.71,0.3071944101076226,0.11670622757712146,1.1084777942618442,0.37990999750364784
1.380648459887811e+18,2.4683224398239776e+16,138290647893434.28,0.000100163547717767,9983.671932405206,178.48802340748654,3127331527339.0977,0.9999425658826362,88.30764273094273,218.41462719558464,9.5,4.118255666961963e-05,0.5,sunframe,400.0,0.0,-1.7,0.3008767288188269,0.1156415927077941,1.1063244789790698,0.3843487436259245
1.3519598314289564e+18,2.4089269834299164e+16,137055801310425.92,0.00010137564602460455,9864.302120030814,175.76249676391245,3121281294096.88,0.9999417186378012,88.21488955275218,218.22044008469734,9.5,4.1951437841718724e-05,0.5,sunframe,400.0,0.0,-1.69,0.29462478204469994,0.11460898762723287,1.1041841490905102,0.388999821508038
1.3235728423052375e+18,2.3502961686509868e+16,135859257730140.5,0.00010264584871167154,9742.235195589485,172.9949219448423,3115267767655.8745,0.9999408466330245,88.1263292383347,217.86162116314512,9.5,4.2744029604631866e-05,0.5,sunframe,400.0,0.0,-1.68,0.2884385697852417,0.11360841233543788,1.1020568045961665,0.39387385820150744
1.2954874925166556e+18,2.2924299954871892e+16,134701017152577.97,0.00010397708810827919,9617.503415354588,170.18653934071764,3109290948016.08,0.9999399488515024,88.0349275116004,217.58249855305124,9.5,4.3561324074800414e-05,0.5,sunframe,400.0,0.0,-1.67,0.28231809204045233,0.11263986683240906,1.0999424454960383,0.3989821056748617
1.2677037820632095e+18,2.2353284639385228e+16,133581079577738.25,0.00010537247065740608,9490.144757554997,167.3387032807787,3103350835177.4976,0.999939024222736,87.94055128722076,217.32725717613175,9.5,4.4404365957676804e-05,0.5,sunframe,400.0,0.0,-1.66,0.2762633488103316,0.11170335111814637,1.0978410717901257,0.40433648400764244
1.2402217109448996e+18,2.1789915740049892e+16,132499445005621.47,0.00010683528907478393,9360.203062679104,164.45288309792863,3097447429140.1245,0.9999380716190581,87.84305936411651,217.06684357645847,9.5,4.527425593331885e-05,0.5,sunframe,400.0,0.0,-1.65,0.27027434009487966,0.11079886519264992,1.0957526834784281,0.4099496280473908
1.2130412791617254e+18,2.1234193256865868e+16,131456113436227.45,0.00010836903549322777,9227.728155451676,161.5306637463239,3091580729903.962,0.9999370898519021,87.74256726304837,216.8111374976062,9.5,4.617215429921774e-05,0.5,sunframe,400.0,0.0,-1.64,0.2643510658940963,0.10992640905591954,1.0936772805609456,0.41583493784722625
1.1861624867136888e+18,2.068611718983317e+16,130451084869556.45,0.0001099774156835599,9092.775946629978,158.57374594100224,3085750737469.011,0.9999360776677741,87.64186221462712,216.50558564674768,9.5,4.709928489294984e-05,0.5,sunframe,400.0,0.0,-1.63,0.258493526207982,0.10908598270795546,1.091614863037679,0.4220066332345425
1.1595853336007877e+18,2.01456875389518e+16,129484359305608.33,0.00011166436445304863,8955.408512806865,155.58394579073484,3079957451835.2725,0.999935033743913,87.53744644677263,216.19473030301106,9.5,4.805693931950058e-05,0.5,sunframe,400.0,0.0,-1.62,0.25270172103653626,0.10827758614875756,1.0895654309086278,0.42847981289807874
1.1333098198230231e+18,1.9612904304221732e+16,128555936744383.03,0.00011343406233297991,8815.69415247204,152.5631938976064,3074200873002.744,0.9999339566836075,87.42910311741421,215.98668795113608,9.5,4.904648151061922e-05,0.5,sunframe,400.0,0.0,-1.61,0.24697565037975938,0.10750121937832578,1.087528984173792,0.43527051842166514
1.1073359453803942e+18,1.9087767485642988e+16,127665817185880.56,0.00011529095367894388,8673.707416669888,149.5135338996133,3068481000971.4253,0.9999328450111334,87.31659772547461,215.7771240086164,9.5,5.0069352646358917e-05,0.5,sunframe,400.0,0.0,-1.6,0.2413153142376511,0.10675688239666015,1.0855055228331711,0.44239580373885556
1.0816637102729015e+18,1.857027708321556e+16,126814000630101.02,0.00011723976632081528,8529.529112703933,146.43712043579873,3062797835741.318,0.999931697166292,87.20316093464777,215.2253339296842,9.5,5.112707647207358e-05,0.5,sunframe,400.0,0.0,-1.59,0.23572071261021155,0.10604457520376072,1.0834950468867657,0.44987381053406345
