halo,delta,target,r,R_lo,R_mid,R_hi,R_hi_over_lo,N_lo,N_mid,dRdE_248,pct_248_in_1_300,node1,node2,peak_accepted,f248_over_fpeak,onset,R_hi_over_natural,dRdE248_over_natural,R_lo_over_natural,R_mid_over_natural
sunframe,350.0,136Xe-depleted,-1.0,0.0,207275606.139156,30648184394.266846,inf,0.0,0.00676306313851106,725209512.0275881,0.47079422045825764,nan,nan,256.5,0.9076147731816193,160.5,0.789734375480635,0.8104758899647951,nan,0.4556550803951699
sunframe,350.0,134+136Xe-depleted,1.0,0.0,36341418851.74731,114436184756.72786,inf,0.0,0.3175692979366891,720807614.4246294,0.963814284149622,nan,268.3302998655906,210.0,0.21817767833796808,168.0,0.8908472177730393,1.1644162322230989,nan,0.5222870575433372
sunframe,350.0,134+136Xe-depleted,0.0,0.0,9927564154.374424,53534478444.12217,inf,0.0,0.1854424371526575,647324001.8016632,0.8782906557364093,nan,293.7159256170537,218.5,0.549955765950162,168.0,0.8392913596939693,0.941741121567621,nan,0.5080532219713524
sunframe,350.0,134+136Xe-depleted,-0.7,0.0,1320176535.234409,30546578942.550545,inf,0.0,0.043218474242804304,620500920.9538311,0.6255454715658361,nan,369.55358248527074,249.0,0.9979503780090708,168.0,0.7249976102219661,0.7585927580530669,nan,0.45053679581960127
sunframe,350.0,134+136Xe-depleted,-1.0,0.0,122634951.1544868,25646713168.915413,inf,0.0,0.004781702448449576,615210889.9992754,0.4555038494948472,nan,nan,256.5,0.8963375792395036,168.0,0.660857776990313,0.6875441997363493,nan,0.2695890730626569
sunframe,350.0,136Xe-enriched (90/10 136/134),1.0,0.0,249692957158.2565,182890526491.78287,inf,0.0,1.3652591085382162,23752443.980700128,0.976271049810576,nan,251.68624874120462,193.0,0.0025023497180986674,154.0,1.4237412495759771,0.0383704760779675,nan,3.5885060078552797
sunframe,350.0,136Xe-enriched (90/10 136/134),0.0,0.0,72982987021.59995,111553761979.14133,inf,0.0,0.6542404821385274,815374911.959604,0.9616555945128867,nan,279.0840832886156,201.0,0.24771483723246104,154.0,1.7488936343738797,1.1862252626965157,nan,3.7349788053576938
sunframe,350.0,136Xe-enriched (90/10 136/134),-0.7,0.0,12610201518.975925,105781724662.57816,inf,0.0,0.11920964192255196,1883671262.9071703,0.7124575399565434,nan,353.07832555731915,242.0,0.9625910147253608,154.0,2.510641133652385,2.3028803509227598,nan,4.30348490172953
sunframe,350.0,136Xe-enriched (90/10 136/134),-1.0,0.0,2700233007.692258,114441699722.44252,inf,0.0,0.02359483487436119,2471132881.3878083,0.560109609665809,nan,173.17965519960646,254.5,0.9558274556332446,154.0,2.948903696760322,2.761675885447932,nan,5.935936751668144
sunframe,350.0,129Xe-enriched (80 % + natural rest),1.0,0.0,22550355258.55029,99858747723.79507,inf,0.0,0.22582253205221023,822561418.2086097,0.9409076841782565,nan,272.43355204655126,213.0,0.309000727414523,154.0,0.7773667723120475,1.3287926600596558,nan,0.3240863749043984
sunframe,350.0,129Xe-enriched (80 % + natural rest),0.0,0.0,6254958643.943006,45006248405.21312,inf,0.0,0.1389797831542539,594599304.244288,0.850902492934553,nan,296.72059552986406,219.5,0.6132397036285883,154.0,0.7055893046228638,0.8650360779205456,nan,0.32010388882277185
sunframe,350.0,129Xe-enriched (80 % + natural rest),-0.7,0.0,887969599.5797487,23606639507.877426,inf,0.0,0.03761524800187834,480577827.69014794,0.6138166862045334,nan,368.9629792654693,249.0,0.9679907453517667,154.0,0.5602839277279,0.587529925348405,nan,0.30303748589868673
sunframe,350.0,129Xe-enriched (80 % + natural rest),-1.0,0.0,110467215.65814553,18720371986.919697,inf,0.0,0.00590090921993063,443195178.8864959,0.448469339526755,nan,nan,258.0,0.8684982517613111,154.0,0.48238163441162174,0.49530377232900225,nan,0.2428406746423896
