m_GeV,delta_keV,N_iso_unit,N_p_unit,G_LZ_iso,G_LZ_p,G_relic_BL,N_th_BL,f_th_BL,NT_fraction_BL,dilution_D_BL,T_RH_NT_BL,G_relic_UB,N_th_UB,f_th_UB,NT_fraction_UB,dilution_D_UB,T_RH_NT_UB,G_relic_Ap,N_th_Ap,f_th_Ap,NT_fraction_Ap,dilution_D_Ap,T_RH_NT_Ap
6451.2,385.0,5.858612634274959,3.1035757379173874,6.815951804726971e-06,9.36467540783233e-06,6.724032640157214e-09,9.732100926199955e-07,9.732100926199955e-07,0.9999990267899074,1.0,,1.212192223099017e-08,3.1629328010149854e-06,3.1629328010149854e-06,0.999996837067199,1.0,0.0022751329108460583,6.060961115495085e-09,4.1888763239200044e-07,4.1888763239200044e-07,0.9999995811123676,1.0,
6451.2,387.5,5.619674979612636,3.086176064146186,6.9593439910979175e-06,9.391037040177978e-06,6.724032640157214e-09,9.335186927032469e-07,9.335186927032469e-07,0.9999990664813073,1.0,,1.212192223099017e-08,3.0339357512855527e-06,3.0339357512855527e-06,0.9999969660642487,1.0,0.0021823439074983393,6.060961115495085e-09,4.165392095514151e-07,4.165392095514151e-07,0.9999995834607904,1.0,
6451.2,390.0,3.736064804815404,2.1684892313962014,8.535258965112592e-06,1.1203282002193415e-05,6.724032640157214e-09,6.20620648898505e-07,6.20620648898505e-07,0.9999993793793511,1.0,,1.212192223099017e-08,2.0170171089201413e-06,2.0170171089201413e-06,0.9999979829828911,1.0,0.0014508062928964402,6.060961115495085e-09,2.9267960466034635e-07,2.9267960466034635e-07,0.9999997073203953,1.0,
7466.1,250.0,23187.145908252453,5535.204978126001,1.0834284992128321e-07,2.2174664039873843e-07,5.80880694686539e-09,0.0028745732214836847,0.0028745732214836847,0.9971254267785163,1.0,0.9051204335273497,1.0471975648097293e-08,0.009342362969821978,0.009342362969821978,0.9906576370301781,1.0,2.823460846971071,5.235987824048647e-09,0.0005575491505361817,0.0005575491505361817,0.9994424508494638,1.0,0.19828436254165638
7466.1,252.5,21841.84563929148,5215.544211422182,1.116295659418921e-07,2.2844101819237967e-07,5.80880694686539e-09,0.0027077927068264816,0.0027077927068264816,0.9972922072931735,1.0,0.8543064978066115,1.0471975648097293e-08,0.008800326297186066,0.008800326297186066,0.9911996737028139,1.0,2.6667813637379445,5.235987824048647e-09,0.0005253504172210156,0.0005253504172210156,0.999474649582779,1.0,0.19264788393472543
7466.1,255.0,19965.951011606478,4769.573177025352,1.1675591782750286e-07,2.388823950394137e-07,5.80880694686539e-09,0.0024752329737569093,0.0024752329737569093,0.997524767026243,1.0,0.7834234643450525,1.0471975648097293e-08,0.008044507164709957,0.008044507164709957,0.99195549283529,1.0,2.4476401148614624,5.235987824048647e-09,0.00048042872554486055,0.00048042872554486055,0.9995195712744551,1.0,0.1848071242015747
7466.1,257.5,18251.16825662182,4361.736257777127,1.2211768658886115e-07,2.4980101695970295e-07,5.80880694686539e-09,0.0022626467155065326,0.0022626467155065326,0.9977373532844934,1.0,0.7184054154750733,1.0471975648097293e-08,0.007353601825396233,0.007353601825396233,0.9926463981746038,1.0,2.246577700272422,5.235987824048647e-09,0.0004393482002919139,0.0004393482002919139,0.9995606517997081,1.0,0.17766740399983277
7466.1,260.0,16698.171717941157,3992.88898818966,1.2767017138322443e-07,2.6108401626186856e-07,5.80880694686539e-09,0.002070117532276636,0.002070117532276636,0.9979298824677234,1.0,0.6593480429975522,1.0471975648097293e-08,0.006727881979899069,0.006727881979899069,0.993272118020101,1.0,2.0638089078112976,5.235987824048647e-09,0.0004021950175915855,0.0004021950175915855,0.9995978049824085,1.0,0.17125349351345087
7466.1,262.5,15298.707477210752,3661.3528173257087,1.3338178725627479e-07,2.72648499859995e-07,5.80880694686539e-09,0.0018966221634742232,0.0018966221634742232,0.9981033778365258,1.0,0.6059740920378232,1.0471975648097293e-08,0.0061640220312912265,0.0061640220312912265,0.9938359779687088,1.0,1.8966578148967197,5.235987824048647e-09,0.0003688001006611927,0.0003688001006611927,0.9996311998993388,1.0,0.1655537684007328
7466.1,265.0,14031.49401722425,3361.8091928848235,1.3927460810309912e-07,2.84536098718311e-07,5.80880694686539e-09,0.0017395222818245189,0.0017395222818245189,0.9982604777181755,1.0,0.5575043784624647,1.0471975648097293e-08,0.005653447415929687,0.005653447415929687,0.9943465525840703,1.0,1.743919449222282,5.235987824048647e-09,0.00033862772330289526,0.00033862772330289526,0.9996613722766972,1.0,0.1604642465895581
