m_GeV,delta_keV,alpha_D_thermal,sigma_p_N1_cm2,eps_mA1GeV,eps_mA10GeV,mA_ceiling_GeV,mA_floor_planck_GeV,mA_floor_chi2_GeV,window_open,window_ratio,k_alphaD_to_open,dilution_D_to_open,alpha_D_diluted
347.2,280.0,0.012015645996695315,9.94714836446857e-42,2.5728529845225246e-06,0.00025728529845225244,19.71480630525543,3.1345163469639954,3.259024702831932,True,6.049296370206778,1.0,1.0,0.012015645996695315
347.2,282.5,0.012015645996695315,1.1907892944521615e-41,2.8150306892339014e-06,0.0002815030689233901,18.84770315081074,3.1345163469639954,3.1448320462672394,True,5.993230440774106,1.0,1.0,0.012015645996695315
347.2,285.0,0.012015645996695315,1.4334025975073055e-41,3.088515367846827e-06,0.0003088515367846827,17.9938922974349,3.1345163469639954,3.034640575333932,True,5.740564190983812,1.0,1.0,0.012015645996695315
347.2,287.5,0.012015645996695315,1.7643363465771884e-41,3.4265443995353184e-06,0.00034265443995353185,17.08330199081348,3.1345163469639954,2.9283100928692645,True,5.450059945407491,1.0,1.0,0.012015645996695315
347.2,290.0,0.012015645996695315,2.1954482528960716e-41,3.822322049016115e-06,0.0003822322049016115,16.174704760670092,3.1345163469639954,2.825705314065541,True,5.160191547999569,1.0,1.0,0.012015645996695315
347.2,292.5,0.012015645996695315,2.755612594732655e-41,4.282276973472355e-06,0.0004282276973472355,15.281381681802616,3.1345163469639954,2.726695694346572,True,4.875196039926139,1.0,1.0,0.012015645996695315
347.2,295.0,0.012015645996695315,3.5175789752400435e-41,4.83824215934546e-06,0.00048382421593454595,14.376600321793424,3.1345163469639954,2.6311552632751596,True,4.586545013784406,1.0,1.0,0.012015645996695315
347.2,297.5,0.012015645996695315,4.614442573236131e-41,5.541473948256688e-06,0.0005541473948256689,13.433443469644166,3.1345163469639954,2.5389624642802704,True,4.2856511125409895,1.0,1.0,0.012015645996695315
347.2,300.0,0.012015645996695315,6.173465542803794e-41,6.409589074195024e-06,0.0006409589074195025,12.490646179491756,3.1345163469639954,2.45,True,3.9848719218165334,1.0,1.0,0.012015645996695315
347.2,302.5,0.012015645996695315,8.329674741138364e-41,7.445257019596381e-06,0.0007445257019596381,11.589378655283205,3.1345163469639954,2.3329056316913084,True,3.6973419093852717,1.0,1.0,0.012015645996695315
347.2,305.0,0.012015645996695315,1.1750128078699138e-40,8.842742393422144e-06,0.0008842742393422144,10.63424136677397,3.1345163469639954,2.221407627092662,True,3.3926259076855665,1.0,1.0,0.012015645996695315
347.2,307.5,0.012015645996695315,1.6990843632254388e-40,1.0633424323555235e-05,0.0010633424323555235,9.697581266156266,3.1345163469639954,2.1152385157251006,True,3.0938046552378236,1.0,1.0,0.012015645996695315
347.2,310.0,0.012015645996695315,2.556533414221173e-40,1.3043417925310338e-05,0.0013043417925310337,8.75597060909391,3.1345163469639954,2.0141436104920203,True,2.793404034269815,1.0,1.0,0.012015645996695315
347.2,312.5,0.012015645996695315,3.8679309338164414e-40,1.604371831842405e-05,0.0016043718318424051,7.894915494861126,3.1345163469639954,1.9178803967150608,True,2.5187029260536224,1.0,1.0,0.012015645996695315
347.2,315.0,0.012015645996695315,6.573667570641783e-40,2.091556217257668e-05,0.002091556217257668,6.914570817585155,3.1345163469639954,1.8262179503701736,True,2.205945049315954,1.0,1.0,0.012015645996695315
347.2,317.5,0.012015645996695315,1.1291015215809847e-39,2.741146010656328e-05,0.002741146010656328,6.039957952907797,3.1345163469639954,1.7389363841283003,True,1.9269186325213876,1.0,1.0,0.012015645996695315
347.2,320.0,0.012015645996695315,2.1567785850394817e-39,3.788510143909399e-05,0.003788510143909399,5.1376648814728885,3.1345163469639954,1.6558263198717678,True,1.6390614413126563,1.0,1.0,0.012015645996695315
347.2,322.5,0.012015645996695315,4.198791404757755e-39,5.286008082237108e-05,0.005286008082237108,4.349467485188556,3.1345163469639954,1.5766883864210368,True,1.3876040204420461,1.0,1.0,0.012015645996695315
347.2,325.0,0.012015645996695315,1.0492752417605798e-38,8.356230013501618e-05,0.008356230013501616,3.459352413979465,3.1345163469639954,1.5013327412669053,True,1.1036319581903271,1.0,1.0,0.012015645996695315
347.2,327.5,0.012015645996695315,2.657343618588912e-38,0.0001329809806287323,0.013298098062873229,2.742238566430649,3.1345163469639954,1.4295786151608625,False,0.8748522141499452,0.9525446535347932,1.102121088600836,0.011445439352918864
347.2,330.0,0.012015645996695315,8.292828891552738e-38,0.00023491839518320759,0.02349183951832076,2.0632007515355335,3.1345163469639954,1.3612538784711172,False,0.6582198091051246,0.8589207053698649,1.3554823153851463,0.010320487134956133
347.2,332.5,0.012015645996695315,1.239413916062971e-37,0.00028719300452637156,0.02871930045263716,1.866006152914804,3.1345163469639954,1.2961946282640426,False,0.5953091151437654,0.8281103136735888,1.4582218883342317,0.009950280375314159
347.2,335.0,0.012015645996695315,,,,,,,,,,,
347.2,337.5,0.012015645996695315,,,,,,,,,,,
347.2,340.0,0.012015645996695315,,,,,,,,,,,
347.2,342.5,0.012015645996695315,,,,,,,,,,,
347.2,345.0,0.012015645996695315,,,,,,,,,,,
347.2,347.5,0.012015645996695315,,,,,,,,,,,
347.2,350.0,0.012015645996695315,,,,,,,,,,,
