name,op,tau,mass,delta,physical,on_LZ_grid,distinct,N_lo,N_L2,N_M,f_hi,rho,rho_sig32,B_logu,B_flat,B_jeff,B_logu_rho,B_flat_rho,Bmu_logu
O4s_m400_d90,O4,s,400,90.0,True,False,False,10.738310978278802,8.065106975647113,3.222091125400144,0.04343009297014289,0.77644773535791,0.7897721228930777,15.220093281152547,1.331408792669731,6.444538641914285,11.902815281463914,1.0357392985614289,15.685348393807875
O4s_m400_d100,O4,s,400,100.0,True,True,True,8.233399169074286,7.62929722679086,3.188930277694673,0.049871265622484645,0.7776945566741837,0.7911554192309475,16.94793844165742,1.6574440304460685,7.580635520206665,13.267327233553441,1.291168347082974,17.39888008133569
O4s_m400_d110,O4,s,400,110.0,True,False,False,6.2110259958070095,7.167293082009426,3.1424601389882674,0.05707508710804769,0.7791922770228394,0.7927866695999407,18.780574567572188,2.043232029727858,8.85301864083931,14.722258680491688,1.5944753668765619,19.217372818348313
O4s_m400_d120,O4,s,400,120.0,True,False,False,4.628641763683105,6.683245963835212,3.097046119372971,0.06489741665038996,0.780663340556254,0.7945246380240831,20.65068979128334,2.479673488702535,10.219746866238633,16.21120861501999,1.938418575361918,21.073841092977343
O4s_m400_d130,O4,s,400,130.0,True,False,False,3.383078460587656,6.1762417440935105,3.0495752269717924,0.07348134938814342,0.7831898570578935,0.7969026216581016,22.578396649573023,2.974878792304169,11.697403485597142,17.77394959904086,2.332737303045859,22.988160539721413
O4s_m400_d140,O4,s,400,140.0,True,False,False,2.432391013294877,5.654310514827975,2.9910912207304063,0.08279658550151445,0.7844008470624756,0.798703050029447,24.560045730447296,3.5317048778123032,13.285609952943725,19.356920853057034,2.773348649555868,24.956753924173785
O4s_m400_d150,O4,s,400,150.0,True,True,True,1.7062531213844034,5.154952991139056,2.935037679204242,0.09262480722843812,0.7875570665925214,0.8016141192004388,26.52093945396117,4.130670810830562,14.9237385673455,20.978962788998565,3.256413964793389,26.90518522142864
O4s_m400_d160,O4,s,400,160.0,True,False,False,1.1559617291694775,4.616125273844642,2.8678414063288993,0.10373521021492232,0.7901641546231885,0.8045387463124691,28.62299018327917,4.825348468469525,16.749798082706256,22.709466916886047,3.816310247720936,28.99444049895262
O4s_m400_d170,O4,s,400,170.0,True,False,False,0.7481810684288006,4.101448945372641,2.802150778456731,0.1155831410910023,0.7932484275959082,0.8076090656125132,30.72525190132482,5.574757964496717,18.646065513103903,24.46540291207389,4.42586386531948,31.08426846088551
O4s_m400_d180,O4,s,400,180.0,True,False,False,0.45647572120560725,3.6071392428785556,2.719221007162724,0.1284878678793214,0.7958200330020474,0.810567685046686,32.93836277572774,6.421687791477383,20.713911516819906,26.30586171071514,5.1144221949467,33.28498348163898
