m_GeV,alpha_D,mA_GeV,eps_phi,S_sat,S_GC,S_dSph,S_allowed_CMB,CMB_ok,dSph_ok
1000.0,0.03463814136252493,6.342388135072387,0.18310417030442136,116.56847900845243,108.80728729022978,116.53833062011238,22.727272727272723,False,False
1000.0,0.03463814136252493,6.402992287693463,0.1848538066947458,106.13034843058485,99.81056797227222,106.10598618046878,22.727272727272723,False,False
1000.0,0.03463814136252493,6.464175538161706,0.18662016158740288,97.12998934181886,91.94005432741821,97.11011462676262,22.727272727272723,False,False
1000.0,0.03463814136252493,6.525943419997546,0.18840339473462556,89.31716888987712,85.02165538213445,89.30081400339748,22.727272727272723,False,False
1000.0,0.03463814136252493,6.588301519596495,0.19020366741514572,82.49378252245216,78.91279689454555,82.48021692597857,22.727272727272723,False,False
1000.0,0.03463814136252493,6.6512554767343985,0.19202114244878057,76.50136329541736,73.49601403843288,76.49002892530577,22.727272727272723,False,False
1000.0,0.03463814136252493,6.7148109850775,0.19385598421115824,71.21194615240289,68.67396532642213,71.20241204962588,22.727272727272723,False,False
1000.0,0.03463814136252493,6.778973792697389,0.1957083586485842,66.52129594049985,64.36553214437885,66.51322596336645,22.727272727272723,False,False
1000.0,0.03463814136252493,6.843749702590867,0.19757843329304994,62.34382553336001,60.50275064926462,62.336955070024096,22.727272727272723,False,False
1000.0,0.03463814136252493,6.909144573204785,0.19946637727738478,58.60873888729308,57.02838475512405,58.60285785015252,22.727272727272723,False,False
1000.0,0.03463814136252493,6.975164318965867,0.20137236135055187,55.25707304118119,53.89399536058061,55.25201330550895,22.727272727272723,False,False
1000.0,0.03463814136252493,7.0418149108156625,0.20329655789309223,52.23940748659601,51.058395726075325,52.23503351278444,22.727272727272723,False,False
1000.0,0.03463814136252493,7.109102376750538,0.2052391409327144,49.51407432340134,48.48640895910899,49.51027608635151,22.727272727272723,False,False
1000.0,0.03463814136252493,7.177032802366871,0.20720028616003386,47.04574795950453,46.147863143852405,47.04243556813277,22.727272727272723,False,False
