m_A_GeV,eps,tau_s,Y_FI,mY_GeV,excluded,reason,T_dec,drho_over_rhog,xi,xi_max,mu
0.811610523253735,1.584893192461111e-13,2048.046863858501,2.138286136996009e-11,1.7354555305135386e-11,False,BBN envelope,2.53820571133513e-05,1.7857865223021355e-06,1.7354555305135386e-11,4.882700770411132e-10,
0.811610523253735,2.511886431509582e-13,815.3421421316673,5.3711319342053375e-11,4.359267199585239e-11,False,BBN envelope,4.02464594437602e-05,2.831028211395108e-06,4.359267199585239e-11,1.2264789814317157e-09,
0.811610523253735,3.981071705534969e-13,324.59355323706654,1.3491673427378153e-10,1.0949984129962895e-10,False,BBN envelope,6.342636496108324e-05,4.636352740122199e-06,1.0949984129962895e-10,3.0807759119900067e-09,
0.811610523253735,6.309573444801942e-13,129.22302105911393,3.388955142058969e-10,2.7505116561299157e-10,False,BBN envelope,9.651960147214305e-05,8.91793745508054e-06,2.7505116561299157e-10,7.738559211849289e-09,
0.811610523253735,1e-12,51.44461128421899,8.51267043833252e-10,6.908972908741658e-10,False,BBN envelope,0.0001420765236551921,1.9716385767332767e-05,6.908972908741658e-10,2.7101302574232906e-08,
0.811610523253735,1.584893192461111e-12,20.480468638585005,2.1382861369960095e-09,1.7354555305135388e-09,False,BBN envelope,0.00020955772593546455,4.281530969693675e-05,1.7354555305135388e-09,1.0789222886142022e-07,
0.811610523253735,2.5118864315095823e-12,8.153421421316672,5.371131934205339e-09,4.35926719958524e-09,False,BBN envelope,0.00031593664268219534,8.419566045026626e-05,4.35926719958524e-09,4.2952669956730693e-07,
0.811610523253735,3.9810717055349695e-12,3.2459355323706647,1.349167342737815e-08,1.0949984129962893e-08,False,BBN envelope,0.0004871931101005566,0.00015009857838201796,1.0949984129962893e-08,1.709976590419218e-06,
0.811610523253735,6.309573444801943e-12,1.2922302105911387,3.3207954498192315e-08,2.6951925326464085e-08,False,BBN envelope,0.0007623015269131331,0.0002463115497784072,2.6951925326464085e-08,6.807539421245163e-06,
1.045639552591273,1e-14,1096718.6699243793,1.617133852814063e-14,1.690939118336698e-14,False,BBN envelope,1.096266756983588e-06,4.028598901957349e-08,1.690939118336698e-14,3.0196206149679565e-13,5.640038462740288e-08
1.045639552591273,1.584893192461111e-14,436611.566576791,4.06205658281844e-14,4.2474470278587085e-14,False,BBN envelope,1.7375464056235551e-06,6.384602486548803e-08,4.2474470278587085e-14,7.242771154602946e-13,
1.045639552591273,2.5118864315095823e-14,173818.19540081522,1.0203424814405867e-13,1.0669104557834043e-13,False,BBN envelope,2.7539123093391546e-06,1.0118593944648362e-07,1.0669104557834043e-13,1.8193018589776206e-12,
1.045639552591273,3.9810717055349693e-14,69198.26996173372,2.562984434623416e-13,2.679957897518026e-13,False,BBN envelope,4.3647681757286e-06,1.6036481731020537e-07,2.679957897518026e-13,5.493601398218304e-12,
