doy,vE_lz_cosine_kms,vE_wimpydd_kms,vE_wimprates_kms
7.650000000000000000e+01,2.543334058849360133e+02,2.561989841145402238e+02,2.560264555297936795e+02
7.675000000000000000e+01,2.543957968818888276e+02,2.562581959159182361e+02,2.560858945808158182e+02
7.700000000000000000e+01,2.544581167957989578e+02,2.563173216279564599e+02,2.561452506848386861e+02
7.725000000000000000e+01,2.545203644740481650e+02,2.563763602155546550e+02,2.562045228020365357e+02
7.750000000000000000e+01,2.545825387653542862e+02,2.564353106458387401e+02,2.562637098947631102e+02
7.775000000000000000e+01,2.546446385197923803e+02,2.564941718881744350e+02,2.563228109275654560e+02
7.800000000000000000e+01,2.547066625888161298e+02,2.565529429141816422e+02,2.563818248671983611e+02
7.825000000000000000e+01,2.547686098252790146e+02,2.566116226977484303e+02,2.564407506826381677e+02
7.850000000000000000e+01,2.548304790834555718e+02,2.566702102150447899e+02,2.564995873450974955e+02
7.875000000000000000e+01,2.548922692190625128e+02,2.567287044445365041e+02,2.565583338280384851e+02
7.900000000000000000e+01,2.549539790892799829e+02,2.567871043669991877e+02,2.566169891071874645e+02
7.925000000000000000e+01,2.550156075527726500e+02,2.568454089655317034e+02,2.566755521605481931e+02
7.950000000000000000e+01,2.550771534697107654e+02,2.569036172255698034e+02,2.567340219684164140e+02
7.975000000000000000e+01,2.551386157017913376e+02,2.569617281348998858e+02,2.567923975133927570e+02
8.000000000000000000e+01,2.551999931122591079e+02,2.570197406836722962e+02,2.568506777803967225e+02
8.025000000000000000e+01,2.552612845659276672e+02,2.570776538644149127e+02,2.569088617566812331e+02
8.050000000000000000e+01,2.553224889292003468e+02,2.571354666720459932e+02,2.569669484318443438e+02
8.075000000000000000e+01,2.553836050700912494e+02,2.571931781038882150e+02,2.570249367978437931e+02
8.100000000000000000e+01,2.554446318582461117e+02,2.572507871596812379e+02,2.570828258490103053e+02
8.125000000000000000e+01,2.555055681649633641e+02,2.573082928415950050e+02,2.571406145820604934e+02
8.150000000000000000e+01,2.555664128632148504e+02,2.573656941542428740e+02,2.571983019961106720e+02
8.175000000000000000e+01,2.556271648276666895e+02,2.574229901046944633e+02,2.572558870926893633e+02
8.200000000000000000e+01,2.556878229347002218e+02,2.574801797024885559e+02,2.573133688757507684e+02
8.225000000000000000e+01,2.557483860624326155e+02,2.575372619596461732e+02,2.573707463516876146e+02
8.250000000000000000e+01,2.558088530907377560e+02,2.575942358906827394e+02,2.574280185293441718e+02
8.275000000000000000e+01,2.558692229012668804e+02,2.576511005126215537e+02,2.574851844200289293e+02
8.300000000000000000e+01,2.559294943774692968e+02,2.577078548450056701e+02,2.575422430375275553e+02
8.325000000000000000e+01,2.559896664046129899e+02,2.577644979099110287e+02,2.575991933981157445e+02
8.350000000000000000e+01,2.560497378698053126e+02,2.578210287319583358e+02,2.576560345205710973e+02
8.375000000000000000e+01,2.561097076620135340e+02,2.578774463383260240e+02,2.577127654261874454e+02
8.400000000000000000e+01,2.561695746720853322e+02,2.579337497587622465e+02,2.577693851387848554e+02
8.425000000000000000e+01,2.562293377927693996e+02,2.579899380255971550e+02,2.578258926847242378e+02
8.450000000000000000e+01,2.562889959187359068e+02,2.580460101737552350e+02,2.578822870929183182e+02
8.475000000000000000e+01,2.563485479465968524e+02,2.581019652407672993e+02,2.579385673948445969e+02
8.500000000000000000e+01,2.564079927749266403e+02,2.581578022667825394e+02,2.579947326245576278e+02
