n_low,model,cls,op,tau,mass,delta,q0,s_hat,p_local,Z_local,Z_asymptotic
0,O7s_m4000,elastic,7,s,4000,0.0,3.183852434158325,0.9187899372045649,0.02668,1.9319959966715405,1.7843352556228638
0,O7v_m10,elastic,7,v,10,0.0,0.0,0.0,1.0,0.0,0.0
0,O7v_m12,elastic,7,v,12,0.0,0.0,0.0,1.0,0.0,0.0
0,O7v_m14,elastic,7,v,14,0.0,0.0,0.0,1.0,0.0,0.0
0,O7v_m17,elastic,7,v,17,0.0,0.0,0.0,1.0,0.0,0.0
0,O7v_m21,elastic,7,v,21,0.0,0.0,0.0,1.0,0.0,0.0
0,O7v_m30,elastic,7,v,30,0.0,0.0,0.0,1.0,0.0,0.0
0,O7v_m40,elastic,7,v,40,0.0,0.0,0.0,1.0,0.0,0.0
0,O7v_m50,elastic,7,v,50,0.0,0.0,0.0,1.0,0.0,0.0
0,O7v_m100,elastic,7,v,100,0.0,0.0,0.0,1.0,0.0,0.0
0,O7v_m200,elastic,7,v,200,0.0,0.7724447846412659,0.6425570166466059,0.15452666666666667,1.0172104342756323,0.8788883686065674
0,O7v_m400,elastic,7,v,400,0.0,2.092210292816162,0.8498207888769684,0.056753333333333336,1.582626294432674,1.446447491645813
0,O7v_m1000,elastic,7,v,1000,0.0,2.792907953262329,0.8993161800462985,0.03471333333333333,1.815633138744539,1.6711995601654053
0,O7v_m4000,elastic,7,v,4000,0.0,3.1014397144317627,0.9150571901263902,0.028653333333333333,1.9009644693339396,1.7610905170440674
0,O8s_m10,elastic,8,s,10,0.0,0.0,0.0,1.0,0.0,0.0
0,O8s_m12,elastic,8,s,12,0.0,0.0,0.0,1.0,0.0,0.0
0,O8s_m14,elastic,8,s,14,0.0,0.0,0.0,1.0,0.0,0.0
0,O8s_m17,elastic,8,s,17,0.0,0.0,0.0,1.0,0.0,0.0
0,O8s_m21,elastic,8,s,21,0.0,0.0,0.0,1.0,0.0,0.0
