config,model,cls,Z_LZ,q0,Z,s_hat,frac_top,frac_mid,frac_bot,f_in_roi,b_event_cell,s_event_cell_per_unit,LR_event_per_unit,diff
base,O1v_1000_d250,inelastic O1 (s/v),3.0,9.649266905484183,3.1063269154234527,1.3075084849891938,0.4011841663311084,0.3531117843695738,0.2457142747691779,0.7921843455148005,1.1585390509605713e-05,0.002747797679472836,237.1778212563982,0.10632691542345274
base,O1s_1000_d300,inelastic O1 (s/v),3.0,5.1686060933316185,2.27345685979119,1.0032763238802467,0.046090139219931194,0.9228606302746639,0.031053311563393353,0.9429885799193246,1.1585390509605713e-05,0.0003638173234217497,31.403112663323732,-0.7265431402088098
base,O1v_1000_d300,inelastic O1 (s/v),3.4,10.55940281430594,3.2495234749584347,1.069637111976851,0.11061415309772546,0.40973508693341826,0.47966932694846837,0.644212417713449,1.1585390509605713e-05,0.005305181441119532,457.91994984725676,-0.15047652504156517
base,O1s_1000_d350,inelastic O1 (s/v),3.3,7.71668390020568,2.7778919885779723,0.9946282092935088,1.5836831125575855e-05,0.8831232372840405,0.11686925735043295,0.7062982990755169,1.1585390509605713e-05,0.0013627890687470925,117.62996401521147,-0.5221080114220276
base,O1v_1000_d350,inelastic O1 (s/v),3.4,11.229300555136433,3.3510148545084717,1.0003369245888316,1.2169973411581416e-06,0.25588846440063806,0.7441382753503625,0.4860449267385548,1.1585390509605713e-05,0.007938890358478766,685.2501304894687,-0.048985145491528215
base,O1s_4000_d100,inelastic O1 (s/v),1.0,0.0,0.0,0.0,0.9809312890927956,0.018780080340185995,0.00029015119448283993,0.9991042291037068,1.1585390509605713e-05,3.3821529490818385e-06,0.29193258063054656,-1.0
base,O1v_4000_d100,inelastic O1 (s/v),2.6,4.7110846147679695,2.170503309089385,2.1319005706183503,0.960540766922211,0.027841484567943477,0.011619651470851304,0.9875916982213626,1.1585390509605713e-05,0.00013101562306684113,11.30869287126861,-0.42949669091061526
base,O1s_4000_d150,inelastic O1 (s/v),2.3,0.7668583042304817,0.8757044616938306,1.4041701075564195,0.92721140767951,0.07158700257949843,0.0012031992090274263,0.9982690401028335,1.1585390509605713e-05,1.4036709700538515e-05,1.2115871009182086,-1.4242955383061693
base,O1v_4000_d150,inelastic O1 (s/v),2.9,7.41060183922491,2.722242061100539,1.8980420267933862,0.832762176808788,0.11374816128376855,0.05349304957753169,0.9477387881737301,1.1585390509605713e-05,0.0006016593293280372,51.93258948234742,-0.177757938899461
base,O1s_4000_d200,inelastic O1 (s/v),2.7,2.842092872433568,1.6858507859337872,1.5457635523234448,0.7099024579752254,0.284612235303018,0.005487317317461726,0.9915196317105502,1.1585390509605713e-05,6.41159110771164e-05,5.534203704567095,-1.014149214066213
base,O1v_4000_d200,inelastic O1 (s/v),2.9,8.988193881712505,2.9980316678968726,1.5073942472583368,0.5800696571604996,0.26776166694589726,0.15217557026333312,0.8602698308473645,1.1585390509605713e-05,0.001703570297740593,147.04470223322414,0.09803166789687268
base,O1s_4000_d250,inelastic O1 (s/v),2.9,4.323323594662725,2.0792603479753864,1.113689045162668,0.2324281827615426,0.7497749959273143,0.017799908754647348,0.9697313155047564,1.1585390509605713e-05,0.000208447071594318,17.992235257110217,-0.8207396520246135
base,O1v_4000_d250,inelastic O1 (s/v),3.1,9.74315134603421,3.1214021442348967,1.2966522636491562,0.3899802601972601,0.34878656906813466,0.2612439519391807,0.7728602051694257,1.1585390509605713e-05,0.002904922727000715,250.74016491651076,0.021402144234896614
base,O1s_4000_d300,inelastic O1 (s/v),3.0,5.18861322491648,2.2778527662947137,1.0081987751956056,0.053758955293903336,0.9150863868650798,0.03115870043878526,0.938112564194656,1.1585390509605713e-05,0.0003658592940867923,31.579366598255792,-0.7221472337052863
