k,j,q0,mu_bkg,sig_frac
7,19,2.294475400367446,7.278502139066252e-05,0.00027966537885038304
7,20,0.5032563871645834,9.16489863997849e-05,0.00010499554181978406
7,21,0.0,0.00030782320939133124,3.084882136733817e-05
7,22,0.0,0.0004206220432567717,7.0921976818478605e-06
7,23,0.0,0.0005151263622498974,1.2756397677089616e-06
7,24,0.0,0.0010701904601165243,1.6978212424018782e-07
8,5,0.0,1.7729005226549885e-05,1.4728783534812004e-09
8,6,0.0,1.6841694784979678e-05,1.7119188159915684e-08
8,7,0.0,1.6002971681395017e-05,1.5558251026184154e-07
8,8,0.0,1.6622290858636642e-05,1.1058216630242029e-06
8,9,0.0,1.6023458386793606e-05,6.148056868063506e-06
8,10,0.9843382653016306,1.621041887174031e-05,2.6742106831645814e-05
8,11,3.164230522712387,1.4951508431348278e-05,9.10181287886749e-05
8,12,4.709561796953494,1.7720837249614866e-05,0.00024243524085649641
8,13,6.138569604318036,1.7746271072017052e-05,0.0005054172942685026
8,14,7.109898947965121,1.7674838308661845e-05,0.0008247654320762687
8,15,7.156365272254334,2.2081058767047104e-05,0.0010535709394577533
8,16,6.591705360475316,2.880479856623004e-05,0.0010535709394577533
8,17,5.507633034421815,3.8600424677686995e-05,0.0008247654320762687
8,18,4.635436123360705,3.703326129338861e-05,0.0005054172942685023
8,19,3.0323393895250774,4.153934004320441e-05,0.0002424352408564965
8,20,1.102374722562672,4.9657212505540226e-05,9.101812878867484e-05
8,21,0.0,0.00014351787691005964,2.6742106831645895e-05
8,22,0.0,0.00019303183475689065,6.148056868063479e-06
8,23,0.0,0.00023408765028620562,1.1058216630242853e-06
8,24,0.0,0.00047555116423289465,1.3697095143788694e-07
9,5,0.0,1.682150203440043e-05,1.26670590887299e-09
9,6,0.0,1.5916980042525634e-05,1.472285660660333e-08
9,7,0.0,1.5103233698024986e-05,1.3380418321728208e-07
9,8,0.0,1.5710379750609343e-05,9.510295479608278e-07
9,9,0.0,1.5078120903341458e-05,5.287456322822938e-06
9,10,0.8565406699999585,1.5110798974195431e-05,2.2998766095852516e-05
9,11,2.9988135009079997,1.3921538727449182e-05,7.827747707655404e-05
9,12,4.613249857926348,1.5851108936675904e-05,0.00020849933152058527
9,13,6.0508836076242005,1.5770557580840108e-05,0.00043466934766427914
9,14,7.029543453687438,1.5618201300271972e-05,0.0007093153645553453
9,15,7.243601476879121,1.7960548524253743e-05,0.0009060928428160498
9,16,6.753335176766996,2.2450894619388624e-05,0.0009060928428160498
9,17,5.823055045722867,2.7674908913167423e-05,0.0007093153645553453
9,18,4.959682344710018,2.6375935953196542e-05,0.000434669347664279
9,19,3.4717160085165233,2.7589789905444517e-05,0.00020849933152058533
9,20,1.5540721899578784,3.110862680320519e-05,7.827747707655396e-05
9,21,0.0,7.187514017860586e-05,2.2998766095852584e-05
9,22,0.0,9.389717497709556e-05,5.287456322822915e-06
9,23,0.0,0.00011174353880614195,9.510295479608986e-07
9,24,0.0,0.0002169133799745221,1.053781845815332e-07
