model,delta_keV,C,Gamma_A_lo,Gamma_A_hi,Gamma_A_eq,limit_used,Gamma_lim_central,Gamma_lim_lo,Gamma_lim_hi,ratio_lo,ratio_hi,status,channel,status_U1B,ratio_hi_U1B
Higgsino,380.0,1.0926097316991486e+23,2.0036554691647195e+21,5.463048658495743e+22,5.463048658495743e+22,WW 1 TeV (SD),3.809512250812951e+19,1.2698374169376504e+19,1.2698374169376503e+20,52.596115650688326,1434.0546240086055,excluded,chi1 chi1 -> WW (54%) + ZZ (46%),,
dark photon,200.0,2.0850591559222346e+19,6183747647885322.0,1.0425295779611173e+19,1.0425295779611173e+19,A'A' -> 4f (tau content),4.9599337030772215e+20,1.6533112343590738e+20,1.6533112343590737e+21,1.2467399804253083e-05,0.02101902243802806,unconstrained,"chi1 chi1 -> A'A', A' -> tau tau (BR ~ 0.15, m_A' >= 9 GeV); mu/pi/K stop before decaying",,
dark photon,210.0,3.0594578842265387e+19,1.1422964036403302e+16,1.5297289421132694e+19,1.5297289421132694e+19,A'A' -> 4f (tau content),4.9599337030772215e+20,1.6533112343590738e+20,1.6533112343590737e+21,2.303047726084789e-05,0.03084172155696761,unconstrained,"chi1 chi1 -> A'A', A' -> tau tau (BR ~ 0.15, m_A' >= 9 GeV); mu/pi/K stop before decaying",,
dark photon,220.0,4.428343848260598e+19,2.0685485409480788e+16,2.214171924130299e+19,2.214171924130299e+19,A'A' -> 4f (tau content),4.9599337030772215e+20,1.6533112343590738e+20,1.6533112343590737e+21,4.170516512478218e-05,0.04464115967430354,unconstrained,"chi1 chi1 -> A'A', A' -> tau tau (BR ~ 0.15, m_A' >= 9 GeV); mu/pi/K stop before decaying",,
dark photon,230.0,6.286875586364252e+19,3.627986820132541e+16,3.143437793182126e+19,3.143437793182126e+19,A'A' -> 4f (tau content),4.9599337030772215e+20,1.6533112343590738e+20,1.6533112343590737e+21,7.314587325797683e-05,0.06337660907104237,unconstrained,"chi1 chi1 -> A'A', A' -> tau tau (BR ~ 0.15, m_A' >= 9 GeV); mu/pi/K stop before decaying",,
dark photon,240.0,8.715566149548876e+19,6.1046690366231384e+16,4.357783074774438e+19,4.357783074774438e+19,A'A' -> 4f (tau content),4.9599337030772215e+20,1.6533112343590738e+20,1.6533112343590737e+21,0.00012307964989200773,0.08785970409384303,unconstrained,"chi1 chi1 -> A'A', A' -> tau tau (BR ~ 0.15, m_A' >= 9 GeV); mu/pi/K stop before decaying",,
dark photon,250.0,1.1712240452974975e+20,9.70658359657439e+16,5.856120226487488e+19,5.856120226487488e+19,A'A' -> 4f (tau content),4.9599337030772215e+20,1.6533112343590738e+20,1.6533112343590737e+21,0.00019569986571700085,0.11806851819116569,unconstrained,"chi1 chi1 -> A'A', A' -> tau tau (BR ~ 0.15, m_A' >= 9 GeV); mu/pi/K stop before decaying",,
dark photon,260.0,1.530660745303425e+20,1.3830538799272456e+17,7.653303726517125e+19,7.653303726517125e+19,A'A' -> 4f (tau content),4.9599337030772215e+20,1.6533112343590738e+20,1.6533112343590737e+21,0.0002788452351831189,0.1543025408135777,unconstrained,"chi1 chi1 -> A'A', A' -> tau tau (BR ~ 0.15, m_A' >= 9 GeV); mu/pi/K stop before decaying",,
dark photon,270.0,1.9737258219809377e+20,2.049537222887707e+17,9.868629109904689e+19,9.868629109904689e+19,A'A' -> 4f (tau content),4.9599337030772215e+20,1.6533112343590738e+20,1.6533112343590737e+21,0.0004132186729867259,0.19896695602568307,unconstrained,"chi1 chi1 -> A'A', A' -> tau tau (BR ~ 0.15, m_A' >= 9 GeV); mu/pi/K stop before decaying",,
dark photon,280.0,2.5483144045714568e+20,2.8977610877905075e+17,1.2741572022857284e+20,1.2741572022857284e+20,A'A' -> 4f (tau content),4.9599337030772215e+20,1.6533112343590738e+20,1.6533112343590737e+21,0.0005842338348177297,0.2568899663911276,unconstrained,"chi1 chi1 -> A'A', A' -> tau tau (BR ~ 0.15, m_A' >= 9 GeV); mu/pi/K stop before decaying",,
dark photon,290.0,3.33194000608807e+20,4.2376170863412384e+17,1.665970003044035e+20,1.665970003044035e+20,A'A' -> 4f (tau content),4.9599337030772215e+20,1.6533112343590738e+20,1.6533112343590737e+21,0.0008543697033111861,0.3358855385527514,marginal,"chi1 chi1 -> A'A', A' -> tau tau (BR ~ 0.15, m_A' >= 9 GeV); mu/pi/K stop before decaying",,
