drift_us,survival_tau566us,logS2c_70keV_ER
4.171604010025062621e+02,4.784201486962073591e-01,4.306119026962017315e+00
4.193959899749373790e+02,4.765336137742016143e-01,4.304403105616736447e+00
4.216315789473684390e+02,4.746545179494447431e-01,4.302687184271455578e+00
4.238671679197994990e+02,4.727828318876439173e-01,4.300971262926174710e+00
4.261027568922306159e+02,4.709185263701788360e-01,4.299255341580893841e+00
4.283383458646616759e+02,4.690615722936462006e-01,4.297539420235613861e+00
4.305739348370927360e+02,4.672119406694046351e-01,4.295823498890332992e+00
4.328095238095238528e+02,4.653696026231226579e-01,4.294107577545052123e+00
4.350451127819549129e+02,4.635345293943279321e-01,4.292391656199771255e+00
4.372807017543859729e+02,4.617066923359578468e-01,4.290675734854490386e+00
4.395162907268170329e+02,4.598860629139127632e-01,4.288959813509210406e+00
4.417518796992481498e+02,4.580726127066102604e-01,4.287243892163929537e+00
4.439874686716792098e+02,4.562663134045418789e-01,4.285527970818648669e+00
4.462230576441102698e+02,4.544671368098307518e-01,4.283812049473367800e+00
4.484586466165413867e+02,4.526750548357914572e-01,4.282096128128086931e+00
4.506942355889724467e+02,4.508900395064918132e-01,4.280380206782806063e+00
4.529298245614035068e+02,4.491120629563158939e-01,4.278664285437525194e+00
4.551654135338346236e+02,4.473410974295292664e-01,4.276948364092245214e+00
4.574010025062656837e+02,4.455771152798455592e-01,4.275232442746964345e+00
4.596365914786967437e+02,4.438200889699947527e-01,4.273516521401683477e+00
4.618721804511278606e+02,4.420699910712935221e-01,4.271800600056402608e+00
4.641077694235589206e+02,4.403267942632169141e-01,4.270084678711121740e+00
4.663433583959899806e+02,4.385904713329721316e-01,4.268368757365841759e+00
4.685789473684210407e+02,4.368609951750731524e-01,4.266652836020560891e+00
4.708145363408521575e+02,4.351383387909180667e-01,4.264936914675280022e+00
4.730501253132832176e+02,4.334224752883675813e-01,4.263220993329999153e+00
4.752857142857142776e+02,4.317133778813249667e-01,4.261505071984718285e+00
4.775213032581453945e+02,4.300110198893179470e-01,4.259789150639437416e+00
4.797568922305764545e+02,4.283153747370825326e-01,4.258073229294157436e+00
4.819924812030075145e+02,4.266264159541477419e-01,4.256357307948876567e+00
4.842280701754386314e+02,4.249441171744223755e-01,4.254641386603595699e+00
4.864636591478696914e+02,4.232684521357840124e-01,4.252925465258314830e+00
4.886992481203007515e+02,4.215993946796681713e-01,4.251209543913033961e+00
4.909348370927318683e+02,4.199369187506606371e-01,4.249493622567753093e+00
4.931704260651629284e+02,4.182809983960903977e-01,4.247777701222473112e+00
4.954060150375939884e+02,4.166316077656244676e-01,4.246061779877192244e+00
4.976416040100251053e+02,4.149887211108646001e-01,4.244345858531911375e+00
4.998771929824561653e+02,4.133523127849451084e-01,4.242629937186630507e+00
5.021127819548872253e+02,4.117223572421325750e-01,4.240914015841349638e+00
5.043483709273183422e+02,4.100988290374268375e-01,4.239198094496069658e+00
5.065839598997494022e+02,4.084817028261643057e-01,4.237482173150788789e+00
5.088195488721804622e+02,4.068709533636218900e-01,4.235766251805507920e+00
5.110551378446115223e+02,4.052665555046228163e-01,4.234050330460227052e+00
5.132907268170426960e+02,4.036684842031443843e-01,4.232334409114946183e+00
5.155263157894737560e+02,4.020767145119270025e-01,4.230618487769665315e+00
5.177619047619048160e+02,4.004912215820845001e-01,4.228902566424384446e+00
5.199974937343358761e+02,3.989119806627162146e-01,4.227186645079104466e+00
5.222330827067669361e+02,3.973389671005208568e-01,4.225470723733823597e+00
5.244686716791979961e+02,3.957721563394114295e-01,4.223754802388542728e+00
5.267042606516290562e+02,3.942115239201319787e-01,4.222038881043261860e+00
5.289398496240601162e+02,3.926570454798757881e-01,4.220322959697980991e+00
5.311754385964911762e+02,3.911086967519050717e-01,4.218607038352701011e+00
5.334110275689223499e+02,3.895664535651718330e-01,4.216891117007420142e+00
5.356466165413534100e+02,3.880302918439411664e-01,4.215175195662139274e+00
5.378822055137844700e+02,3.865001876074147802e-01,4.213459274316858405e+00
5.401177944862155300e+02,3.849761169693570184e-01,4.211743352971577536e+00
5.423533834586467037e+02,3.834580561377216590e-01,4.210027431626296668e+00
5.445889724310777638e+02,3.819459814142810994e-01,4.208311510281016687e+00
5.468245614035088238e+02,3.804398691942555977e-01,4.206595588935735819e+00
5.490601503759398838e+02,3.789396959659454001e-01,4.204879667590454950e+00
5.512957393483709438e+02,3.774454383103634791e-01,4.203163746245174082e+00
5.535313283208020039e+02,3.759570729008698264e-01,4.201447824899893213e+00
5.557669172932330639e+02,3.744745765028075768e-01,4.199731903554612344e+00
5.580025062656641239e+02,3.729979259731401875e-01,4.198015982209332364e+00
5.602380952380951840e+02,3.715270982600898941e-01,4.196300060864051495e+00
5.624736842105263577e+02,3.700620704027782759e-01,4.194584139518770627e+00
5.647092731829574177e+02,3.686028195308676536e-01,4.192868218173489758e+00
5.669448621553884777e+02,3.671493228642038753e-01,4.191152296828208890e+00
5.691804511278196514e+02,3.657015577124608230e-01,4.189436375482928909e+00
5.714160401002507115e+02,3.642595014747865290e-01,4.187720454137648041e+00
5.736516290726817715e+02,3.628231316394497363e-01,4.186004532792367172e+00
5.758872180451128315e+02,3.613924257834889575e-01,4.184288611447086303e+00
5.781228070175438916e+02,3.599673615723622544e-01,4.182572690101805435e+00
5.803583959899749516e+02,3.585479167595985173e-01,4.180856768756524566e+00
5.825939849624060116e+02,3.571340691864502426e-01,4.179140847411244586e+00
5.848295739348370716e+02,3.557257967815477540e-01,4.177424926065963717e+00
5.870651629072681317e+02,3.543230775605543670e-01,4.175709004720682849e+00
5.893007518796991917e+02,3.529258896258234968e-01,4.173993083375401980e+00
5.915363408521303654e+02,3.515342111660564317e-01,4.172277162030121112e+00
5.937719298245614254e+02,3.501480204559623277e-01,4.170561240684840243e+00
