S1c,log10S2c,blob_px,n_est
157.8186744947499,3.7976225465296753,102.0,4.0
226.28847657638445,3.817180412107919,27.0,1.0
271.1649195334416,3.8182221229898445,26.0,1.0
201.15163147792705,3.8122165300050774,26.0,1.0
204.61588876925236,3.795110355190336,41.0,2.0
218.2890046613655,3.7831251516062467,28.0,1.0
161.95099920966467,3.7611631017982963,51.0,2.0
141.52271273192576,3.7632042183682826,3.0,1.0
145.87332053742804,3.7614692692837943,1.0,1.0
150.4798464491363,3.7614692692837943,1.0,1.0
139.95064436523168,3.7527325613940494,14.0,1.0
146.64107485604606,3.758866845657062,1.0,1.0
149.71209213051824,3.758866845657062,1.0,1.0
152.3992322456814,3.736002695222198,28.0,1.0
180.88291746641076,3.7329467063348067,25.0,1.0
125.92656801436442,3.718101138781537,155.0,6.0
147.6327575175944,3.719830491256075,24.0,1.0
125.46385156749842,3.6994448395133372,24.0,1.0
118.77014449715715,3.6833474581492407,53.0,2.0
109.78886756238005,3.687300195921919,2.0,1.0
105.88611644273833,3.6651795950946937,12.0,1.0
114.17146513115802,3.6599747478412286,24.0,1.0
