H,median,p16,p84,p05,p95,central,weight_central,case,s
ACC,0.00026332411843898887,0.0001796545864005361,0.000389111317967354,0.0001489868324739259,0.0004718969412311517,0.0003282267911236367,0.000149,"i-a LZ counts, (S1c,d) only",2.4
NEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"i-a LZ counts, (S1c,d) only",2.4
ART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"i-a LZ counts, (S1c,d) only",2.4
NU,5.74270166234726e-05,3.961217681867914e-05,8.325551071308708e-05,3.517633909081193e-05,9.429798272916047e-05,7.115251914962058e-05,3.23e-05,"i-a LZ counts, (S1c,d) only",2.4
NR,0.7139605461563032,0.4720860527148574,0.8306860304085697,0.3099094949088567,0.8728977877609476,0.7637759250208642,0.000189,i-b LZ counts + topological handles,0.001
WALL,0.022604256946030306,0.0074043890549190935,0.06728566447231482,0.004095368198130721,0.1149480685552299,0.045383689107641505,1.1230410596026488e-05,i-b LZ counts + topological handles,0.001
RFR,1.0123494845947569e-05,1.4514596858093056e-06,6.718080292333058e-05,4.876338597368702e-07,0.0002037507820941804,9.846173929962455e-05,2.4364827586206897e-08,i-b LZ counts + topological handles,0.001
ER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i-b LZ counts + topological handles,0.001
ACC,0.1276397397805047,0.028329840040339727,0.4251896809878816,0.012978149944575872,0.6204237334942474,0.060213022660375,1.49e-05,i-b LZ counts + topological handles,0.001
NEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i-b LZ counts + topological handles,0.001
ART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i-b LZ counts + topological handles,0.001
NU,0.08981779105631374,0.0622302300205581,0.13039539270687933,0.043529147542203786,0.154628129084015,0.13052890147181964,3.23e-05,i-b LZ counts + topological handles,0.001
NR,0.9614792459572263,0.8991408066409743,0.9801686355467454,0.8152605744542353,0.9856838850902641,0.9699994189442225,0.00189,i-b LZ counts + topological handles,0.01
WALL,0.0032287298704471116,0.0010819558378880416,0.009781522992546919,0.0006201227994084306,0.017255485191583427,0.0057637522500797525,1.1230410596026488e-05,i-b LZ counts + topological handles,0.01
RFR,1.4388501191921053e-06,2.1506480919067114e-07,9.619368448112712e-06,7.325043702144032e-08,2.91805238849012e-05,1.2504692381638547e-05,2.4364827586206897e-08,i-b LZ counts + topological handles,0.01
ER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i-b LZ counts + topological handles,0.01
ACC,0.01718808465542648,0.0033494027316873206,0.08094675511254011,0.0015225886696113831,0.16556038092805106,0.00764708536627985,1.49e-05,i-b LZ counts + topological handles,0.01
NEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i-b LZ counts + topological handles,0.01
ART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i-b LZ counts + topological handles,0.01
NU,0.012948370520656016,0.009095930984555923,0.018493665567692552,0.008093623334690471,0.02112944386639041,0.016577238747036184,3.23e-05,i-b LZ counts + topological handles,0.01
NR,0.996195152130601,0.9894651881030543,0.9980610560262259,0.9793605965633334,0.9986060413320368,0.9970630839679254,0.019844999999999998,i-b LZ counts + topological handles,0.105
WALL,0.0003293657731822276,0.00010837927829107569,0.0010049025998117467,6.200619541594023e-05,0.001766345549609989,0.0005642442843587926,1.1230410596026488e-05,i-b LZ counts + topological handles,0.105
RFR,1.4569838634549726e-07,2.2178108610199994e-08,9.794248025776416e-07,7.284329772414476e-09,2.9368905012354217e-06,1.2241506743991048e-06,2.4364827586206897e-08,i-b LZ counts + topological handles,0.105
ER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i-b LZ counts + topological handles,0.105
ACC,0.00169772290944257,0.00032786540373608736,0.008441513724539813,0.0001460851184199702,0.01840463915644598,0.0007486137541507729,1.49e-05,i-b LZ counts + topological handles,0.105
NEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i-b LZ counts + topological handles,0.105
ART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i-b LZ counts + topological handles,0.105
NU,0.0013125598131913034,0.0009026595550679674,0.001904066578325142,0.0008004270144569726,0.002139560439925786,0.0016228338428906017,3.23e-05,i-b LZ counts + topological handles,0.105
NR,0.9996051687613481,0.9988928430902765,0.9997982765887907,0.9977851483048726,0.9998551049766098,0.9996908111012909,0.189,i-b LZ counts + topological handles,1.0
