z,r_min47,r_max47,r_mean47,r_wall_reco,r_min54,r_max54
72.75,61.808284919920034,63.87742960889275,62.84285726440639,69.16742943246571,63.99647430089856,66.06490784831223
73.0,61.81620594265784,63.8848642766553,62.85053510965657,69.16993694186212,64.00270325945975,66.07104030153408
73.25,61.824126965395635,63.89229894441785,62.85821295490675,69.17244445125853,64.00893221802093,66.07717275475595
73.5,61.83204798813343,63.899733612180405,62.86589080015692,69.17495196065495,64.01516117658213,66.0833052079778
73.75,61.83996901087123,63.907168279942965,62.8735686454071,69.17748761001745,64.0213901351433,66.08943766119967
74.0,61.847890033609026,63.91460294770552,62.881246490657276,69.1800278947411,64.0276190937045,66.09477904308633
74.25,61.85581105634682,63.92203761546807,62.88892433590745,69.18256817946475,64.03384805226568,66.09932705623739
74.5,61.86373207908462,63.92797584092707,62.895853960005844,69.1851084641884,64.04007701082686,66.10387506938844
74.75,61.87165310182242,63.933617252938795,62.9026351773806,69.18764874891204,64.04630596938806,66.1084230825395
75.0,61.87957412456022,63.93925866495052,62.90941639475537,69.19018903363569,64.05253492794924,66.11297109569055
75.25,61.88749514729802,63.944900076962256,62.916197612130134,69.19274941482993,64.05876388651042,66.1175191088416
75.5,61.895416170035816,63.95054148897398,62.9229788295049,69.19531029555291,64.06499284507161,66.12206712199266
75.75,61.90288849292976,63.95618290098571,62.929535696957736,69.1978711762759,64.0712218036328,66.12661513514371
76.0,61.909236163190876,63.96182431299744,62.93553023809416,69.20043205699886,64.07745076219398,66.13116314829477
76.25,61.915583833452,63.96746572500917,62.94152477923058,69.20299293772185,64.08367972075517,66.13571116144583
76.5,61.92193150371311,63.9731071370209,62.94751932036701,69.20555474882615,64.08990867931635,66.14025917459688
76.75,61.92827917397423,63.97874854903263,62.95351386150343,69.20812564215301,64.09613763787753,66.14480718774793
77.0,61.934626844235346,63.98438996104436,62.959508402639855,69.21069653547988,64.10197056369081,66.14935520089898
77.25,61.94097451449646,63.990031373056084,62.96550294377627,69.21326742880674,64.10683770760912,66.15390321405005
77.5,61.94732218475758,63.99567278506782,62.9714974849127,69.21583832213362,64.11170485152743,66.1584512272011
77.75,61.953669855018696,64.00131419707954,62.97749202604912,69.21840921546048,64.11657199544574,66.16299924035215
