sample,r2,r,z,d_true_wall,d_reco_wall,d_edge47_mean
science,2844.4474790380273,53.33336178264059,69.95040531038426,19.46663821735941,15.806512364617525,9.41678808943174
science,2476.3375409259534,49.76281283173162,73.63790637685098,23.037187168268375,19.413535779411802,13.107313263707198
science,3752.063107769148,61.25408645771438,114.28661094155802,11.545913542285618,8.412172178473682,1.5310411043357135
science,2123.972829575114,46.08657971226671,90.18041925336877,26.713420287733285,23.255892386505536,17.001971190487396
science,1227.5750454208146,35.03676705149627,18.07684693286683,37.76323294850373,33.509541335021666,23.711387537145036
science,3421.204161228229,58.49106052405127,19.25608190088218,14.308939475948726,10.110345220155857,0.46353854522052274
science,2729.0654105480817,52.24045760278217,21.464696779491618,20.559542397217825,16.44737454118247,7.072756347166305
science,1204.2916423144036,34.70290538722087,58.96138344023231,38.097094612779124,34.34541426452626,27.58956444527741
science,3334.500606553497,57.74513491674859,128.83412437907046,15.054865083251407,12.6173721438929,5.970428197063647
science,2852.5772689034275,53.409524140394915,81.91055993540505,19.390475859605083,15.851500343464856,9.641069001103169
science,225.33762401947104,15.011249915295895,75.45394026835037,57.788750084704105,54.18358856634147,47.91047954999884
science,1889.3757945249456,43.4669506007144,132.0874122367977,29.3330493992856,27.185105883433465,20.806476505624232
science,3166.4595545024195,56.27130311715217,38.93393558032538,16.528696882847825,12.689093100821168,4.817663718445644
science,2632.4716445472604,51.30761780230359,62.085651983019844,21.492382197696408,17.76327666074345,11.125858236702491
science,1536.294647594322,39.195594747296816,53.35103258260297,33.60440525270318,29.820367976032564,22.82063446885931
science,2283.2944151345946,47.78383005928464,106.6826773968854,25.016169940715358,21.735657220500713,15.060621044784192
science,1952.1767856357608,44.18344470088045,116.1054063542029,28.616555299119547,25.53228454216852,18.61931466680285
science,426.1662029602028,20.643793327782635,48.64383656121832,52.156206672217365,48.35217067897901,41.125067988131434
science,2490.239274993758,49.902297291745576,25.396396150665396,22.89770270825442,18.900032299929784,9.951429326086377
science,3051.8578390951698,55.243622610172565,28.48458823355932,17.556377389827432,13.619732725001413,4.959616315233859
science,3071.1303650912078,55.417780225223815,39.78437939091383,17.382219774776182,13.546507885347573,5.736299072262753
science,1830.6263552990843,42.7858195585767,111.29555961848466,30.0141804414233,26.81259589178243,20.00104263648062
science,3619.3079606929487,60.160684509843705,39.680318468507096,12.639315490156292,8.803165973938462,0.9854275795099312
science,3612.1448961577953,60.10112225372997,120.34646480450613,12.698877746270028,9.763694086842918,2.8260806594916374
science,2185.1836306892264,46.74594774618679,101.03625335130693,26.054052253813204,22.703061866028186,16.194624950794214
science,619.1215228889746,24.882152698047943,135.2116840515297,47.91784730195205,46.116651154516475,40.042840069681915
science,861.7639853091164,29.35581689050939,44.97990003893389,43.44418310949061,39.627412254629974,32.179124982083096
science,3906.32466528661,62.500597319438555,110.61436040833674,10.299402680561442,7.084367155759338,0.2911200095399309
science,1413.528278229175,37.59691846719854,66.05479548688204,35.203081532801455,31.50685302006614,25.005970952074087
science,2808.4440624311273,52.994755046430086,11.187388273756397,19.80524495356991,15.091318515266849,4.297808522375213
science,3227.475159740634,56.8108718445742,120.35756324019985,15.989128155425796,13.054386448838635,6.116819556902875
science,1563.5643938200894,39.54193209518333,18.029691668946384,33.25806790481667,29.002139571722907,19.197967188762057
science,2551.40681880792,50.51145235298546,126.76979570836858,22.28854764701454,19.69883527141029,12.927355025449344
science,2845.1236702641254,53.33970069529942,92.76640057723216,19.460299304700577,16.027343494843315,9.730647376272891
science,3106.467490152595,55.735693143196805,34.26281601883437,17.064306856803192,13.19600970828261,4.9924295132433585
science,2575.4636882627065,50.74902647600943,33.80776706761323,22.050973523990564,18.179122340909927,9.944230855605525
science,1495.4139166153457,38.67058205684711,57.79742190907376,34.12941794315289,30.370207043211806,23.56621157752916
science,2290.376130120587,47.8578742749883,119.42002026741588,24.9421257250117,21.970049948036085,15.030855008958362
science,2531.328329685931,50.312307934400415,98.84276467205248,22.487692065599582,19.11364610734453,12.666317957644544
science,3484.555660663793,59.03012502666577,120.03294054004704,13.769874973334225,10.822206406764096,3.8832783813627785
science,1567.2901170875027,39.589015106308246,27.47740519435274,33.21098489369175,29.25674561224556,20.507594763184855
science,2545.568374577232,50.45362598047074,27.18744547407593,22.346374019529257,18.386599853625917,9.61188366079363
science,1978.9085057427358,44.48492447720616,46.40055870273288,28.31507552279384,24.503113564346258,17.141354099772585
science,2758.8380542784716,52.52464235269453,100.74492923017979,20.27535764730547,16.921229234403242,10.420984308646055
science,2557.3535138937077,50.57028291292929,25.99851246260647,22.22971708707071,18.245614376481086,9.355175042225952
science,3299.6068150139945,57.44220412740091,32.919879124336376,15.357795872599084,11.477663281186807,3.177257330610942
science,1306.2488830882423,36.14206528531874,74.26085843127369,36.657934714681254,33.04061322817436,26.74719252800862
science,2632.2615991504836,51.3055708393395,78.69614932205076,21.494429160660495,17.92256807256573,11.691189214050205
science,1210.695444390718,34.795049136202095,19.792445216449067,38.0049508637979,33.828516773307356,24.25028435134449
science,866.2757647360854,29.432562999781133,106.50928724278216,43.367437000218864,40.0844139866979,33.41465885018217
science,2233.628578477529,47.261279907314496,121.04708300517359,25.5387200926855,22.633653398304553,15.70133145974507
science,757.5391796550155,27.523429649210062,79.3259855476703,45.27657035078994,41.711186146013276,35.486133244386764
science,1119.8129332461015,33.463606100450406,123.4194063541546,39.33639389954959,36.54491501454403,29.648592304172567
science,1366.1557241008497,36.96154385440156,78.31461441952268,35.838456145598435,32.26267156605471,26.02746064255647
science,2404.466505504536,49.035359746865694,67.4199292527675,23.764640253134303,20.08069652421044,13.621595911348876
science,3594.1524419035886,59.95125054495184,88.8945123512475,12.848749455048157,9.378892184997035,3.1402688973916284
science,2527.1183829116044,50.270452384194876,33.68569736276007,22.52954761580512,18.656557877934482,10.413452107687995
