b,k_exposure,pi_DM,pi_U,L_U,mu_U,n_new,P_DM,P_U,P_known
0.001,1.0,0.05,0.1,0.1,0.10536051565782628,3,0.9972488275352073,0.002751172239197384,2.2559524968326814e-10
0.001,1.0,0.01,0.01,0.1,0.10536051565782628,0,0.11974071438141093,0.41181255841957126,0.46844672719901775
0.001,1.0,0.01,0.01,0.1,0.10536051565782628,1,0.7300831831866647,0.2670606075648657,0.0028562092484695724
0.001,1.0,0.01,0.01,0.1,0.10536051565782628,2,0.9747157823688961,0.025281675455152315,2.5421759516814826e-06
0.001,1.0,0.01,0.01,0.1,0.10536051565782628,3,0.998622517735909,0.0013774809618091208,1.3022816620583355e-09
0.001,2.0,0.01,0.0,0.1,0.10536051565782628,0,0.10118026833424719,0.0,0.8988197316657528
0.001,2.0,0.01,0.0,0.1,0.10536051565782628,1,0.986850254754209,0.0,0.013149745245791013
0.001,2.0,0.01,0.0,0.1,0.10536051565782628,2,0.9999866752124636,0.0,1.3324787536312706e-05
0.001,2.0,0.01,0.0,0.1,0.10536051565782628,3,0.9999999900062763,0.0,9.993723748053145e-09
0.001,2.0,0.05,0.0,0.1,0.10536051565782628,0,0.36970143752236323,0.0,0.6302985624776368
0.001,2.0,0.05,0.0,0.1,0.10536051565782628,1,0.9974492066434844,0.0,0.00255079335651572
0.001,2.0,0.05,0.0,0.1,0.10536051565782628,2,0.9999974426900078,0.0,2.5573099923123878e-06
0.001,2.0,0.05,0.0,0.1,0.10536051565782628,3,0.9999999980820126,0.0,1.9179874014791577e-09
0.001,2.0,0.01,0.1,0.1,0.10536051565782628,0,0.012729050842575364,0.8856162161072515,0.10165473305017307
0.001,2.0,0.01,0.1,0.1,0.10536051565782628,1,0.08256353453980834,0.9164474361312701,0.0009890293289215775
0.001,2.0,0.01,0.1,0.1,0.10536051565782628,2,0.4585886107513341,0.5414058958115616,5.4934371042383785e-06
0.001,2.0,0.01,0.1,0.1,0.10536051565782628,3,0.9139295314179281,0.08607046037109423,8.210977600582287e-09
0.001,2.0,0.05,0.1,0.1,0.10536051565782628,0,0.06082611864003455,0.8463882766545595,0.09278560470540584
0.001,2.0,0.05,0.1,0.1,0.10536051565782628,1,0.3103402994343197,0.6889496030663832,0.0007100974992970934
0.001,2.0,0.05,0.1,0.1,0.10536051565782628,2,0.8089825389163393,0.1910156100302314,1.851053429317904e-06
0.001,2.0,0.05,0.1,0.1,0.10536051565782628,3,0.9815129554890215,0.01848704282660982,1.6843684880348496e-09
0.001,2.0,0.01,0.01,0.1,0.10536051565782628,0,0.05969771375542818,0.4153433277955194,0.5249589584490524
0.001,2.0,0.01,0.01,0.1,0.10536051565782628,1,0.47099142044396275,0.5227960286724138,0.006212550883623463
0.001,2.0,0.01,0.01,0.1,0.10536051565782628,2,0.8943964968084328,0.10559170577131113,1.1797420256028344e-05
0.001,2.0,0.01,0.01,0.1,0.10536051565782628,3,0.9906702290137902,0.00932976118573004,9.8004797972369e-09
