model,experiment,exposure_tyr,roi_max_keV,N_expected,N_lo,N_hi,P_zero,P_zero_hi,P_ge1
O6_1000,XENONnT+PandaX-4T,4.640000000000001,150.0,0.8227696598890776,0.24683089796672325,1.974647183733786,0.43921349633924955,0.1388102781285083,0.5607865036607504
O6_1000,XENONnT+PandaX-4T,4.640000000000001,270.0,1.5318643036685096,0.4595592911005528,3.6764743288044226,0.21613235514206297,0.025312059700763032,0.783867644857937
O1s_el,XENONnT,3.1,55.0,1.0154377195198294,0.3046313158559489,2.4370505268475906,0.3622438339277129,0.08741830954952405,0.637756166072287
O1s_el,XENONnT,3.1,70.0,1.0363406740324514,0.31090220220973547,2.4872176176778833,0.3547504572409517,0.08314097502838474,0.6452495427590483
O1s_el,XENONnT,3.1,100.0,1.0416123904250196,0.31248371712750594,2.499869737020047,0.3528852342233205,0.08209569195688657,0.6471147657766795
O1s_el,XENONnT,3.1,150.0,1.0433940590404573,0.3130182177121372,2.5041457416970974,0.3522570694335666,0.08174539985318467,0.6477429305664334
O1s_el,XENONnT,3.1,270.0,1.045641796261475,0.31369253887844256,2.50954031102754,0.35146617729906526,0.0813056059421542,0.6485338227009347
O1s_el,PandaX-4T,1.54,55.0,0.5044432542130766,0.151332976263923,1.2106638101113838,0.6038416681639706,0.2979993987454805,0.39615833183602944
O1s_el,PandaX-4T,1.54,70.0,0.514827302583863,0.15444819077515892,1.2355855262012712,0.5976037903376289,0.29066452083954625,0.4023962096623711
O1s_el,PandaX-4T,1.54,100.0,0.5174461552433968,0.15523384657301906,1.2418707725841522,0.5960408015738948,0.2888433519542151,0.40395919842610517
O1s_el,PandaX-4T,1.54,150.0,0.5183312422330013,0.1554993726699004,1.243994981359203,0.5955134870092026,0.2882304395787705,0.4044865129907974
O1s_el,PandaX-4T,1.54,270.0,0.5194478600782811,0.15583435802348436,1.2466748641878747,0.5948488971380111,0.2874590498517467,0.40515110286198885
O1s_el,XENONnT+PandaX-4T,4.640000000000001,55.0,1.5198809737329062,0.45596429211987183,3.6477143369589746,0.21873792096102243,0.026050603685104458,0.7812620790389776
O1s_el,XENONnT+PandaX-4T,4.640000000000001,70.0,1.5511679766163144,0.46535039298489433,3.7228031438791547,0.21200021787119971,0.024166131668758126,0.7879997821288003
O1s_el,XENONnT+PandaX-4T,4.640000000000001,100.0,1.5590585456684165,0.4677175637005249,3.7417405096041993,0.21033399787005957,0.02371279484582781,0.7896660021299404
O1s_el,XENONnT+PandaX-4T,4.640000000000001,150.0,1.5617253012734589,0.46851759038203766,3.7481407230563013,0.209773835742026,0.02356151253322575,0.790226164257974
O1s_el,XENONnT+PandaX-4T,4.640000000000001,270.0,1.5650896563397563,0.46952689690192684,3.7562151752154147,0.20906926794766162,0.02337203223175218,0.7909307320523384
L10_flip,XENONnT,3.1,55.0,0.10078651865563573,0.030235955596690723,0.24188764477352576,0.9041260263244563,0.7851443876717945,0.09587397367554373
L10_flip,XENONnT,3.1,70.0,0.1572450551225164,0.04717351653675493,0.3773881322940394,0.8544946348710897,0.6856498993755455,0.14550536512891032
L10_flip,XENONnT,3.1,100.0,0.28825388616348363,0.0864761658490451,0.6918093267923607,0.7495712623069508,0.5006693745465817,0.2504287376930492
L10_flip,XENONnT,3.1,150.0,0.5310274741438031,0.15930824224314097,1.2744659379451275,0.5880005038807636,0.27958024155555444,0.41199949611923636
L10_flip,XENONnT,3.1,270.0,1.0234693311263425,0.3070407993379028,2.456326394703222,0.35934608452265326,0.08574938245069197,0.6406539154773467
L10_flip,PandaX-4T,1.54,55.0,0.05006814152570291,0.015020442457710875,0.12016353966168697,0.9511646084847912,0.8867754019087886,0.04883539151520877
L10_flip,PandaX-4T,1.54,70.0,0.07811528544795976,0.023434585634387932,0.18747668507510343,0.9248577977517705,0.8290484471573537,0.07514220224822954
L10_flip,PandaX-4T,1.54,100.0,0.14319709183605314,0.04295912755081595,0.34367302040652753,0.866583255578152,0.7091607712441363,0.13341674442184803
L10_flip,PandaX-4T,1.54,150.0,0.2638007452198248,0.07914022356594744,0.6331217885275794,0.7681265773017657,0.530931754537816,0.2318734226982343
L10_flip,PandaX-4T,1.54,270.0,0.5084331515917959,0.1525299454775388,1.22023956382031,0.6014372018517002,0.29515944892842993,0.39856279814829976
L10_flip,XENONnT+PandaX-4T,4.640000000000001,55.0,0.15085466018133864,0.04525639805440159,0.3620511844352127,0.8599726778498115,0.6962467299340853,0.14002732215018854
L10_flip,XENONnT+PandaX-4T,4.640000000000001,70.0,0.23536034057047617,0.07060810217114284,0.5648648173691427,0.7902860261975793,0.568436984370892,0.20971397380242074
L10_flip,XENONnT+PandaX-4T,4.640000000000001,100.0,0.4314509779995368,0.12943529339986104,1.0354823471988883,0.6495659047777823,0.3550550797917732,0.3504340952222177
L10_flip,XENONnT+PandaX-4T,4.640000000000001,150.0,0.794828219363628,0.2384484658090884,1.9075877264727072,0.4516588144976445,0.1484380281831969,0.5483411855023554
L10_flip,XENONnT+PandaX-4T,4.640000000000001,270.0,1.5319024827181387,0.4595707448154416,3.6765659585235326,0.2161241035716691,0.025309740470099405,0.7838758964283309
L10_fig1dig,XENONnT,3.1,55.0,0.06479445779615232,0.0194383373388457,0.15550669871076558,0.9372600900847607,0.8559813429382869,0.06273990991523926
L10_fig1dig,XENONnT,3.1,70.0,0.08136566909720175,0.024409700729160527,0.19527760583328418,0.9218565353575502,0.8226062660580559,0.07814346464244981
L10_fig1dig,XENONnT,3.1,100.0,0.12774664457353407,0.03832399337206023,0.3065919469764818,0.8800763230135714,0.7359508466131245,0.11992367698642858
L10_fig1dig,XENONnT,3.1,150.0,0.2973849410999831,0.08921548232999495,0.7137238586399594,0.7427580392274231,0.4898167885863689,0.2572419607725769
L10_fig1dig,XENONnT,3.1,270.0,1.0235620234260676,0.30706860702782035,2.4565488562225624,0.35931277745136,0.08573030863446322,0.64068722254864
L10_fig1dig,PandaX-4T,1.54,55.0,0.03218821451808857,0.009656464355426574,0.07725171484341257,0.9683243122330396,0.9256568227168749,0.03167568776696039
L10_fig1dig,PandaX-4T,1.54,70.0,0.04042036464828732,0.012126109394486198,0.09700887515588956,0.9603856421146018,0.907547951467983,0.039614357885398244
L10_fig1dig,PandaX-4T,1.54,100.0,0.06346123633652982,0.01903837090095895,0.15230696720767156,0.9385104987006949,0.8587246399737671,0.06148950129930508
L10_fig1dig,PandaX-4T,1.54,150.0,0.1477331642883787,0.04431994928651362,0.35455959429210887,0.8626612730681634,0.7014823120039811,0.13733872693183657
L10_fig1dig,PandaX-4T,1.54,270.0,0.5084791987342401,0.15254375962027206,1.2203500769621762,0.6014095080248111,0.2951268317327249,0.3985904919751889
L10_fig1dig,XENONnT+PandaX-4T,4.640000000000001,55.0,0.0969826723142409,0.029094801694272268,0.23275841355417815,0.9075717321148028,0.7923449702091784,0.0924282678851972
L10_fig1dig,XENONnT+PandaX-4T,4.640000000000001,70.0,0.12178603374548908,0.03653581012364672,0.29228648098917376,0.8853377806469029,0.7465546316257151,0.11466221935309706
L10_fig1dig,XENONnT+PandaX-4T,4.640000000000001,100.0,0.1912078809100639,0.05736236427301917,0.45889891418415335,0.8259608688061408,0.6319791257962444,0.17403913119385916
L10_fig1dig,XENONnT+PandaX-4T,4.640000000000001,150.0,0.44511810538836183,0.13353543161650855,1.0682834529320684,0.6407485957015417,0.34359781331593126,0.35925140429845825
L10_fig1dig,XENONnT+PandaX-4T,4.640000000000001,270.0,1.532041222160308,0.45961236664809235,3.676898933184739,0.21609412071405082,0.025301314370757794,0.7839058792859492
