E_keV,O1s_d250,O1s_d300,O1s_d350,L10_1000,O4_1000,O6_1000,O1s_el,L10_flip,L10_fig1dig
2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.715313075928237124e-04,5.294966860426934471e-03,5.881162027950734500e-04,7.504447154538949373e-03,6.048045198382191474e-04,5.829601829981653294e-04
2.450000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.658720156397075349e-04,5.155415942415738327e-03,6.037411863306169297e-04,7.280627002755373639e-03,6.184929194823753302e-04,5.857568726573101226e-04
2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.585300498719237464e-04,5.018124963492784363e-03,6.192327238663549284e-04,7.059485617938148459e-03,6.319069141529548355e-04,5.891779185098548451e-04
2.550000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.514832277829575904e-04,4.890202438603251552e-03,6.351156491303643764e-04,6.849908986078977191e-03,6.457035396328342615e-04,5.899216241299732677e-04
2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.426838379468657077e-04,4.759630941030004725e-03,6.499815122135259304e-04,6.640945550780789561e-03,6.584161817800307992e-04,5.899216241299732677e-04
2.650000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.343616824207239860e-04,4.640319845067897991e-03,6.656946889182693144e-04,6.439362357156946069e-03,6.719424652899709657e-04,5.899216241299732677e-04
2.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.254714766541300050e-04,4.525036377371881649e-03,6.813297572290504542e-04,6.246062135739935926e-03,6.853460622624205686e-04,5.899216241299732677e-04
2.750000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.160045919139517833e-04,4.411255417336313288e-03,6.963587028709925311e-04,6.055695974474806231e-03,6.981462155477967000e-04,5.899216241299732677e-04
2.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.050974004034894597e-04,4.299471574413079623e-03,7.112648305163228948e-04,5.869822074790778839e-03,7.107036770105746920e-04,5.892123623439383647e-04
2.850000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.947873134080887478e-04,4.195577536190119028e-03,7.266042186194277344e-04,5.689448179016095945e-03,7.237093065450700413e-04,5.857568726573101226e-04
