E_keV,O1s_d250,O1s_d300,O1s_d350,L10_1000,O4_1000,O6_1000,O1s_el,L10_flip,L10_fig1dig
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.342470544560834533e+05,1.639394397347813988e+10,1.471345992485729221e+05,1.930009732118346800e+16,7.136979674256667495e+05,6.033580553257453932e-03
1.550000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.369899473250414885e+05,1.590471272029550934e+10,1.545874715003820311e+05,1.874889417707740400e+16,7.457920370580223389e+05,6.192684610297675626e-03
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.394619244191037724e+05,1.543156205550181198e+10,1.620827020453264704e+05,1.821183577638346000e+16,7.777820079099510331e+05,6.355974583015776627e-03
1.650000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.418054203946701018e+05,1.498661000074025345e+10,1.697305822008175310e+05,1.769615688033665200e+16,8.102446679775364464e+05,6.523560369946225859e-03
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.437684679905219236e+05,1.454857407720401382e+10,1.773761775551250612e+05,1.718947270171884000e+16,8.423178815770006040e+05,6.671878119070000397e-03
1.750000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.454455548611461127e+05,1.412055001179297638e+10,1.849648279870685074e+05,1.669141831585579000e+16,8.738808718548024772e+05,6.798096625730574126e-03
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.470406104109506123e+05,1.372322748550333595e+10,1.927981039792539086e+05,1.621978583453633600e+16,9.063252242280299542e+05,6.923814842337103204e-03
1.850000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.482088187036099553e+05,1.332291570653532410e+10,2.004189647536368284e+05,1.574665204717606800e+16,9.375061878881053999e+05,7.069356595516548998e-03
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.492917410908742168e+05,1.294737413216580772e+10,2.081894267300947104e+05,1.529265414680862600e+16,9.691910306221069768e+05,7.176812717966108736e-03
1.950000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.499954949187933234e+05,1.257759745791358948e+10,2.159255436726257321e+05,1.484824469977297800e+16,1.000361445915667224e+06,7.263432153204259396e-03
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.506129199749327381e+05,1.222674834287721252e+10,2.237044667965346307e+05,1.441776904379915800e+16,1.031614113321936224e+06,7.371585136860125606e-03
2.050000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.508572095410947222e+05,1.188129351958742905e+10,2.314395201547616161e+05,1.399567564014697600e+16,1.062320875706751132e+06,7.454906715956488399e-03
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.510378259810404561e+05,1.155355903962468719e+10,2.392054057796452544e+05,1.358695380212106000e+16,1.093085389736643760e+06,7.512523617203368392e-03
2.150000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.508536879118111974e+05,1.123088682223407173e+10,2.469196802146430127e+05,1.318620123526772400e+16,1.123281892163165612e+06,7.612695547869558800e-03
2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.506294545925823040e+05,1.092477857937213135e+10,2.546528149067317136e+05,1.280006709081543600e+16,1.153512575500741601e+06,7.675062032496513149e-03
2.250000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500507895043516764e+05,1.062343619738957214e+10,2.623283612959216116e+05,1.241860639283141200e+16,1.183162030687895836e+06,7.704658524371283020e-03
2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.494739031655402505e+05,1.034202505692766380e+10,2.701797478501940495e+05,1.205508763947934600e+16,1.213505764857006259e+06,7.761815531768130431e-03
2.350000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.485187701538005203e+05,1.005616793878404617e+10,2.776311945788530284e+05,1.169404474825642600e+16,1.241896194560743868e+06,7.803828063469521806e-03
2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.476058452679980546e+05,9.793647910399431229e+09,2.854329770129545359e+05,1.134670188308152200e+16,1.271708537404748145e+06,7.821789343960936988e-03
2.450000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.465231353842418466e+05,9.535532497668693542e+09,2.930163177628481062e+05,1.100828647613469000e+16,1.300490820142215118e+06,7.859313548893357565e-03
2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.451185040330350748e+05,9.281597101227502823e+09,3.005348925892491825e+05,1.067392135691132400e+16,1.328696117860295577e+06,7.905214968535804326e-03
2.550000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.437703382221876527e+05,9.044989733966968536e+09,3.082434213123732479e+05,1.035704210992668200e+16,1.357705964570488548e+06,7.915193538023291772e-03
