tag,m_GeV,delta_keV,halo,Nexo_lo,Nendo_lo,Nexo_mid,Nendo_mid,Nexo_gap,Nendo_gap,Nexo_hi,Nendo_hi,Nexo_roi,Nendo_roi,Nexo_he1000,Nendo_he1000,Nexo_he1700,Nendo_he1700,Nexo_all,Nendo_all,Eexo_peak_keV,Eexo_p16,Eexo_p50,Eexo_p84,frac_exo_below_270,frac_exo_270_670,frac_exo_above_670,pct248_exo_accepted_true,pct248_exo_accepted_obs,obs_p16,obs_p50,obs_p84,R_lo,R_mid,R_gap,R_hi,R_roi,R_he1000,R_he1700,R_all
iso,1000.0,300.0,dec16,366767.93472423474,0.0,2945481.396367841,105.42632757837109,7420965.653871934,6431.601773885578,1293323.9102555946,1692.4895089729496,12032428.9469677,8239.596108618163,1061038.4816981067,1392.9199453728042,1237687.3683541575,1484.9646235080093,13858464.803184316,10141.371261913226,158.5,76.85095683674886,158.73596148600006,208.14599422818037,0.9043093998258281,0.09380247780161866,0.0018881223725532026,0.9972419785988975,0.9954976132506215,73.98065997781484,152.58677353712108,191.57930318883479,44.51285352938789,357.4788566744224,900.6467739492732,156.96447898736798,1460.3178102847107,128.77311796731382,150.21214050280994,1681.9349662890788
iso,1000.0,300.0,sun,466731.29295527097,0.0,3240255.163711265,249.59649855271152,7379837.914360711,9898.92091577144,1263510.5829312215,2391.8842906721834,12356066.905176427,12554.157691613307,1039651.91734777,1975.4909623691074,1216036.8328937062,2115.0599525226708,14174208.965332262,15296.843700180074,158.5,73.39684347852132,156.64097415751056,206.25577082071135,0.9079519991053466,0.09010571943439238,0.0019422814602609861,0.9973862791694276,0.9957311381981517,70.91226130458637,150.4605479974379,190.36825038102424,37.17742794222401,258.10215574047544,587.8401479129695,100.64479146819212,984.2211009847987,82.81335497659872,96.86327532002157,1129.0449995543083
iso,1000.0,350.0,annual,5617.541596836782,0.0,798427.1595035321,0.0,5426686.399385229,124.47517955300268,1118203.55187947,138.52336980449826,7354595.858230224,264.894591111457,1099944.9574963048,279.0795102777077,1302234.407561092,296.55406641857394,9062940.685125668,586.9988169206197,163.5,137.50912637500173,173.35098037508817,244.29539646319196,0.8451457871250226,0.15088706276238917,0.003967150112588191,0.9957972486635294,0.9932433204199509,131.6360227662902,165.07353985301276,199.59910793430848,21.20670555509058,3014.1316066645772,20486.2106720099,4221.31515478538,27764.235680960755,4152.387381264015,4916.047557245758,34213.38520767435
iso,1000.0,350.0,june16,10091.8096443099,0.0,911567.0012177649,0.0,5493517.312444621,338.039210010442,1100007.9042483876,295.9752654739096,7520679.154429096,637.2634025524922,1069370.7191408724,502.9793948921283,1269222.992350295,538.1475740334402,9202781.015086848,1228.297754089124,163.5,135.55347952860865,171.93489682616553,236.48592349368894,0.8511087072896519,0.1448236489803757,0.00406764372997237,0.9959992982171048,0.9935561328389426,129.48456524480784,163.92148597895917,198.73303245814782,15.83616696626263,1430.4399053304776,8620.481406026001,1726.1432240458505,11801.523709514464,1678.0670517993335,1991.6772048521138,14441.094495974612
iso,1000.0,350.0,dec16,2085.935671465485,0.0,689246.247651938,0.0,5355154.433968644,4.269446882826765,1136412.1193828182,21.144872917456578,7188730.24702296,26.159083157985854,1131237.8448201066,93.21363796260493,1335943.6532254799,96.86537173042753,8924021.422865728,128.85687516670797,163.5,139.4124192489562,174.7978458735194,279.6947437883408,0.8389345678474518,0.15720654095792053,0.0038588911946276783,0.99558352242157,0.9929130305183892,133.66589561243106,166.2305180615163,200.468184073756,79.74039682001201,26348.25706578805,204714.9130428839,43442.352796523526,274808.18817720615,43244.55249398762,51069.97233645945,341144.2736341239
iso,1000.0,350.0,sun,4597.630147827821,0.0,782539.8509581016,0.0,5420845.162010634,54.18451654204361,1120433.9879886885,99.02896877071039,7334096.112540229,154.84219366783324,1103339.453497502,232.484529877455,1305939.0387401453,245.8412185501217,9045311.733816931,419.16645260585386,163.5,137.78765773741162,173.53095687139097,245.60654804208727,0.8444314990032012,0.15161163323545945,0.0039568677613393,0.9957729591823595,0.9932054180631548,131.9457478011886,165.2269318998941,199.7060515754238,29.692359937050725,5053.789489942273,35008.83727880662,7235.973357444408,47364.97164508854,7125.573639600978,8433.999853693882,58416.32386855027
iso,1000.0,366.0,annual,234.27534687170615,0.0,492211.6394259206,0.0,4797003.163271037,3.889022732519904,1058649.0026412623,17.173163118955294,6353681.913790361,21.67589766070849,1110872.601674129,91.48249160224715,1320590.0378490065,96.62781229916985,8042345.109616526,123.90637517016324,166.0,142.16636541094624,177.23172260640962,310.1871600810062,0.8227519895620313,0.17242231830395327,0.004825692134015402,0.9952574386643149,0.9924191574587443,136.36917225499113,167.80768443054203,201.64152067040783,10.808103569171802,22707.785722671306,221305.85954769838,48839.91515425247,293121.97415046697,51249.20864005498,60924.35286972296,371027.0843451499
iso,1000.0,366.0,june16,594.0220826806757,0.0,565557.1349942642,0.0,4889764.214300531,14.964562534507559,1045873.2710354524,53.10509479947564,6507215.520651663,69.37987867526795,1079057.8555198316,206.04693143274937,1285706.794736639,219.3129693665478,8167114.560404714,302.2550503215047,163.5,140.70204408343287,175.85097687989196,302.0075817659362,0.8297724657173717,0.165299573160948,0.004927961121680258,0.9954823059786325,0.9927619969338068,134.91787061216286,166.8094218891459,200.84131809450975,8.561878371984362,8151.601671737573,70478.13152264274,15074.590659500216,93791.1055034939,15552.893376628037,18531.407366022948,117715.89567965142
iso,1000.0,366.0,dec16,21.364525341749058,0.0,421971.3286147316,0.0,4699631.808470196,0.0,1071228.8741374149,0.09099233538068181,6198597.898580095,0.18221336541153643,1143470.105703213,10.061645373794185,1356258.4971403917,10.248361622361466,7916742.480940269,10.937861257867539,166.0,143.668495288356,178.6425509611777,316.64680116828816,0.8153918176377534,0.17989271623966208,0.004715466122584555,0.9950180228326708,0.9920548650742176,137.81284104895397,168.8244209864078,202.45210461353398,117.250045261479,2315808.8741827025,25791915.965417154,5878980.7856191015,34018349.22800698,6275445.838567541,7443243.771263572,43447649.754231684
iso,1000.0,366.0,sun,126.51059408275687,0.0,481642.66128096636,0.0,4787926.97478846,0.18625327820112114,1060318.8196805953,4.2253337115577905,6335616.202249448,4.8522228221822115,1114387.0878540538,60.68599997116274,1324480.4833916866,63.22060960207655,8027452.904537203,71.3456699914057,166.0,142.37289074415085,177.40349832291383,311.0052375928644,0.8219332664787845,0.17325150050555538,0.004815233015660114,0.9952307249748736,0.9923780690724963,136.58008321826085,167.93960695479794,201.73936329291834,26.072709090029115,99262.2719383598,986749.19727515,218522.28525724082,1305714.1921195004,229665.27480139,272963.65643736493,1654386.700429182
