m_chi_GeV,dmax_E216_June_vesc544,dmax_E248_June_vesc544,dmax_E280_June_vesc544,dabs_June_vesc544,dmax_E216_avg_vesc544,dmax_E248_avg_vesc544,dmax_E280_avg_vesc544,dabs_avg_vesc544,dmax_E216_Dec_vesc544,dmax_E248_Dec_vesc544,dmax_E280_Dec_vesc544,dabs_Dec_vesc544,dmax_E216_June_vesc500,dmax_E248_June_vesc500,dmax_E280_June_vesc500,dabs_June_vesc500,dmax_E216_June_vesc600,dmax_E248_June_vesc600,dmax_E280_June_vesc600,dabs_June_vesc600
84.27006433670142,90.8844866327088,56.79257277792812,19.918318148800985,181.76575434415423,79.71170552884465,44.820750667407246,7.197547272118809,175.27978257382955,68.2071279890778,32.49340311782122,-5.900990464898339,168.72433041210746,57.13702366455032,20.631600896321103,-18.50485868572845,162.53439249267393,133.83580313763778,102.81562789997336,68.8205432109294,207.7968336270897
85.93883575877476,96.97596040419705,63.78648710815527,27.81467303776704,183.88035055263546,85.8031793003329,51.814664997634395,15.093902161084863,177.31892336243075,74.29860176056606,39.487317448048366,1.9953644240677153,170.68720747140458,63.228497436038566,27.625515226548256,-10.608503796762395,164.42525808148034,139.92727690912602,109.8095422302005,76.71689809989546,210.21426587722786
87.64065329373584,102.94914915054594,70.64459270581523,35.55769548673794,186.00221364376452,91.7763680466818,58.672770595294345,22.836924610055764,179.36507172853246,80.27179050691495,46.345423045708316,9.738386873038618,172.65683002527166,69.20168618238746,34.4836208242082,-2.8654813477914938,166.32262169496005,145.90046565547493,116.66764782786046,84.45992054886635,212.6400057164936
89.37617134251857,108.80634974566475,77.36952672243301,43.15036292485482,188.13097115067163,97.63356864180061,65.39770461191213,30.429592048172644,181.41786849605012,86.12899110203377,53.07035706232611,17.331054311155494,174.63285233078582,75.05888677750627,41.208554840826,4.727186090325384,168.22615027435495,151.75766625059373,123.39258184447826,92.05258798698323,215.07362733620565
91.14605726493588,114.54981446246734,83.96387510098413,50.59559496515447,190.2662455230929,103.37703335860319,71.99205299046325,37.87482408847229,183.47694958689647,91.87245581883634,59.66470544087723,24.77628635145514,176.61492392635586,80.80235149430885,47.802903219377114,12.172418130625031,170.1355062153511,157.5011309673963,129.98693022302936,99.49782002728288,217.51469911628422
92.95099163630006,120.18175183894138,90.43017357026923,57.89625452725061,192.40765438268548,109.00897073507724,78.45835145974834,45.17548365056843,185.54194626718632,97.5043931953104,66.13100391016232,32.076945913551285,178.60268986871932,86.43428887078291,54.26920168866221,19.473077692721176,172.05034759638107,163.13306834387038,136.45322869231447,106.79847958937903,219.9627839171308
94.79166850912505,125.70432752739912,96.77090861997986,65.05514893821415,194.55481078583884,114.53154642353496,84.79908650945897,52.334378061531964,187.61248540066984,103.02696888376812,72.47173895987295,39.23584032451482,180.59579097689715,91.95686455924063,60.60993673837284,26.63197210368471,173.9703284136285,168.6556440323281,142.79396374202508,113.95737400034255,222.41743938007687
96.66879568001036,131.11966512723492,102.9885184568284,72.07503101207551,196.70732349361737,119.94688402337079,91.01669634630751,59.35426013539333,189.68818970904283,108.44230648360394,78.68934879672149,46.25572239837618,182.5938640827686,97.37220215907645,66.82754657522138,33.65185417754607,175.8950988224104,174.07098163216392,149.01157357887362,120.97725607420392,224.87821823598594
98.58309496181113,136.42984700151686,109.08539394211512,78.95860010836692,198.86479724845412,125.25706589765271,97.11357183159424,66.23782923168476,191.76867803876704,113.75248835788587,84.78622428200822,53.1392914946676,184.59654228791223,102.68238403335837,72.9244220605081,40.535423273837495,177.82430538459556,179.38116350644586,155.10844906416037,127.86082517049535,227.34466862157277
100.53530246119668,141.63691507771694,115.06387951108559,85.70850317010768,201.0268330571914,130.4641339738528,103.09205740056471,72.9877322934255,193.85356563401112,118.95955643408595,90.76470985097869,59.88919455640835,186.60345522633907,107.88945210955846,78.90290762947858,47.28532633557823,179.75759132169887,184.58823158264593,161.08693463313082,134.61072823223608,229.81633440297932
102.52616886170655,146.74287163289597,120.92627407443929,92.3273357416361,203.1930284800542,135.5700905290318,108.95445196391842,79.60656486495394,195.9424644153124,124.06551298926497,96.62710441433238,66.50802712793678,188.6142293327325,112.99540866473748,84.76530219283228,53.90415890710668,181.69459677328013,189.69418813782494,166.94932919648454,141.2295608037645,232.2927555061323
104.55645971241111,151.74968006363991,126.67483190233045,98.81764296667454,205.3629779251195,140.57689895977578,114.70300979180958,86.09687208999237,198.0349832635389,129.07232142000893,102.37566224222356,72.99833435297522,190.62848811578993,118.00221709548143,90.51386002072344,60.394466132145105,183.63495906025815,194.70099656856888,172.6978870243757,147.71986802880295,234.77346825338438
