doy,p_delta300,p_delta330,p_delta350,p_delta366,p_delta380,p_flat
268.00,2.210561e-03,1.708217e-03,9.399321e-04,2.296141e-04,1.060690e-04,2.737851e-03
269.00,2.193929e-03,1.682443e-03,9.117898e-04,2.169875e-04,9.851349e-05,2.737851e-03
270.00,2.177494e-03,1.657115e-03,8.844767e-04,2.050984e-04,9.135876e-05,2.737851e-03
271.00,2.161258e-03,1.632232e-03,8.579787e-04,1.939089e-04,8.459330e-05,2.737851e-03
272.00,2.145226e-03,1.607796e-03,8.322815e-04,1.833813e-04,7.820563e-05,2.737851e-03
273.00,2.129400e-03,1.583808e-03,8.073710e-04,1.734775e-04,7.218429e-05,2.737851e-03
274.00,2.113784e-03,1.560270e-03,7.832331e-04,1.641597e-04,6.651780e-05,2.737851e-03
275.00,2.098381e-03,1.537181e-03,7.598534e-04,1.553901e-04,6.119469e-05,2.737851e-03
276.00,2.083194e-03,1.514543e-03,7.372176e-04,1.471353e-04,5.620286e-05,2.737851e-03
277.00,2.068226e-03,1.492354e-03,7.153105e-04,1.393705e-04,5.152904e-05,2.737851e-03
278.00,2.053479e-03,1.470613e-03,6.941170e-04,1.320719e-04,4.715978e-05,2.737851e-03
279.00,2.038955e-03,1.449319e-03,6.736218e-04,1.252159e-04,4.308167e-05,2.737851e-03
280.00,2.024657e-03,1.428470e-03,6.538098e-04,1.187786e-04,3.928129e-05,2.737851e-03
281.00,2.010588e-03,1.408064e-03,6.346658e-04,1.127363e-04,3.574520e-05,2.737851e-03
282.00,1.996748e-03,1.388101e-03,6.161746e-04,1.070653e-04,3.245998e-05,2.737851e-03
283.00,1.983142e-03,1.368580e-03,5.983210e-04,1.017417e-04,2.941221e-05,2.737851e-03
284.00,1.969771e-03,1.349498e-03,5.810899e-04,9.674188e-05,2.658846e-05,2.737851e-03
285.00,1.956638e-03,1.330855e-03,5.644660e-04,9.204202e-05,2.397531e-05,2.737851e-03
286.00,1.943744e-03,1.312649e-03,5.484344e-04,8.762085e-05,2.156038e-05,2.737851e-03
287.00,1.931092e-03,1.294877e-03,5.329807e-04,8.346426e-05,1.933430e-05,2.737851e-03
288.00,1.918683e-03,1.277537e-03,5.180904e-04,7.955938e-05,1.728825e-05,2.737851e-03
289.00,1.906518e-03,1.260626e-03,5.037493e-04,7.589336e-05,1.541339e-05,2.737851e-03
290.00,1.894599e-03,1.244141e-03,4.899431e-04,7.245334e-05,1.370091e-05,2.737851e-03
291.00,1.882929e-03,1.228081e-03,4.766574e-04,6.922648e-05,1.214197e-05,2.737851e-03
292.00,1.871507e-03,1.212442e-03,4.638778e-04,6.619992e-05,1.072774e-05,2.737851e-03
293.00,1.860336e-03,1.197221e-03,4.515901e-04,6.336080e-05,9.449393e-06,2.737851e-03
294.00,1.849418e-03,1.182416e-03,4.397798e-04,6.069627e-05,8.298107e-06,2.737851e-03
295.00,1.838753e-03,1.168025e-03,4.284328e-04,5.819347e-05,7.265050e-06,2.737851e-03
296.00,1.828344e-03,1.154044e-03,4.175350e-04,5.584044e-05,6.341596e-06,2.737851e-03
297.00,1.818191e-03,1.140471e-03,4.070747e-04,5.362904e-05,5.519997e-06,2.737851e-03
298.00,1.808295e-03,1.127303e-03,3.970406e-04,5.155220e-05,4.792743e-06,2.737851e-03
299.00,1.798657e-03,1.114536e-03,3.874215e-04,4.960282e-05,4.152323e-06,2.737851e-03
300.00,1.789279e-03,1.102168e-03,3.782059e-04,4.777382e-05,3.591227e-06,2.737851e-03
301.00,1.780161e-03,1.090195e-03,3.693826e-04,4.605813e-05,3.101946e-06,2.737851e-03
302.00,1.771303e-03,1.078615e-03,3.609405e-04,4.444865e-05,2.676969e-06,2.737851e-03
303.00,1.762708e-03,1.067424e-03,3.528680e-04,4.293831e-05,2.308786e-06,2.737851e-03
304.00,1.754376e-03,1.056619e-03,3.451541e-04,4.152001e-05,1.989887e-06,2.737851e-03
305.00,1.746307e-03,1.046197e-03,3.377874e-04,4.018668e-05,1.712762e-06,2.737851e-03
306.00,1.738503e-03,1.036156e-03,3.307569e-04,3.893163e-05,1.470376e-06,2.737851e-03
307.00,1.730964e-03,1.026492e-03,3.240539e-04,3.775076e-05,1.258855e-06,2.737851e-03
308.00,1.723691e-03,1.017203e-03,3.176704e-04,3.664104e-05,1.075612e-06,2.737851e-03
309.00,1.716684e-03,1.008286e-03,3.115986e-04,3.559946e-05,9.180653e-07,2.737851e-03
310.00,1.709944e-03,9.997388e-04,3.058305e-04,3.462298e-05,7.836336e-07,2.737851e-03
311.00,1.703470e-03,9.915578e-04,3.003583e-04,3.370858e-05,6.697346e-07,2.737851e-03
312.00,1.697265e-03,9.837406e-04,2.951740e-04,3.285324e-05,5.737863e-07,2.737851e-03
313.00,1.691327e-03,9.762846e-04,2.902697e-04,3.205394e-05,4.932068e-07,2.737851e-03
314.00,1.685658e-03,9.691870e-04,2.856375e-04,3.130764e-05,4.254140e-07,2.737851e-03
315.00,1.680257e-03,9.624452e-04,2.812696e-04,3.061133e-05,3.678261e-07,2.737851e-03
316.00,1.675126e-03,9.560564e-04,2.771582e-04,2.996206e-05,3.179757e-07,2.737851e-03
317.00,1.670265e-03,9.500188e-04,2.732976e-04,2.935783e-05,2.746013e-07,2.737851e-03
318.00,1.665674e-03,9.443305e-04,2.696834e-04,2.879720e-05,2.371639e-07,2.737851e-03
319.00,1.661353e-03,9.389899e-04,2.663112e-04,2.827872e-05,2.051342e-07,2.737851e-03
320.00,1.657302e-03,9.339955e-04,2.631766e-04,2.780096e-05,1.779827e-07,2.737851e-03
321.00,1.653523e-03,9.293455e-04,2.602751e-04,2.736246e-05,1.551802e-07,2.737851e-03
322.00,1.650015e-03,9.250383e-04,2.576024e-04,2.696180e-05,1.361973e-07,2.737851e-03
323.00,1.646778e-03,9.210722e-04,2.551540e-04,2.659752e-05,1.205046e-07,2.737851e-03
324.00,1.643814e-03,9.174456e-04,2.529254e-04,2.626820e-05,1.075728e-07,2.737851e-03
325.00,1.641122e-03,9.141568e-04,2.509123e-04,2.597239e-05,9.687247e-08,2.737851e-03
326.00,1.638702e-03,9.112042e-04,2.491104e-04,2.570867e-05,8.788652e-08,2.737851e-03
327.00,1.636554e-03,9.085866e-04,2.475167e-04,2.547618e-05,8.031604e-08,2.737851e-03
328.00,1.634679e-03,9.063028e-04,2.461297e-04,2.527447e-05,7.405102e-08,2.737851e-03
329.00,1.633076e-03,9.043520e-04,2.449478e-04,2.510314e-05,6.898767e-08,2.737851e-03
330.00,1.631744e-03,9.027331e-04,2.439695e-04,2.496177e-05,6.502218e-08,2.737851e-03
331.00,1.630683e-03,9.014451e-04,2.431932e-04,2.484996e-05,6.205078e-08,2.737851e-03
332.00,1.629893e-03,9.004871e-04,2.426174e-04,2.476730e-05,5.996966e-08,2.737851e-03
333.00,1.629374e-03,8.998580e-04,2.422405e-04,2.471337e-05,5.867504e-08,2.737851e-03
334.00,1.629125e-03,8.995570e-04,2.420610e-04,2.468776e-05,5.806311e-08,2.737851e-03
335.00,1.629146e-03,8.995829e-04,2.420773e-04,2.469006e-05,5.803010e-08,2.737851e-03
336.00,1.629437e-03,8.999349e-04,2.422879e-04,2.471988e-05,5.847594e-08,2.737851e-03
337.00,1.629997e-03,9.006135e-04,2.426934e-04,2.477734e-05,5.943232e-08,2.737851e-03
338.00,1.630829e-03,9.016212e-04,2.432968e-04,2.486321e-05,6.109480e-08,2.737851e-03
339.00,1.631934e-03,9.029606e-04,2.441013e-04,2.497830e-05,6.366913e-08,2.737851e-03
340.00,1.633312e-03,9.046343e-04,2.451102e-04,2.512343e-05,6.736111e-08,2.737851e-03
341.00,1.634965e-03,9.066449e-04,2.463266e-04,2.529942e-05,7.237649e-08,2.737851e-03
342.00,1.636895e-03,9.089951e-04,2.477537e-04,2.550707e-05,7.892107e-08,2.737851e-03
343.00,1.639103e-03,9.116873e-04,2.493949e-04,2.574719e-05,8.720061e-08,2.737851e-03
344.00,1.641589e-03,9.147242e-04,2.512532e-04,2.602061e-05,9.742089e-08,2.737851e-03
345.00,1.644356e-03,9.181084e-04,2.533319e-04,2.632813e-05,1.097877e-07,2.737851e-03
346.00,1.647405e-03,9.218425e-04,2.556343e-04,2.667056e-05,1.245081e-07,2.737851e-03
347.00,1.650734e-03,9.259266e-04,2.581625e-04,2.704875e-05,1.419141e-07,2.737851e-03
348.00,1.654339e-03,9.303566e-04,2.609176e-04,2.746358e-05,1.625622e-07,2.737851e-03
349.00,1.658214e-03,9.351279e-04,2.639000e-04,2.791593e-05,1.870325e-07,2.737851e-03
350.00,1.662354e-03,9.402359e-04,2.671105e-04,2.840668e-05,2.159052e-07,2.737851e-03
351.00,1.666754e-03,9.456760e-04,2.705498e-04,2.893673e-05,2.497603e-07,2.737851e-03
352.00,1.671407e-03,9.514437e-04,2.742184e-04,2.950696e-05,2.891779e-07,2.737851e-03
353.00,1.676309e-03,9.575343e-04,2.781171e-04,3.011826e-05,3.347381e-07,2.737851e-03
354.00,1.681454e-03,9.639432e-04,2.822464e-04,3.077151e-05,3.870210e-07,2.737851e-03
355.00,1.686837e-03,9.706659e-04,2.866071e-04,3.146760e-05,4.466067e-07,2.737851e-03
356.00,1.692453e-03,9.776978e-04,2.911999e-04,3.220742e-05,5.140767e-07,2.737851e-03
357.00,1.698298e-03,9.850382e-04,2.960287e-04,3.299279e-05,5.907834e-07,2.737851e-03
358.00,1.704378e-03,9.926974e-04,3.011068e-04,3.382803e-05,6.801250e-07,2.737851e-03
359.00,1.710700e-03,1.000687e-03,3.064489e-04,3.471785e-05,7.858356e-07,2.737851e-03
360.00,1.717271e-03,1.009019e-03,3.120696e-04,3.566699e-05,9.116491e-07,2.737851e-03
361.00,1.724096e-03,1.017705e-03,3.179837e-04,3.668017e-05,1.061299e-06,2.737851e-03
362.00,1.731184e-03,1.026758e-03,3.242059e-04,3.776210e-05,1.238520e-06,2.737851e-03
363.00,1.738539e-03,1.036188e-03,3.307508e-04,3.891751e-05,1.447046e-06,2.737851e-03
364.00,1.746168e-03,1.046008e-03,3.376331e-04,4.015113e-05,1.690611e-06,2.737851e-03
365.00,1.754080e-03,1.056229e-03,3.448675e-04,4.146768e-05,1.972948e-06,2.737851e-03
366.00,1.762278e-03,1.066865e-03,3.524687e-04,4.287188e-05,2.297792e-06,2.737851e-03
