kind,variant,delta,mod_fraction,a1,duty10,t1,N3_cos,N5_cos,N3_llr,N5_llr,N_unit_per_2p84,cos_null_bias_per_sqrtN
gap,gap_on_peak,300.0,0.41855559876997017,0.2865791673811552,1.0,151.91567078195462,100.50541018313794,279.35773423705893,100.20542615997965,278.4978296496222,12369963455998.723,-0.08883138991396222
gap,gap_december,300.0,0.41855559876997017,0.5141276276152064,1.0,153.4077559145468,106.23634404173927,295.1501263515808,105.92287093638048,294.2626619383548,12369963455998.723,0.08708514570495514
gap,gap_march,300.0,0.41855559876997017,0.45183610424349774,1.0,168.31274761737532,91.20593189677189,253.54205286826618,90.96211085241414,252.86195142175205,12369963455998.723,-0.013990953643213115
gap,gap_random_mean12,300.0,nan,nan,nan,151.89997952174667,97.3816715986577,nan,97.08185042104763,nan,nan,0.08716420656969417
gap,gap_on_peak,330.0,0.6996043677184204,0.6175027315702817,1.0,151.91028001181252,29.972576315377903,83.45064507985775,29.767971835228614,82.86404355328726,1832890534548.4678,-0.08883138949187122
gap,gap_december,330.0,0.6996043677184204,0.8175187819630799,1.0,152.42782948898113,32.859775767336764,91.42540841466152,32.644919872155846,90.80344872286682,1832890534548.4678,0.08708532469917633
gap,gap_march,330.0,0.6996043677184204,0.7996664620679076,1.0,160.9880928247228,27.84270507949573,77.5349405311206,27.682451647442065,77.05043609002534,1832890534548.4678,-0.013990158534602046
gap,gap_random_mean12,330.0,nan,nan,nan,151.90053917859052,29.76654386911674,nan,29.560311815491897,nan,nan,0.08716438154092432
gap,gap_on_peak,350.0,0.9316210093151112,1.044408449797729,0.6933607118412046,151.90951506203436,11.41155214504824,31.717192996623687,11.277495958256448,31.323221700783417,238624837619.1825,-0.08883138892559851
gap,gap_december,350.0,0.9316210093151112,1.1963900872098443,0.6933607118412046,152.00196524138556,12.945654208416084,35.9590671100491,12.804154153088348,35.54202405851133,238624837619.1825,0.08708555883513708
gap,gap_march,350.0,0.9316210093151112,1.2293037217987084,0.6933607118412046,157.03238172377925,11.047511705648997,30.71342678321929,10.933055655092819,30.381900278436635,238624837619.1825,-0.013989118419749735
gap,gap_random_mean12,350.0,nan,nan,nan,151.90127128823275,11.72279137491301,nan,11.587182067433574,nan,nan,0.0871646104142246
gap,gap_on_peak,366.0,0.9946927043369859,1.4094223765690441,0.49828884325804246,151.91069174312793,6.199401162222072,16.859243749835297,6.182492192322961,16.736382248613264,19500374879.171227,-0.08883138850160024
