,L1s,L1v,L2s,L2v,L3s,L3v,L4s,L4v,L5s,L5v,L6s,L6v,L7s,L7v,L8s,L8v,L9s,L9v,L10s,L10v,L11s,L11v,L12s,L12v,L13s,L13v,L14s,L14v,L15s,L15v,L16s,L16v,L17s,L17v,L18s,L18v,L19s,L19v,L20s,L20v,O1s,O1v,O3s,O3v,O4s,O4v,O5s,O5v,O6s,O6v,O7s,O7v,O8s,O8v,O9s,O9v,O10s,O10v,O11s,O11v,O12s,O12v,O13s,O13v,O14s,O14v,O15s,O15v
L20v,0.81080,0.82734,0.23870,0.23895,0.69723,0.67399,0.00818,0.00000,0.81080,0.82734,0.46147,0.39155,0.67620,0.69685,0.23870,0.23895,0.49927,0.17770,0.19081,0.20626,0.30520,0.33118,0.30086,0.32189,0.73384,0.45559,0.30520,0.33118,0.57199,0.57130,0.45161,0.47902,0.69723,0.67399,0.28269,0.36452,0.31799,0.34406,0.00818,0.00000,0.81080,0.82734,0.51127,0.25618,0.57199,0.57130,0.51136,0.13084,0.00818,0.00000,0.67795,0.69850,0.73436,0.43467,0.30520,0.33118,0.23870,0.23895,0.69723,0.67399,0.65765,0.50204,0.45161,0.47902,0.31799,0.34406,0.34384,0.14490
O1s,0.00000,0.13524,0.63804,0.64156,0.24728,0.24354,0.81027,0.81080,0.00000,0.13524,0.50008,0.59438,0.23494,0.23464,0.63804,0.64156,0.39084,0.71000,0.82044,0.81780,0.57314,0.55969,0.71718,0.74343,0.09389,0.39845,0.57314,0.55969,0.28729,0.28964,0.54777,0.60072,0.24728,0.24354,0.72287,0.81708,0.55855,0.54466,0.81027,0.81080,0.00000,0.13524,0.53527,0.65682,0.28729,0.28964,0.37808,0.70920,0.81027,0.81080,0.23350,0.23340,0.09508,0.43208,0.57314,0.55969,0.63804,0.64156,0.24728,0.24354,0.33733,0.40173,0.54777,0.60072,0.55855,0.54466,0.69583,0.81462
O1v,0.13524,0.00000,0.67474,0.67838,0.35912,0.26611,0.82666,0.82734,0.13524,0.00000,0.55610,0.64257,0.19606,0.18033,0.67474,0.67838,0.45623,0.73223,0.82162,0.81693,0.57958,0.56129,0.76921,0.78360,0.16750,0.43961,0.57958,0.56129,0.32286,0.32614,0.62696,0.66670,0.35912,0.26611,0.75241,0.83559,0.56562,0.54668,0.82666,0.82734,0.13524,0.00000,0.61957,0.69332,0.32286,0.32614,0.44700,0.73446,0.82666,0.82734,0.19423,0.17862,0.17048,0.47557,0.57958,0.56129,0.67474,0.67838,0.35912,0.26611,0.44001,0.46058,0.62696,0.66670,0.56562,0.54668,0.75402,0.83171
O3s,0.53527,0.61957,0.31516,0.31564,0.34667,0.45138,0.51243,0.51127,0.53527,0.61957,0.35447,0.31404,0.54024,0.56582,0.31516,0.31564,0.27067,0.44998,0.61135,0.61876,0.44739,0.46305,0.30974,0.32383,0.47553,0.31483,0.44739,0.46305,0.36929,0.36560,0.14181,0.14954,0.34667,0.45138,0.50866,0.56756,0.43983,0.45642,0.51243,0.51127,0.53527,0.61957,0.00000,0.37148,0.36929,0.36560,0.24171,0.40179,0.51243,0.51127,0.54101,0.56657,0.46736,0.27013,0.44739,0.46305,0.31516,0.31564,0.34667,0.45138,0.22792,0.27628,0.14181,0.14954,0.43983,0.45642,0.23739,0.55169
O3v,0.65682,0.69332,0.11416,0.11316,0.51237,0.51767,0.25954,0.25618,0.65682,0.69332,0.25137,0.37587,0.55222,0.57708,0.11416,0.11316,0.35013,0.26814,0.37162,0.38167,0.25283,0.27920,0.33505,0.33747,0.58267,0.31478,0.25283,0.27920,0.41290,0.41114,0.34293,0.36194,0.51237,0.51767,0.20060,0.51750,0.25265,0.28013,0.25954,0.25618,0.65682,0.69332,0.37148,0.00000,0.41290,0.41114,0.33771,0.18674,0.25954,0.25618,0.55375,0.57852,0.57796,0.27389,0.25283,0.27920,0.11416,0.11316,0.51237,0.51767,0.48281,0.29153,0.34293,0.36194,0.25265,0.28013,0.32732,0.22631
O4s,0.28729,0.32286,0.38183,0.38522,0.25933,0.22465,0.57239,0.57199,0.28729,0.32286,0.32694,0.42142,0.19156,0.22050,0.38183,0.38522,0.22140,0.48849,0.61244,0.61296,0.34114,0.33548,0.51047,0.51756,0.20560,0.16631,0.34114,0.33548,0.00000,0.00643,0.37585,0.40835,0.25933,0.22465,0.51746,0.65303,0.32519,0.31959,0.57239,0.57199,0.28729,0.32286,0.36929,0.41290,0.00000,0.00643,0.19056,0.46225,0.57239,0.57199,0.19245,0.22139,0.19562,0.16541,0.34114,0.33548,0.38183,0.38522,0.25933,0.22465,0.27240,0.18711,0.37585,0.40835,0.32519,0.31959,0.48556,0.58345
O4v,0.28964,0.32614,0.37968,0.38297,0.25899,0.22647,0.57177,0.57130,0.28964,0.32614,0.32623,0.42198,0.19650,0.22533,0.37968,0.38297,0.22210,0.48913,0.61373,0.61439,0.34286,0.33765,0.50919,0.51419,0.20872,0.16767,0.34286,0.33765,0.00643,0.00000,0.37414,0.40362,0.25899,0.22647,0.51727,0.65428,0.32692,0.32180,0.57177,0.57130,0.28964,0.32614,0.36560,0.41114,0.00643,0.00000,0.18933,0.46133,0.57177,0.57130,0.19736,0.22620,0.19798,0.16298,0.34286,0.33765,0.37968,0.38297,0.25899,0.22647,0.26948,0.18427,0.37414,0.40362,0.32692,0.32180,0.48310,0.58299
O5s,0.37808,0.44700,0.30518,0.30931,0.21061,0.25105,0.51126,0.51136,0.37808,0.44700,0.21662,0.30249,0.35149,0.37779,0.30518,0.30931,0.07539,0.41085,0.56357,0.56563,0.31641,0.31963,0.40258,0.43675,0.30015,0.12276,0.31641,0.31963,0.19056,0.18933,0.22864,0.31175,0.21061,0.25105,0.44159,0.57461,0.30300,0.30702,0.51126,0.51136,0.37808,0.44700,0.24171,0.33771,0.19056,0.18933,0.00000,0.39075,0.51126,0.51136,0.35250,0.37878,0.29729,0.13676,0.31641,0.31963,0.30518,0.30931,0.21061,0.25105,0.19538,0.11318,0.22864,0.31175,0.30300,0.30702,0.37800,0.52960
O5v,0.70920,0.73446,0.12850,0.13138,0.58588,0.56767,0.13078,0.13084,0.70920,0.73446,0.36953,0.29245,0.58373,0.60684,0.12850,0.13138,0.38038,0.12881,0.25095,0.26170,0.22355,0.25243,0.23130,0.26034,0.62833,0.33837,0.22355,0.25243,0.46225,0.46133,0.34144,0.37922,0.58588,0.56767,0.27272,0.36115,0.23250,0.26171,0.13078,0.13084,0.70920,0.73446,0.40179,0.18674,0.46225,0.46133,0.39075,0.00000,0.13078,0.13084,0.58547,0.60849,0.62825,0.31524,0.22355,0.25243,0.12850,0.13138,0.58588,0.56767,0.54177,0.38970,0.34144,0.37922,0.23250,0.26171,0.26242,0.21467
O6s,0.81027,0.82666,0.24135,0.24184,0.69714,0.67352,0.00000,0.00818,0.81027,0.82666,0.46219,0.38761,0.67553,0.69608,0.24135,0.24184,0.49798,0.17180,0.18389,0.19938,0.30304,0.32884,0.29895,0.32473,0.73313,0.45464,0.30304,0.32884,0.57239,0.57177,0.45083,0.48173,0.69714,0.67352,0.28357,0.35752,0.31609,0.34197,0.00000,0.00818,0.81027,0.82666,0.51243,0.25954,0.57239,0.57177,0.51126,0.13078,0.00000,0.00818,0.67728,0.69774,0.73400,0.43547,0.30304,0.32884,0.24135,0.24184,0.69714,0.67352,0.65825,0.50344,0.45083,0.48173,0.31609,0.34197,0.34419,0.14750
O6v,0.81080,0.82734,0.23870,0.23895,0.69723,0.67399,0.00818,0.00000,0.81080,0.82734,0.46147,0.39155,0.67620,0.69685,0.23870,0.23895,0.49927,0.17770,0.19081,0.20626,0.30520,0.33118,0.30086,0.32189,0.73384,0.45559,0.30520,0.33118,0.57199,0.57130,0.45161,0.47902,0.69723,0.67399,0.28269,0.36452,0.31799,0.34406,0.00818,0.00000,0.81080,0.82734,0.51127,0.25618,0.57199,0.57130,0.51136,0.13084,0.00818,0.00000,0.67795,0.69850,0.73436,0.43467,0.30520,0.33118,0.23870,0.23895,0.69723,0.67399,0.65765,0.50204,0.45161,0.47902,0.31799,0.34406,0.34384,0.14490
O7s,0.23350,0.19423,0.53156,0.53564,0.35448,0.25396,0.67728,0.67795,0.23350,0.19423,0.46049,0.53276,0.00210,0.02893,0.53156,0.53564,0.35730,0.58644,0.67421,0.67045,0.41856,0.40076,0.64560,0.66758,0.17778,0.30280,0.41856,0.40076,0.19245,0.19736,0.53127,0.58186,0.35448,0.25396,0.62298,0.71953,0.40442,0.38594,0.67728,0.67795,0.23350,0.19423,0.54101,0.55375,0.19245,0.19736,0.35250,0.58547,0.67728,0.67795,0.00000,0.03004,0.18140,0.33881,0.41856,0.40076,0.53156,0.53564,0.35448,0.25396,0.41300,0.35726,0.53127,0.58186,0.40442,0.38594,0.63780,0.68323
O7v,0.23340,0.17862,0.55723,0.56131,0.37256,0.26626,0.69774,0.69850,0.23340,0.17862,0.48412,0.55405,0.03129,0.00202,0.55723,0.56131,0.38219,0.60704,0.68977,0.68545,0.43889,0.41995,0.66899,0.69119,0.18737,0.32961,0.43889,0.41995,0.22139,0.22620,0.55648,0.60705,0.37256,0.26626,0.64378,0.73446,0.42514,0.40547,0.69774,0.69850,0.23340,0.17862,0.56657,0.57852,0.22139,0.22620,0.37878,0.60849,0.69774,0.69850,0.03004,0.00000,0.19231,0.36717,0.43889,0.41995,0.55723,0.56131,0.37256,0.26626,0.43468,0.38405,0.55648,0.60705,0.42514,0.40547,0.66249,0.70329
O8s,0.09508,0.17048,0.55434,0.55794,0.20893,0.18658,0.73400,0.73436,0.09508,0.17048,0.43279,0.52484,0.18233,0.19297,0.55434,0.55794,0.31440,0.63475,0.75208,0.75011,0.49412,0.48203,0.64451,0.66593,0.03203,0.31228,0.49412,0.48203,0.19562,0.19798,0.47884,0.52815,0.20893,0.18658,0.65553,0.75687,0.47893,0.46647,0.73400,0.73436,0.09508,0.17048,0.46736,0.57796,0.19562,0.19798,0.29729,0.62825,0.73400,0.73436,0.18140,0.19231,0.00000,0.34232,0.49412,0.48203,0.55434,0.55794,0.20893,0.18658,0.28349,0.32049,0.47884,0.52815,0.47893,0.46647,0.62171,0.74236
O8v,0.43208,0.47557,0.22509,0.22872,0.31959,0.31364,0.43547,0.43467,0.43208,0.47557,0.25066,0.31374,0.33745,0.36588,0.22509,0.22872,0.16912,0.35948,0.50362,0.50722,0.25075,0.25899,0.37098,0.37543,0.34889,0.10488,0.25075,0.25899,0.16541,0.16298,0.26304,0.29448,0.31959,0.31364,0.40507,0.54991,0.23734,0.24692,0.43547,0.43467,0.43208,0.47557,0.27013,0.27389,0.16541,0.16298,0.13676,0.31524,0.43547,0.43467,0.33881,0.36717,0.34232,0.00000,0.25075,0.25899,0.22509,0.22872,0.31959,0.31364,0.28511,0.13234,0.26304,0.29448,0.23734,0.24692,0.34429,0.45828
O9s,0.57314,0.57958,0.23323,0.23970,0.49392,0.43046,0.30304,0.30520,0.57314,0.57958,0.31877,0.30481,0.41661,0.43704,0.23323,0.23970,0.29245,0.20801,0.29735,0.29637,0.00000,0.03174,0.36912,0.42940,0.48901,0.22095,0.00000,0.03174,0.34114,0.34286,0.37779,0.46455,0.49392,0.43046,0.31371,0.42864,0.01769,0.04177,0.30304,0.30520,0.57314,0.57958,0.44739,0.25283,0.34114,0.34286,0.31641,0.22355,0.30304,0.30520,0.41856,0.43889,0.49412,0.25075,0.00000,0.03174,0.23323,0.23970,0.49392,0.43046,0.49531,0.31719,0.37779,0.46455,0.01769,0.04177,0.40059,0.32192
O9v,0.55969,0.56129,0.26100,0.26741,0.49042,0.41632,0.32884,0.33118,0.55969,0.56129,0.32757,0.31608,0.39879,0.41807,0.26100,0.26741,0.29393,0.23091,0.31134,0.30859,0.03174,0.00000,0.39283,0.45275,0.47598,0.22095,0.03174,0.00000,0.33548,0.33765,0.39389,0.48250,0.49042,0.41632,0.33341,0.43920,0.03075,0.01803,0.32884,0.33118,0.55969,0.56129,0.46305,0.27920,0.33548,0.33765,0.31963,0.25243,0.32884,0.33118,0.40076,0.41995,0.48203,0.25899,0.03174,0.00000,0.26100,0.26741,0.49042,0.41632,0.49811,0.32244,0.39389,0.48250,0.03075,0.01803,0.42455,0.34663
O10s,0.63804,0.67474,0.00000,0.00785,0.49868,0.49845,0.24135,0.23870,0.63804,0.67474,0.29004,0.30727,0.52999,0.55575,0.00000,0.00785,0.31582,0.23011,0.36456,0.37418,0.23323,0.26100,0.25984,0.24790,0.55913,0.27641,0.23323,0.26100,0.38183,0.37968,0.28584,0.29202,0.49868,0.49845,0.27720,0.46072,0.23295,0.26200,0.24135,0.23870,0.63804,0.67474,0.31516,0.11416,0.38183,0.37968,0.30518,0.12850,0.24135,0.23870,0.53156,0.55723,0.55434,0.22509,0.23323,0.26100,0.00000,0.00785,0.49868,0.49845,0.44741,0.28382,0.28584,0.29202,0.23295,0.26200,0.24599,0.27275
O10v,0.64156,0.67838,0.00785,0.00000,0.50183,0.50235,0.24184,0.23895,0.64156,0.67838,0.29289,0.31338,0.53408,0.55984,0.00785,0.00000,0.32132,0.23561,0.36813,0.37796,0.23970,0.26741,0.26219,0.24487,0.56310,0.28215,0.23970,0.26741,0.38522,0.38297,0.28913,0.28984,0.50183,0.50235,0.27846,0.46526,0.23939,0.26836,0.24184,0.23895,0.64156,0.67838,0.31564,0.11316,0.38522,0.38297,0.30931,0.13138,0.24184,0.23895,0.53564,0.56131,0.55794,0.22872,0.23970,0.26741,0.00785,0.00000,0.50183,0.50235,0.44941,0.28613,0.28913,0.28984,0.23939,0.26836,0.24620,0.27233
O11s,0.24728,0.35912,0.49868,0.50183,0.00000,0.22975,0.69714,0.69723,0.24728,0.35912,0.33278,0.46090,0.35460,0.37258,0.49868,0.50183,0.23621,0.59642,0.73586,0.73658,0.49392,0.49042,0.56995,0.60650,0.21330,0.29667,0.49392,0.49042,0.25933,0.25899,0.36400,0.43696,0.00000,0.22975,0.59094,0.72692,0.47972,0.47633,0.69714,0.69723,0.24728,0.35912,0.34667,0.51237,0.25933,0.25899,0.21061,0.58588,0.69714,0.69723,0.35448,0.37256,0.20893,0.31959,0.49392,0.49042,0.49868,0.50183,0.00000,0.22975,0.14912,0.24804,0.36400,0.43696,0.47972,0.47633,0.53944,0.69959
O11v,0.24354,0.26611,0.49845,0.50235,0.22975,0.00000,0.67352,0.67399,0.24354,0.26611,0.36057,0.47529,0.25388,0.26604,0.49845,0.50235,0.26875,0.57351,0.68874,0.68526,0.43046,0.41632,0.61161,0.61569,0.18908,0.27650,0.43046,0.41632,0.22465,0.22647,0.45715,0.49362,0.22975,0.00000,0.58996,0.70746,0.41547,0.40092,0.67352,0.67399,0.24354,0.26611,0.45138,0.51767,0.22465,0.22647,0.25105,0.56767,0.67352,0.67399,0.25396,0.26626,0.18658,0.31364,0.43046,0.41632,0.49845,0.50235,0.22975,0.00000,0.29622,0.27199,0.45715,0.49362,0.41547,0.40092,0.59228,0.68512
O12s,0.33733,0.44001,0.44741,0.44941,0.14912,0.29622,0.65825,0.65765,0.33733,0.44001,0.35803,0.41715,0.41291,0.43454,0.44741,0.44941,0.23903,0.57102,0.72314,0.72618,0.49531,0.49811,0.49486,0.50885,0.29500,0.29781,0.49531,0.49811,0.27240,0.26948,0.28786,0.31670,0.14912,0.29622,0.59687,0.69132,0.48213,0.48535,0.65825,0.65765,0.33733,0.44001,0.22792,0.48281,0.27240,0.26948,0.19538,0.54177,0.65825,0.65765,0.41300,0.43468,0.28349,0.28511,0.49531,0.49811,0.44741,0.44941,0.14912,0.29622,0.00000,0.23796,0.28786,0.31670,0.48213,0.48535,0.44404,0.67871
O12v,0.40173,0.46058,0.28382,0.28613,0.24804,0.27199,0.50344,0.50204,0.40173,0.46058,0.18488,0.38044,0.35631,0.38312,0.28382,0.28613,0.17487,0.43379,0.57157,0.57499,0.31719,0.32244,0.44344,0.44386,0.33070,0.16791,0.31719,0.32244,0.18711,0.18427,0.29282,0.31776,0.24804,0.27199,0.41112,0.63176,0.30248,0.30859,0.50344,0.50204,0.40173,0.46058,0.27628,0.29153,0.18711,0.18427,0.11318,0.38970,0.50344,0.50204,0.35726,0.38405,0.32049,0.13234,0.31719,0.32244,0.28382,0.28613,0.24804,0.27199,0.23796,0.00000,0.29282,0.31776,0.30248,0.30859,0.40819,0.49879
O13s,0.54777,0.62696,0.28584,0.28913,0.36400,0.45715,0.45083,0.45161,0.54777,0.62696,0.32704,0.20079,0.53017,0.55542,0.28584,0.28913,0.21767,0.35538,0.52315,0.52952,0.37779,0.39389,0.22927,0.33670,0.47829,0.26934,0.37779,0.39389,0.37585,0.37414,0.00000,0.24935,0.36400,0.45715,0.44989,0.46470,0.37316,0.39026,0.45083,0.45161,0.54777,0.62696,0.14181,0.34293,0.37585,0.37414,0.22864,0.34144,0.45083,0.45161,0.53127,0.55648,0.47884,0.26304,0.37779,0.39389,0.28584,0.28913,0.36400,0.45715,0.28786,0.29282,0.00000,0.24935,0.37316,0.39026,0.20562,0.49639
O13v,0.60072,0.66670,0.29202,0.28984,0.43696,0.49362,0.48173,0.47902,0.60072,0.66670,0.39864,0.37159,0.58105,0.60628,0.29202,0.28984,0.35218,0.45810,0.60790,0.61644,0.46455,0.48250,0.32767,0.22781,0.54108,0.36761,0.46455,0.48250,0.40835,0.40362,0.24935,0.00000,0.43696,0.49362,0.51425,0.58282,0.45822,0.47711,0.48173,0.47902,0.60072,0.66670,0.14954,0.36194,0.40835,0.40362,0.31175,0.37922,0.48173,0.47902,0.58186,0.60705,0.52815,0.29448,0.46455,0.48250,0.29202,0.28984,0.43696,0.49362,0.31670,0.31776,0.24935,0.00000,0.45822,0.47711,0.23737,0.53358
O14s,0.55855,0.56562,0.23295,0.23939,0.47972,0.41547,0.31609,0.31799,0.55855,0.56562,0.30979,0.30645,0.40248,0.42329,0.23295,0.23939,0.28077,0.22180,0.31453,0.31360,0.01769,0.03075,0.37431,0.43123,0.47419,0.20709,0.01769,0.03075,0.32519,0.32692,0.37316,0.45822,0.47972,0.41547,0.31897,0.44108,0.00000,0.03234,0.31609,0.31799,0.55855,0.56562,0.43983,0.25265,0.32519,0.32692,0.30300,0.23250,0.31609,0.31799,0.40442,0.42514,0.47893,0.23734,0.01769,0.03075,0.23295,0.23939,0.47972,0.41547,0.48213,0.30248,0.37316,0.45822,0.00000,0.03234,0.40213,0.33300
O14v,0.54466,0.54668,0.26200,0.26836,0.47633,0.40092,0.34197,0.34406,0.54466,0.54668,0.31956,0.31861,0.38398,0.40360,0.26200,0.26836,0.28302,0.24474,0.32869,0.32606,0.04177,0.01803,0.39869,0.45537,0.46076,0.20799,0.04177,0.01803,0.31959,0.32180,0.39026,0.47711,0.47633,0.40092,0.33928,0.45210,0.03234,0.00000,0.34197,0.34406,0.54466,0.54668,0.45642,0.28013,0.31959,0.32180,0.30702,0.26171,0.34197,0.34406,0.38594,0.40547,0.46647,0.24692,0.04177,0.01803,0.26200,0.26836,0.47633,0.40092,0.48535,0.30859,0.39026,0.47711,0.03234,0.00000,0.42691,0.35788
O15s,0.69583,0.75402,0.24599,0.24620,0.53944,0.59228,0.34419,0.34384,0.69583,0.75402,0.43756,0.25114,0.63651,0.66126,0.24599,0.24620,0.37579,0.31035,0.45556,0.46624,0.40059,0.42455,0.10535,0.18483,0.62437,0.38193,0.40059,0.42455,0.48556,0.48310,0.20562,0.23737,0.53944,0.59228,0.45222,0.39813,0.40213,0.42691,0.34419,0.34384,0.69583,0.75402,0.23739,0.32732,0.48556,0.48310,0.37800,0.26242,0.34419,0.34384,0.63780,0.66249,0.62171,0.34429,0.40059,0.42455,0.24599,0.24620,0.53944,0.59228,0.44404,0.40819,0.20562,0.23737,0.40213,0.42691,0.00000,0.42213
O15v,0.81462,0.83171,0.27275,0.27233,0.69959,0.68512,0.14750,0.14490,0.81462,0.83171,0.43300,0.46459,0.68154,0.70169,0.27275,0.27233,0.52161,0.25140,0.23375,0.24830,0.32192,0.34663,0.38828,0.41902,0.74225,0.47700,0.32192,0.34663,0.58345,0.58299,0.49639,0.53358,0.69959,0.68512,0.20863,0.46523,0.33300,0.35788,0.14750,0.14490,0.81462,0.83171,0.55169,0.22631,0.58345,0.58299,0.52960,0.21467,0.14750,0.14490,0.68323,0.70329,0.74236,0.45828,0.32192,0.34663,0.27275,0.27233,0.69959,0.68512,0.67871,0.49879,0.49639,0.53358,0.33300,0.35788,0.42213,0.00000
