m_GeV,HL-LHC 14 TeV_r12cm,HL-LHC 14 TeV_r5cm,FCC-hh 100 TeV_r10cm,FCC-hh 100 TeV_r5cm,MuC 10 TeV_r10cm,MuC 10 TeV_r5cm
2550.0,2.1134881403527787e-07,8.405279978618059e-05,0.5605996333324769,6.322828276800235,0.4633521331748564,56.666101084403856
2600.0,1.932742538982672e-07,7.174290802828388e-05,0.4408026519660822,5.7707866908139716,0.3561600643942788,49.42647431169016
2650.0,1.254882879730549e-07,6.17260203158629e-05,0.44326979741741396,5.282983676630861,0.2722254436947134,42.98726861143574
2700.0,9.083086163576674e-08,5.201560182439264e-05,0.3699767382350224,4.832327757449567,0.20683280746927926,37.27256239644425
2750.0,8.170718056106141e-08,4.2131640198425245e-05,0.34493968908414296,4.221874000529573,0.15615821688502632,32.21274667822844
2800.0,5.8280273659932284e-08,3.560024525198502e-05,0.31275590452547936,3.7598372712441153,0.11711191823818705,27.74402214404506
2850.0,4.7318918974255386e-08,2.9973661402867854e-05,0.25453746417975925,3.495393709835515,0.0872070912886739,23.807939607766425
2900.0,3.449606604153533e-08,2.5998953575895764e-05,0.22101189938260757,3.282489401874117,0.06445056433942149,20.350979780427732
2950.0,2.8300270681720735e-08,2.2184756521036987e-05,0.19870782242673354,2.9498039928972672,0.047252008425074425,17.324168700158065
3000.0,2.041532999302274e-08,1.868065446573476e-05,0.2079688163900492,2.6850359272163384,0.034348659576127746,14.682725512605867
3050.0,1.6666493389217668e-08,1.5381291416241792e-05,0.18786628439263253,2.3909376749144173,0.02474307276519538,12.385739606838596
3100.0,1.3166535097059838e-08,1.3802930034039195e-05,0.16463112353399997,2.1446986741525853,0.01765179647596548,10.39587439236079
3150.0,1.0248953733349689e-08,1.171702752059072e-05,0.14139115063087287,2.0091298500807784,0.012463183523163317,8.679095254126315
3200.0,7.076778196203331e-09,9.740248449360257e-06,0.13501922645538386,1.7680874963771218,0.008702830783399776,7.204419447568086
3250.0,6.390009996207601e-09,8.728405060511666e-06,0.13704068424804608,1.7216771964960476,0.006005375459753032,5.9436858976578035
3300.0,4.324691596019154e-09,7.001640706489524e-06,0.11290718528954477,1.541369466432158,0.004091574806932445,4.8713430474560155
3350.0,3.3573103347366706e-09,6.071993208843902e-06,0.08998641873622235,1.4261309319214523,0.002749765307410578,3.9642530648423073
3400.0,2.6449058502927765e-09,5.267127792415199e-06,0.09973089078540721,1.306825811979476,0.0018209406958516593,3.201510863209197
3450.0,1.9574125782825415e-09,4.328137511424263e-06,0.08509231865351874,1.2071047329261424,0.0011868098597343948,2.564276524750895
3500.0,1.4898171614819674e-09,3.873803062845245e-06,0.07640755440926272,1.0704524775785405,0.0007602987846210689,2.0356198353019197
3550.0,1.1623361305267944e-09,3.148075403801381e-06,0.06159449123318632,0.9837993896081484,0.00047804814776239646,1.6003757490741064
3600.0,8.311889913212993e-10,2.7552271955734248e-06,0.05742680354231834,0.9312558811749018,0.0002945322541683267,1.2450097016030843
3650.0,6.807724147737435e-10,2.321511512273368e-06,0.053470747525853554,0.8795364807540526,0.00017748775645309942,0.9574917811758833
3700.0,5.055372413449959e-10,1.9590127091741263e-06,0.05468312978881882,0.7959318286551206,0.00010439370116713763,0.7271788543659568
3750.0,4.043811986823714e-10,1.6248115061460068e-06,0.05239531747955263,0.7262463780543057,5.978933973717999e-05,0.5447038214369064
3800.0,2.8794887308883153e-10,1.427796873617841e-06,0.04316394424216487,0.7119524656947308,3.3254052769708075e-05,0.40187125370021853
3850.0,2.1438160056699476e-10,1.1697078736703413e-06,0.04494935668316293,0.6156756442025922,1.7905698120975165e-05,0.29155873887971673
3900.0,1.5960807064017854e-10,9.74161430601759e-07,0.03610112769282059,0.5780890711049427,9.300584252505394e-06,0.20762333367099606
3950.0,1.17760322428522e-10,8.121139839526473e-07,0.02965488814447887,0.549311077241308,4.640835971918945e-06,0.14481259659498225
4000.0,8.301397938219439e-11,7.082237403979683e-07,0.030342607830188564,0.5056857755518306,2.2137916220284923e-06,0.09867975062404433
4050.0,6.403414051039179e-11,6.000498978679326e-07,0.028620744176411292,0.43883328645659014,1.0178931821770331e-06,0.0659696599518188
4100.0,4.9037720626515974e-11,5.101053838461082e-07,0.027211257914517666,0.42826465629503874,4.4222000225462134e-07,0.04282817025703217
4150.0,3.6552508448074826e-11,4.344837407009259e-07,0.026674953353636656,0.4008634935033538,1.800676018511054e-07,0.02688923749825283
4200.0,2.5089715982828776e-11,3.734317887469813e-07,0.025129616952464445,0.3846148749959197,6.805145557066909e-08,0.016244384896714877
4250.0,1.8096633420819638e-11,3.0946642707865044e-07,0.021350259754491663,0.346111176594906,2.3584241831906096e-08,0.009384727755759513
4300.0,1.2968156811027572e-11,2.568830585944044e-07,0.017490611055201694,0.33029542014998303,7.384115022251581e-09,0.005145202468545215
4350.0,9.814014792435195e-12,2.182678008881874e-07,0.017893586502802063,0.3153691598880681,2.049648318957391e-09,0.002651226156777192
4400.0,7.097850635185992e-12,1.8378355897793343e-07,0.019839442579243017,0.27775029724252487,4.923339828208118e-10,0.0012681537352336632
4450.0,5.048424217637178e-12,1.55323706584869e-07,0.014254266807715656,0.26784039916866625,9.915064421269824e-11,0.0005540402426272347
4500.0,3.34357669804065e-12,1.267374354965103e-07,0.014064247105613482,0.2514632662655429,1.604673203203575e-11,0.00021634329957253472
4550.0,2.5032962373101825e-12,1.0270793334609947e-07,0.013068527524773924,0.24251352738607965,1.96888696586662e-12,7.328978457466885e-05
