E_keV,nat_el,129_el,129_inel,129_inel_jun,129_el_jun,131_el,131_inel,131_inel_jun,131_el_jun
59.0,2.9652972560028292,0.8569862048462268,0.5756846007082684,0.5855438186355434,0.8459706891062792,2.108311051156603,0.7455691497938328,0.7887103987488445,2.0808532621062437
60.0,2.900390340615654,0.816771447805013,0.5489455274525188,0.5584837641085955,0.8065517619313675,2.0836188928106414,0.7438948860146315,0.7867016034446848,2.0571916234642615
64.0,2.6688682679653746,0.6797563624788812,0.45958389487447976,0.46791478433454764,0.672196387627518,1.9891119054864936,0.7245504771016292,0.7660128957088812,1.9662908922857198
68.0,2.465119543973748,0.5745992377421998,0.39014545814749785,0.3975125718109705,0.5689264777997302,1.8905203062315483,0.7044846580544607,0.7445743875048054,1.8715152643645843
72.0,2.2874067681675863,0.49070035150926117,0.334250385273668,0.34090127368071904,0.4865741736903435,1.796706416658325,0.6801249045906261,0.7188284066552117,1.7809343743481503
76.0,2.128794337301617,0.42475189324776336,0.28970325342355646,0.29576407649899145,0.42173762771029166,1.7040424440538537,0.655589185263058,0.69289644634714,1.6913057130192612
80.0,1.9845507600198686,0.37137468635747806,0.25370477776270745,0.2592740826928809,0.3692372910678644,1.613176073662391,0.6276881018039687,0.6636075686379367,1.6032687731612272
84.0,1.8523410655243364,0.3276286449484251,0.22425082502579588,0.22940732966683258,0.3261918065623653,1.5247124205759117,0.6003127099695457,0.6348571288497561,1.517424539212885
88.0,1.7313425488917522,0.29217629237756965,0.20070376784776023,0.20547733801772153,0.29124456151654105,1.439166256514183,0.5736499351208265,0.606843334647775,1.434287759255927
92.0,1.6224904767425514,0.2619616267147019,0.18040703268223748,0.18488975255702064,0.26149877758810147,1.3605288500278494,0.5478524507214193,0.5797283894973495,1.3575683313645892
96.0,1.5226565393339113,0.23739273888218176,0.16351057190459423,0.1677493468826978,0.23726789885284805,1.2852638004517296,0.5201759138227318,0.5507750837955496,1.2840533541882704
100.0,1.4265377985858518,0.21636191480209616,0.14949209515959874,0.1535300823532109,0.21656689325740827,1.2101758837837557,0.4965354800863594,0.5259035441270085,1.2108096195058227
104.0,1.3417200577075867,0.1995566531091628,0.1379627073322526,0.14184086298180282,0.20000202143465137,1.1421634045984237,0.4713733847402776,0.49955676015477857,1.1442209573404036
108.0,1.2636243402836982,0.18589456402812915,0.12861958638815826,0.1323773719984806,0.1865518747934288,1.0777297762555693,0.4475381342745389,0.47458542198371,1.081069699890724
112.0,1.192323823481379,0.1755393506146538,0.12121242418467676,0.1248887205291717,0.17635344402707162,1.0167844728667255,0.4249933229041361,0.4509533416625569,1.0212748373744776
116.0,1.129214161258955,0.16710910446790292,0.1155221115835541,0.11915521742136298,0.16810800517334468,0.9621050567910521,0.40368215362691684,0.42860260087717594,0.9674243123026562
120.0,1.068421694770826,0.16085392160330705,0.11134704544624827,0.11497434136736392,0.16203404889412992,0.907567773167519,0.38137269681097274,0.40528878773010973,0.9138131811812051
124.0,1.0157027776769327,0.15699124749797397,0.10849519939786845,0.11215262824548358,0.15832312970072465,0.8587115301789585,0.3624025753793204,0.3853660972743016,0.8656012755086966
128.0,0.9640468035402466,0.15424872306009782,0.10678024800354603,0.11050170072939576,0.155772351203345,0.8097980804801489,0.3444242594142249,0.36647453178741,0.81741908750699
132.0,0.9193153534672561,0.15336754930064647,0.10602040415166729,0.10983708311537169,0.1550628277332432,0.7659478041666095,0.3254756814260865,0.3466342628248456,0.774052875322365
136.0,0.8749065994955361,0.15308051170679796,0.10603896280644401,0.10997877848268509,0.15499125271593295,0.7218260877887384,0.30931111473397643,0.32962322625934815,0.7304907388423227
