isotope,E_star_keV,E_NR_keV,S1c,log10S2c,in_ROI,offset_from_NR_median_dex
131,80.19,74.0,613.2721624251772,4.759800026614096,False,0.7176284654959844
131,80.19,76.0,617.2055236720613,4.760380236563412,False,0.717431313392515
131,80.19,78.0,621.1971234022251,4.760848116102824,False,0.7171156587373755
131,80.19,80.0,625.2014993876072,4.761310727592856,False,0.7167975945382681
131,80.19,82.0,629.2185164718352,4.761767834510466,False,0.7164769046203814
131,80.19,84.0,633.2480162063453,4.762219282506848,False,0.7161538357772823
131,80.19,86.0,637.289824019013,4.7626649802619045,False,0.715828640017242
131,80.19,88.0,641.3437545420564,4.763104884961406,False,0.7155005595349966
131,80.19,90.0,645.4096155936062,4.763538991180939,False,0.7151696157942622
131,80.19,92.0,649.4872111640011,4.763967322310175,False,0.7148358582006828
131,80.19,94.0,653.5763436594217,4.764389923891427,False,0.7144993570660434
131,80.19,96.0,657.6768155868286,4.7648068584145715,False,0.7141601981490346
131,80.19,98.0,661.7884308156323,4.765218201229479,False,0.7138187309028519
131,80.19,100.0,665.9109955167669,4.765624037322635,False,0.7134754569585482
131,80.19,102.0,670.0443188546717,4.766024458766756,False,
131,80.19,104.0,674.1882134892485,4.766419562697863,False,
131,80.19,106.0,678.3424959312509,4.766809449708056,False,
131,80.19,108.0,682.5069867844026,4.767194222567662,False,
131,80.19,110.0,686.6815108999037,4.767573985209514,False,
131,80.19,112.0,690.8658974632037,4.767948841922701,False,
131,80.19,114.0,695.0599800285064,4.768318896714315,False,
131,80.19,116.0,699.263596513086,4.768684252806345,False,
131,80.19,118.0,703.4765891608796,4.76904501224156,False,
131,80.19,120.0,707.6988044827921,4.769401275577494,False,
