m_GeV,delta_keV,f2,Z5,B,kappa_hat,mu_hi,mu_gap,mu_lomid,mu_he,exo_fraction_of_hi,exo_fraction_of_roi
1000.0,130.0,3.162277660168379e-07,1.407295196391967,0.009521223668115586,9.297747899332239e-08,0.012096130152267234,0.0994420145029322,2.307179636800577,0.0057657012664365116,2.9080267332149107e-06,3.5414950584686946e-06
1000.0,130.0,5.62341325190349e-07,1.4072949912960122,0.009521216578566648,9.297724497773704e-08,0.01209612410702319,0.09944195241020273,2.3071796794979025,0.005765700616466362,5.171273632313132e-06,6.297751934864981e-06
1000.0,130.0,1e-06,1.4072946265804067,0.009521203971460099,9.297682821443533e-08,0.012096113276159497,0.09944184132844962,2.307179740012458,0.005765699422129217,9.195936437835757e-06,1.1199112605213945e-05
1000.0,130.0,1.778279410038923e-06,1.4072939780212625,0.009521181552794413,9.297608695973172e-08,0.01209609399757984,0.09944164364428247,2.3071798440909013,0.00576569728946395,1.635284011299718e-05,1.9914993275977326e-05
1000.0,130.0,3.162277660168379e-06,1.4072928247245948,0.009521141687066961,9.297479184539342e-08,0.012096062709827339,0.09944131672951313,2.307180600273498,0.005765694924279998,2.9079589015895605e-05,3.5413922610065245e-05
1000.0,130.0,5.623413251903491e-06,1.4072907739126643,0.0095210707975872,9.297244849597575e-08,0.012096001822213974,0.09944069223467832,2.307180943277811,0.005765688215348831,5.171059134638943e-05,6.297426869722244e-05
1000.0,130.0,1e-05,1.4072871272228102,0.009520944745525586,9.296823454131995e-08,0.01209588742439483,0.09943953139004792,2.307180383910583,0.005765673363779272,9.195258163394553e-05,0.0001119808470944382
1000.0,130.0,1.778279410038923e-05,1.4072806431065334,0.009520720618956919,9.29608487066294e-08,0.012095697916490466,0.09943758159608991,2.3071820402405456,0.0057656535815097925,0.00016350695371363197,0.00019911743067918194
1000.0,130.0,3.1622776601683795e-05,1.407269114803428,0.0095203221516616,9.294767540503938e-08,0.012095355511439507,0.0994340700209275,2.307183939429805,0.00576561579798757,0.0002907280759339342,0.0003540364614513957
1000.0,130.0,5.623413251903491e-05,1.40724862142644,0.009519613857420806,9.2924259432368e-08,0.012094746939659388,0.09942782857803259,2.3071873307283735,0.005765548673104923,0.0005168915136170429,0.0006294178062986723
1000.0,130.0,0.0001,1.4072122011234218,0.009518355234761338,9.288264789518004e-08,0.012093665417510441,0.099416736749634,2.3071933440971177,0.005765429357111319,0.000918848091802936,0.001118781612007237
1000.0,130.0,0.00017782794100389227,1.407147507170223,0.00951611996435996,9.280874276414177e-08,0.012091744536498257,0.09939703670805122,2.307204019811248,0.005765217432598787,0.0016329278856571543,0.001987929924144581
1000.0,130.0,0.00031622776601683794,1.407032688882517,0.009512154213250204,9.26776073939399e-08,0.012088336016071038,0.09936208023751733,2.3072229245506164,0.00576484130918944,0.002900516692228935,0.003530120857116336
1000.0,130.0,0.0005623413251903491,1.4068292204216095,0.009505130900317262,9.244532241223301e-08,0.012082298084140193,0.0993001582802698,2.3072563411391815,0.005764174901665772,0.00514757253045947,0.006261873413889759
1000.0,130.0,0.001,1.4064696268733206,0.00949273208584664,9.203510775340578e-08,0.012071633991717732,0.09919079562466132,2.307315086059901,0.005762997391057468,0.009121253903146893,0.01108615660167793
1000.0,130.0,0.0017782794100389228,1.4058371291838196,0.00947096563898109,9.131453162518766e-08,0.012052899229879923,0.09899867254221494,2.307417701597433,0.005760927633769683,0.016118159516471026,0.019560582718609706
1000.0,130.0,0.0031622776601683794,1.4047338744526003,0.009433126973680258,9.006046541590197e-08,0.012020275544538078,0.09866416658287427,2.3075918927071575,0.005757315077914761,0.028345677587199008,0.034308519433146514
1000.0,130.0,0.005623413251903491,1.402837252039907,0.009368456772030718,8.791317129987662e-08,0.011964384847800809,0.0980911699875098,2.3078828920826844,0.005751112215079325,0.049434557587034765,0.05956174821260949
1000.0,130.0,0.01,1.3996567662858193,0.009261075694116655,8.433647485869261e-08,0.01187118999609898,0.09713597925530565,2.3083438549021964,0.005740723980146518,0.08499399981740441,0.10162709076928436
1000.0,130.0,0.01778279410038923,1.3945392088738935,0.00909105656870009,7.864440888043845e-08,0.011722615372239306,0.09561384254581959,2.3090147673368837,0.0057240432932746605,0.14272840615077845,0.16857836089674114
1000.0,130.0,0.03162277660168379,1.3868279454438512,0.008841157611005757,7.021251410964854e-08,0.011501914225040013,0.09335432254188172,2.309862048219776,0.005698986173840716,0.23094654998694136,0.2677831263264581
1000.0,130.0,0.05623413251903491,1.3762854806789293,0.008511345116985019,5.896215340398529e-08,0.011206244161680914,0.09033029886489352,2.3107056161578807,0.005664873476555343,0.3539813123176155,0.40022937786956314
1000.0,130.0,0.1,1.3636378106683604,0.008132943460965198,4.587834941756641e-08,0.010860543358102237,0.08679921844288273,2.3112440607205005,0.005624152706718397,0.5053861200440346,0.5544383912880556
