structure,description,anand_candidate,dm_type,majorana_allowed,dim,m_chi_GeV,N_lo,N_mid,f_hi,R_lo,R_hi,R_roi,N_events_unit_C,C_1event,Lambda_1event_GeV,Lambda_lo68_GeV,Lambda_hi68_GeV,Lambda_over_mchi,leading_op_248keV,frac_lead_248,leading_op_20keV,frac_lead_20,leading_piece_248,leading_piece_20,fractions_248,fractions_20,classification,Z_pred_P016,dRdE_248_unit,mu_chi_1event_muN,anapole_a_1event_GeV-2
Q15_univ,"chibar sigma^{mu nu} chi d_nu(qbar g_mu q) [DM dipole x quark vector current], u=d=s",L6 (likely),D,True,7,1000,15.303,6.891,0.042678,1.078e+11,7.0441e+09,1.6505e+11,4.6874e+11,1.4606e-06,88.137,76.171,107.72,0.088137,O5,0.4575,O5,0.98205,5_c,5_c,"{""O5"": 0.4575, ""O6"": 0.2141, ""O1"": 0.0001, ""O4"": 0.3283}","{""O5"": 0.982, ""O6"": 0.0064, ""O1"": 0.001, ""O4"": 0.0105}",marginal,2.9002,9.7504e+07,,
Q15_univ,"chibar sigma^{mu nu} chi d_nu(qbar g_mu q) [DM dipole x quark vector current], u=d=s",L6 (likely),D,True,7,4000,13.152,6.2524,0.048514,2.7454e+10,2.0874e+09,4.3026e+10,1.2219e+11,2.8607e-06,70.444,60.88,86.097,0.017611,O5,0.45766,O5,0.983,5_c,5_c,"{""O5"": 0.4577, ""O6"": 0.2141, ""O1"": 0.0, ""O4"": 0.3282}","{""O5"": 0.983, ""O6"": 0.0064, ""O1"": 0.0001, ""O4"": 0.0105}",marginal,2.9455,2.9373e+07,,
Q15_charge,same with quark charges (contact analogue of the photon dipole),L6 (likely),D,True,7,200,7.7461,3.5566,0.080433,9.4308e+09,1.2175e+09,1.5137e+10,4.2988e+10,4.8231e-06,59.187,51.151,72.339,0.29593,O4,0.58828,O5,0.67422,4_q2,5_c,"{""O5"": 0.0018, ""O6"": 0.4093, ""O1"": 0.0006, ""O4"": 0.5883}","{""O5"": 0.6742, ""O6"": 0.1195, ""O1"": 0.0179, ""O4"": 0.1884}",marginal,3.0951,1.4451e+07,,
Q15_charge,same with quark charges (contact analogue of the photon dipole),L6 (likely),D,True,7,1000,2.5187,1.9575,0.18058,2.0831e+09,8.2707e+08,4.58e+09,1.3007e+10,8.7681e-06,48.495,41.911,59.271,0.048495,O4,0.58853,O5,0.68933,4_q2,5_c,"{""O5"": 0.002, ""O6"": 0.4094, ""O1"": 0.0, ""O4"": 0.5885}","{""O5"": 0.6893, ""O6"": 0.1203, ""O1"": 0.0007, ""O4"": 0.1897}",compatible,3.343,1.1099e+07,,
Q15_charge,same with quark charges (contact analogue of the photon dipole),L6 (likely),D,True,7,4000,2.1665,1.8157,0.19842,5.3038e+08,2.4481e+08,1.2338e+09,3.504e+09,1.6893e-05,38.973,33.682,47.633,0.0097432,O4,0.58844,O5,0.69033,4_q2,5_c,"{""O5"": 0.002, ""O6"": 0.4095, ""O1"": 0.0, ""O4"": 0.5884}","{""O5"": 0.6903, ""O6"": 0.1202, ""O1"": 0.0, ""O4"": 0.1895}",compatible,3.3684,3.3368e+06,,
Q16_univ,chibar sigma^{mu nu} i g5 chi d_nu(qbar g_mu q) [DM EDM x quark vector current],none secure,D,True,7,200,723.2,68.031,0.0012445,3.8055e+17,5.262e+14,4.2281e+17,1.2008e+18,9.1258e-10,1031,890.99,1260.1,5.1548,O11,1,O11,1,11_c,11_c,"{""O11"": 1.0}","{""O11"": 1.0}",excluded,1.1718,1.2389e+12,,
Q16_univ,chibar sigma^{mu nu} i g5 chi d_nu(qbar g_mu q) [DM EDM x quark vector current],none secure,D,True,7,1000,258.12,32.148,0.0033906,8.5074e+16,3.2959e+14,9.7206e+16,2.7607e+17,1.9032e-09,806.93,697.38,986.24,0.80693,O11,1,O11,1,11_c,11_c,"{""O11"": 1.0}","{""O11"": 1.0}",excluded,1.7656,9.5496e+11,,
Q16_univ,chibar sigma^{mu nu} i g5 chi d_nu(qbar g_mu q) [DM EDM x quark vector current],none secure,D,True,7,4000,224.37,29.149,0.0038812,2.1617e+16,9.6346e+13,2.4824e+16,7.0501e+16,3.7662e-09,642.74,555.47,785.56,0.16068,O11,1,O11,1,11_c,11_c,"{""O11"": 1.0}","{""O11"": 1.0}",excluded,1.8375,2.8688e+11,,
Q17_univ,chibar sigma^{mu nu} chi d_nu(qbar g_mu g5 q) [DM dipole x quark axial current],L9? (uncertain),D,True,7,200,6.3481,4.7327,0.081439,3.3604e+10,5.2935e+09,6.4999e+10,1.846e+11,2.3275e-06,75.458,65.213,92.226,0.37729,O9,1,O9,1,9_c,9_c,"{""O9"": 1.0}","{""O9"": 1.0}",marginal,3.1453,5.7074e+07,,
Q17_univ,chibar sigma^{mu nu} chi d_nu(qbar g_mu g5 q) [DM dipole x quark axial current],L9? (uncertain),D,True,7,1000,2.0625,2.6884,0.17161,7.3624e+09,3.5696e+09,2.0801e+10,5.9075e+10,4.1143e-06,62.407,53.934,76.275,0.062407,O9,1,O9,1,9_c,9_c,"{""O9"": 1.0}","{""O9"": 1.0}",compatible,3.3766,4.3922e+07,,
Q17_univ,chibar sigma^{mu nu} chi d_nu(qbar g_mu g5 q) [DM dipole x quark axial current],L9? (uncertain),D,True,7,4000,1.7684,2.4971,0.18747,1.8655e+09,1.0549e+09,5.6274e+09,1.5982e+10,7.9102e-06,50.188,43.375,61.341,0.012547,O9,1,O9,1,9_c,9_c,"{""O9"": 1.0}","{""O9"": 1.0}",compatible,3.4002,1.3205e+07,,
Q18_univ,chibar sigma^{mu nu} i g5 chi d_nu(qbar g_mu g5 q),none secure,D,True,7,200,7.9976,5.263,0.06891,18471,2309.6,33517,95187,0.0032412,6.7571,5.8398,8.2587,0.033786,O14,1,O14,1,14_c,14_c,"{""O14"": 1.0}","{""O14"": 1.0}",marginal,3.0863,24.306,,
Q18_univ,chibar sigma^{mu nu} i g5 chi d_nu(qbar g_mu g5 q),none secure,D,True,7,1000,2.3396,2.8298,0.15991,4111.9,1757.6,10991,31214,0.0056601,5.6112,4.8494,6.8581,0.0056112,O14,1,O14,1,14_c,14_c,"{""O14"": 1.0}","{""O14"": 1.0}",compatible,3.3554,21.432,,
Q18_univ,chibar sigma^{mu nu} i g5 chi d_nu(qbar g_mu g5 q),none secure,D,True,7,4000,1.9748,2.6124,0.17663,1044.5,528.91,2994.5,8504.4,0.010844,4.5179,3.9046,5.5219,0.0011295,O14,1,O14,1,14_c,14_c,"{""O14"": 1.0}","{""O14"": 1.0}",compatible,3.3839,6.5663,,
TW2_quark,"twist-2 quark operator, u=d=s",L1/L5-like,D,True,7,200,7912,205.91,0.00011279,1.4132e+18,1.7862e+14,1.5837e+18,4.4976e+18,4.7153e-10,1284.8,1110.4,1570.3,6.4239,O1,1,O1,1,1_c,1_c,"{""O1"": 1.0}","{""O1"": 1.0}",excluded,0,3.6499e+11,,
TW2_quark,"twist-2 quark operator, u=d=s",L1/L5-like,D,True,7,1000,2756.9,92.182,0.00032328,3.0716e+17,1.1141e+14,3.4463e+17,9.7875e+17,1.0108e-09,996.43,861.15,1217.8,0.99643,O1,1,O1,1,1_c,1_c,"{""O1"": 1.0}","{""O1"": 1.0}",excluded,0.1621,2.8133e+11,,
TW2_quark,"twist-2 quark operator, u=d=s",L1/L5-like,D,True,7,4000,2388.1,82.837,0.00037307,7.7732e+16,3.255e+13,8.7248e+16,2.4779e+17,2.0089e-09,792.52,684.93,968.63,0.19813,O1,1,O1,1,1_c,1_c,"{""O1"": 1.0}","{""O1"": 1.0}",excluded,0.26611,8.4516e+10,,
TW2_gluon,twist-2 gluon operator,L1-like,D,True,7,200,7912,205.91,0.00011279,7.5831e+17,9.5842e+13,8.4976e+17,2.4133e+18,6.4371e-10,1158.2,1000.9,1415.5,5.7908,O1,1,O1,1,1_c,1_c,"{""O1"": 1.0}","{""O1"": 1.0}",excluded,0,1.9585e+11,,
TW2_gluon,twist-2 gluon operator,L1-like,D,True,7,1000,2756.9,92.182,0.00032328,1.6482e+17,5.9782e+13,1.8492e+17,5.2518e+17,1.3799e-09,898.22,776.28,1097.8,0.89822,O1,1,O1,1,1_c,1_c,"{""O1"": 1.0}","{""O1"": 1.0}",excluded,0.1621,1.5095e+11,,
TW2_gluon,twist-2 gluon operator,L1-like,D,True,7,4000,2388.1,82.837,0.00037307,4.171e+16,1.7466e+13,4.6816e+16,1.3296e+17,2.7425e-09,714.42,617.42,873.17,0.1786,O1,1,O1,1,1_c,1_c,"{""O1"": 1.0}","{""O1"": 1.0}",excluded,0.26611,4.535e+10,,
