delta_keV,m_Aprime_GeV,alpha_D,sigma0_cm2,sigma_over_m_cm2_g,Gamma_up_per_s,tau_s,f2_steady_state,f2_primordial,f2_total,LZ_exo_events_2p84tyr_ss,LZ_exo_events_2p84tyr_prim
300.0,4.0,0.1,1.9113615224050975e-25,0.00010721722793544049,4.34724079660192e-22,1.0859375e+16,4.720831802559898e-06,1.9160367367713575e-18,4.720831802561814e-06,0.004055194518398952,1.645875556886596e-15
300.0,5.0,0.0245,4.699319311661711e-27,2.6360684981554444e-06,1.1363773916088984e-23,4448000000000000.0,5.05460663787638e-08,1.5068030717874006e-43,5.05460663787638e-08,4.3419071019358104e-05,1.294343838665377e-40
300.0,5.0,0.1,7.82893679577128e-26,4.391617656235643e-05,1.8931734970577237e-22,4448000000000000.0,8.420835714912755e-07,1.5068030717874006e-43,8.420835714912755e-07,0.0007233497879110056,1.294343838665377e-40
300.0,7.0,0.0245,1.2232713743392625e-27,6.861902587868192e-07,3.13325302214574e-24,1157850895460225.0,3.627839817394901e-09,2.2419642035797776e-164,3.627839817394901e-09,3.11631440314222e-06,1.925847250875029e-161
300.0,7.0,0.1,2.0379364836972302e-26,1.1431741087660461e-05,5.219913406323598e-23,1157850895460225.0,6.043881411736612e-08,2.2419642035797776e-164,6.043881411736612e-08,5.1916941326817495e-05,1.925847250875029e-161
300.0,10.0,0.0245,2.937074569788569e-28,1.6475428113471528e-07,7.771013481684297e-25,278000000000000.0,2.1603417479082343e-10,0.0,2.1603417479082343e-10,1.8557335614531733e-07,0.0
300.0,10.0,0.1,4.89308549735705e-27,2.7447610351472768e-06,1.2946294846621068e-23,278000000000000.0,3.599069967360657e-09,0.0,3.599069967360657e-09,3.0916011019628044e-06,0.0
350.0,2.4,0.0245,8.852582977034413e-26,4.965828786130259e-05,1.1666703568063243e-22,1115210262345679.2,1.301082754684908e-07,1.2732730272055563e-170,1.301082754684908e-07,0.0023549597859796835,2.3046241792420568e-166
350.0,2.4,0.1,1.4748159895101063e-24,0.0008272934254277816,1.9436407443670542e-21,1115210262345679.2,2.167568104431334e-06,1.2732730272055563e-170,2.167568104431334e-06,0.03923298269020714,2.3046241792420568e-166
350.0,2.6,0.0245,6.42719654815257e-26,3.605315840103534e-05,8.950564848826332e-23,809670529743356.1,7.247008582651478e-08,1.277602707504279e-234,7.247008582651478e-08,0.0013117085534599176,2.312460900582745e-230
350.0,2.6,0.1,1.0707532774931395e-24,0.000600635708472059,1.4911395000127167e-21,809670529743356.1,1.2073317088965396e-06,1.277602707504279e-234,1.2073317088965396e-06,0.021852703931027367,2.312460900582745e-230
350.0,2.9,0.0245,4.1526275550857003e-26,2.329403463895047e-05,6.179054078898647e-23,523130127912385.6,3.232449350671797e-08,0.0,3.232449350671797e-08,0.0005850733324715953,0.0
350.0,2.9,0.1,6.918163357077385e-25,0.0003880722138933856,1.0294134242230147e-21,523130127912385.6,5.385171762885126e-07,0.0,5.385171762885126e-07,0.009747160890822079,0.0
350.0,3.0,0.0245,3.626017987393295e-26,2.034003470798954e-05,5.496717441770996e-23,456790123456790.1,2.510846238833665e-08,0.0,2.510846238833665e-08,0.0004544631692288934,0.0
350.0,3.0,0.1,6.040846293033395e-25,0.0003388593870552193,9.157380161217818e-22,456790123456790.1,4.1830008143834475e-07,0.0,4.1830008143834475e-07,0.00757123147403404,0.0
350.0,3.5,0.0245,1.95723419894282e-26,1.0979044140589107e-05,3.194361953779695e-23,246563931695127.03,7.876144425812492e-09,0.0,7.876144425812492e-09,0.0001425582141072061,0.0
350.0,3.5,0.1,3.2606983739155684e-25,0.00018290785740256738,5.321719206630063e-22,246563931695127.03,1.3121440109641805e-07,0.0,1.3121440109641805e-07,0.002374980659845167,0.0
350.0,4.0,0.0245,1.1472947538236598e-26,6.4357141068248155e-06,1.971118275448941e-23,144531250000000.0,2.8488818824847975e-09,0.0,2.8488818824847975e-09,5.156476207297484e-05,0.0
