experiment,window,model,alpha,prior,pi,P_now,date_P_lt_0.01,date_P_lt_0.001,date_P_lt_0.0001
world,1000phd,d300,2.0,lo68,0.0016,0.00014410903784290078,2021.0,2022.1,2027.59
world,1000phd,d300,2.0,hi68,0.137,0.014076394663089848,2027.54,2032.97,inf
world,1000phd,d300,1.5,median,0.015,0.002494732731275002,2022.2,2030.38,2035.92
world,1000phd,d300,1.5,lo68,0.0016,0.0002631206433371784,2021.0,2022.3,2030.66
world,1000phd,d300,1.5,hi68,0.137,0.025408908404440104,2030.56,inf,inf
world,1000phd,d350,2.0,median,0.015,0.00011082187490304034,2021.34,2023.41,2026.89
world,1000phd,d350,2.0,lo68,0.0016,1.1663501288706842e-05,2021.0,2021.41,2023.46
world,1000phd,d350,2.0,hi68,0.137,0.0011540559877711255,2023.44,2026.96,2032.39
world,1000phd,d350,1.5,median,0.015,0.00037931866106417976,2021.5,2024.42,2031.49
world,1000phd,d350,1.5,lo68,0.0016,3.993116818752131e-05,2021.0,2021.54,2024.51
world,1000phd,d350,1.5,hi68,0.137,0.003940117449833447,2024.47,2031.72,inf
world,1000phd,d366,2.0,median,0.015,1.2455077620617177e-05,2021.04,2021.97,2023.74
world,1000phd,d366,2.0,lo68,0.0016,1.3107252328769479e-06,2021.0,2021.06,2021.99
world,1000phd,d366,2.0,hi68,0.137,0.00012982257099960933,2021.98,2023.78,2027.15
world,1000phd,d366,1.5,median,0.015,7.364540551741929e-05,2021.09,2022.27,2025.89
world,1000phd,d366,1.5,lo68,0.0016,7.750588124412757e-06,2021.0,2021.12,2022.3
world,1000phd,d366,1.5,hi68,0.137,0.0007671831831996089,2022.29,2025.99,2032.54
world,1000phd,d380,2.0,median,0.015,3.17267357502489e-07,2021.0,2021.17,2021.69
world,1000phd,d380,2.0,lo68,0.0016,3.3387653403286e-08,2021.0,2021.0,2021.18
world,1000phd,d380,2.0,hi68,0.137,3.3073399414624127e-06,2021.18,2021.7,2022.45
world,1000phd,d380,1.5,median,0.015,4.696030020350991e-06,2021.0,2021.38,2022.16
world,1000phd,d380,1.5,lo68,0.0016,4.941889963813049e-07,2021.0,2021.0,2021.4
world,1000phd,d380,1.5,hi68,0.137,4.8951543143336804e-05,2021.39,2022.18,2025.04
