experiment,window,model,date,k_expected,b,truth,P_BF_gt100,P_BF_lt0p01,P_settled,BF_if_zero,N_min_for_BF100
LZ,1000phd,L10,end-2027,3.0935841599658556,0.013588788706337831,C one-off,9.149542264201782e-05,0.0,9.149542264201782e-05,0.05967293393734179,2
LZ,1000phd,L10,end-2028,3.707048062195855,0.016283472579577265,A/B best fit,0.8859156452786685,0.0,0.8859156452786685,0.04513180343435496,2
LZ,1000phd,L10,end-2028,3.707048062195855,0.016283472579577265,A/B x0.30,0.3113542962350871,0.0,0.3113542962350871,0.04513180343435496,2
LZ,1000phd,L10,end-2028,3.707048062195855,0.016283472579577265,C one-off,0.00013114529414296792,0.0,0.00013114529414296792,0.04513180343435496,2
LZ,1000phd,L10,end-2030,4.933975866655856,0.021672840326056143,A/B best fit,0.9580513310187007,0.0,0.9580513310187007,0.02839726992776613,2
LZ,1000phd,L10,end-2030,4.933975866655856,0.021672840326056143,A/B x0.30,0.44279881290740875,0.0,0.44279881290740875,0.02839726992776613,2
LZ,1000phd,L10,end-2030,4.933975866655856,0.021672840326056143,C one-off,0.00023149009278406152,0.0,0.00023149009278406152,0.02839726992776613,2
LZ,1000phd,L10,end-2032,5.547439768885855,0.024367524199295578,A/B best fit,0.9750034737996726,0.0,0.9750034737996726,0.02332481401149743,2
LZ,1000phd,L10,end-2032,5.547439768885855,0.024367524199295578,A/B x0.30,0.5032056124282422,0.0,0.5032056124282422,0.02332481401149743,2
LZ,1000phd,L10,end-2032,5.547439768885855,0.024367524199295578,C one-off,0.00029210895188783956,0.0,0.00029210895188783956,0.02332481401149743,2
LZ,1000phd,d300,end-2027,1.582137709666977,0.013588788706337831,A/B best fit,0.4736874599517006,0.0,0.4736874599517006,0.14998062776407606,2
LZ,1000phd,d300,end-2027,1.582137709666977,0.013588788706337831,A/B x0.30,0.08665586251450474,0.0,0.08665586251450474,0.14998062776407606,2
LZ,1000phd,d300,end-2027,1.582137709666977,0.013588788706337831,C one-off,9.149542264201782e-05,0.0,9.149542264201782e-05,0.14998062776407606,2
LZ,1000phd,d300,end-2028,1.895878769566977,0.016283472579577265,A/B best fit,0.5696973145769727,0.0,0.5696973145769727,0.11924266081215698,2
LZ,1000phd,d300,end-2028,1.895878769566977,0.016283472579577265,A/B x0.30,0.11700256062481013,0.0,0.11700256062481013,0.11924266081215698,2
LZ,1000phd,d300,end-2028,1.895878769566977,0.016283472579577265,C one-off,0.00013114529414296792,0.0,0.00013114529414296792,0.11924266081215698,2
LZ,1000phd,d300,end-2030,2.5233608893669772,0.021672840326056143,A/B best fit,0.7218197669485025,0.0,0.7218197669485025,0.08055166276122921,2
LZ,1000phd,d300,end-2030,2.5233608893669772,0.021672840326056143,A/B x0.30,0.18356580883797383,0.0,0.18356580883797383,0.08055166276122921,2
LZ,1000phd,d300,end-2030,2.5233608893669772,0.021672840326056143,C one-off,0.00023149009278406152,0.0,0.00023149009278406152,0.08055166276122921,2
LZ,1000phd,d300,end-2032,2.837101949266977,0.024367524199295578,A/B best fit,0.7791831534760143,0.0,0.7791831534760143,0.06791723581470833,2
