experiment,window,model,rate_per_tyr,b_per_tyr,E_new_now,mu_now,P0_now,mu_end2027,mu_end2028,mu_2030,asimov3_new,asimov5_new,asimov3_comb,asimov5_comb,asimov5_new_lo68,toy3_best_q16,toy3_best_med,toy3_best_q84,P3_best_by2027,P3_best_by2028,P3_best_by2030,toy5_best_q16,toy5_best_med,toy5_best_q84,P5_best_by2027,P5_best_by2028,P5_best_by2030,toy3_lo68_q16,toy3_lo68_med,toy3_lo68_q84,P3_lo68_by2027,P3_lo68_by2028,P3_lo68_by2030,toy5_lo68_q16,toy5_lo68_med,toy5_lo68_q84,P5_lo68_by2027,P5_lo68_by2028,P5_lo68_by2030,toy3_PG_q16,toy3_PG_med,toy3_PG_q84,P3_PG_by2027,P3_PG_by2028,P3_PG_by2030,toy5_PG_q16,toy5_PG_med,toy5_PG_q84,P5_PG_by2027,P5_PG_by2028,P5_PG_by2030,toy3_comb_med,P3_comb_by2027,P3_comb_by2028,toy5_comb_med,P5_comb_by2027,P5_comb_by2028
XLZD,600phd,d380,0.278338,0.00020070422535211268,0.0,0.0,1.0,0.0,0.0,0.0,2032.06,2032.15,2021.0,2032.08,2032.62,2032.02,2032.06,2032.14,0.0,0.0,0.0,2032.06,2032.19,2032.34,0.0,0.0,0.0,2032.05,2032.29,2032.78,0.0,0.0,0.0,2032.34,2032.67,2033.16,0.0,0.0,0.0,2032.01,2032.04,2032.12,0.0,0.0,0.0,2032.03,2032.1,2032.32,0.0,0.0,0.0,2024.25,1.0,1.0,2032.13,0.0,0.0
XLZD,1000phd,L10,0.219641,0.0005633802816901409,0.0,0.0,1.0,0.0,0.0,0.0,2032.09,2032.24,2021.0,2032.13,2033.04,2032.02,2032.13,2032.3,0.0,0.0,0.0,2032.13,2032.26,2032.44,0.0,0.0,0.0,2032.16,2032.51,2033.03,0.0,0.0,0.0,2032.43,2033.13,2033.84,0.0,0.0,0.0,2032.01,2032.04,2032.26,0.0,0.0,0.0,2032.06,2032.15,2032.42,0.0,0.0,0.0,2024.25,1.0,1.0,2032.16,0.0,0.0
XLZD,1000phd,d300,0.11233,0.0005633802816901409,0.0,0.0,1.0,0.0,0.0,0.0,2032.2,2032.54,2021.0,2032.31,2034.44,2032.04,2032.28,2032.6,0.0,0.0,0.0,2032.26,2032.62,2033.0816,0.0,0.0,0.0,2032.38,2033.01,2034.15,0.0,0.0,0.0,2033.24,2034.71,inf,0.0,0.0,0.0,2032.02,2032.16,2032.53,0.0,0.0,0.0,2032.12,2032.3,2033.05,0.0,0.0,0.0,2024.25,1.0,1.0,2032.31,0.0,0.0
XLZD,1000phd,d350,0.5159,0.0005633802816901409,0.0,0.0,1.0,0.0,0.0,0.0,2032.04,2032.09,2021.0,2032.05,2032.37,2032.01,2032.03,2032.12,0.0,0.0,0.0,2032.05,2032.11,2032.19,0.0,0.0,0.0,2032.03,2032.2,2032.44,0.0,0.0,0.0,2032.19,2032.36,2032.77,0.0,0.0,0.0,2032.01,2032.02,2032.1,0.0,0.0,0.0,2032.02,2032.07,2032.18,0.0,0.0,0.0,2024.25,1.0,1.0,2032.07,0.0,0.0
XLZD,1000phd,d366,1.634376,0.0005633802816901409,0.0,0.0,1.0,0.0,0.0,0.0,2032.01,2032.03,2021.0,2032.02,2032.1,2032.01,2032.01,2032.03,0.0,0.0,0.0,2032.01,2032.03,2032.06,0.0,0.0,0.0,2032.01,2032.03,2032.13,0.0,0.0,0.0,2032.06,2032.12,2032.2,0.0,0.0,0.0,2032.01,2032.01,2032.02,0.0,0.0,0.0,2032.01,2032.02,2032.06,0.0,0.0,0.0,2024.25,1.0,1.0,2032.03,0.0,0.0
XLZD,1000phd,d380,10.493725,0.0005633802816901409,0.0,0.0,1.0,0.0,0.0,0.0,2032.01,2032.01,2021.0,2032.01,2032.02,2032.01,2032.01,2032.01,0.0,0.0,0.0,2032.01,2032.01,2032.01,0.0,0.0,0.0,2032.01,2032.01,2032.02,0.0,0.0,0.0,2032.01,2032.02,2032.03,0.0,0.0,0.0,2032.01,2032.01,2032.01,0.0,0.0,0.0,2032.01,2032.01,2032.01,0.0,0.0,0.0,2024.25,1.0,1.0,2032.01,0.0,0.0
world,600phd,L10,0.120513,0.00020070422535211268,17.94252119999975,2.16230705737557,0.11505936604087007,3.2214727602386404,4.04253144462864,5.684648813408639,2024.37,2026.9,2021.0,2024.97,2032.36,2021.85,2023.9,2027.71,0.86825,0.92885,0.9818,2025.14,2027.3,2029.74,0.62365,0.76365,0.9217,2023.12,2030.19,2032.4,0.34715,0.41785,0.55515,2029.53,2032.47,2033.22,0.0816,0.12915,0.2499,2021.56,2022.3449999999998,2027.14,0.8803,0.91035,0.94445,2022.2,2025.63,2029.33,0.7636,0.8246,0.8928,2024.25,1.0,1.0,2025.74,0.83645,0.913
world,600phd,d300,0.062824,0.00020070422535211268,17.94252119999975,1.1272209518687843,0.32393222995662163,1.679369069637569,2.1073908663575693,2.963434459797569,2026.11,2030.21,2021.0,2027.39,2033.74,2022.2,2027.24,2031.38,0.5747,0.67095,0.82115,2027.19,2030.3,2032.41,0.24565,0.3568,0.56975,2027.7,2032.35,2033.36,0.169,0.20255,0.2774,2032.53,2033.86,2035.69,0.0159,0.0267,0.06565,2021.84,2024.28,2030.39,0.7309,0.78365,0.85795,2024.8,2027.75,2032.36,0.52855,0.61695,0.7353,2024.25,1.0,1.0,2027.91,0.51295,0.6313
world,600phd,d350,0.178018,0.00020070422535211268,17.94252119999975,3.1940917389815557,0.04100375057668341,4.758657886138112,5.9714998606781124,8.397183809758111,2022.89,2025.49,2021.0,2024.04,2031.54,2021.66,2022.63,2026.23,0.9629,0.9862,0.9978,2023.58,2026.04,2027.86,0.8566,0.93995,0.9906,2022.28,2027.91,2032.04,0.5092,0.5976,0.74455,2027.8,2031.39,2032.39,0.1748,0.26625,0.46385,2021.4,2022.1,2025.61,0.93075,0.9503,0.9713,2022.01,2024.66,2027.6616000000001,0.8589,0.8998,0.9412,2024.25,1.0,1.0,2024.8,0.94885,0.98105
world,600phd,d366,0.273672,0.00020070422535211268,17.94252119999975,4.910365661846332,0.007369792986495127,7.315616516392665,9.180152062552665,12.909223154872665,2022.16,2024.46,2021.0,2022.37,2028.52,2021.51,2022.14,2024.32,0.99575,0.99905,1.0,2022.16,2024.86,2026.49,0.97655,0.9941,0.99985,2022.05,2026.01,2029.56,0.7116,0.8008,0.91185,2026.31,2028.82,2032.01,0.3817,0.52515,0.74625,2021.23,2021.87,2023.67,0.965,0.97635,0.98645,2021.76,2022.44,2026.3216,0.92505,0.94755,0.9687,2024.25,1.0,1.0,2023.71,0.9951,0.99895
world,600phd,d380,0.278338,0.00020070422535211268,17.94252119999975,4.994085465765529,0.006777916902444577,7.440344901706061,9.336670045846061,13.12932033412606,2022.15,2024.43,2021.0,2022.35,2028.43,2021.51,2022.13,2024.31,0.99635,0.99915,1.0,2022.14,2024.79,2026.41,0.979,0.99485,0.99995,2022.05,2025.98,2029.54,0.71065,0.79965,0.91405,2026.26,2028.77,2032.01,0.38955,0.53245,0.754,2021.22,2021.84,2023.58,0.968,0.9781,0.9881,2021.74,2022.39,2026.2,0.929,0.9515,0.97495,2024.25,1.0,1.0,2023.57,0.99555,0.99915
world,1000phd,L10,0.219641,0.0005633802816901409,20.78252119999975,4.564693738889145,0.010413067836180477,6.495076470565791,7.991497192795791,10.98433863725579,2023.05,2025.02,2021.0,2023.8,2032.02,2021.57,2023.65,2025.39,0.98995,0.99765,0.9999,2023.53,2024.88,2027.49,0.8982,0.9618,0.9954,2024.04,2027.21,2030.84,0.60065,0.70645,0.84995,2028.13,2032.06,2033.01,0.15,0.23435,0.4322,2021.31,2022.3,2024.97,0.9538,0.9678,0.98145,2022.17,2023.79,2027.37,0.87045,0.9039,0.9427,2024.25,1.0,1.0,2023.88,0.96425,0.98895
world,1000phd,d300,0.11233,0.0005633802816901409,20.78252119999975,2.334500606395972,0.09685884113622197,3.3217474876669444,4.087055147566944,5.617670467366945,2024.54,2027.96,2021.0,2026.1,2033.47,2022.2,2025.23,2027.83,0.85565,0.92115,0.978,2024.87,2028.31,2031.31,0.4518,0.60075,0.81705,2026.28,2030.6750000000002,2033.49,0.28895,0.37235,0.52325,2032.39,2033.63,2035.64,0.02635,0.04465,0.09945,2021.58,2023.96,2027.39,0.871,0.9035,0.93935,2023.37,2026.08,2031.21,0.68085,0.7485,0.8346,2024.25,1.0,1.0,2026.6350000000002,0.6844,0.79465
world,1000phd,d350,0.5159,0.0005633802816901409,20.78252119999975,10.72170268707987,2.206092338604755e-05,15.255849095409745,18.770691272409746,25.800375626409746,2021.92,2023.04,2021.0,2022.1,2026.49,2021.23,2021.79,2023.46,0.99995,1.0,1.0,2022.13,2023.29,2024.19,0.9998,1.0,1.0,2021.7,2024.41,2026.71,0.94485,0.977,0.9964,2024.16,2026.95,2029.2,0.69105,0.8202,0.9494,2021.07,2021.58,2023.26,0.9893,0.99355,0.9972,2021.52,2022.24,2024.11,0.9665,0.9759,0.98695,2024.25,1.0,1.0,2022.28,1.0,1.0
world,1000phd,d366,1.634376,0.0005633802816901409,20.78252119999975,33.96645386877079,1.772378670706405e-15,48.330671876641595,59.465724595921586,81.7358300344816,2021.32,2021.73,2021.0,2021.46,2023.23,2021.01,2021.32,2021.71,1.0,1.0,1.0,2021.33,2021.85,2022.2,1.0,1.0,1.0,2021.25,2021.85,2023.56,1.0,1.0,1.0,2022.17,2023.37,2024.3,0.99975,1.0,1.0,2021.0,2021.16,2021.63,0.9997,0.99995,1.0,2021.11,2021.5,2022.15,0.998,0.9993,0.99995,2024.25,1.0,1.0,2021.62,1.0,1.0
world,1000phd,d380,10.493725,0.0005633802816901409,20.78252119999975,218.08606227946737,1.933866864030697e-95,310.31340385487226,381.80746709162224,524.7955935651223,2021.0,2021.04,2021.0,2021.0,2021.45,2021.0,2021.0,2021.08,1.0,1.0,1.0,2021.0,2021.06,2021.21,1.0,1.0,1.0,2021.0,2021.12,2021.47,1.0,1.0,1.0,2021.13,2021.43,2021.8,1.0,1.0,1.0,2021.0,2021.0,2021.04,1.0,1.0,1.0,2021.0,2021.0,2021.18,1.0,1.0,1.0,2024.25,1.0,1.0,2021.0,1.0,1.0
