model,cls,mass,delta,q0,s_hat,p_local,Z_local,Z_asymptotic
O12s_m400,elastic,400,0.0,1.9654714,1.6161773704152438,0.06228,1.5359118557689435,1.4019527
O12s_m1000,elastic,1000,0.0,2.5129607,1.6825629264712916,0.04316,1.7151376114160473,1.585232
O12s_m4000,elastic,4000,0.0,2.754428,1.7025012408339535,0.0369,1.7878513108259844,1.6596469
O12v_m10,elastic,10,0.0,0.029549833,0.16760575079388218,0.43686,0.15893510807661623,0.17190064
O12v_m12,elastic,12,0.0,0.023971131,0.16358631935872836,0.35886,0.3615076329438044,0.15482613
O12v_m14,elastic,14,0.0,0.018107967,0.15712759759480832,0.38292,0.2978207193373004,0.13456585
O12v_m17,elastic,17,0.0,0.010665971,0.13606017939309822,0.41448,0.21603559735302727,0.103276186
O12v_m21,elastic,21,0.0,0.0061467923,0.11481662757432787,0.42352,0.19289653339433435,0.07840148
O12v_m30,elastic,30,0.0,0.012689597,0.185668175072351,0.40676,0.23588745894113958,0.112648115
O12v_m40,elastic,40,0.0,0.014608939,0.1987989635017584,0.40758,0.23377456071515462,0.120867446
O12v_m50,elastic,50,0.0,0.0070994506,0.13542959019105183,0.4128,0.22034817986241456,0.084258236
O12v_m100,elastic,100,0.0,0.0439658,0.3618637711406336,0.33428,0.4281251598504225,0.20968023
O12v_m200,elastic,200,0.0,1.60832,1.5375839142870973,0.06886,1.4843352618476486,1.2681955
O12v_m400,elastic,400,0.0,2.554146,1.630700544519641,0.03572,1.802670358582629,1.5981696
O12v_m1000,elastic,1000,0.0,3.0103374,1.6384978203495848,0.02722,1.9233189989145607,1.7350323
O12v_m4000,elastic,4000,0.0,3.2033074,1.6365084117205697,0.0241,1.9756008703352508,1.7897786
O13s_m10,elastic,10,0.0,0.030003093,0.17275543246796587,0.34726,0.39272852512354167,0.173214
O13s_m12,elastic,12,0.0,0.018440962,0.15366485185950296,0.3766,0.3144227232160747,0.1357975
O13s_m14,elastic,14,0.0,0.011523814,0.13749866189755267,0.40658,0.23635140652768805,0.10734903
O13s_m17,elastic,17,0.0,0.003893916,0.08876631396560697,0.42784,0.18187605042461094,0.06240125
O13s_m21,elastic,21,0.0,0.0033295301,0.08988051016785903,0.4248,0.18962882237487336,0.05770208
O13s_m30,elastic,30,0.0,0.023639353,0.2415491971987649,0.38226,0.29955056079020703,0.15375094
O13s_m40,elastic,40,0.0,0.0074955556,0.12462405578844482,0.40478,0.24099369912584814,0.08657688
O13s_m50,elastic,50,0.0,0.0,0.0,1.0,0.0,0.0
O13s_m100,elastic,100,0.0,1.4827843,1.3966934532436426,0.08554,1.3687417973988847,1.2176963
O13s_m200,elastic,200,0.0,5.310444,1.604722231750202,0.0078,2.4181417132227407,2.30444
O13s_m400,elastic,400,0.0,6.5096173,1.5578259289395646,0.00378,2.6711138518525837,2.5513952
O13s_m1000,elastic,1000,0.0,7.033805,1.5252999068979989,0.00292,2.7566322004412656,2.652132
O13s_m4000,elastic,4000,0.0,7.242753,1.509705135213153,0.0026,2.7943758687810414,2.6912363
O13v_m10,elastic,10,0.0,0.029856406,0.1725213017562055,0.34704,0.39332426311889473,0.17279007
O13v_m12,elastic,12,0.0,0.018147012,0.15296752277208725,0.3781,0.3104746947758795,0.13471085
O13v_m14,elastic,14,0.0,0.011211713,0.136268897804257,0.40728,0.23454745070274102,0.10588538
O13v_m17,elastic,17,0.0,0.003550452,0.08506993861374212,0.43044,0.17525406997061627,0.05958567
O13v_m21,elastic,21,0.0,0.0035769776,0.09370121817482868,0.42304,0.19412245437259568,0.05980784
O13v_m30,elastic,30,0.0,0.024483591,0.241767994921247,0.37938,0.3071095354054884,0.15647234
O13v_m40,elastic,40,0.0,0.0013770283,0.052266755628807005,0.41582,0.21259868143134902,0.037108332
O13v_m50,elastic,50,0.0,0.0,0.0,1.0,0.0,0.0
O13v_m100,elastic,100,0.0,0.30801958,0.7519936555399909,0.19542,0.8580950145855035,0.5549951
O13v_m200,elastic,200,0.0,3.7744818,1.41685379025148,0.01812,2.094224345782837,1.9428025
O13v_m400,elastic,400,0.0,5.0979495,1.41328751360561,0.00798,2.409828976950071,2.257864
O13v_m1000,elastic,1000,0.0,5.7113748,1.4005549469220568,0.00564,2.5339028491267297,2.3898482
O13v_m4000,elastic,4000,0.0,5.96416,1.3934233779946226,0.00482,2.5884819466895292,2.442163
O14s_m10,elastic,10,0.0,0.029479561,0.16608662310318323,0.431,0.17382881250166243,0.17169613
O14s_m12,elastic,12,0.0,0.025628215,0.16527155228686752,0.35574,0.3698691347731114,0.16008815
O14s_m14,elastic,14,0.0,0.020072665,0.15989097137207864,0.37472,0.3193778568021143,0.14167804
O14s_m17,elastic,17,0.0,0.013224917,0.14584091357392026,0.406,0.23784669541774933,0.114999644
O14s_m21,elastic,21,0.0,0.007631686,0.12265267931070412,0.42138,0.19836435993706714,0.087359525
O14s_m30,elastic,30,0.0,0.008108796,0.14286830944911344,0.40434,0.2421292683075819,0.09004885
O14s_m40,elastic,40,0.0,0.011474936,0.17729622868500883,0.40926,0.2294489425169753,0.10712113
O14s_m50,elastic,50,0.0,0.008827133,0.15680606575187994,0.41666,0.21044547923912105,0.09395283
O14s_m100,elastic,100,0.0,2.1556554,1.8159445042329025,0.0523,1.6229504386988718,1.468215
O14s_m200,elastic,200,0.0,6.087514,1.7324220200316631,0.00622,2.499410834743791,2.4672887
O14s_m400,elastic,400,0.0,7.0344434,1.5648917190628708,0.00378,2.6711138518525837,2.6522524
O14s_m1000,elastic,1000,0.0,7.415264,1.4794739910939825,0.003,2.7477813854449926,2.7230983
O14s_m4000,elastic,4000,0.0,7.567284,1.4429789471250842,0.00268,2.784562439718437,2.7508698
O14v_m10,elastic,10,0.0,0.02946567,0.16603584412223427,0.43088,0.17413419499321384,0.17165567
O14v_m12,elastic,12,0.0,0.025658349,0.1653046858336893,0.35572,0.3699228170186299,0.16018224
O14v_m14,elastic,14,0.0,0.02012371,0.1599627986070118,0.37422,0.32069702765824537,0.14185807
O14v_m17,elastic,17,0.0,0.013308741,0.14610870046453783,0.4057,0.23862032921741205,0.115363516
O14v_m21,elastic,21,0.0,0.007703941,0.12298162899242016,0.4207,0.20010303472414417,0.08777209
O14v_m30,elastic,30,0.0,0.0077720126,0.13925245413702214,0.40574,0.23851716980224047,0.08815902
O14v_m40,elastic,40,0.0,0.011488265,0.17673443919193232,0.4084,0.23166270562397495,0.10718332
O14v_m50,elastic,50,0.0,0.010461221,0.17027521240379428,0.41206,0.22224906592054539,0.10228011
O14v_m100,elastic,100,0.0,2.1666086,1.8537129264950636,0.05276,1.6186620334608537,1.4719404
O14v_m200,elastic,200,0.0,6.199373,1.7879907991664368,0.0058,2.5240846269919865,2.4898539
O14v_m400,elastic,400,0.0,7.1638665,1.6140095782247954,0.00346,2.7006698162556817,2.6765401
O14v_m1000,elastic,1000,0.0,7.547855,1.5228425571331172,0.00268,2.784562439718437,2.747336
O14v_m4000,elastic,4000,0.0,7.7003374,1.4834777964642853,0.00248,2.809620160144664,2.7749481
O15s_m10,elastic,10,0.0,0.026716333,0.16713464010535972,0.35022,0.38472658024895234,0.16345131
O15s_m12,elastic,12,0.0,0.01295552,0.13688428571185796,0.39274,0.27218470717975995,0.11382232
O15s_m14,elastic,14,0.0,0.0068401606,0.11236303409532411,0.41534,0.2138295247326266,0.08270527
O15s_m17,elastic,17,0.0,0.0008329279,0.0418119215828483,0.44064,0.14934678513182334,0.02886049
O15s_m21,elastic,21,0.0,0.004542919,0.10650737716787262,0.4187,0.20522031262174045,0.06740118
O15s_m30,elastic,30,0.0,0.028892674,0.23796163648512447,0.3757,0.31679389090656856,0.16997845
O15s_m40,elastic,40,0.0,0.0,0.0,1.0,0.0,0.0
O15s_m50,elastic,50,0.0,0.0,0.0,1.0,0.0,0.0
O15s_m100,elastic,100,0.0,1.994934,1.258967766589194,0.05854,1.5671484354465672,1.4124213
O15s_m200,elastic,200,0.0,5.7480493,1.337472259729111,0.00588,2.5192653348552034,2.3975089
O15s_m400,elastic,400,0.0,6.8527617,1.2945471983766765,0.00288,2.761139883136493,2.617778
O15s_m1000,elastic,1000,0.0,7.3257127,1.2692379392319708,0.00206,2.868824756121145,2.7066054
O15s_m4000,elastic,4000,0.0,7.516671,1.2576680368874804,0.00182,2.9077837084744,2.7416549
O15v_m10,elastic,10,0.0,0.027840072,0.16938632415985921,0.34746,0.392187066057063,0.16685344
O15v_m12,elastic,12,0.0,0.013672419,0.13894663035898702,0.38858,0.28302196429070164,0.11692912
O15v_m14,elastic,14,0.0,0.0074432637,0.11620937377301743,0.41738,0.20860065398547464,0.08627435
O15v_m17,elastic,17,0.0,0.0011523969,0.049021628983609844,0.43764,0.15695539745253836,0.033946972
O15v_m21,elastic,21,0.0,0.0032656707,0.0897500730570755,0.42344,0.1931008333766877,0.057146046
O15v_m30,elastic,30,0.0,0.029699191,0.24865254959877348,0.37838,0.30973826699674023,0.17233454
O15v_m40,elastic,40,0.0,8.71626e-05,0.012305625969020184,0.42256,0.19534866716360338,0.009336092
O15v_m50,elastic,50,0.0,0.0,0.0,1.0,0.0,0.0
O15v_m100,elastic,100,0.0,2.281274,1.1474895225910586,0.03224,1.8488463666290598,1.5103887
O15v_m200,elastic,200,0.0,4.8370657,1.113558243123407,0.01078,2.298031436116722,2.199333
O15v_m400,elastic,400,0.0,5.5578847,1.0828399013917078,0.00896,2.367266992208247,2.3575165
O15v_m1000,elastic,1000,0.0,5.8724227,1.0697205638643936,0.00824,2.3981081197610035,2.4233081
O15v_m4000,elastic,4000,0.0,6.0015254,1.06447005757218,0.00792,2.4125813997088135,2.4498012
O1s_m400_d0,inelastic,400,0.0,0.037584662,0.3395126452596742,0.38244,0.29907869716409885,0.19386764
O1s_m400_d50,inelastic,400,50.0,0.04619228,0.35662328144098865,0.36096,0.3558939323313012,0.21492389
O1s_m400_d100,inelastic,400,100.0,0.15287818,0.575263257669576,0.28194,0.5770880152197467,0.3909964
O1s_m400_d150,inelastic,400,150.0,0.8498456,1.0190698224687367,0.12364,1.156981301242982,0.9218707
O1s_m400_d200,inelastic,400,200.0,2.6596239,0.9812793512901408,0.02682,1.9297324262573852,1.6308353
O1s_m400_d250,inelastic,400,250.0,4.88998,0.9671463544145809,0.00918,2.3582767407932854,2.21133
O1s_m400_d300,inelastic,400,300.0,6.379246,0.9846130598816671,0.00598,2.5133223415258623,2.525717
O1s_m1000_d0,inelastic,1000,0.0,0.05673375,0.4221454655271373,0.35986,0.3588330321671772,0.23818848
O1s_m1000_d50,inelastic,1000,50.0,0.07972657,0.476156890472339,0.3363,0.4225823586579665,0.28235894
O1s_m1000_d100,inelastic,1000,100.0,0.2986406,0.7969175531252404,0.2349,0.7228045037020319,0.5464802
O1s_m1000_d150,inelastic,1000,150.0,1.2532407,1.1471079726834432,0.09048,1.3378050354440503,1.1194823
O1s_m1000_d200,inelastic,1000,200.0,3.017474,1.025772183893423,0.02282,1.99870760207976,1.7370877
O1s_m1000_d250,inelastic,1000,250.0,5.0459065,0.9703184717000113,0.00906,2.36315682425675,2.2463095
O1s_m1000_d300,inelastic,1000,300.0,6.1140804,0.9823925570162828,0.00674,2.4708296887513295,2.4726667
O1s_m1000_d350,inelastic,1000,350.0,8.865184,0.9956090109699289,0.0022,2.847963287487918,2.9774458
O1s_m4000_d0,inelastic,4000,0.0,0.068916395,0.4677617846391513,0.34792,0.3909421461218887,0.26251933
O1s_m4000_d50,inelastic,4000,50.0,0.101902835,0.5415656043260242,0.3245,0.45515184724396895,0.31922224
O1s_m4000_d100,inelastic,4000,100.0,0.38559106,0.8938428448527702,0.21408,0.792344210195833,0.6209598
O1s_m4000_d150,inelastic,4000,150.0,1.4317257,1.1893491958107916,0.08074,1.4001112723799014,1.1965474
O1s_m4000_d200,inelastic,4000,200.0,3.1653373,1.043887700761843,0.02126,2.0283945097325295,1.7791395
O1s_m4000_d250,inelastic,4000,250.0,5.084907,0.9715565582519048,0.00892,2.3689223188086195,2.254974
O1s_m4000_d300,inelastic,4000,300.0,6.086305,0.9821418653518776,0.00684,2.465558066970587,2.4670439
O1s_m4000_d350,inelastic,4000,350.0,7.9481616,0.9930368106506648,0.00372,2.6764800274510834,2.8192484
O1v_m400_d0,inelastic,400,0.0,1.144362,1.7056779765334795,0.12302,1.1600216292997616,1.0697485
O1v_m400_d50,inelastic,400,50.0,1.767777,1.877346071159991,0.07652,1.4288755708548173,1.3295777
O1v_m400_d100,inelastic,400,100.0,3.7232172,1.8788057152778492,0.01976,2.058731154545323,1.929564
O1v_m400_d150,inelastic,400,150.0,5.903288,1.511824692679511,0.00508,2.570335726309084,2.4296682
O1v_m400_d200,inelastic,400,200.0,7.125184,1.0223443413633504,0.00158,2.9517291296225348,2.6693041
O1v_m400_d250,inelastic,400,250.0,8.3613825,0.9943660125645692,0.00052,3.2794761511721178,2.8916056
O1v_m400_d300,inelastic,400,300.0,10.467729,0.9980342851849855,0.00016,3.5985470207163295,3.2353868
O1v_m1000_d0,inelastic,1000,0.0,1.6612922,1.8997772729562712,0.08196,1.3920079188439194,1.2889112
O1v_m1000_d50,inelastic,1000,50.0,2.4085338,2.0082799706506194,0.04816,1.6629622112468532,1.5519452
O1v_m1000_d100,inelastic,1000,100.0,4.4479065,1.9055296896476648,0.01264,2.2370970153631315,2.109006
O1v_m1000_d150,inelastic,1000,150.0,6.5261636,1.507598617572512,0.0033,2.7163805834608654,2.5546358
O1v_m1000_d200,inelastic,1000,200.0,7.6382217,1.037910008126346,0.00114,3.0511060879335945,2.7637334
O1v_m1000_d250,inelastic,1000,250.0,8.710959,0.9952917878763401,0.00052,3.2794761511721178,2.9514334
O1v_m1000_d300,inelastic,1000,300.0,10.145892,0.9976904352879501,0.00032,3.4140705542274294,3.1852617
O1v_m1000_d350,inelastic,1000,350.0,11.044904,0.998527773663227,0.00036,3.3818478931277403,3.3233874
O1v_m4000_d0,inelastic,4000,0.0,1.9077173,1.9658353196791722,0.06628,1.504082988095016,1.3812014
O1v_m4000_d50,inelastic,4000,50.0,2.6985343,2.049681774478813,0.0398,1.7530116929666983,1.6427217
O1v_m4000_d100,inelastic,4000,100.0,4.758985,1.9119414712986327,0.01032,2.314505680871856,2.1815097
O1v_m4000_d150,inelastic,4000,150.0,6.7728996,1.5039743112356518,0.00276,2.7750100618746845,2.6024795
O1v_m4000_d200,inelastic,4000,200.0,7.8317237,1.0448128430653014,0.001,3.090232306167813,2.7985218
O1v_m4000_d250,inelastic,4000,250.0,8.829275,0.9955892492507701,0.00052,3.2794761511721178,2.9714096
O1v_m4000_d300,inelastic,4000,300.0,10.053632,0.9975814721474308,0.00032,3.4140705542274294,3.1707463
O1v_m4000_d350,inelastic,4000,350.0,10.974733,0.9984751235242584,0.00032,3.4140705542274294,3.3128135
O4s_m400_d0,inelastic,400,0.0,4.122567,1.9361868915802916,0.01614,2.1409260751843378,2.0304105
O4s_m400_d50,inelastic,400,50.0,4.3771553,1.7544061621811124,0.01348,2.212096469810405,2.0921652
O4s_m400_d100,inelastic,400,100.0,4.9719987,1.3745111312528024,0.00976,2.3354485631054662,2.2297978
O4s_m400_d150,inelastic,400,150.0,5.6074834,1.100379800882365,0.00808,2.4052817810401304,2.3680124
O4s_m400_d200,inelastic,400,200.0,6.4387107,0.9940283484684187,0.00608,2.507466812592207,2.5374615
O4s_m400_d250,inelastic,400,250.0,7.501953,0.9913107192187454,0.00382,2.667578671732723,2.7389693
O4s_m400_d300,inelastic,400,300.0,9.002074,0.995900694942975,0.00142,2.984545456825952,3.0003457
O4s_m1000_d0,inelastic,1000,0.0,4.6942306,1.9193919761528377,0.01112,2.2862437944318748,2.1666174
O4s_m1000_d50,inelastic,1000,50.0,4.9482923,1.7268001334377914,0.00984,2.3323934951252587,2.2244756
O4s_m1000_d100,inelastic,1000,100.0,5.4993973,1.3499689416130423,0.00716,2.4491344084324034,2.3450794
O4s_m1000_d150,inelastic,1000,150.0,6.1053505,1.0946640595284407,0.00624,2.4982731208871773,2.4709008
O4s_m1000_d200,inelastic,1000,200.0,6.876182,0.9985889149174909,0.00466,2.6000874741599374,2.6222475
O4s_m1000_d250,inelastic,1000,250.0,7.794885,0.992582462313294,0.00232,2.8310187562875675,2.791932
O4s_m1000_d300,inelastic,1000,300.0,8.867551,0.995614258608839,0.00104,3.0785652136002923,2.9778433
O4s_m1000_d350,inelastic,1000,350.0,10.615553,0.9981745906043216,0.00016,3.5985470207163295,3.2581518
O4s_m4000_d0,inelastic,4000,0.0,4.932751,1.9078485833961167,0.00996,2.327851318162998,2.2209797
O4s_m4000_d50,inelastic,4000,50.0,5.1844864,1.7114059056257247,0.00886,2.371417544971459,2.2769468
O4s_m4000_d100,inelastic,4000,100.0,5.7180543,1.3378093667779467,0.00622,2.499410834743791,2.3912454
O4s_m4000_d150,inelastic,4000,150.0,6.3056755,1.0916773126155022,0.00548,2.5439715849523736,2.5111103
O4s_m4000_d200,inelastic,4000,200.0,7.04678,1.0001936259868671,0.00392,2.658883790031206,2.6545773
O4s_m4000_d250,inelastic,4000,250.0,7.892138,0.9929994345657178,0.00208,2.865767230794601,2.809295
O4s_m4000_d300,inelastic,4000,300.0,8.840968,0.9955554210682749,0.00094,3.108562308179681,2.9733765
O4s_m4000_d350,inelastic,4000,350.0,10.131498,0.997673575002409,4e-05,3.9444000841594518,3.1830015
O4v_m400_d0,inelastic,400,0.0,4.0410123,1.9258444277875242,0.01672,2.12676035350001,2.010227
O4v_m400_d50,inelastic,400,50.0,4.28891,1.7443275933692348,0.01414,2.193380167648994,2.0709684
O4v_m400_d100,inelastic,400,100.0,4.878487,1.3691911136629642,0.01026,2.316701459886479,2.2087297
O4v_m400_d150,inelastic,400,150.0,5.522794,1.0992920047647203,0.00848,2.3875737398622654,2.3500626
O4v_m400_d200,inelastic,400,200.0,6.3719983,0.9937052501845756,0.00622,2.499410834743791,2.5242817
O4v_m400_d250,inelastic,400,250.0,7.464651,0.991146341075364,0.00384,2.6658235080925907,2.7321513
O4v_m400_d300,inelastic,400,300.0,8.992647,0.9958812479089829,0.0014,2.98888226731579,2.9987743
O4v_m1000_d0,inelastic,1000,0.0,4.614424,1.9104135752058937,0.01178,2.2642295501508665,2.148121
O4v_m1000_d50,inelastic,1000,50.0,4.862936,1.7183234206095221,0.01026,2.316701459886479,2.2052066
O4v_m1000_d100,inelastic,1000,100.0,5.4115963,1.3460650637352956,0.00748,2.4333459445775185,2.3262837
O4v_m1000_d150,inelastic,1000,150.0,6.028472,1.094182783672295,0.0065,2.4837692932505324,2.4552946
O4v_m1000_d200,inelastic,1000,200.0,6.817454,0.9984670129415463,0.0048,2.589913682701567,2.6110253
O4v_m1000_d250,inelastic,1000,250.0,7.761601,0.9924598574070842,0.00236,2.8255467483028616,2.785965
O4v_m1000_d300,inelastic,1000,300.0,8.862642,0.9956034356946475,0.00094,3.108562308179681,2.977019
O4v_m1000_d350,inelastic,1000,350.0,10.61477,0.9981738742862944,0.0002,3.540083799206145,3.2580316
O4v_m4000_d0,inelastic,4000,0.0,4.853629,1.899377888730669,0.01034,2.313776227908041,2.2030954
O4v_m4000_d50,inelastic,4000,50.0,5.100408,1.7035727500842768,0.00922,2.3566624533237386,2.2584083
O4v_m4000_d100,inelastic,4000,100.0,5.633565,1.3344720963868895,0.00666,2.4750969824716726,2.3735132
O4v_m4000_d150,inelastic,4000,150.0,6.231876,1.0914053686792613,0.00558,2.5376485315312682,2.4963725
O4v_m4000_d200,inelastic,4000,200.0,6.991322,1.000139640418638,0.00394,2.6571686983428178,2.644111
O4v_m4000_d250,inelastic,4000,250.0,7.8608046,0.9928926760403556,0.00194,2.887756589539112,2.8037126
O4v_m4000_d300,inelastic,4000,300.0,8.834942,0.9955419550169609,0.00086,3.1347510665201925,2.972363
O4v_m4000_d350,inelastic,4000,350.0,10.13715,0.9976801550146774,8e-05,3.7750119393563577,3.1838892
O1s_m1000_dfine0,deltascan,1000,0.0,0.05673375,0.4221454655271373,0.35986,0.3588330321671772,0.23818848
O1s_m1000_dfine10,deltascan,1000,10.0,0.056483895,0.4205586168609443,0.36122,0.3551996859258978,0.2376634
O1s_m1000_dfine20,deltascan,1000,20.0,0.058072522,0.42457332423509797,0.362,0.35311797197368927,0.24098241
O1s_m1000_dfine30,deltascan,1000,30.0,0.061718967,0.4337782825678005,0.35778,0.36439910996548786,0.24843302
O1s_m1000_dfine40,deltascan,1000,40.0,0.06858496,0.45055496510030935,0.34892,0.38823788429857664,0.2618873
O1s_m1000_dfine50,deltascan,1000,50.0,0.07972657,0.476156890472339,0.3363,0.4225823586579665,0.28235894
O1s_m1000_dfine60,deltascan,1000,60.0,0.09715564,0.5133228463455453,0.32414,0.4561529447174954,0.311698
O1s_m1000_dfine70,deltascan,1000,70.0,0.123790555,0.5648442024175893,0.30882,0.4991978628866567,0.35183883
O1s_m1000_dfine80,deltascan,1000,80.0,0.16210845,0.6289245484731509,0.28764,0.5602924153254643,0.40262693
O1s_m1000_dfine90,deltascan,1000,90.0,0.21803065,0.7072299659557757,0.26278,0.6347982573551458,0.4669375
O1s_m1000_dfine100,deltascan,1000,100.0,0.2986406,0.7969175531252404,0.2349,0.7228045037020319,0.5464802
O1s_m1000_dfine110,deltascan,1000,110.0,0.41110775,0.8906518201183644,0.20418,0.8267831186211092,0.6411768
O1s_m1000_dfine120,deltascan,1000,120.0,0.5597766,0.9782815931612276,0.17332,0.9411265718188929,0.7481822
O1s_m1000_dfine130,deltascan,1000,130.0,0.7513553,1.054211424307141,0.14254,1.0689770740548337,0.8668075
O1s_m1000_dfine140,deltascan,1000,140.0,0.98137444,1.1105619558293256,0.1147,1.2019058697740994,0.99064344
O1s_m1000_dfine150,deltascan,1000,150.0,1.2532407,1.1471079726834432,0.09048,1.3378050354440503,1.1194823
O1s_m1000_dfine160,deltascan,1000,160.0,1.5536057,1.159206845877634,0.07072,1.4704496971582761,1.2464372
O1s_m1000_dfine170,deltascan,1000,170.0,1.8809354,1.1475064917249256,0.05444,1.6032476009602001,1.371472
O1s_m1000_dfine180,deltascan,1000,180.0,2.2279782,1.1148428018714185,0.04166,1.7317392437273322,1.4926413
O1s_m1000_dfine190,deltascan,1000,190.0,2.6078784,1.0703405592721538,0.03078,1.8694516818152818,1.6148927
O1s_m1000_dfine200,deltascan,1000,200.0,3.017474,1.025772183893423,0.02282,1.99870760207976,1.7370877
O1s_m1000_dfine210,deltascan,1000,210.0,3.4614239,0.9923228012848995,0.01712,2.1172339193249243,1.8604902
O1s_m1000_dfine220,deltascan,1000,220.0,3.9175696,0.973538844154973,0.01298,2.2268096227854755,1.9792851
O1s_m1000_dfine230,deltascan,1000,230.0,4.350561,0.9669948860027944,0.01058,2.305117386582494,2.0858
O1s_m1000_dfine240,deltascan,1000,240.0,4.732246,0.9674004628686816,0.00942,2.3486817891266467,2.1753726
O1s_m1000_dfine250,deltascan,1000,250.0,5.0459065,0.9703184717000113,0.00906,2.36315682425675,2.2463095
O1s_m1000_dfine260,deltascan,1000,260.0,5.2964625,0.9733857241008081,0.0085,2.3867077344922505,2.3014045
O1s_m1000_dfine270,deltascan,1000,270.0,5.4942956,0.9758533692001947,0.00804,2.407094690453244,2.3439913
O1s_m1000_dfine280,deltascan,1000,280.0,5.681002,0.9780413093176321,0.00774,2.4209501484704834,2.3834853
O1s_m1000_dfine290,deltascan,1000,290.0,5.8758574,0.9801202097514761,0.00736,2.4391955578216264,2.4240167
O1s_m1000_dfine300,deltascan,1000,300.0,6.1140804,0.9823925570162828,0.00674,2.4708296887513295,2.4726667
O1s_m1000_dfine310,deltascan,1000,310.0,6.422456,0.9849469583059545,0.00626,2.4971386316152557,2.5342565
O1s_m1000_dfine320,deltascan,1000,320.0,6.8216414,0.9877045415123575,0.0053,2.5556160773702046,2.6118271
O1s_m1000_dfine330,deltascan,1000,330.0,7.3380404,0.990529272276035,0.00442,2.618180620342684,2.7088819
O1s_m1000_dfine340,deltascan,1000,340.0,8.026563,0.9933062958225491,0.00356,2.6911789109637616,2.833119
O1s_m1000_dfine350,deltascan,1000,350.0,8.865184,0.9956090109699289,0.0022,2.847963287487918,2.9774458
O1s_m1000_dfine360,deltascan,1000,360.0,9.868905,0.997346295225725,0.001,3.090232306167813,3.1414814
O1s_m1000_dfine370,deltascan,1000,370.0,10.860854,0.9983856337566976,0.0006,3.2388801183529776,3.295581
O1s_m1000_dfine380,deltascan,1000,380.0,11.26829,0.9986835656673065,0.0006,3.2388801183529776,3.3568273
O1s_m1000_dfine390,deltascan,1000,390.0,11.03731,0.9985221645547426,0.0006,3.2388801183529776,3.3222446
LM_m0.05_d250,lightmed,1000,250.0,3.3230236,0.9272849816989037,0.01442,2.1856666844035915,1.8229163
LM_m0.05_d260,lightmed,1000,260.0,3.8872795,0.9447815085513867,0.0115,2.273434650942775,1.9716185
LM_m0.05_d270,lightmed,1000,270.0,4.269467,0.954514853474393,0.01066,2.30226912243276,2.066269
LM_m0.05_d280,lightmed,1000,280.0,4.549193,0.9606530955716153,0.0098,2.3339183061836266,2.1328838
LM_m0.05_d290,lightmed,1000,290.0,4.7985706,0.9654282117480761,0.0092,2.357468829135765,2.190564
LM_m0.05_d300,lightmed,1000,300.0,5.092857,0.9703037087820121,0.00868,2.378993119479702,2.2567358
LM_m0.05_d310,lightmed,1000,310.0,5.4772263,0.9756260290669161,0.0078,2.4181417132227407,2.3403475
LM_m0.05_d320,lightmed,1000,320.0,5.9804835,0.9811528718637419,0.00662,2.477247645939475,2.4455028
LM_m0.05_d330,lightmed,1000,330.0,6.6230073,0.9864030064272811,0.00536,2.551696029361697,2.5735204
LM_m0.05_d340,lightmed,1000,340.0,7.4588385,0.9910893541746191,0.00422,2.6339416133290015,2.7310874
LM_m0.05_d350,lightmed,1000,350.0,8.436489,0.9945535862425459,0.00286,2.7634149338382215,2.9045634
LM_m0.05_d360,lightmed,1000,360.0,9.559225,0.9969004959930317,0.00138,2.9932760318091396,3.0917997
LM_m0.05_d370,lightmed,1000,370.0,10.696416,0.9982470500472118,0.0006,3.2388801183529776,3.2705376
LM_m0.05_d380,lightmed,1000,380.0,11.292285,0.9986992859558086,0.0006,3.2388801183529776,3.3603995
LM_m0.05_d390,lightmed,1000,390.0,11.056424,0.9985362424413324,0.0006,3.2388801183529776,3.3251202
LM_m0.1_d250,lightmed,1000,250.0,3.6483302,0.9388136335110175,0.01262,2.2377095818609822,1.9100603
LM_m0.1_d260,lightmed,1000,260.0,4.1255984,0.9512569851722219,0.0109,2.2938346203063302,2.031157
LM_m0.1_d270,lightmed,1000,270.0,4.4566326,0.9587472525527119,0.01004,2.3248496699467713,2.1110737
LM_m0.1_d280,lightmed,1000,280.0,4.7137485,0.9638771279787761,0.00946,2.347103467316988,2.1711168
LM_m0.1_d290,lightmed,1000,290.0,4.9524837,0.9680734986250172,0.00888,2.3705841620745436,2.2254176
LM_m0.1_d300,lightmed,1000,300.0,5.237201,0.9724301261667279,0.00828,2.3963338369427203,2.2884932
LM_m0.1_d310,lightmed,1000,310.0,5.6087203,0.9772131979480037,0.00758,2.4285340861213056,2.3682737
LM_m0.1_d320,lightmed,1000,320.0,6.0947385,0.9822183390861028,0.00658,2.479409828966823,2.4687524
LM_m0.1_d330,lightmed,1000,330.0,6.717039,0.9870356910323608,0.00524,2.5595757948629405,2.591725
LM_m0.1_d340,lightmed,1000,340.0,7.530445,0.9914054588080035,0.00422,2.6339416133290015,2.7441657
LM_m0.1_d350,lightmed,1000,350.0,8.487793,0.9946922583549167,0.00278,2.7726610474864453,2.9133818
LM_m0.1_d360,lightmed,1000,360.0,9.594167,0.9969543396800873,0.00138,2.9932760318091396,3.0974452
LM_m0.1_d370,lightmed,1000,370.0,10.71566,0.9982638648580178,0.0006,3.2388801183529776,3.2734783
