m_GeV,delta_keV,sigma_unit_cm2,E_lo_keV,Nunit_LZ_LZlike,Nunit_XENONnT_LZlike,Nunit_PandaX-4T_LZlike,Nunit_LZ_hiedge,Nunit_XENONnT_hiedge,Nunit_PandaX-4T_hiedge
1000.0,335.0,2.964399982455243e-38,142.42780553120062,1023.8312877199018,1117.5623211027098,555.1761208058623,951.0363376517283,1038.1030446198445,515.7028028111486
1000.0,340.0,2.964399982455243e-38,150.90626836630906,594.7540128367577,649.2033238711089,322.50745766500245,561.2759471761708,612.6603648753977,304.3538586800363
1000.0,345.0,2.964399982455243e-38,160.1617568872545,318.64783059081014,347.8198150815182,172.7879081372703,308.4431891568949,336.6809459106952,167.25440538789374
1000.0,350.0,2.964399982455243e-38,170.35382014793558,154.64333658664543,168.80082514739468,83.85589378289929,156.44018322526273,170.76217183039245,84.83024019961431
1000.0,355.0,2.964399982455243e-38,181.70546695895501,65.41680329875703,71.4056655725869,35.472491929607685,71.71839484892143,78.28416339142834,38.889552136386975
1000.0,360.0,2.964399982455243e-38,194.54537570885404,23.050873027713532,25.16116422039153,12.499417064323534,29.663256720008782,32.37890698310818,16.085005404511804
1000.0,365.0,2.964399982455243e-38,209.39497295535776,6.5057285121913315,7.101323375983497,3.527754193230511,11.515311938692351,12.569530637305032,6.244218445628952
1000.0,370.0,2.964399982455243e-38,227.17758905499542,1.427382641483941,1.5580585171127526,0.7740032633398836,4.470017181617145,4.879244106694771,2.423882556229015
1000.0,375.0,2.964399982455243e-38,249.8610086162811,0.2894016067777598,0.3158961200743153,0.15692904029498242,1.782282474099324,1.9454491794746145,0.966448947222873
1000.0,380.0,2.964399982455243e-38,283.7525679263879,0.0676139406225526,0.07380394927109615,0.036663897379834866,0.6292346731652358,0.686840664370504,0.34120471713889555
1000.0,385.0,2.964399982455243e-38,,0.012923260752237584,0.014106376173217082,0.007007683647340099,0.16136254894757565,0.1761351766681284,0.08749941034481216
1000.0,390.0,2.964399982455243e-38,,0.00028599156823491223,0.0003121738949043056,0.00015507993488794538,0.01353570984210223,0.01477489454595666,0.007339786322830082
1000.0,395.0,2.964399982455243e-38,,8.757304160577033e-15,9.559029189362255e-15,4.748679016650926e-15,4.333938534648253e-09,4.73070755542591e-09,2.350093430759968e-09
4000.0,100.0,2.968572591569772e-38,6.639247212170957,28977169.916566998,31630009.41597102,15712972.419546893,25668286.968723636,28018200.56445186,13918718.990082536
4000.0,110.0,2.968572591569772e-38,8.153780065001154,19504051.16525102,21289633.314182453,10576140.420593863,17272911.3394808,18854234.208588198,9366296.993943814
4000.0,120.0,2.968572591569772e-38,9.852499203739107,12977565.777198069,14165652.784969725,7037130.7383397985,11492699.255302345,12544847.778675098,6231956.638438596
4000.0,130.0,2.968572591569772e-38,11.744786675940214,8532969.307507377,9314156.638476362,4627032.652662451,7557007.403191437,8248846.109117414,4097813.873561554
4000.0,140.0,2.968572591569772e-38,13.84084915706312,5544680.028814961,6052291.580748726,3006622.269146141,4910905.135218171,5360495.041963497,2662955.6014915435
4000.0,150.0,2.968572591569772e-38,16.15182313749181,3565314.2722962326,3891716.283140254,1933304.2180761262,3158147.9750764165,3447274.198146793,1712516.859724536
4000.0,160.0,2.968572591569772e-38,18.689898016102376,2268602.113300602,2476291.03916615,1230157.4839728617,2009842.535265641,2193842.2039871435,1089844.1916581294
4000.0,170.0,2.968572591569772e-38,21.468460973336743,1429951.825103712,1560862.9076836295,775396.4122041257,1267130.5546649212,1383135.4645990338,687106.0049943588
4000.0,180.0,2.968572591569772e-38,24.50226852747054,894486.070531719,976375.64036913,485038.2213446646,792879.2479020808,865466.7846818488,429941.564003241
4000.0,190.0,2.968572591569772e-38,27.807651038567773,556534.600387985,607484.9511277301,301782.84668925946,493526.00557271566,538707.9638293728,267616.21428943035
4000.0,200.0,2.968572591569772e-38,31.402758240719955,346222.24713295564,377918.6500394939,187740.23260026472,307200.81344280485,335324.8315748927,166580.72278236604
4000.0,210.0,2.968572591569772e-38,35.307856335274344,216338.83719845497,236144.50539267974,117310.49622733123,192101.56647282242,209688.32960061607,104167.75083385443
4000.0,220.0,2.968572591569772e-38,39.545690530787525,136913.27459649564,149447.5884680058,74241.70523894482,121690.87753369786,132831.59167410684,65987.30683165307
4000.0,230.0,2.968572591569772e-38,44.141931563944674,88350.76314791162,96439.21329525564,47908.512411191514,78617.53401248423,85814.9138868666,42630.63464057244
4000.0,240.0,2.968572591569772e-38,49.12573127798232,58510.92282441271,63867.55660411247,31727.753925913934,52131.46154533503,56904.06013751359,28268.468584442235
4000.0,250.0,2.968572591569772e-38,54.53042169621044,39815.57763750858,43460.66573108331,21590.137169634934,35521.883365565875,38773.88677227261,19261.8663320322
4000.0,260.0,2.968572591569772e-38,60.394405669039884,27688.56591806467,30223.43462887341,15014.222364020983,24735.88737118954,27000.44044038295,13413.122025222498
4000.0,270.0,2.968572591569772e-38,66.76230745616849,19493.604019032762,21278.229739085058,10570.475418771286,17438.540368730133,19035.02645882515,9456.109918255073
