detector,delta_keV,ER_rejection,f2_90_C_1yr,f2_90_H_1yr,f2_sys_C_eps1e3,f2_sys_H_eps1e3,f2_P058,ratio_C_over_LZ,ratio_H_over_LZ,S_C_f2eq1,B_C_window,S_H_f2eq1,B_H_window,rej_needed_to_match_LZ_C,rej_needed_to_match_LZ_H
KamLAND,350.0,0.01,5.127816469480829e-05,0.09247840636533416,0.0002375001278747349,0.39419317276846805,5.7e-05,0.8996169244703208,1622.4281818479676,147985389.98317826,3514654904.459735,75517.63197427797,2976853494.7902145,0.012356195342843851,3.798997756022498e-09
KamLAND,350.0,0.0001,5.127816469480827e-06,0.009247840636533415,2.3750012787473493e-06,0.003941931727684681,5.7e-05,0.08996169244703206,162.24281818479673,147985389.98317826,3514654904.459735,75517.63197427797,2976853494.7902145,0.012356195342843851,3.798997756022498e-09
KamLAND,366.0,1.0,4.182726713944025e-05,0.07367484499118061,0.0019387094041895415,3.128054621999067,4.8e-06,8.714013987383387,15348.926039829295,1815572834.8822258,3519868128.9772367,944182.1936764761,2953453474.938919,0.013169324363598725,4.24467079481178e-09
KamLAND,366.0,0.01,4.182726713944025e-06,0.00736748449911806,1.9387094041895418e-05,0.031280546219990664,4.8e-06,0.8714013987383384,1534.8926039829291,1815572834.8822258,3519868128.9772367,944182.1936764761,2953453474.938919,0.013169324363598725,4.24467079481178e-09
KamLAND,366.0,0.0001,4.182726713944025e-07,0.0007367484499118061,1.938709404189542e-07,0.00031280546219990664,4.8e-06,0.08714013987383386,153.48926039829294,1815572834.8822258,3519868128.9772367,944182.1936764761,2953453474.938919,0.013169324363598725,4.24467079481178e-09
KamLAND,380.0,1.0,1.3242265561940952e-06,0.0022864276450719817,6.141245634393263e-05,0.09672695758020612,1.7e-07,7.789567977612325,13449.574382776364,57378847608.01155,3523775973.7921724,30314648.860776365,2932243754.415159,0.016480609029389068,5.528189449071849e-09
KamLAND,380.0,0.01,1.3242265561940953e-07,0.0002286427645071982,6.141245634393263e-07,0.0009672695758020613,1.7e-07,0.7789567977612326,1344.9574382776366,57378847608.01155,3523775973.7921724,30314648.860776365,2932243754.415159,0.016480609029389068,5.528189449071849e-09
KamLAND,380.0,0.0001,1.3242265561940953e-08,2.2864276450719816e-05,6.141245634393263e-09,9.672695758020612e-06,1.7e-07,0.07789567977612326,134.49574382776365,57378847608.01155,3523775973.7921724,30314648.860776365,2932243754.415159,0.016480609029389068,5.528189449071849e-09
SNO+,300.0,1.0,0.03027411619615967,69.36455501850102,1.2412088200065514,2628.064325714511,0.0028,10.81218435577131,24773.055363750365,2218818.8427471924,2754017517.6145444,894.9128026582929,2351888411.2914495,0.008554076221383483,1.6294493056904488e-09
SNO+,300.0,0.01,0.0030274116196159673,6.936455501850102,0.012412088200065514,26.28064325714511,0.0028,1.0812184355771313,2477.305536375037,2218818.8427471924,2754017517.6145444,894.9128026582929,2351888411.2914495,0.008554076221383483,1.6294493056904488e-09
