m_GeV,delta_keV,sigma_p_N1_cm2,eps2alphaD_over_mA4_GeV_m4,m_A_GeV,S_propagator,alpha_D_label,alpha_D,eps_required,eps_over_babar
1000.0,250.0,1.1986893779135281e-42,9.55114876487567e-15,1.0,0.9257478147395207,alpha_D=thermal,0.024492864645139615,6.490253585131341e-07,0.000649025358513134
1000.0,250.0,1.1986893779135281e-42,9.55114876487567e-15,3.0,1.0080820638910228,alpha_D=0.1,0.1,2.770271731123414e-06,0.002770271731123414
1000.0,250.0,1.1986893779135281e-42,9.55114876487567e-15,3.0,1.0080820638910228,alpha_D=thermal,0.024492864645139615,5.5976092569362654e-06,0.005597609256936266
1000.0,250.0,1.1986893779135281e-42,9.55114876487567e-15,10.0,0.9987870275780603,alpha_D=0.1,0.1,3.0923693367087726e-05,0.030923693367087723
1000.0,250.0,1.1986893779135281e-42,9.55114876487567e-15,10.0,0.9987870275780603,alpha_D=thermal,0.024492864645139615,6.248439469151751e-05,0.06248439469151751
1000.0,300.0,8.594157707698722e-42,6.847818983589492e-14,0.3,0.44493095019659934,alpha_D=0.1,0.1,1.1165349877874581e-07,0.0001116534987787458
1000.0,300.0,8.594157707698722e-42,6.847818983589492e-14,0.3,0.44493095019659934,alpha_D=thermal,0.024492864645139615,2.256069869650583e-07,0.00022560698696505829
1000.0,300.0,8.594157707698722e-42,6.847818983589492e-14,1.0,0.9149683446019208,alpha_D=0.1,0.1,8.651135242075359e-07,0.0008651135242075359
1000.0,300.0,8.594157707698722e-42,6.847818983589492e-14,1.0,0.9149683446019208,alpha_D=thermal,0.024492864645139615,1.748047823973238e-06,0.0017480478239732381
1000.0,300.0,8.594157707698722e-42,6.847818983589492e-14,3.0,1.0018253277463016,alpha_D=0.1,0.1,7.44085157587933e-06,0.0074408515758793295
1000.0,300.0,8.594157707698722e-42,6.847818983589492e-14,3.0,1.0018253277463016,alpha_D=thermal,0.024492864645139615,1.5034979851503748e-05,0.015034979851503748
1000.0,300.0,8.594157707698722e-42,6.847818983589492e-14,10.0,0.9987870275780603,alpha_D=0.1,0.1,8.280178311252265e-05,0.08280178311252265
1000.0,300.0,8.594157707698722e-42,6.847818983589492e-14,10.0,0.9987870275780603,alpha_D=thermal,0.024492864645139615,0.00016730922906740568,0.16730922906740567
1000.0,350.0,2.9855974871244723e-40,2.378922035765458e-12,0.3,0.402986755459621,alpha_D=0.1,0.1,6.914921075466276e-07,0.0006914921075466276
1000.0,350.0,2.9855974871244723e-40,2.378922035765458e-12,0.3,0.402986755459621,alpha_D=thermal,0.024492864645139615,1.397228502465967e-06,0.001397228502465967
1000.0,350.0,2.9855974871244723e-40,2.378922035765458e-12,1.0,0.9034554767390134,alpha_D=0.1,0.1,5.131410129066208e-06,0.005131410129066208
1000.0,350.0,2.9855974871244723e-40,2.378922035765458e-12,1.0,0.9034554767390134,alpha_D=thermal,0.024492864645139615,1.036852396712339e-05,0.01036852396712339
1000.0,350.0,2.9855974871244723e-40,2.378922035765458e-12,3.0,0.9951429049956704,alpha_D=0.1,0.1,4.4003770252847166e-05,0.044003770252847164
1000.0,350.0,2.9855974871244723e-40,2.378922035765458e-12,3.0,0.9951429049956704,alpha_D=thermal,0.024492864645139615,8.891398953399665e-05,0.08891398953399665
1000.0,350.0,2.9855974871244723e-40,2.378922035765458e-12,10.0,0.9987870275780603,alpha_D=0.1,0.1,0.00048803802177212186,0.48803802177212185
1000.0,350.0,2.9855974871244723e-40,2.378922035765458e-12,10.0,0.9987870275780603,alpha_D=thermal,0.024492864645139615,0.0009861293091637116,0.9861293091637117
1000.0,365.0,2.2865355596375624e-39,1.8219099700616553e-11,0.3,0.3834393024632992,alpha_D=0.1,0.1,1.9618132015781588e-06,0.001961813201578159
1000.0,365.0,2.2865355596375624e-39,1.8219099700616553e-11,0.3,0.3834393024632992,alpha_D=thermal,0.024492864645139615,3.9640384783049485e-06,0.003964038478304948
