m_GeV,delta_keV,halo,eff_sigma_keV,N_p,N_p_lo,N_p_hi,N_p_noeff,N_iso,N_iso_lo,N_iso_hi,N_iso_noeff,N_hig,N_hig_lo,N_hig_hi,N_hig_noeff
300.0,210.0,june16,15.0,186976.16220498536,24828.49765310327,11054.562011365317,195134.54198695897,803374.4886310779,117128.14876252024,27607.743776699233,840123.7982465426,49397.13463445109,7466.634771221083,885.3338217900742,52022.103406778304
300.0,210.0,annual,8.0,136224.64108992586,13663.163383911027,8822.338205128828,142095.2893089983,583716.272584177,64215.753393920415,21927.922145441964,610465.8460771176,35974.447847821524,4078.5041220385565,706.6867421310021,37911.88691675205
300.0,210.0,annual,11.5,136192.04060601097,13663.163383911027,8786.71916747981,142095.2893089983,583715.6232367582,64215.753393920415,21899.852709268423,610465.8460771176,35980.091482393575,4078.5041220385565,703.3536697662182,37911.88691675205
300.0,210.0,annual,15.0,136143.1326784103,13663.163383911027,8735.53774218553,142095.2893089983,583694.6777307497,64215.753393920415,21843.502229587444,610465.8460771176,35986.794618969354,4078.5041220385565,700.501975674881,37911.88691675205
300.0,210.0,sun,8.0,127369.86858511415,11147.859405718333,8467.174552064485,132861.44488952588,545113.5384188408,52235.81480041648,21051.954362367953,570124.2293880767,33610.062532263626,3307.6225087318317,678.4486366741115,35425.96851688185
300.0,210.0,sun,11.5,127338.71024927855,11147.859405718333,8433.14577970288,132861.44488952588,545112.8259243352,52235.81480041648,21025.138191607537,570124.2293880767,33615.41959120674,3307.6225087318317,675.2614453409504,35425.96851688185
300.0,210.0,sun,15.0,127291.9257834273,11147.859405718333,8384.200426924543,132861.44488952588,545092.5854984134,52235.81480041648,20971.23850441864,570124.2293880767,33621.77654627148,3307.6225087318317,672.5332895278317,35425.96851688185
300.0,215.0,june16,8.0,137672.19375748816,11797.451037261186,9734.111226284025,143626.90762560006,588855.2907101338,55290.07377467098,24146.09310202286,616148.9472095968,36321.71545601635,3501.695849191181,777.9000477807331,38335.85215101296
300.0,215.0,june16,11.5,137635.5712290979,11797.451037261186,9694.043429572666,143626.90762560006,588855.129722558,55290.07377467098,24114.536399745706,616148.9472095968,36328.24128956776,3501.695849191181,774.1540717723334,38335.85215101296
300.0,215.0,june16,15.0,137580.81154670415,11797.451037261186,9636.681848605613,143626.90762560006,588832.779964433,55290.07377467098,24051.492621541915,616148.9472095968,36336.01141554713,3501.695849191181,770.9558819116183,38335.85215101296
300.0,215.0,annual,8.0,99118.22913997449,5824.687525370232,7614.788693670516,103410.4971539855,423822.15202844096,27200.20103024042,18915.125059444425,443516.7693503846,26275.881849795303,1716.5389840468404,609.3251107123936,27742.09875859803
300.0,215.0,annual,11.5,99090.09590184035,5824.687525370232,7584.0653683574055,103410.4971539855,423821.6848970019,27200.20103024042,18890.929535055166,443516.7693503846,26280.754195201516,1716.5389840468404,606.440744538242,27742.09875859803
300.0,215.0,annual,15.0,99047.87305374748,5824.687525370232,7539.8901553287005,103410.4971539855,423803.6759860868,27200.20103024042,18842.33906367981,443516.7693503846,26286.533881061503,1716.5389840468404,603.973234583748,27742.09875859803
300.0,215.0,sun,8.0,92288.88398380307,4329.218644065911,7290.8091123733575,96287.63850279019,394352.86366468685,20136.325145112263,18116.50336536492,412703.3887219424,24479.737652037118,1265.6929064237574,583.5865608433957,25850.40251196778
300.0,215.0,sun,11.5,92262.0688376031,4329.218644065911,7261.53913676329,96287.63850279019,394352.3339883429,20136.325145112263,18093.452763620407,412703.3887219424,24484.347163003164,1265.6929064237574,580.8357182051681,25850.40251196778
300.0,215.0,sun,15.0,92221.78641837151,4329.218644065911,7219.407256780866,96287.63850279019,394334.96265743976,20136.325145112263,18047.100338670007,412703.3887219424,24489.80944984322,1265.6929064237574,578.4812482266768,25850.40251196778
300.0,220.0,june16,8.0,101365.93452373537,4784.789820058063,8430.318851492322,105778.6831333463,432941.15891146654,22268.147746268893,20890.107944844818,453368.76448071,26875.857020661184,1400.4991264102523,672.5843153864259,28429.49518300049
300.0,220.0,june16,11.5,101334.12777223281,4784.789820058063,8395.526512057906,105778.6831333463,432941.11973343545,22268.147746268893,20862.728918910085,453368.76448071,26881.518544785507,1400.4991264102523,669.316545725307,28429.49518300049
300.0,220.0,june16,15.0,101286.56272367855,4784.789820058063,8345.70652100785,105778.6831333463,432921.81104810594,22268.147746268893,20808.02763147815,453368.76448071,26888.25923742243,1400.4991264102523,666.5286526934656,28429.49518300049
300.0,220.0,annual,8.0,72232.58629802064,2044.1979142084374,6522.355602914508,75380.89187009391,309154.6800343665,9482.037791244631,16184.779315269863,323772.5150110803,19339.392511745555,594.3760142667735,521.015667522651,20462.299011110335
300.0,220.0,annual,11.5,72208.44398015215,2044.1979142084374,6495.999260415623,75380.89187009391,309154.3426306168,9482.037791244631,16164.041863241771,323772.5150110803,19343.560618337397,594.3760142667735,518.5281786471592,20462.299011110335
300.0,220.0,annual,15.0,72172.1968241874,2044.1979142084374,6458.083255121839,75380.89187009391,309138.9254997657,9482.037791244631,16122.378663712941,323772.5150110803,19348.50344736406,594.3760142667735,516.4016018513096,20462.299011110335
300.0,220.0,sun,8.0,66988.08914190084,1255.478978032986,6227.850366315325,69909.69138839064,286737.13216701965,5790.556649064264,15459.422137598402,300314.70819708786,17977.40651083855,360.90692393268915,497.6475641869135,19024.638753645228
300.0,220.0,sun,11.5,66965.14914851273,1255.478978032986,6202.819802808122,69909.69138839064,286736.7337288166,5790.556649064264,15439.72855591239,300314.70819708786,17981.334416693837,360.90692393268915,495.2821934347562,19024.638753645228
300.0,220.0,sun,15.0,66930.67154861894,1255.478978032986,6166.767298899817,69909.69138839064,286721.89212275436,5790.556649064264,15400.104992870723,300314.70819708786,17985.98709831928,360.90692393268915,493.25893560227917,19024.638753645228
300.0,225.0,june16,8.0,74801.07166182133,1506.2078526370187,7265.769987652824,78080.51056433571,319879.43803618156,6953.992086116955,17995.581938419127,335263.7764906733,20039.16335651545,433.8598025331849,579.4188530693267,21247.778902437232
300.0,225.0,june16,11.5,74773.6277061027,1506.2078526370187,7235.761501439754,78080.51056433571,319879.5293856298,6953.992086116955,17972.00194856545,335263.7764906733,20044.051618168225,433.8598025331849,576.5868565257505,21247.778902437232
300.0,225.0,june16,15.0,74732.60316424607,1506.2078526370187,7192.799017096074,78080.51056433571,319863.03084580664,6953.992086116955,17924.900534194963,335263.7764906733,20049.868266476875,433.8598025331849,574.1719652243091,21247.778902437232
300.0,225.0,annual,8.0,52836.16801767119,540.6960482879023,5553.252788260311,55154.99526756304,227031.0943132103,2489.0779514195065,13774.005170229519,237960.71113334544,14366.145931736979,154.84097429197647,443.4238932118683,15233.457420242028
300.0,225.0,annual,11.5,52815.614742816375,540.6960482879023,5530.827050150911,55154.99526756304,227030.8907856744,2489.0779514195065,13756.38888244969,237960.71113334544,14369.689308230432,154.84097429197647,441.2955258201573,15233.457420242028
300.0,225.0,annual,15.0,52784.76083077227,540.6960482879023,5498.561137608686,55154.99526756304,227017.85251688954,2489.0779514195065,13720.990244573753,237960.71113334544,14373.887393723146,154.84097429197647,439.476722400378,15233.457420242028
300.0,225.0,sun,8.0,48827.23009622242,218.12825606355227,5286.115056462396,50971.56559685223,210036.7346072341,995.0887933874669,13116.355146397995,220161.4268532593,13334.534586772663,61.33708160611497,422.23558185885645,14141.60967216486
300.0,225.0,sun,11.5,48807.77017301069,218.12825606355227,5264.894869578668,50971.56559685223,210036.47084189038,995.0887933874669,13099.687208412946,220161.4268532593,13337.858822336084,61.33708160611497,420.2185460576155,14141.60967216486
300.0,225.0,sun,15.0,48778.52441413487,218.12825606355227,5234.322536391302,50971.56559685223,210023.94818965346,995.0887933874669,13066.140322622718,220161.4268532593,13341.79220028877,61.33708160611497,418.4938878490624,14141.60967216486
