m_GeV,delta_keV,halo,eff_sigma_keV,N_p_unit,N_iso_unit,N_hig,N_lo_per_event,frac_hi,N_lo_per_hi_event,delta_max_248keV_june,sigma_p_N1_cm2,sigma_p_N0p3_cm2,sigma_p_N3_cm2,sigma_p_N0p105_cm2,sigma_p_N3p65_cm2,sigma_p_higgsino_equiv_cm2,effective_A_over_Z_sq
300.0,215.0,june16,11.5,137635.5712290979,588855.129722558,36328.24128956776,0.08571513113876666,0.07043268933317162,1.2169793877002717,315.7939536557191,2.1442990821740224e-43,6.432897246522066e-44,6.432897246522067e-43,2.251514036282723e-44,7.82669164993518e-43,7.789861445421658e-39,4.278364411641767
300.0,220.0,june16,11.5,101334.1277722328,432941.11973343545,26881.518544785507,0.047217950410672734,0.08284994104778211,0.5699213519468975,315.7939536557191,2.912462321917995e-43,8.737386965753983e-44,8.737386965753984e-43,3.058085438013894e-44,1.063048747500068e-42,7.829140991762762e-39,4.272411765427643
300.0,225.0,june16,11.5,74773.6277061027,319879.5293856298,20044.051618168225,0.02014357065243858,0.09676889731604131,0.20816162228914223,315.7939536557191,3.947004286338303e-43,1.1841012859014909e-43,1.184101285901491e-42,4.144354500655218e-44,1.4406565645134805e-42,7.911395765249618e-39,4.277972584704789
300.0,230.0,june16,11.5,55365.768354356755,237776.03301960535,15066.44595311622,0.005386791173321042,0.11208252758528406,0.0480609358958488,315.7939536557191,5.330583099147541e-43,1.5991749297442622e-43,1.5991749297442623e-42,5.597112254104917e-44,1.9456628311888524e-42,8.031294216190118e-39,4.294639812415692
300.0,235.0,june16,11.5,41318.558031783265,178568.4061594959,11453.493896416676,0.0006557113762110076,0.12778569450021401,0.005131336326617604,315.7939536557191,7.1428395161813036e-43,2.142851854854391e-43,2.142851854854391e-42,7.499981491990368e-44,2.6071364234061754e-42,8.18104688016664e-39,4.321748257093983
300.0,240.0,june16,11.5,31059.21450625967,135309.4097289062,8782.700330831303,2.5382508706517234e-05,0.1437100281953412,0.00017662308626100517,315.7939536557191,9.50223094024387e-43,2.850669282073161e-43,2.8506692820731616e-42,9.977342487256064e-44,3.4683142931890126e-42,8.345524682251529e-39,4.3564981239830125
300.0,245.0,june16,11.5,23548.469571559977,103418.1590441408,6778.66588357856,0.0,0.15863630089513697,0.0,315.7939536557191,1.253295158584273e-42,3.759885475752819e-43,3.759885475752819e-42,1.3159599165134865e-43,4.574527328832596e-42,8.495669133549391e-39,4.391714660261458
300.0,250.0,june16,11.5,17985.276019575438,79568.96285607357,5251.685904291588,0.0,0.17259126942893216,0.0,315.7939536557191,1.6409635789844207e-42,4.922890736953262e-43,4.9228907369532625e-42,1.7230117579336416e-43,5.989517063293135e-42,8.617825297208358e-39,4.424116859228046
300.0,255.0,june16,11.5,13800.58095573567,61311.78605890678,4054.8421463052287,0.0,0.18448491652783477,0.0,315.7939536557191,2.138546413427559e-42,6.415639240282676e-43,6.415639240282677e-42,2.2454737340989366e-43,7.805694409010589e-42,8.671468128995952e-39,4.442696018056033
300.0,260.0,june16,11.5,10589.740641902232,47080.35538794333,3105.902719359012,0.0,0.19488600723870578,0.0,315.7939536557191,2.7869599364242546e-42,8.360879809272763e-43,8.360879809272764e-42,2.926307933245467e-43,1.0172403767948527e-41,8.656026445284711e-39,4.445845935230223
